------Generation 0------
Rule  1: cc9194844, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c26291c27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 181154542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c11532511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1131841b4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 27: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 28: 2541925b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 211114141, Class:  0, CF:0.992766, Len:  9, Fitness_tra: 0
Rule 30: 851157111, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 32: 211152c24, Class:  0, CF:0.974787, Len:  9, Fitness_tra: 0
Rule 33: 881dd1c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 811997557, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 821152171, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 36: 1c1252c24, Class:  0, CF:0.997832, Len:  9, Fitness_tra: 0
Rule 37: c37d3bc12, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 38: 2c3217821, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 39: d81c14241, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 40: c1315182c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 81111b872, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 42: cc1251872, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11e851c41, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 44: 511111171, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 45: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 46: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 47: 21e2111b1, Class:  0, CF:0.942178, Len:  9, Fitness_tra: 0
Rule 48: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 49: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 50: 19219718b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 114557111, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 53: 1112145bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 289817811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 28ec5284b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c13111c71, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 57: 85be37181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 59: 1c1857111, Class:  0, CF:0.999407, Len:  9, Fitness_tra: 0
Rule 60: 000c00000, Class:  0, CF:0.865681, Len:  1, Fitness_tra: 3
Rule 61: c812d2c72, Class:  0, CF:0.0752915, Len:  9, Fitness_tra: 0
Rule 62: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 63: 000c00000, Class:  0, CF:0.865681, Len:  1, Fitness_tra: 0
Rule 64: 11b3148cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11655b822, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 67: 111152177, Class:  0, CF:0.994158, Len:  9, Fitness_tra: 0
Rule 68: 18e8db51b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 551114c24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 71: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 72: 1515171bb, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 73: 8552141b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 8898178b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 213891c42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2812d7117, Class:  0, CF:0.928065, Len:  9, Fitness_tra: 0
Rule 77: c5d15b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000c00000, Class:  0, CF:0.865681, Len:  1, Fitness_tra: 0
Rule 79: 137194c11, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 80: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 81: 819194142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1541115b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 84: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 85: 883517cb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 25411112b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1211111b4, Class:  0, CF:0.868895, Len:  9, Fitness_tra: 0
Rule 88: 512212111, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 89: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 90: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 91: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 92: 12925711b, Class:  0, CF:0.981757, Len:  9, Fitness_tra: 0
Rule 93: d11c54141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 811211542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 857314212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 111121212, Class:  0, CF:0.892797, Len:  9, Fitness_tra: 0
Rule 97: 000d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 98: c16511147, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 99: 851112141, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule100: 211cdbc21, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
------Current------
Miss_rate(tra)	:8.33333
------Result------
Miss_rate(tra)	:8.33333
Miss_rate(tst)	:4.54545
ARL				:5.35

------Generation 2------
Rule  1: cc9194844, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 8ce294117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 111114111, Class:  0, CF:0.816631, Len:  9, Fitness_tra: 0
Rule  4: 214557154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c11214811, Class:  0, CF:0.998936, Len:  9, Fitness_tra: 0
Rule  6: 851117174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 153
Rule  8: 155151144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 289c1112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c37154811, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 11: 121211521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8111db572, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2835512b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 15: 8211115b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 155111841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 813112122, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: 21411221b, Class:  0, CF:0.87692, Len:  9, Fitness_tra: 0
Rule 19: 8d9c12821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 152e11517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 18ec97177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 23: c26291c27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 181154542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c11532511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1131841b4, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 27: 000000000, Class:  0, CF:0.833333, Len:  0, Fitness_tra: 0
Rule 28: 2541925b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 211114141, Class:  0, CF:0.992766, Len:  9, Fitness_tra: 0
