------Generation 0------
Rule  1: 1551222d2111c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: ec11113155159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: e000807e40000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1515111111111, Class:  2, CF:0.378564, Len: 13, Fitness_tra: 0
Rule 59: 00d00070c0405, Class:  0, CF:0.995459, Len:  5, Fitness_tra: 0
Rule 60: 8000000000002, Class:  0, CF:0.395143, Len:  2, Fitness_tra: -21
Rule 61: 111d135111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 12112c2184151, Class:  0, CF:0.682583, Len: 13, Fitness_tra: 0
Rule 63: 2000000000004, Class:  0, CF:0.10356, Len:  2, Fitness_tra: -1
Rule 64: 8000000030002, Class:  2, CF:0.0989503, Len:  3, Fitness_tra: 0
Rule 65: 1111118122511, Class:  1, CF:0.358941, Len: 13, Fitness_tra: 0
Rule 66: 5115112111211, Class:  1, CF:0.704052, Len: 13, Fitness_tra: 0
Rule 67: e851131811551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: e191115551153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00008040c0000, Class:  0, CF:0.778977, Len:  3, Fitness_tra: 3
Rule 70: 3812195112831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 825141c512511, Class:  0, CF:0.856072, Len: 13, Fitness_tra: 0
Rule 72: 0000807040000, Class:  0, CF:0.162683, Len:  3, Fitness_tra: 0
Rule 73: 325215d151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000708050000, Class:  0, CF:0.637498, Len:  3, Fitness_tra: 0
Rule 75: 1111121181111, Class:  1, CF:0.587488, Len: 13, Fitness_tra: 0
Rule 76: 0000000000002, Class:  0, CF:0.174114, Len:  1, Fitness_tra: 0
Rule 77: 1551187348281, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 78: 1511121121221, Class:  1, CF:0.60641, Len: 13, Fitness_tra: 0
Rule 79: 1151118112152, Class:  0, CF:0.940581, Len: 13, Fitness_tra: 0
Rule 80: 000000c000000, Class:  0, CF:0.251707, Len:  1, Fitness_tra: -20
Rule 81: 000080b040000, Class:  2, CF:0.434483, Len:  3, Fitness_tra: 1
Rule 82: 0c00008004554, Class:  0, CF:0.049995, Len:  6, Fitness_tra: 0
Rule 83: 0050c00000000, Class:  0, CF:0.140549, Len:  2, Fitness_tra: -1
Rule 84: 0000008004000, Class:  0, CF:0.760018, Len:  2, Fitness_tra: 26
Rule 85: 1111258182111, Class:  0, CF:0.491217, Len: 13, Fitness_tra: 0
Rule 86: 1151121124552, Class:  0, CF:0.917204, Len: 13, Fitness_tra: 0
Rule 87: 1151111111421, Class:  1, CF:0.0330519, Len: 13, Fitness_tra: 0
Rule 88: 1c1c113111111, Class:  2, CF:0.844167, Len: 13, Fitness_tra: 0
Rule 89: 1115111111111, Class:  2, CF:0.285868, Len: 13, Fitness_tra: 0
Rule 90: 3811291211151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: 515d11412c122, Class:  0, CF:0.752312, Len: 13, Fitness_tra: 0
Rule 92: 1112111152831, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 1255811111132, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: 315111b325212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 11151218c2d12, Class:  1, CF:0.989415, Len: 13, Fitness_tra: 0
Rule 96: 2251255112c14, Class:  0, CF:0.995835, Len: 13, Fitness_tra: 0
Rule 97: 1111511818161, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 1195211381152, Class:  0, CF:0.435699, Len: 13, Fitness_tra: 0
Rule 99: 2155258112152, Class:  1, CF:0.741762, Len: 13, Fitness_tra: 0
Rule100: 12d11112d8111, Class:  2, CF:0.879314, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:63.3803
------Result------
Miss_rate(tra)	:63.3803
Miss_rate(tst)	:63.8889
ARL				:10.55

------Generation 0------
Rule  1: 0000008004000, Class:  0, CF:0.760018, Len:  2, Fitness_tra: 26
Rule  2: 00008040c0000, Class:  0, CF:0.778977, Len:  3, Fitness_tra: 3
Rule  3: 000000c000500, Class:  1, CF:0.287822, Len:  2, Fitness_tra: 1
Rule  4: 000080b040000, Class:  2, CF:0.434483, Len:  3, Fitness_tra: 1
Rule  5: 1551222d2111c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 5151111212112, Class:  2, CF:0.732584, Len: 13, Fitness_tra: 0
Rule  7: 1151c15112531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1152533118111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 0000590000003, Class:  0, CF:0.139435, Len:  3, Fitness_tra: 0
Rule 10: 12185312d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2151151112111, Class:  0, CF:0.240652, Len: 13, Fitness_tra: 0
Rule 12: 12581952d2815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1111111222111, Class:  2, CF:0.583545, Len: 13, Fitness_tra: 0
Rule 14: e151891155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 1412155188513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 11512cb18111c, Class:  0, CF:0.672905, Len: 13, Fitness_tra: 0
Rule 17: 1c1c21d11c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12d1112312552, Class:  0, CF:0.934884, Len: 13, Fitness_tra: 0
Rule 19: 1111112111111, Class:  1, CF:0.383964, Len: 13, Fitness_tra: 0
Rule 20: 1cd5122124551, Class:  1, CF:0.994342, Len: 13, Fitness_tra: 0
Rule 21: 511112b312121, Class:  0, CF:0.264719, Len: 13, Fitness_tra: 0
Rule 22: 511112412c112, Class:  0, CF:0.987855, Len: 13, Fitness_tra: 0
Rule 23: 111111212121c, Class:  0, CF:0.520205, Len: 13, Fitness_tra: 0
Rule 24: e252199815111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3212515115831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 511111112522c, Class:  0, CF:0.561144, Len: 13, Fitness_tra: 0
Rule 27: 12d11112d8111, Class:  2, CF:0.879314, Len: 13, Fitness_tra: 0
Rule 28: 1115c1d111132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3418563215531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 12311131111d1, Class:  1, CF:0.986979, Len: 13, Fitness_tra: 0
Rule 31: 1111211111512, Class:  1, CF:0.669704, Len: 13, Fitness_tra: 0
Rule 32: 325515112c511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1131214113221, Class:  1, CF:0.902027, Len: 13, Fitness_tra: 0
Rule 34: 34121dd25cd19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000400400d50, Class:  0, CF:0.303944, Len:  4, Fitness_tra: 0
Rule 36: c23142c522112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2155258112152, Class:  1, CF:0.741762, Len: 13, Fitness_tra: 0
Rule 38: 11518841c5221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1111215111192, Class:  0, CF:0.970064, Len: 13, Fitness_tra: 0
Rule 40: 1155227125118, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 3152219111191, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 311185d11151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c11151151111, Class:  1, CF:0.987336, Len: 13, Fitness_tra: 0
Rule 44: 1151121315118, Class:  0, CF:0.989628, Len: 13, Fitness_tra: 0
Rule 45: 11511212c1241, Class:  1, CF:0.134816, Len: 13, Fitness_tra: 0
Rule 46: 8215211151211, Class:  0, CF:0.660791, Len: 13, Fitness_tra: 0
Rule 47: 11152c712121c, Class:  0, CF:0.343415, Len: 13, Fitness_tra: 0
Rule 48: 1111531111111, Class:  2, CF:0.23597, Len: 13, Fitness_tra: 0
Rule 49: 1211211112131, Class:  2, CF:0.957295, Len: 13, Fitness_tra: 0
Rule 50: 11151c2189211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 1153251112517, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 1291218114512, Class:  0, CF:0.927168, Len: 13, Fitness_tra: 0
Rule 53: 1152111151291, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 000000000b004, Class:  0, CF:0.0404554, Len:  2, Fitness_tra: 0
Rule 55: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: ec11113155159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: e000807e40000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1515111111111, Class:  2, CF:0.378564, Len: 13, Fitness_tra: 0
Rule 59: 00d00070c0405, Class:  0, CF:0.995459, Len:  5, Fitness_tra: 0
Rule 60: 111d135111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 12112c2184151, Class:  0, CF:0.682583, Len: 13, Fitness_tra: 0
Rule 62: 8000000030002, Class:  2, CF:0.0989503, Len:  3, Fitness_tra: 0
Rule 63: 1111118122511, Class:  1, CF:0.358941, Len: 13, Fitness_tra: 0
Rule 64: 5115112111211, Class:  1, CF:0.704052, Len: 13, Fitness_tra: 0
Rule 65: e851131811551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: e191115551153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 3235115511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3812195112831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 825141c512511, Class:  0, CF:0.856072, Len: 13, Fitness_tra: 0
Rule 70: 0000807040000, Class:  0, CF:0.162683, Len:  3, Fitness_tra: 0
Rule 71: 325215d151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000708050000, Class:  0, CF:0.637498, Len:  3, Fitness_tra: 0
Rule 73: 1111121181111, Class:  1, CF:0.587488, Len: 13, Fitness_tra: 0
Rule 74: 0000000000002, Class:  0, CF:0.174114, Len:  1, Fitness_tra: -49
Rule 75: 1551187348281, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 1511121121221, Class:  1, CF:0.60641, Len: 13, Fitness_tra: 0
Rule 77: 1151118112152, Class:  0, CF:0.940581, Len: 13, Fitness_tra: 0
Rule 78: 1215455124112, Class:  0, CF:0.532857, Len: 13, Fitness_tra: 0
Rule 79: 0c00008004554, Class:  0, CF:0.049995, Len:  6, Fitness_tra: 0
Rule 80: 0000000000200, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 5115187113211, Class:  1, CF:0.962816, Len: 13, Fitness_tra: 0
Rule 82: 115d155114112, Class:  0, CF:0.152886, Len: 13, Fitness_tra: 0
Rule 83: 2211c211141d1, Class:  0, CF:0.969371, Len: 13, Fitness_tra: 0
Rule 84: 115d11b121112, Class:  2, CF:0.471951, Len: 13, Fitness_tra: 0
Rule 85: 1111458154211, Class:  0, CF:0.486286, Len: 13, Fitness_tra: 0
Rule 86: 2111152182531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 000000c000000, Class:  0, CF:0.251707, Len:  1, Fitness_tra: -20
Rule 88: 8255c51112211, Class:  0, CF:0.806006, Len: 13, Fitness_tra: 0
Rule 89: 11912175c111c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 000d000000092, Class:  1, CF:0.221363, Len:  3, Fitness_tra: 0
Rule 91: 8215235111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0c00008004554, Class:  0, CF:0.049995, Len:  0, Fitness_tra: 0
Rule 93: 1050808e12100, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 94: 116311411b112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: 04581252d1815, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 96: 2231151222111, Class:  1, CF:0.377553, Len: 13, Fitness_tra: 0
Rule 97: 1000111e42433, Class:  2, CF:0.565496, Len: 10, Fitness_tra: 0
Rule 98: 1c5115e152111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: e25112981c182, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 1c11151151611, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:63.3803
------Result------
Miss_rate(tra)	:63.3803
Miss_rate(tst)	:63.8889
ARL				:10.9487

------Generation 1------
Rule  1: 0000008004000, Class:  0, CF:0.760018, Len:  2, Fitness_tra: 31
Rule  2: 00008040c0000, Class:  0, CF:0.778977, Len:  3, Fitness_tra: 3
Rule  3: 000000c000500, Class:  1, CF:0.287822, Len:  2, Fitness_tra: 2
Rule  4: 000080b040000, Class:  2, CF:0.434483, Len:  3, Fitness_tra: 3
Rule  5: 1551222d2111c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 5151111212112, Class:  2, CF:0.732584, Len: 13, Fitness_tra: 0
Rule  7: 1151c15112531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1152533118111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 0000590000003, Class:  0, CF:0.139435, Len:  3, Fitness_tra: 0
Rule 10: 12185312d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2151151112111, Class:  0, CF:0.240652, Len: 13, Fitness_tra: 0
Rule 12: 12581952d2815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1111111222111, Class:  2, CF:0.583545, Len: 13, Fitness_tra: 0
Rule 14: e151891155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 1412155188513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 11512cb18111c, Class:  0, CF:0.672905, Len: 13, Fitness_tra: 0
Rule 17: 1c1c21d11c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12d1112312552, Class:  0, CF:0.934884, Len: 13, Fitness_tra: 0
Rule 19: 1111112111111, Class:  1, CF:0.383964, Len: 13, Fitness_tra: 0
Rule 20: 1cd5122124551, Class:  1, CF:0.994342, Len: 13, Fitness_tra: 0
Rule 21: 511112b312121, Class:  0, CF:0.264719, Len: 13, Fitness_tra: 0
Rule 22: 511112412c112, Class:  0, CF:0.987855, Len: 13, Fitness_tra: 0
Rule 23: 111111212121c, Class:  0, CF:0.520205, Len: 13, Fitness_tra: 0
Rule 24: e252199815111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3212515115831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 511111112522c, Class:  0, CF:0.561144, Len: 13, Fitness_tra: 0
Rule 27: 12d11112d8111, Class:  2, CF:0.879314, Len: 13, Fitness_tra: 0
Rule 28: 1115c1d111132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3418563215531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 12311131111d1, Class:  1, CF:0.986979, Len: 13, Fitness_tra: 0
Rule 31: 1111211111512, Class:  1, CF:0.669704, Len: 13, Fitness_tra: 0
Rule 32: 325515112c511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1131214113221, Class:  1, CF:0.902027, Len: 13, Fitness_tra: 0
Rule 34: 34121dd25cd19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000400400d50, Class:  0, CF:0.303944, Len:  4, Fitness_tra: 0
Rule 36: c23142c522112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2155258112152, Class:  1, CF:0.741762, Len: 13, Fitness_tra: 0
Rule 38: 11518841c5221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1111215111192, Class:  0, CF:0.970064, Len: 13, Fitness_tra: 0
Rule 40: 1155227125118, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 3152219111191, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 311185d11151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1c11151151111, Class:  1, CF:0.987336, Len: 13, Fitness_tra: 0
Rule 44: 1151121315118, Class:  0, CF:0.989628, Len: 13, Fitness_tra: 0
Rule 45: 11511212c1241, Class:  1, CF:0.134816, Len: 13, Fitness_tra: 0
Rule 46: 8215211151211, Class:  0, CF:0.660791, Len: 13, Fitness_tra: 0
Rule 47: 11152c712121c, Class:  0, CF:0.343415, Len: 13, Fitness_tra: 0
Rule 48: 1111531111111, Class:  2, CF:0.23597, Len: 13, Fitness_tra: 0
Rule 49: 1211211112131, Class:  2, CF:0.957295, Len: 13, Fitness_tra: 0
Rule 50: 11151c2189211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 1153251112517, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 1291218114512, Class:  0, CF:0.927168, Len: 13, Fitness_tra: 0
Rule 53: 1152111151291, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 000000000b004, Class:  0, CF:0.0404554, Len:  2, Fitness_tra: 0
Rule 55: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: ec11113155159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: e000807e40000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1515111111111, Class:  2, CF:0.378564, Len: 13, Fitness_tra: 0
Rule 59: 00d00070c0405, Class:  0, CF:0.995459, Len:  5, Fitness_tra: 0
Rule 60: 111d135111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 12112c2184151, Class:  0, CF:0.682583, Len: 13, Fitness_tra: 0
Rule 62: 8000000030002, Class:  2, CF:0.0989503, Len:  3, Fitness_tra: 0
Rule 63: 1111118122511, Class:  1, CF:0.358941, Len: 13, Fitness_tra: 0
Rule 64: 5115112111211, Class:  1, CF:0.704052, Len: 13, Fitness_tra: 0
Rule 65: e851131811551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: e191115551153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 3235115511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3812195112831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 825141c512511, Class:  0, CF:0.856072, Len: 13, Fitness_tra: 0
Rule 70: 0000807040000, Class:  0, CF:0.162683, Len:  3, Fitness_tra: 0
Rule 71: 325215d151113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000708050000, Class:  0, CF:0.637498, Len:  3, Fitness_tra: -2
Rule 73: 1111121181111, Class:  1, CF:0.587488, Len: 13, Fitness_tra: 0
Rule 74: 1c11151151611, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: 1551187348281, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 1511121121221, Class:  1, CF:0.60641, Len: 13, Fitness_tra: 0
Rule 77: 1151118112152, Class:  0, CF:0.940581, Len: 13, Fitness_tra: 0
Rule 78: 1215455124112, Class:  0, CF:0.532857, Len: 13, Fitness_tra: 0
Rule 79: 0c00008004554, Class:  0, CF:0.049995, Len:  6, Fitness_tra: 0
Rule 80: 0000000000200, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2c552cc184511, Class:  0, CF:0.224125, Len: 13, Fitness_tra: 0
Rule 82: 2000000000004, Class:  0, CF:0.10356, Len:  2, Fitness_tra: -16
Rule 83: 000fe60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2111158181514, Class:  0, CF:0.426248, Len: 13, Fitness_tra: 0
Rule 85: 1115211112112, Class:  2, CF:0.945895, Len: 13, Fitness_tra: 0
Rule 86: 00007050d0000, Class:  0, CF:0.886364, Len:  3, Fitness_tra: 0
Rule 87: 8000000030002, Class:  2, CF:0.0989503, Len:  0, Fitness_tra: 0
Rule 88: 000000000b002, Class:  0, CF:0.213586, Len:  2, Fitness_tra: -13
Rule 89: 1c11228152251, Class:  1, CF:0.0687537, Len: 13, Fitness_tra: 0
Rule 90: 1111112112112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0195117511253, Class:  0, CF:0.415009, Len: 12, Fitness_tra: 0
Rule 92: 1158155111d1c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 0000007000000, Class:  1, CF:0.0703449, Len:  1, Fitness_tra: 32
Rule 94: 8c012b252c53c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1e15455124112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1050008032200, Class:  0, CF:0.767791, Len:  6, Fitness_tra: 0
Rule 97: 5181187123211, Class:  0, CF:0.403879, Len: 13, Fitness_tra: 0
Rule 98: 105250380c092, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 99: 111d1d3111111, Class:  1, CF:0.866044, Len: 13, Fitness_tra: 0
Rule100: 32515d5b1e181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:35.9155
------Result------
Miss_rate(tra)	:35.9155
Miss_rate(tst)	:44.4444
ARL				:10.6933

------Generation 2------
Rule  1: 0000007000000, Class:  1, CF:0.0703449, Len:  1, Fitness_tra: 17
Rule  2: 0000008004000, Class:  0, CF:0.760018, Len:  2, Fitness_tra: 26
Rule  3: 00008040c0000, Class:  0, CF:0.778977, Len:  3, Fitness_tra: 3
Rule  4: 000080b040000, Class:  2, CF:0.434483, Len:  3, Fitness_tra: 1
Rule  5: 000000c000500, Class:  1, CF:0.287822, Len:  2, Fitness_tra: 1
Rule  6: 5151111212112, Class:  2, CF:0.732584, Len: 13, Fitness_tra: 0
Rule  7: 1151c15112531, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 1152533118111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 0000590000003, Class:  0, CF:0.139435, Len:  3, Fitness_tra: 0
Rule 10: 12185312d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2151151112111, Class:  0, CF:0.240652, Len: 13, Fitness_tra: 0
Rule 12: 12581952d2815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1111111222111, Class:  2, CF:0.583545, Len: 13, Fitness_tra: 0
Rule 14: e151891155511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
