------Generation 0------
Rule  1: 11312c73c9122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000c0b0000, Class:  0, CF:0.305638, Len:  2, Fitness_tra: 1
Rule 68: 511112c821422, Class:  0, CF:0.99896, Len: 13, Fitness_tra: 0
Rule 69: 1211551118533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 311211128c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1c51851818533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 121d115151831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2000000007004, Class:  0, CF:0.356275, Len:  3, Fitness_tra: -1
Rule 74: 1155814111118, Class:  0, CF:0.129515, Len: 13, Fitness_tra: 0
Rule 75: 0c0300c004550, Class:  1, CF:0.402089, Len:  6, Fitness_tra: 0
Rule 76: 111111151c131, Class:  2, CF:0.82848, Len: 13, Fitness_tra: 0
Rule 77: 1121112222511, Class:  1, CF:0.741648, Len: 13, Fitness_tra: 0
Rule 78: 00d000b00040c, Class:  0, CF:0.343882, Len:  4, Fitness_tra: 0
Rule 79: 5221215512512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 80: 1481412211132, Class:  2, CF:0.683286, Len: 13, Fitness_tra: 0
Rule 81: 11315111c1441, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 2211c11321152, Class:  0, CF:0.972893, Len: 13, Fitness_tra: 0
Rule 83: 11111114d8235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: cc00000057500, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: 1211111211111, Class:  2, CF:0.634278, Len: 13, Fitness_tra: 0
Rule 86: 11118dd851d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 11d512c181851, Class:  1, CF:0.968636, Len: 13, Fitness_tra: 0
Rule 88: 0000000000004, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1313117111242, Class:  0, CF:0.069953, Len: 13, Fitness_tra: 0
Rule 90: 2155151111111, Class:  1, CF:0.475156, Len: 13, Fitness_tra: 0
Rule 91: 1158135251da5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0200507040000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1115117111221, Class:  1, CF:0.984985, Len: 13, Fitness_tra: 0
Rule 94: 1191521121212, Class:  0, CF:0.0687379, Len: 13, Fitness_tra: 0
Rule 95: c11115181481b, Class:  1, CF:0.621856, Len: 13, Fitness_tra: 0
Rule 96: 2000000000002, Class:  0, CF:0.380774, Len:  2, Fitness_tra: 5
Rule 97: 5131512111111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 1c11551181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 99: 1215818121151, Class:  1, CF:0.902713, Len: 13, Fitness_tra: 0
Rule100: 115c131151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:35.2113
------Result------
Miss_rate(tra)	:35.2113
Miss_rate(tst)	:38.8889
ARL				:10.2078

------Generation 0------
Rule  1: 0000060000000, Class:  2, CF:0.5749, Len:  1, Fitness_tra: 18
Rule  2: 0000000000500, Class:  1, CF:0.437217, Len:  1, Fitness_tra: 8
Rule  3: 000000b0c0400, Class:  1, CF:0.601076, Len:  3, Fitness_tra: 9
Rule  4: 2000000000002, Class:  0, CF:0.380774, Len:  2, Fitness_tra: 5
Rule  5: 00008040c0000, Class:  0, CF:0.730692, Len:  3, Fitness_tra: 4
Rule  6: 000000c000000, Class:  0, CF:0.287015, Len:  1, Fitness_tra: -3
Rule  7: 000000c0b0000, Class:  0, CF:0.305638, Len:  2, Fitness_tra: 1
Rule  8: 11312c73c9122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 825d2112545e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1cd511c181552, Class:  1, CF:0.983453, Len: 13, Fitness_tra: 0
Rule 11: 11d5112511211, Class:  1, CF:0.885862, Len: 13, Fitness_tra: 0
Rule 12: 313815d888535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1211191551113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 9218815211515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 111151112111c, Class:  1, CF:0.970906, Len: 13, Fitness_tra: 0
Rule 16: 92118d5111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 115c131151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 11511141c5228, Class:  0, CF:0.993598, Len: 13, Fitness_tra: 0
Rule 19: 125521c512112, Class:  0, CF:0.0639554, Len: 13, Fitness_tra: 0
Rule 20: 3c51111812515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000705050000, Class:  0, CF:0.855618, Len:  3, Fitness_tra: 0
Rule 22: 2451118111312, Class:  0, CF:0.98244, Len: 13, Fitness_tra: 0
Rule 23: 3115519111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 2251c15111112, Class:  0, CF:0.996847, Len: 13, Fitness_tra: 0
Rule 25: 0000804940000, Class:  0, CF:0.4747, Len:  4, Fitness_tra: 0
Rule 26: 15158c1511211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: 0700400000d50, Class:  0, CF:0.111967, Len:  4, Fitness_tra: 0
Rule 28: 000000b00000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 311111411341c, Class:  1, CF:0.94633, Len: 13, Fitness_tra: 0
Rule 30: 111121b321228, Class:  1, CF:0.14153, Len: 13, Fitness_tra: 0
Rule 31: 1151811111553, Class:  0, CF:0.978113, Len: 13, Fitness_tra: 0
Rule 32: 1458131251215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 11d111b925112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 5115811121428, Class:  1, CF:0.260554, Len: 13, Fitness_tra: 0
Rule 35: 1c588132d5831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 21d31c1311552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 5111c12111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 1551814112c18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: c200c08004000, Class:  0, CF:0.937314, Len:  5, Fitness_tra: 0
Rule 40: 115111112121c, Class:  0, CF:0.741038, Len: 13, Fitness_tra: 0
Rule 41: 000000c0b0500, Class:  1, CF:0.0718177, Len:  3, Fitness_tra: 0
Rule 42: 1251115115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: e211191251511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 1111119cd1535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d03000004840c, Class:  0, CF:0.997308, Len:  6, Fitness_tra: 0
Rule 46: 00008070c0000, Class:  0, CF:0.45395, Len:  3, Fitness_tra: 0
Rule 47: 2115211311111, Class:  2, CF:0.786556, Len: 13, Fitness_tra: 0
Rule 48: 8411188182111, Class:  0, CF:0.841878, Len: 13, Fitness_tra: 0
Rule 49: 1412533111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 900000d008005, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 51: e2911318111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1cd1111111193, Class:  0, CF:0.117431, Len: 13, Fitness_tra: 0
Rule 53: 81111151821e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 211111c552112, Class:  0, CF:0.944594, Len: 13, Fitness_tra: 0
Rule 55: 1199112111112, Class:  1, CF:0.0217691, Len: 13, Fitness_tra: 0
Rule 56: 1238811121115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 15118121c3118, Class:  0, CF:0.496258, Len: 13, Fitness_tra: 0
Rule 58: 1c35511115531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: e21c113211111, Class:  2, CF:0.997975, Len: 13, Fitness_tra: 0
Rule 60: 9115118121111, Class:  1, CF:0.674723, Len: 13, Fitness_tra: 0
Rule 61: 3111515511531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 111855d851115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1211117321211, Class:  1, CF:0.542574, Len: 13, Fitness_tra: 0
Rule 64: 8185152121112, Class:  0, CF:0.390019, Len: 13, Fitness_tra: 0
Rule 65: 1115811151151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: 511112c821422, Class:  0, CF:0.99896, Len: 13, Fitness_tra: 0
Rule 67: 1211551118533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 311211128c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1c51851818533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 121d115151831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1155814111118, Class:  0, CF:0.129515, Len: 13, Fitness_tra: 0
Rule 72: 0c0300c004550, Class:  1, CF:0.402089, Len:  6, Fitness_tra: 0
Rule 73: 111111151c131, Class:  2, CF:0.82848, Len: 13, Fitness_tra: 0
Rule 74: 1121112222511, Class:  1, CF:0.741648, Len: 13, Fitness_tra: 0
Rule 75: 00d000b00040c, Class:  0, CF:0.343882, Len:  4, Fitness_tra: 0
Rule 76: 5221215512512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 1481412211132, Class:  2, CF:0.683286, Len: 13, Fitness_tra: 0
Rule 78: 11315111c1441, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 79: 2211c11321152, Class:  0, CF:0.972893, Len: 13, Fitness_tra: 0
Rule 80: 11111114d8235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000090004004, Class:  0, CF:0.668192, Len:  3, Fitness_tra: -1
Rule 82: 1185112251511, Class:  1, CF:0.363492, Len: 13, Fitness_tra: 0
Rule 83: 2700000000000, Class:  0, CF:0.0409766, Len:  2, Fitness_tra: 0
Rule 84: 1115117111122, Class:  1, CF:0.903705, Len: 13, Fitness_tra: 0
Rule 85: 1251111511112, Class:  2, CF:0.741474, Len: 13, Fitness_tra: 0
Rule 86: 1111111111112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 8000000007004, Class:  0, CF:0.420515, Len:  3, Fitness_tra: 1
Rule 88: c200c08004000, Class:  0, CF:0.937314, Len:  0, Fitness_tra: 0
Rule 89: 1111118114131, Class:  1, CF:0.779301, Len: 13, Fitness_tra: 0
Rule 90: 218d1282211e1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: e2911318111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 111115d85111c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 900000d000500, Class:  0, CF:0.943083, Len:  3, Fitness_tra: 0
Rule 94: 1155115111918, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: 0000060070000, Class:  2, CF:0.40584, Len:  2, Fitness_tra: 0
Rule 96: 1121215512532, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 125521c512112, Class:  0, CF:0.0639554, Len:  0, Fitness_tra: 0
Rule 98: b253615115153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0202811321c52, Class:  0, CF:0.77017, Len: 11, Fitness_tra: 0
------Current------
Miss_rate(tra)	:35.2113
------Result------
Miss_rate(tra)	:35.2113
Miss_rate(tst)	:41.6667
ARL				:9.9863

------Generation 1------
Rule  1: 0000060000000, Class:  2, CF:0.5749, Len:  1, Fitness_tra: 17
Rule  2: 000000b0c0400, Class:  1, CF:0.601076, Len:  3, Fitness_tra: 15
Rule  3: 0000000000500, Class:  1, CF:0.437217, Len:  1, Fitness_tra: 12
Rule  4: 2000000000002, Class:  0, CF:0.380774, Len:  2, Fitness_tra: 8
Rule  5: 00008040c0000, Class:  0, CF:0.730692, Len:  3, Fitness_tra: 4
Rule  6: 8000000007004, Class:  0, CF:0.420515, Len:  3, Fitness_tra: 8
Rule  7: 000000c0b0000, Class:  0, CF:0.305638, Len:  2, Fitness_tra: 1
Rule  8: 0202811321c52, Class:  0, CF:0.77017, Len: 11, Fitness_tra: 0
Rule  9: 825d2112545e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1cd511c181552, Class:  1, CF:0.983453, Len: 13, Fitness_tra: 0
Rule 11: 11d5112511211, Class:  1, CF:0.885862, Len: 13, Fitness_tra: 0
Rule 12: 313815d888535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1211191551113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 9218815211515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 111151112111c, Class:  1, CF:0.970906, Len: 13, Fitness_tra: 0
Rule 16: 92118d5111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 115c131151111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 11511141c5228, Class:  0, CF:0.993598, Len: 13, Fitness_tra: 0
Rule 19: 125521c512112, Class:  0, CF:0.0639554, Len: 13, Fitness_tra: 0
Rule 20: 3c51111812515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000705050000, Class:  0, CF:0.855618, Len:  3, Fitness_tra: -1
Rule 22: 2451118111312, Class:  0, CF:0.98244, Len: 13, Fitness_tra: 0
Rule 23: 3115519111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 2251c15111112, Class:  0, CF:0.996847, Len: 13, Fitness_tra: 0
Rule 25: 0000804940000, Class:  0, CF:0.4747, Len:  4, Fitness_tra: 0
Rule 26: 15158c1511211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: 0700400000d50, Class:  0, CF:0.111967, Len:  4, Fitness_tra: 0
Rule 28: 000000b00000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 311111411341c, Class:  1, CF:0.94633, Len: 13, Fitness_tra: 0
Rule 30: 111121b321228, Class:  1, CF:0.14153, Len: 13, Fitness_tra: 0
Rule 31: 1151811111553, Class:  0, CF:0.978113, Len: 13, Fitness_tra: 0
Rule 32: 1458131251215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 11d111b925112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 5115811121428, Class:  1, CF:0.260554, Len: 13, Fitness_tra: 0
Rule 35: 1c588132d5831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 21d31c1311552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 5111c12111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 1551814112c18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: c200c08004000, Class:  0, CF:0.937314, Len:  5, Fitness_tra: 0
Rule 40: 115111112121c, Class:  0, CF:0.741038, Len: 13, Fitness_tra: 0
Rule 41: 000000c0b0500, Class:  1, CF:0.0718177, Len:  3, Fitness_tra: 0
Rule 42: 1251115115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: e211191251511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 1111119cd1535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d03000004840c, Class:  0, CF:0.997308, Len:  6, Fitness_tra: 0
Rule 46: 00008070c0000, Class:  0, CF:0.45395, Len:  3, Fitness_tra: 0
Rule 47: 2115211311111, Class:  2, CF:0.786556, Len: 13, Fitness_tra: 0
Rule 48: 8411188182111, Class:  0, CF:0.841878, Len: 13, Fitness_tra: 0
Rule 49: 1412533111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 900000d008005, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 51: e2911318111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1cd1111111193, Class:  0, CF:0.117431, Len: 13, Fitness_tra: 0
Rule 53: 81111151821e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 211111c552112, Class:  0, CF:0.944594, Len: 13, Fitness_tra: 0
Rule 55: 1199112111112, Class:  1, CF:0.0217691, Len: 13, Fitness_tra: 0
Rule 56: 1238811121115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 15118121c3118, Class:  0, CF:0.496258, Len: 13, Fitness_tra: 0
Rule 58: 1c35511115531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: e21c113211111, Class:  2, CF:0.997975, Len: 13, Fitness_tra: 0
Rule 60: 9115118121111, Class:  1, CF:0.674723, Len: 13, Fitness_tra: 0
Rule 61: 3111515511531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 111855d851115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1211117321211, Class:  1, CF:0.542574, Len: 13, Fitness_tra: 0
Rule 64: 8185152121112, Class:  0, CF:0.390019, Len: 13, Fitness_tra: 0
Rule 65: 1115811151151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: 511112c821422, Class:  0, CF:0.99896, Len: 13, Fitness_tra: 0
Rule 67: 1211551118533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 311211128c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1c51851818533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 121d115151831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1155814111118, Class:  0, CF:0.129515, Len: 13, Fitness_tra: 0
Rule 72: 0c0300c004550, Class:  1, CF:0.402089, Len:  6, Fitness_tra: 0
Rule 73: 111111151c131, Class:  2, CF:0.82848, Len: 13, Fitness_tra: 0
Rule 74: 1121112222511, Class:  1, CF:0.741648, Len: 13, Fitness_tra: 0
Rule 75: 00d000b00040c, Class:  0, CF:0.343882, Len:  4, Fitness_tra: 0
Rule 76: 5221215512512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 1481412211132, Class:  2, CF:0.683286, Len: 13, Fitness_tra: 0
Rule 78: 11315111c1441, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 79: 2211c11321152, Class:  0, CF:0.972893, Len: 13, Fitness_tra: 0
Rule 80: 11111114d8235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 225d115114832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1151218184151, Class:  0, CF:0.73473, Len: 13, Fitness_tra: 0
Rule 83: 111121711112c, Class:  0, CF:0.474573, Len: 13, Fitness_tra: 0
Rule 84: 2700000000000, Class:  0, CF:0.0409766, Len:  2, Fitness_tra: 0
Rule 85: 3151212111221, Class:  1, CF:0.967919, Len: 13, Fitness_tra: 0
Rule 86: 0000030007004, Class:  2, CF:0.492233, Len:  3, Fitness_tra: 0
Rule 87: 1291111211112, Class:  2, CF:0.2807, Len: 13, Fitness_tra: 0
Rule 88: 1115112111511, Class:  1, CF:0.993406, Len: 13, Fitness_tra: 0
Rule 89: 11331c2119122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 000000c070500, Class:  1, CF:0.185529, Len:  3, Fitness_tra: 0
Rule 91: 01001082510e1, Class:  1, CF:0.123067, Len:  8, Fitness_tra: 0
Rule 92: 7100411001d11, Class:  1, CF:0.97606, Len:  9, Fitness_tra: 0
Rule 93: 20000a0000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 185121c115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1c51611971518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 011d010111000, Class:  1, CF:0.13631, Len:  7, Fitness_tra: 0
Rule 97: 113885d121115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 11251ec551562, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1110111184112, Class:  0, CF:0.438787, Len: 12, Fitness_tra: 0
Rule100: 11b521b021112, Class:  1, CF:0.49021, Len: 12, Fitness_tra: 0
------Current------
Miss_rate(tra)	:27.4648
------Result------
Miss_rate(tra)	:27.4648
Miss_rate(tst)	:33.3333
ARL				:10.1842

------Generation 2------
Rule  1: 0000060000000, Class:  2, CF:0.5749, Len:  1, Fitness_tra: 17
Rule  2: 000000b0c0400, Class:  1, CF:0.601076, Len:  3, Fitness_tra: 15
Rule  3: 0000000000500, Class:  1, CF:0.437217, Len:  1, Fitness_tra: 12
Rule  4: 2000000000002, Class:  0, CF:0.380774, Len:  2, Fitness_tra: 8
Rule  5: 00008040c0000, Class:  0, CF:0.730692, Len:  3, Fitness_tra: 4
Rule  6: 8000000007004, Class:  0, CF:0.420515, Len:  3, Fitness_tra: 8
Rule  7: 000000c0b0000, Class:  0, CF:0.305638, Len:  2, Fitness_tra: 1
Rule  8: 0202811321c52, Class:  0, CF:0.77017, Len: 11, Fitness_tra: 0
Rule  9: 825d2112545e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1cd511c181552, Class:  1, CF:0.983453, Len: 13, Fitness_tra: 0
Rule 11: 11d5112511211, Class:  1, CF:0.885862, Len: 13, Fitness_tra: 0
Rule 12: 313815d888535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1211191551113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
