------Generation 0------
Rule  1: 28b27d7b14, Class:  1, CF:0.324082, Len: 10, Fitness_tra: 0
Rule 79: 414b191211, Class:  1, CF:0.957545, Len: 10, Fitness_tra: 10
Rule 80: 4b1bd14722, Class:  1, CF:0.999189, Len: 10, Fitness_tra: 0
Rule 81: 7427194224, Class:  1, CF:0.997784, Len: 10, Fitness_tra: 0
Rule 82: 1142d32b41, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 2c4461bd14, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: cc7411b255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 72428db177, Class:  1, CF:0.967203, Len: 10, Fitness_tra: 0
Rule 86: 4172832277, Class:  1, CF:0.982166, Len: 10, Fitness_tra: 0
Rule 87: 2447d17742, Class:  1, CF:0.9954, Len: 10, Fitness_tra: 0
Rule 88: 744b514721, Class:  1, CF:0.983237, Len: 10, Fitness_tra: 0
Rule 89: 142153b1b4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 90: 4221d32444, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: 71b715712b, Class:  1, CF:0.973016, Len: 10, Fitness_tra: 0
Rule 92: 1127d1741b, Class:  1, CF:0.97822, Len: 10, Fitness_tra: 0
Rule 93: b517892147, Class:  0, CF:0.324499, Len: 10, Fitness_tra: 0
Rule 94: 21421d1b27, Class:  1, CF:0.883301, Len: 10, Fitness_tra: 1
Rule 95: 77141d4714, Class:  1, CF:0.969456, Len: 10, Fitness_tra: 0
Rule 96: 11112e1b2b, Class:  1, CF:0.789709, Len: 10, Fitness_tra: -2173
Rule 97: b42bc34427, Class:  1, CF:0.99696, Len: 10, Fitness_tra: 0
Rule 98: 217233428d, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: b2721a744b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 7772c97171, Class:  1, CF:0.958573, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:82.9796
------Result------
Miss_rate(tra)	:82.9796
Miss_rate(tst)	:64.7166
ARL				:10

------Generation 0------
Rule  1: 2311457b71, Class:  1, CF:0.990588, Len: 10, Fitness_tra: 1936
Rule  2: 12141514b7, Class:  0, CF:0.559593, Len: 10, Fitness_tra: 1854
Rule  3: 71178814b7, Class:  1, CF:0.983078, Len: 10, Fitness_tra: 817
Rule  4: 1214317112, Class:  0, CF:0.719566, Len: 10, Fitness_tra: 706
Rule  5: 7771de122b, Class:  1, CF:0.999929, Len: 10, Fitness_tra: 456
Rule  6: 2111231b42, Class:  1, CF:0.748358, Len: 10, Fitness_tra: 333
Rule  7: b5177811b7, Class:  0, CF:0.871154, Len: 10, Fitness_tra: 209
Rule  8: 44411c7142, Class:  1, CF:0.990998, Len: 10, Fitness_tra: 186
Rule  9: b224221214, Class:  1, CF:0.978908, Len: 10, Fitness_tra: 178
Rule 10: 12718142b1, Class:  1, CF:0.959499, Len: 10, Fitness_tra: 158
Rule 11: b724291741, Class:  1, CF:0.980355, Len: 10, Fitness_tra: 97
Rule 12: b27211141b, Class:  1, CF:0.771135, Len: 10, Fitness_tra: 31
Rule 13: 1541812111, Class:  0, CF:0.717757, Len: 10, Fitness_tra: 26
Rule 14: 414b191211, Class:  1, CF:0.957545, Len: 10, Fitness_tra: -1259
Rule 15: b1712147bc, Class:  1, CF:0.99799, Len: 10, Fitness_tra: 9
Rule 16: 1cb2c91741, Class:  1, CF:0.412484, Len: 10, Fitness_tra: 10
Rule 17: 777b5d1712, Class:  1, CF:0.991812, Len: 10, Fitness_tra: 2
Rule 18: 4cb1517122, Class:  1, CF:0.998059, Len: 10, Fitness_tra: 0
Rule 19: 21421d1b27, Class:  1, CF:0.883301, Len: 10, Fitness_tra: 1
Rule 20: b7bb88b47b, Class:  1, CF:0.99705, Len: 10, Fitness_tra: 0
Rule 21: 28b27d7b14, Class:  1, CF:0.324082, Len: 10, Fitness_tra: 0
Rule 22: 714bd57221, Class:  1, CF:0.998278, Len: 10, Fitness_tra: 0
Rule 23: 72175d4224, Class:  1, CF:0.986508, Len: 10, Fitness_tra: 0
Rule 24: 4b2721bbb2, Class:  1, CF:0.978019, Len: 10, Fitness_tra: 0
Rule 25: 7c781a74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 274751b412, Class:  1, CF:0.998241, Len: 10, Fitness_tra: 0
Rule 27: 2717cebb42, Class:  1, CF:0.983518, Len: 10, Fitness_tra: 0
Rule 28: 7772c97171, Class:  1, CF:0.958573, Len: 10, Fitness_tra: 0
Rule 29: 174b2544b4, Class:  1, CF:0.94858, Len: 10, Fitness_tra: 0
Rule 30: 122b5142b2, Class:  1, CF:0.765962, Len: 10, Fitness_tra: 0
Rule 31: 2712567112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 227b9ab124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 72221f7b2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 2544152474, Class:  1, CF:0.824582, Len: 10, Fitness_tra: 0
Rule 35: 4222efb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 11b4897224, Class:  1, CF:0.99399, Len: 10, Fitness_tra: 0
Rule 37: 2422dd2712, Class:  1, CF:0.981883, Len: 10, Fitness_tra: 0
Rule 38: 4274467b12, Class:  0, CF:0.968121, Len: 10, Fitness_tra: 0
Rule 39: 42c4164955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 27248ab214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7772292bb7, Class:  1, CF:0.906329, Len: 10, Fitness_tra: 0
Rule 42: 21275a1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 42b2417227, Class:  1, CF:0.993286, Len: 10, Fitness_tra: 0
Rule 44: 72b4217b72, Class:  1, CF:0.834864, Len: 10, Fitness_tra: 0
Rule 45: 414116b5b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 42b223b21b, Class:  1, CF:0.760523, Len: 10, Fitness_tra: 0
Rule 47: b2721a744b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 182b134d52, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 124b1922c7, Class:  1, CF:0.996622, Len: 10, Fitness_tra: 0
Rule 50: 22bb13b142, Class:  1, CF:0.605925, Len: 10, Fitness_tra: 0
Rule 51: 777b1a4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 3
Rule 52: 1317254511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: 171bd671b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4227e6b3d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1b47c62717, Class:  1, CF:0.960924, Len: 10, Fitness_tra: 0
Rule 56: 1b12c67727, Class:  1, CF:0.964049, Len: 10, Fitness_tra: 0
Rule 57: 8117854335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 42225f7224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2112814181, Class:  1, CF:0.999957, Len: 10, Fitness_tra: 0
Rule 60: 4227911271, Class:  1, CF:0.939305, Len: 10, Fitness_tra: 0
Rule 61: 4b1b13b4b7, Class:  1, CF:0.730774, Len: 10, Fitness_tra: 0
Rule 62: 81c123b2d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1c441a481d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 444b81b12b, Class:  1, CF:0.989885, Len: 10, Fitness_tra: 0
Rule 65: 127711221b, Class:  1, CF:0.79078, Len: 10, Fitness_tra: 0
Rule 66: 417b117b42, Class:  1, CF:0.882176, Len: 10, Fitness_tra: 0
Rule 67: 4221632914, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 43d71d711d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 74b2814122, Class:  1, CF:0.993241, Len: 10, Fitness_tra: 0
Rule 70: b222154421, Class:  1, CF:0.979758, Len: 10, Fitness_tra: 0
Rule 71: 2174512b47, Class:  1, CF:0.986503, Len: 10, Fitness_tra: 0
Rule 72: 45c183b181, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 217451b4bb, Class:  1, CF:0.99448, Len: 10, Fitness_tra: 0
Rule 74: 21141121d2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 471b817122, Class:  1, CF:0.992875, Len: 10, Fitness_tra: 0
Rule 76: 211b597814, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 7b745fbb4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 4b1bd14722, Class:  1, CF:0.999189, Len: 10, Fitness_tra: 0
Rule 79: 7427194224, Class:  1, CF:0.997784, Len: 10, Fitness_tra: 0
Rule 80: 1142d32b41, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: 14442ab444, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: bb7b2f41b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 22771eb177, Class:  1, CF:0.750396, Len: 10, Fitness_tra: 0
Rule 84: 221b817b11, Class:  1, CF:0.517617, Len: 10, Fitness_tra: -44
Rule 85: 121183b274, Class:  1, CF:0.980556, Len: 10, Fitness_tra: 2
Rule 86: 21b1d12141, Class:  1, CF:0.997437, Len: 10, Fitness_tra: 11
Rule 87: 2c11ca42bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 24113f1b72, Class:  0, CF:  1, Len: 10, Fitness_tra: 11
Rule 89: b44bc34b12, Class:  1, CF:0.858064, Len: 10, Fitness_tra: 0
Rule 90: 22241e2b2b, Class:  1, CF:0.248595, Len: 10, Fitness_tra: 0
Rule 91: 2275cebc12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 727481b2b1, Class:  1, CF:0.941538, Len: 10, Fitness_tra: 0
Rule 93: 7ae84a7777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 4427894271, Class:  1, CF:0.987461, Len: 10, Fitness_tra: 0
Rule 95: c87411b21d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 4227581224, Class:  1, CF:0.998188, Len: 10, Fitness_tra: 7
Rule 97: b5171818b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 11
Rule 98: d11bd97214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4b1bd14722, Class:  1, CF:0.999189, Len:  0, Fitness_tra: 0
Rule100: 2111231b42, Class:  1, CF:0.748358, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.3673
------Result------
Miss_rate(tra)	:70.3673
Miss_rate(tst)	:40.585
ARL				:10

------Generation 1------
Rule  1: 2311457b71, Class:  1, CF:0.990588, Len: 10, Fitness_tra: 1272
Rule  2: 12141514b7, Class:  0, CF:0.559593, Len: 10, Fitness_tra: 2438
Rule  3: 71178814b7, Class:  1, CF:0.983078, Len: 10, Fitness_tra: 535
Rule  4: 1214317112, Class:  0, CF:0.719566, Len: 10, Fitness_tra: 842
Rule  5: 7771de122b, Class:  1, CF:0.999929, Len: 10, Fitness_tra: 375
Rule  6: 2111231b42, Class:  1, CF:0.748358, Len: 10, Fitness_tra: 316
Rule  7: b5177811b7, Class:  0, CF:0.871154, Len: 10, Fitness_tra: 210
Rule  8: 44411c7142, Class:  1, CF:0.990998, Len: 10, Fitness_tra: 54
Rule  9: b224221214, Class:  1, CF:0.978908, Len: 10, Fitness_tra: 97
Rule 10: 12718142b1, Class:  1, CF:0.959499, Len: 10, Fitness_tra: 139
Rule 11: b724291741, Class:  1, CF:0.980355, Len: 10, Fitness_tra: 0
Rule 12: b27211141b, Class:  1, CF:0.771135, Len: 10, Fitness_tra: 19
Rule 13: 1541812111, Class:  0, CF:0.717757, Len: 10, Fitness_tra: 27
Rule 14: b5171818b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 10
Rule 15: 24113f1b72, Class:  0, CF:  1, Len: 10, Fitness_tra: 11
Rule 16: 21b1d12141, Class:  1, CF:0.997437, Len: 10, Fitness_tra: 11
Rule 17: 1cb2c91741, Class:  1, CF:0.412484, Len: 10, Fitness_tra: 0
Rule 18: b1712147bc, Class:  1, CF:0.99799, Len: 10, Fitness_tra: 0
Rule 19: 4227581224, Class:  1, CF:0.998188, Len: 10, Fitness_tra: 0
Rule 20: 777b1a4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 21: 777b5d1712, Class:  1, CF:0.991812, Len: 10, Fitness_tra: 0
Rule 22: 121183b274, Class:  1, CF:0.980556, Len: 10, Fitness_tra: 0
Rule 23: 21421d1b27, Class:  1, CF:0.883301, Len: 10, Fitness_tra: 0
Rule 24: 2111231b42, Class:  1, CF:0.748358, Len:  0, Fitness_tra: 0
Rule 25: 7c781a74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 274751b412, Class:  1, CF:0.998241, Len: 10, Fitness_tra: 0
Rule 27: 2717cebb42, Class:  1, CF:0.983518, Len: 10, Fitness_tra: 0
Rule 28: 7772c97171, Class:  1, CF:0.958573, Len: 10, Fitness_tra: 0
Rule 29: 174b2544b4, Class:  1, CF:0.94858, Len: 10, Fitness_tra: 0
Rule 30: 122b5142b2, Class:  1, CF:0.765962, Len: 10, Fitness_tra: 0
Rule 31: 2712567112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 227b9ab124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 72221f7b2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 2544152474, Class:  1, CF:0.824582, Len: 10, Fitness_tra: 0
Rule 35: 4222efb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 11b4897224, Class:  1, CF:0.99399, Len: 10, Fitness_tra: 0
Rule 37: 2422dd2712, Class:  1, CF:0.981883, Len: 10, Fitness_tra: 0
Rule 38: 4274467b12, Class:  0, CF:0.968121, Len: 10, Fitness_tra: 0
Rule 39: 42c4164955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 27248ab214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7772292bb7, Class:  1, CF:0.906329, Len: 10, Fitness_tra: 0
Rule 42: 21275a1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 42b2417227, Class:  1, CF:0.993286, Len: 10, Fitness_tra: 0
Rule 44: 72b4217b72, Class:  1, CF:0.834864, Len: 10, Fitness_tra: 0
Rule 45: 414116b5b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 42b223b21b, Class:  1, CF:0.760523, Len: 10, Fitness_tra: 0
Rule 47: b2721a744b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 182b134d52, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 124b1922c7, Class:  1, CF:0.996622, Len: 10, Fitness_tra: 0
Rule 50: 22bb13b142, Class:  1, CF:0.605925, Len: 10, Fitness_tra: 0
Rule 51: 4cb1517122, Class:  1, CF:0.998059, Len: 10, Fitness_tra: 0
Rule 52: 1317254511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: 171bd671b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4227e6b3d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1b47c62717, Class:  1, CF:0.960924, Len: 10, Fitness_tra: 0
Rule 56: 1b12c67727, Class:  1, CF:0.964049, Len: 10, Fitness_tra: 0
Rule 57: 8117854335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 42225f7224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2112814181, Class:  1, CF:0.999957, Len: 10, Fitness_tra: 0
Rule 60: 4227911271, Class:  1, CF:0.939305, Len: 10, Fitness_tra: 0
Rule 61: 4b1b13b4b7, Class:  1, CF:0.730774, Len: 10, Fitness_tra: 0
Rule 62: 81c123b2d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1c441a481d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 444b81b12b, Class:  1, CF:0.989885, Len: 10, Fitness_tra: 0
Rule 65: 127711221b, Class:  1, CF:0.79078, Len: 10, Fitness_tra: 0
Rule 66: 417b117b42, Class:  1, CF:0.882176, Len: 10, Fitness_tra: 0
Rule 67: 4221632914, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 43d71d711d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 74b2814122, Class:  1, CF:0.993241, Len: 10, Fitness_tra: 0
Rule 70: b222154421, Class:  1, CF:0.979758, Len: 10, Fitness_tra: 0
Rule 71: 2174512b47, Class:  1, CF:0.986503, Len: 10, Fitness_tra: 0
Rule 72: 45c183b181, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 217451b4bb, Class:  1, CF:0.99448, Len: 10, Fitness_tra: 0
Rule 74: 21141121d2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 471b817122, Class:  1, CF:0.992875, Len: 10, Fitness_tra: 0
Rule 76: 211b597814, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 7b745fbb4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 4b1bd14722, Class:  1, CF:0.999189, Len: 10, Fitness_tra: 0
Rule 79: 7427194224, Class:  1, CF:0.997784, Len: 10, Fitness_tra: 0
Rule 80: 1142d32b41, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: 4112537c11, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: b7171a47b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 4
Rule 83: 2171814b74, Class:  1, CF:0.995195, Len: 10, Fitness_tra: 0
Rule 84: 412426177b, Class:  0, CF:0.985349, Len: 10, Fitness_tra: 0
Rule 85: 4cc4111881, Class:  1, CF:  1, Len: 10, Fitness_tra: 11
Rule 86: 72b1562277, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: bb1483bbbb, Class:  1, CF:0.962768, Len: 10, Fitness_tra: 0
Rule 88: 17241522b1, Class:  1, CF:0.92813, Len: 10, Fitness_tra: -6
Rule 89: 77128a2172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2142d94112, Class:  1, CF:0.982137, Len: 10, Fitness_tra: 0
Rule 91: 777121341c, Class:  1, CF:0.999434, Len: 10, Fitness_tra: 782
Rule 92: 29245812d4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 93: 71c7831181, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: 71171871b2, Class:  1, CF:0.904487, Len: 10, Fitness_tra: 0
Rule 95: 22111f7bbb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 2121231242, Class:  1, CF:0.916036, Len: 10, Fitness_tra: 59
Rule 97: 24711c7142, Class:  1, CF:0.988339, Len: 10, Fitness_tra: 0
Rule 98: 1214154455, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 777b1a4441, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule100: 11228a4c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:63.2755
------Result------
Miss_rate(tra)	:63.2755
Miss_rate(tst)	:24.8629
ARL				:10

------Generation 2------
Rule  1: 12141514b7, Class:  0, CF:0.559593, Len: 10, Fitness_tra: 2425
Rule  2: 2311457b71, Class:  1, CF:0.990588, Len: 10, Fitness_tra: 1266
Rule  3: 1214317112, Class:  0, CF:0.719566, Len: 10, Fitness_tra: 823
Rule  4: 777121341c, Class:  1, CF:0.999434, Len: 10, Fitness_tra: 754
Rule  5: 71178814b7, Class:  1, CF:0.983078, Len: 10, Fitness_tra: 525
Rule  6: 7771de122b, Class:  1, CF:0.999929, Len: 10, Fitness_tra: 370
Rule  7: 2111231b42, Class:  1, CF:0.748358, Len: 10, Fitness_tra: 317
Rule  8: b5177811b7, Class:  0, CF:0.871154, Len: 10, Fitness_tra: 195
Rule  9: 12718142b1, Class:  1, CF:0.959499, Len: 10, Fitness_tra: 139
Rule 10: b224221214, Class:  1, CF:0.978908, Len: 10, Fitness_tra: 97
Rule 11: 2121231242, Class:  1, CF:0.916036, Len: 10, Fitness_tra: 59
Rule 12: 44411c7142, Class:  1, CF:0.990998, Len: 10, Fitness_tra: 54
Rule 13: 1541812111, Class:  0, CF:0.717757, Len: 10, Fitness_tra: 5
Rule 14: b27211141b, Class:  1, CF:0.771135, Len: 10, Fitness_tra: 21
