------Generation 0------
Rule  1: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2171514224, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 1
Rule 27: 181719b595, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 1c7b291127, Class:  1, CF:0.52479, Len: 10, Fitness_tra: -188
Rule 29: 211b152182, Class:  1, CF:0.999272, Len: 10, Fitness_tra: 0
Rule 30: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
Rule 31: 45444624bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: b1b21124b7, Class:  1, CF:0.950838, Len: 10, Fitness_tra: 0
Rule 33: 7177d571b7, Class:  1, CF:0.971486, Len: 10, Fitness_tra: 0
Rule 34: bc12262241, Class:  0, CF:0.996897, Len: 10, Fitness_tra: 0
Rule 35: 212b58111b, Class:  1, CF:0.981379, Len: 10, Fitness_tra: 0
Rule 36: c1141e1e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b217214bb1, Class:  1, CF:0.749986, Len: 10, Fitness_tra: -16
Rule 38: 117255bb22, Class:  1, CF:0.818655, Len: 10, Fitness_tra: 0
Rule 39: bc71c9241b, Class:  1, CF:0.993997, Len: 10, Fitness_tra: 5
Rule 40: b47bc3bbb7, Class:  1, CF:0.944104, Len: 10, Fitness_tra: 0
Rule 41: 1c72597b72, Class:  0, CF:0.775031, Len: 10, Fitness_tra: 0
Rule 42: 211b23211b, Class:  1, CF:0.939041, Len: 10, Fitness_tra: -69
Rule 43: 2bb42f77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 142459b222, Class:  1, CF:0.980915, Len: 10, Fitness_tra: 0
Rule 45: c8413fb59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 2842994224, Class:  1, CF:0.971393, Len: 10, Fitness_tra: 0
Rule 47: 4274412b14, Class:  1, CF:0.912969, Len: 10, Fitness_tra: 0
Rule 48: 121bd9121b, Class:  1, CF:0.229803, Len: 10, Fitness_tra: -109
Rule 49: 4b2b114b42, Class:  1, CF:0.98829, Len: 10, Fitness_tra: 0
Rule 50: 7247137b27, Class:  1, CF:0.490207, Len: 10, Fitness_tra: 0
Rule 51: 2191c21f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 714729b477, Class:  1, CF:0.996272, Len: 10, Fitness_tra: 0
Rule 53: 2bb4c54177, Class:  1, CF:0.998039, Len: 10, Fitness_tra: 0
Rule 54: 1244132b4b, Class:  1, CF:0.388505, Len: 10, Fitness_tra: 0
Rule 55: b12451b221, Class:  1, CF:0.99901, Len: 10, Fitness_tra: 0
Rule 56: 2c22532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 560
Rule 58: 442226b174, Class:  0, CF:0.668147, Len: 10, Fitness_tra: 0
Rule 59: 74bb11b242, Class:  1, CF:0.988349, Len: 10, Fitness_tra: 0
Rule 60: 472b1641b2, Class:  0, CF:0.791811, Len: 10, Fitness_tra: 0
Rule 61: b824c9227b, Class:  1, CF:0.977666, Len: 10, Fitness_tra: 0
Rule 62: 2d27557231, Class:  0, CF:0.85018, Len: 10, Fitness_tra: 0
Rule 63: b12b1e47bb, Class:  1, CF:0.951759, Len: 10, Fitness_tra: 0
Rule 64: 2111567714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 4124121214, Class:  1, CF:0.986991, Len: 10, Fitness_tra: -2037
Rule 66: 211413217b, Class:  1, CF:0.840823, Len: 10, Fitness_tra: 0
Rule 67: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 34
Rule 68: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 122
Rule 69: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 654
Rule 70: 7114d62414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1247134742, Class:  1, CF:0.719206, Len: 10, Fitness_tra: 0
Rule 72: 7247134411, Class:  1, CF:0.487355, Len: 10, Fitness_tra: 0
Rule 73: b14b9a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b24443b171, Class:  1, CF:0.599879, Len: 10, Fitness_tra: 0
Rule 75: 417bc1477b, Class:  1, CF:0.990096, Len: 10, Fitness_tra: 0
Rule 76: 14b7212bb4, Class:  1, CF:0.804174, Len: 10, Fitness_tra: 0
Rule 77: 22b7594b4b, Class:  1, CF:0.593399, Len: 10, Fitness_tra: 0
Rule 78: 2b72562224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 152b51751d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 4114132218, Class:  1, CF:0.991663, Len: 10, Fitness_tra: 0
Rule 81: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 202
Rule 82: 224713b777, Class:  1, CF:0.306437, Len: 10, Fitness_tra: 0
Rule 83: b2b2262414, Class:  0, CF:0.830111, Len: 10, Fitness_tra: 0
Rule 84: 2142452147, Class:  1, CF:0.993931, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 45b721477b, Class:  1, CF:0.77666, Len: 10, Fitness_tra: 0
Rule 87: 217251b412, Class:  1, CF:0.997574, Len: 10, Fitness_tra: 0
Rule 88: 421413118b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: ccc4361132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 217212b7bb, Class:  1, CF:0.955819, Len: 10, Fitness_tra: 0
Rule 91: 1771832b47, Class:  1, CF:0.987431, Len: 10, Fitness_tra: 0
Rule 92: c82782b212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 212151444b, Class:  1, CF:0.999902, Len: 10, Fitness_tra: 0
Rule 94: 127111221b, Class:  1, CF:0.965406, Len: 10, Fitness_tra: 71
Rule 95: 7244837142, Class:  1, CF:0.994166, Len: 10, Fitness_tra: 0
Rule 96: 41b2ca117b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: cc1b612581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 114b5a741b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2241234112, Class:  1, CF:0.932582, Len: 10, Fitness_tra: -1
------Current------
Miss_rate(tra)	:74.9796
------Result------
Miss_rate(tra)	:74.9796
Miss_rate(tst)	:65.6307
ARL				:9.76471

------Generation 0------
Rule  1: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 978
Rule  2: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 701
Rule  3: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 544
Rule  4: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 365
Rule  5: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 347
Rule  6: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 182
Rule  7: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 134
Rule  8: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 87
Rule  9: 127111221b, Class:  1, CF:0.965406, Len: 10, Fitness_tra: -883
Rule 10: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 37
Rule 11: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 24
Rule 12: 22b11544b1, Class:  1, CF:0.988311, Len: 10, Fitness_tra: 7
Rule 13: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
Rule 14: bc71c9241b, Class:  1, CF:0.993997, Len: 10, Fitness_tra: 7
Rule 15: 14222f4111, Class:  0, CF:  1, Len: 10, Fitness_tra: 15
Rule 16: 1681111958, Class:  1, CF:  1, Len: 10, Fitness_tra: 4
Rule 17: 2171514224, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 1
Rule 18: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 14b211b74b, Class:  1, CF:0.876653, Len: 10, Fitness_tra: 0
Rule 20: 7122892472, Class:  1, CF:0.998679, Len: 10, Fitness_tra: 0
Rule 21: 43b7232711, Class:  1, CF:0.921515, Len: 10, Fitness_tra: 0
Rule 22: 114b5a741b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 4637882665, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 24: 417b834144, Class:  1, CF:0.992226, Len: 10, Fitness_tra: 0
Rule 25: 48723a27b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 24bb814744, Class:  1, CF:0.993973, Len: 10, Fitness_tra: 0
Rule 27: 181719b595, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 211b152182, Class:  1, CF:0.999272, Len: 10, Fitness_tra: 0
Rule 29: 45444624bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: b1b21124b7, Class:  1, CF:0.950838, Len: 10, Fitness_tra: 0
Rule 31: 7177d571b7, Class:  1, CF:0.971486, Len: 10, Fitness_tra: 0
Rule 32: bc12262241, Class:  0, CF:0.996897, Len: 10, Fitness_tra: 0
Rule 33: 212b58111b, Class:  1, CF:0.981379, Len: 10, Fitness_tra: -2
Rule 34: c1141e1e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 117255bb22, Class:  1, CF:0.818655, Len: 10, Fitness_tra: -24
Rule 36: 19875dbee2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b47bc3bbb7, Class:  1, CF:0.944104, Len: 10, Fitness_tra: 0
Rule 38: 1c72597b72, Class:  0, CF:0.775031, Len: 10, Fitness_tra: 7
Rule 39: 2bb42f77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 142459b222, Class:  1, CF:0.980915, Len: 10, Fitness_tra: 0
Rule 41: c8413fb59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2842994224, Class:  1, CF:0.971393, Len: 10, Fitness_tra: 0
Rule 43: 4274412b14, Class:  1, CF:0.912969, Len: 10, Fitness_tra: 0
Rule 44: 4b2b114b42, Class:  1, CF:0.98829, Len: 10, Fitness_tra: 0
Rule 45: 7247137b27, Class:  1, CF:0.490207, Len: 10, Fitness_tra: 0
Rule 46: 2191c21f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 714729b477, Class:  1, CF:0.996272, Len: 10, Fitness_tra: 0
Rule 48: 2bb4c54177, Class:  1, CF:0.998039, Len: 10, Fitness_tra: 0
Rule 49: 1244132b4b, Class:  1, CF:0.388505, Len: 10, Fitness_tra: 0
Rule 50: b12451b221, Class:  1, CF:0.99901, Len: 10, Fitness_tra: 0
Rule 51: 2c22532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 442226b174, Class:  0, CF:0.668147, Len: 10, Fitness_tra: 0
Rule 53: 74bb11b242, Class:  1, CF:0.988349, Len: 10, Fitness_tra: 0
Rule 54: 472b1641b2, Class:  0, CF:0.791811, Len: 10, Fitness_tra: 0
Rule 55: b824c9227b, Class:  1, CF:0.977666, Len: 10, Fitness_tra: 0
Rule 56: 2d27557231, Class:  0, CF:0.85018, Len: 10, Fitness_tra: 0
Rule 57: b12b1e47bb, Class:  1, CF:0.951759, Len: 10, Fitness_tra: 0
Rule 58: 2111567714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211413217b, Class:  1, CF:0.840823, Len: 10, Fitness_tra: -9
Rule 60: 4b7481b2b4, Class:  1, CF:0.998145, Len: 10, Fitness_tra: 0
Rule 61: 4c22857122, Class:  1, CF:0.992448, Len: 10, Fitness_tra: 0
Rule 62: 7184812312, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 7114d62414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1247134742, Class:  1, CF:0.719206, Len: 10, Fitness_tra: 0
Rule 65: 7247134411, Class:  1, CF:0.487355, Len: 10, Fitness_tra: 0
Rule 66: b14b9a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: b24443b171, Class:  1, CF:0.599879, Len: 10, Fitness_tra: -4
Rule 68: 417bc1477b, Class:  1, CF:0.990096, Len: 10, Fitness_tra: 0
Rule 69: 14b7212bb4, Class:  1, CF:0.804174, Len: 10, Fitness_tra: 0
Rule 70: 22b7594b4b, Class:  1, CF:0.593399, Len: 10, Fitness_tra: 0
Rule 71: 2b72562224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 152b51751d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4114132218, Class:  1, CF:0.991663, Len: 10, Fitness_tra: 0
Rule 74: 242bc6444b, Class:  1, CF:0.996377, Len: 10, Fitness_tra: 0
Rule 75: 224713b777, Class:  1, CF:0.306437, Len: 10, Fitness_tra: 0
Rule 76: b2b2262414, Class:  0, CF:0.830111, Len: 10, Fitness_tra: 0
Rule 77: 2142452147, Class:  1, CF:0.993931, Len: 10, Fitness_tra: 0
Rule 78: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 45b721477b, Class:  1, CF:0.77666, Len: 10, Fitness_tra: 0
Rule 80: 217251b412, Class:  1, CF:0.997574, Len: 10, Fitness_tra: 0
Rule 81: 2287557151, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 1142d1bc47, Class:  1, CF:0.999674, Len: 10, Fitness_tra: 0
Rule 83: bc77557bb7, Class:  0, CF:0.490123, Len: 10, Fitness_tra: 0
Rule 84: 16b1c8242b, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 166
Rule 85: 1142d17212, Class:  1, CF:0.992396, Len: 10, Fitness_tra: 0
Rule 86: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 60
Rule 87: cc17967d14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: b17b46b171, Class:  0, CF:0.488723, Len: 10, Fitness_tra: 3
Rule 89: 187b1321c2, Class:  1, CF:0.932239, Len: 10, Fitness_tra: 0
Rule 90: 42711db772, Class:  1, CF:0.990066, Len: 10, Fitness_tra: 155
Rule 91: 4ba11eb7b6, Class:  1, CF:0.987841, Len: 10, Fitness_tra: -1109
Rule 92: 4114134268, Class:  1, CF:0.993449, Len: 10, Fitness_tra: 0
Rule 93: 1247134772, Class:  1, CF:0.430468, Len: 10, Fitness_tra: 0
Rule 94: 4822c91541, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: bcc2297b12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 45bb2647bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 1b219e711d, Class:  1, CF:  1, Len: 10, Fitness_tra: 3
Rule 98: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 31
Rule 99: 749b2ab4dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4b448124b4, Class:  1, CF:0.998057, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:74.3571
------Result------
Miss_rate(tra)	:74.3571
Miss_rate(tst)	:63.9854
ARL				:9.88506

------Generation 1------
Rule  1: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 481
Rule  2: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 682
Rule  3: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 555
Rule  4: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 380
Rule  5: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 339
Rule  6: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 161
Rule  7: 16b1c8242b, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 177
Rule  8: 42711db772, Class:  1, CF:0.990066, Len: 10, Fitness_tra: 58
Rule  9: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 125
Rule 10: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 84
Rule 11: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 52
Rule 12: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 32
Rule 13: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 28
Rule 14: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 22
Rule 15: 14222f4111, Class:  0, CF:  1, Len: 10, Fitness_tra: 15
Rule 16: 224111421c, Class:  1, CF:0.997997, Len: 10, Fitness_tra: 8
Rule 17: 22b11544b1, Class:  1, CF:0.988311, Len: 10, Fitness_tra: 10
Rule 18: 1c72597b72, Class:  0, CF:0.775031, Len: 10, Fitness_tra: 0
Rule 19: bc71c9241b, Class:  1, CF:0.993997, Len: 10, Fitness_tra: 9
Rule 20: 1681111958, Class:  1, CF:  1, Len: 10, Fitness_tra: 4
Rule 21: b17b46b171, Class:  0, CF:0.488723, Len: 10, Fitness_tra: 9
Rule 22: 1b219e711d, Class:  1, CF:  1, Len: 10, Fitness_tra: 3
Rule 23: 2171514224, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 24: 417b834144, Class:  1, CF:0.992226, Len: 10, Fitness_tra: 0
Rule 25: 48723a27b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 24bb814744, Class:  1, CF:0.993973, Len: 10, Fitness_tra: 0
Rule 27: 181719b595, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 211b152182, Class:  1, CF:0.999272, Len: 10, Fitness_tra: 0
Rule 29: 45444624bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: b1b21124b7, Class:  1, CF:0.950838, Len: 10, Fitness_tra: 0
Rule 31: 7177d571b7, Class:  1, CF:0.971486, Len: 10, Fitness_tra: 0
Rule 32: bc12262241, Class:  0, CF:0.996897, Len: 10, Fitness_tra: 0
Rule 33: 4b448124b4, Class:  1, CF:0.998057, Len: 10, Fitness_tra: 0
Rule 34: c1141e1e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 19875dbee2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b47bc3bbb7, Class:  1, CF:0.944104, Len: 10, Fitness_tra: 0
Rule 37: cc449a2d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2bb42f77b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 39: 142459b222, Class:  1, CF:0.980915, Len: 10, Fitness_tra: 0
Rule 40: c8413fb59c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2842994224, Class:  1, CF:0.971393, Len: 10, Fitness_tra: 0
Rule 42: 4274412b14, Class:  1, CF:0.912969, Len: 10, Fitness_tra: 0
Rule 43: 4b2b114b42, Class:  1, CF:0.98829, Len: 10, Fitness_tra: 0
Rule 44: 7247137b27, Class:  1, CF:0.490207, Len: 10, Fitness_tra: 0
Rule 45: 2191c21f11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 714729b477, Class:  1, CF:0.996272, Len: 10, Fitness_tra: 0
Rule 47: 2bb4c54177, Class:  1, CF:0.998039, Len: 10, Fitness_tra: 0
Rule 48: 1244132b4b, Class:  1, CF:0.388505, Len: 10, Fitness_tra: 0
Rule 49: b12451b221, Class:  1, CF:0.99901, Len: 10, Fitness_tra: 0
Rule 50: 2c22532154, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: 442226b174, Class:  0, CF:0.668147, Len: 10, Fitness_tra: 0
Rule 52: 74bb11b242, Class:  1, CF:0.988349, Len: 10, Fitness_tra: 0
Rule 53: 472b1641b2, Class:  0, CF:0.791811, Len: 10, Fitness_tra: 0
Rule 54: b824c9227b, Class:  1, CF:0.977666, Len: 10, Fitness_tra: 0
Rule 55: 2d27557231, Class:  0, CF:0.85018, Len: 10, Fitness_tra: 0
Rule 56: b12b1e47bb, Class:  1, CF:0.951759, Len: 10, Fitness_tra: 0
Rule 57: 2111567714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4b7481b2b4, Class:  1, CF:0.998145, Len: 10, Fitness_tra: 0
Rule 59: 4c22857122, Class:  1, CF:0.992448, Len: 10, Fitness_tra: 0
Rule 60: 7184812312, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 7114d62414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1247134742, Class:  1, CF:0.719206, Len: 10, Fitness_tra: 0
Rule 63: 7247134411, Class:  1, CF:0.487355, Len: 10, Fitness_tra: -10
Rule 64: b14b9a1171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 417bc1477b, Class:  1, CF:0.990096, Len: 10, Fitness_tra: 0
Rule 66: 14b7212bb4, Class:  1, CF:0.804174, Len: 10, Fitness_tra: 0
Rule 67: 22b7594b4b, Class:  1, CF:0.593399, Len: 10, Fitness_tra: 0
Rule 68: 2b72562224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 152b51751d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4114132218, Class:  1, CF:0.991663, Len: 10, Fitness_tra: 0
Rule 71: 242bc6444b, Class:  1, CF:0.996377, Len: 10, Fitness_tra: 0
Rule 72: 224713b777, Class:  1, CF:0.306437, Len: 10, Fitness_tra: 0
Rule 73: b2b2262414, Class:  0, CF:0.830111, Len: 10, Fitness_tra: 0
Rule 74: 2142452147, Class:  1, CF:0.993931, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 45b721477b, Class:  1, CF:0.77666, Len: 10, Fitness_tra: 0
Rule 77: 217251b412, Class:  1, CF:0.997574, Len: 10, Fitness_tra: 0
Rule 78: 2287557151, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 1142d1bc47, Class:  1, CF:0.999674, Len: 10, Fitness_tra: 0
Rule 80: bc77557bb7, Class:  0, CF:0.490123, Len: 10, Fitness_tra: 0
Rule 81: 1c11117124, Class:  1, CF:0.937117, Len: 10, Fitness_tra: -288
Rule 82: b217457727, Class:  1, CF:0.940294, Len: 10, Fitness_tra: 0
Rule 83: 147b312541, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: 414bc1b447, Class:  1, CF:0.998116, Len: 10, Fitness_tra: 1
Rule 85: 777b167717, Class:  0, CF:0.864169, Len: 10, Fitness_tra: 0
Rule 86: 4cb12e7177, Class:  1, CF:0.972469, Len: 10, Fitness_tra: -3
Rule 87: 1442222174, Class:  1, CF:0.868126, Len: 10, Fitness_tra: -75
Rule 88: 2112d12852, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 112151b257, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 90: 182212b147, Class:  1, CF:0.844466, Len: 10, Fitness_tra: -77
Rule 91: 1cb1682b21, Class:  0, CF:0.682104, Len: 10, Fitness_tra: 0
Rule 92: ccb4152451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 14148f4112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 54b22644b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: 4224191a7b, Class:  0, CF:0.267975, Len: 10, Fitness_tra: 898
Rule 96: cc77357c9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 242b854d31, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 4121164172, Class:  0, CF:0.879957, Len: 10, Fitness_tra: 6
Rule 99: b47cc32b8b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4b5b114b42, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:65.2755
------Result------
Miss_rate(tra)	:65.2755
Miss_rate(tst)	:47.1664
ARL				:9.88372

------Generation 2------
Rule  1: 73b1717bb1, Class:  1, CF:0.965401, Len: 10, Fitness_tra: 481
Rule  2: 2117851aa1, Class:  0, CF:0.297441, Len: 10, Fitness_tra: 682
Rule  3: 4b2151111b, Class:  1, CF:0.999364, Len: 10, Fitness_tra: 555
Rule  4: 1b11d87744, Class:  1, CF:0.999496, Len: 10, Fitness_tra: 380
Rule  5: 4221131511, Class:  1, CF:  1, Len: 10, Fitness_tra: 339
Rule  6: 4172c91244, Class:  1, CF:0.998778, Len: 10, Fitness_tra: 161
Rule  7: 16b1c8242b, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 177
Rule  8: 42711db772, Class:  1, CF:0.990066, Len: 10, Fitness_tra: 58
Rule  9: 4241112214, Class:  1, CF:0.992366, Len: 10, Fitness_tra: 125
Rule 10: 7441c31b44, Class:  1, CF:0.995773, Len: 10, Fitness_tra: 84
Rule 11: b571157214, Class:  1, CF:0.995253, Len: 10, Fitness_tra: 52
Rule 12: 1514857112, Class:  0, CF:0.908067, Len: 10, Fitness_tra: 32
Rule 13: b271112246, Class:  1, CF:0.920275, Len: 10, Fitness_tra: 28
Rule 14: b12115427c, Class:  1, CF:0.99975, Len: 10, Fitness_tra: 22
