------Generation 0------
Rule  1: b4bbd14221, Class:  1, CF:0.997592, Len: 10, Fitness_tra: 0
Rule 48: 772416b7b2, Class:  0, CF:0.937164, Len: 10, Fitness_tra: 0
Rule 49: 2217911117, Class:  1, CF:0.679646, Len: 10, Fitness_tra: -11
Rule 50: 244111b477, Class:  1, CF:0.953641, Len: 10, Fitness_tra: -2
Rule 51: b41b814b22, Class:  1, CF:0.971987, Len: 10, Fitness_tra: 0
Rule 52: 1817d112c4, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 53: 41141eb512, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 54: 2712d92174, Class:  1, CF:0.976669, Len: 10, Fitness_tra: 0
Rule 55: 4271494472, Class:  1, CF:0.998459, Len: 10, Fitness_tra: 0
Rule 56: 4b27812147, Class:  1, CF:0.998422, Len: 10, Fitness_tra: 0
Rule 57: 272bc1b212, Class:  1, CF:0.995475, Len: 10, Fitness_tra: 0
Rule 58: 4174cdb144, Class:  1, CF:0.995563, Len: 10, Fitness_tra: 0
Rule 59: 1214814152, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: 4b47834171, Class:  1, CF:0.978922, Len: 10, Fitness_tra: 0
Rule 61: 4412191bb7, Class:  1, CF:0.580126, Len: 10, Fitness_tra: -688
Rule 62: c1211f7981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2b1455211b, Class:  1, CF:0.878081, Len: 10, Fitness_tra: -7
Rule 64: 1b1253b17b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: 44129a7bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 18c1d11d31, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 71b1c1142b, Class:  1, CF:0.996945, Len: 10, Fitness_tra: 150
Rule 68: bb14262124, Class:  1, CF:0.925376, Len: 10, Fitness_tra: 0
Rule 69: 157b212217, Class:  1, CF:0.949577, Len: 10, Fitness_tra: 0
Rule 70: 2147c21442, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 17
Rule 71: 41112fb24b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 4371152142, Class:  1, CF:0.999834, Len: 10, Fitness_tra: 4
Rule 73: 42111144b1, Class:  1, CF:0.887502, Len: 10, Fitness_tra: -443
Rule 74: 114b217b72, Class:  1, CF:0.944714, Len: 10, Fitness_tra: 0
Rule 75: 712bc1b114, Class:  1, CF:0.988369, Len: 10, Fitness_tra: 0
Rule 76: 7772597444, Class:  1, CF:0.998991, Len: 10, Fitness_tra: 0
Rule 77: 224b21b1b2, Class:  1, CF:0.921578, Len: 10, Fitness_tra: 0
Rule 78: 47711142b1, Class:  1, CF:0.859298, Len: 10, Fitness_tra: 0
Rule 79: 141b2fbb22, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: c81bd371d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 224759bb41, Class:  1, CF:0.329741, Len: 10, Fitness_tra: 0
Rule 82: 7747251b22, Class:  1, CF:0.988949, Len: 10, Fitness_tra: 26
Rule 83: 417b854144, Class:  1, CF:0.997098, Len: 10, Fitness_tra: 0
Rule 84: 2cb45574bb, Class:  1, CF:0.172265, Len: 10, Fitness_tra: 0
Rule 85: b242564bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 47bbd31447, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 74b2162b21, Class:  0, CF:0.960211, Len: 10, Fitness_tra: 0
Rule 88: 71411abb17, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule 89: 2247837212, Class:  1, CF:0.994388, Len: 10, Fitness_tra: 0
Rule 90: 4224111271, Class:  1, CF:0.813696, Len: 10, Fitness_tra: 0
Rule 91: 1477117741, Class:  1, CF:0.763366, Len: 10, Fitness_tra: 0
Rule 92: 712755b277, Class:  1, CF:0.995614, Len: 10, Fitness_tra: 0
Rule 93: cc1163bdd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1c27837417, Class:  1, CF:0.862076, Len: 10, Fitness_tra: 0
Rule 95: 44741e2124, Class:  1, CF:0.988704, Len: 10, Fitness_tra: 0
Rule 96: 4c42d92877, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 12b4c11b1b, Class:  1, CF:0.14246, Len: 10, Fitness_tra: -75
Rule 98: 1c24117211, Class:  1, CF:0.70413, Len: 10, Fitness_tra: -4
Rule 99: 2d2bc32477, Class:  1, CF:0.999731, Len: 10, Fitness_tra: 0
Rule100: 4124561121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.6939
------Result------
Miss_rate(tra)	:99.6939
Miss_rate(tst)	:99.2687
ARL				:10

------Generation 0------
Rule  1: b171c1117b, Class:  1, CF:0.993844, Len: 10, Fitness_tra: 691
Rule  2: 1471211c41, Class:  1, CF:0.99412, Len: 10, Fitness_tra: 990
Rule  3: 71b1c1142b, Class:  1, CF:0.996945, Len: 10, Fitness_tra: 150
Rule  4: 77bb811171, Class:  1, CF:0.979785, Len: 10, Fitness_tra: -31
Rule  5: 7747251b22, Class:  1, CF:0.988949, Len: 10, Fitness_tra: 13
Rule  6: 2147c21442, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 27
Rule  7: b111dd2724, Class:  1, CF:0.999688, Len: 10, Fitness_tra: 11
Rule  8: 71411abb17, Class:  0, CF:  1, Len: 10, Fitness_tra: 14
Rule  9: 4371152142, Class:  1, CF:0.999834, Len: 10, Fitness_tra: -341
Rule 10: 722181b141, Class:  1, CF:0.989499, Len: 10, Fitness_tra: -22
Rule 11: 1817d112c4, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 12: 24b1597bbb, Class:  1, CF:0.902348, Len: 10, Fitness_tra: 5
Rule 13: 214b1e1182, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 14: 11b113b224, Class:  1, CF:0.957387, Len: 10, Fitness_tra: 0
Rule 15: b4bbd14221, Class:  1, CF:0.997592, Len: 10, Fitness_tra: 0
Rule 16: 1112551254, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b1741e28cb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 1144217214, Class:  1, CF:0.983934, Len: 10, Fitness_tra: -5
Rule 19: 414721b1b7, Class:  1, CF:0.965153, Len: 10, Fitness_tra: 0
Rule 20: 4c2bc141b2, Class:  1, CF:0.904545, Len: 10, Fitness_tra: 0
Rule 21: 22142fbb2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 787213b7b1, Class:  0, CF:0.523232, Len: 10, Fitness_tra: 0
Rule 23: 717423b2bb, Class:  1, CF:0.834722, Len: 10, Fitness_tra: 0
Rule 24: 782b214141, Class:  1, CF:0.922438, Len: 10, Fitness_tra: 0
Rule 25: 417b561717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e148d233d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 44775921b4, Class:  1, CF:0.715456, Len: 10, Fitness_tra: 0
Rule 28: 22126a21b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: 1bb2ca1b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 47bbc1b444, Class:  1, CF:0.995418, Len: 10, Fitness_tra: 0
Rule 31: 214751758b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 2c111d424b, Class:  1, CF:0.980114, Len: 10, Fitness_tra: 0
Rule 33: 22278a7742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b14456b42c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 774413747b, Class:  1, CF:0.630774, Len: 10, Fitness_tra: 0
Rule 36: c1c1192515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2b12164427, Class:  1, CF:0.513096, Len: 10, Fitness_tra: 0
Rule 38: 42bb89bb7b, Class:  1, CF:0.695743, Len: 10, Fitness_tra: 0
Rule 39: b175114771, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 712b13b741, Class:  1, CF:0.43774, Len: 10, Fitness_tra: 0
Rule 41: 211796b22d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 477731bbb4, Class:  1, CF:0.7149, Len: 10, Fitness_tra: 0
Rule 43: 1442114144, Class:  1, CF:0.916658, Len: 10, Fitness_tra: -70
Rule 44: 839485233d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 7142414177, Class:  1, CF:0.974284, Len: 10, Fitness_tra: 0
Rule 46: 1277da1b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4124561121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 772416b7b2, Class:  0, CF:0.937164, Len: 10, Fitness_tra: 0
Rule 49: b41b814b22, Class:  1, CF:0.971987, Len: 10, Fitness_tra: 0
Rule 50: 7541112417, Class:  1, CF:0.979781, Len: 10, Fitness_tra: 329
Rule 51: 41141eb512, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 2712d92174, Class:  1, CF:0.976669, Len: 10, Fitness_tra: 0
Rule 53: 4271494472, Class:  1, CF:0.998459, Len: 10, Fitness_tra: 0
Rule 54: 4b27812147, Class:  1, CF:0.998422, Len: 10, Fitness_tra: 0
Rule 55: 272bc1b212, Class:  1, CF:0.995475, Len: 10, Fitness_tra: 0
Rule 56: 4174cdb144, Class:  1, CF:0.995563, Len: 10, Fitness_tra: 0
Rule 57: 1214814152, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 4b47834171, Class:  1, CF:0.978922, Len: 10, Fitness_tra: 0
Rule 59: c1211f7981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1b1253b17b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 44129a7bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 18c1d11d31, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: b21126bb21, Class:  0, CF:0.430463, Len: 10, Fitness_tra: 2
Rule 64: bb14262124, Class:  1, CF:0.925376, Len: 10, Fitness_tra: 0
Rule 65: 157b212217, Class:  1, CF:0.949577, Len: 10, Fitness_tra: -6
Rule 66: 121b562125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 41112fb24b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 114b217b72, Class:  1, CF:0.944714, Len: 10, Fitness_tra: 0
Rule 69: 712bc1b114, Class:  1, CF:0.988369, Len: 10, Fitness_tra: 0
Rule 70: 7772597444, Class:  1, CF:0.998991, Len: 10, Fitness_tra: 0
Rule 71: 224b21b1b2, Class:  1, CF:0.921578, Len: 10, Fitness_tra: 0
Rule 72: 47711142b1, Class:  1, CF:0.859298, Len: 10, Fitness_tra: -16
Rule 73: 141b2fbb22, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 74: c81bd371d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 224759bb41, Class:  1, CF:0.329741, Len: 10, Fitness_tra: 0
Rule 76: 417b854144, Class:  1, CF:0.997098, Len: 10, Fitness_tra: 0
Rule 77: 2cb45574bb, Class:  1, CF:0.172265, Len: 10, Fitness_tra: 0
Rule 78: b242564bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 47bbd31447, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: 74b2162b21, Class:  0, CF:0.960211, Len: 10, Fitness_tra: 0
Rule 81: 42415f77b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11421142b2, Class:  1, CF:0.947539, Len: 10, Fitness_tra: 0
Rule 83: 287bd3b251, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: 1221334314, Class:  0, CF:0.037126, Len: 10, Fitness_tra: 180
Rule 85: 4714112812, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 44b4812b42, Class:  1, CF:0.975267, Len: 10, Fitness_tra: 0
Rule 87: 41b173bbb1, Class:  1, CF:0.64154, Len: 10, Fitness_tra: 33
Rule 88: 217baab447, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 89: 1122337355, Class:  1, CF:0.683774, Len: 10, Fitness_tra: -1
Rule 90: 42221627b2, Class:  0, CF:0.998015, Len: 10, Fitness_tra: 0
Rule 91: 427481414e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4211162b24, Class:  0, CF:0.450626, Len: 10, Fitness_tra: 0
Rule 93: 192723b217, Class:  1, CF:0.998522, Len: 10, Fitness_tra: -2
Rule 94: b4bb114227, Class:  1, CF:0.983592, Len: 10, Fitness_tra: 1
Rule 95: 72bb10bb7b, Class:  1, CF:0.737913, Len:  9, Fitness_tra: -63
Rule 96: 41b723b227, Class:  1, CF:0.972461, Len: 10, Fitness_tra: 0
Rule 97: b242514b31, Class:  1, CF:0.540944, Len: 10, Fitness_tra: 0
Rule 98: 18b7da1bc4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 6747251b22, Class:  1, CF:0.911205, Len: 10, Fitness_tra: -1079
Rule100: 11741528cb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.7449
------Result------
Miss_rate(tra)	:97.7449
Miss_rate(tst)	:96.7093
ARL				:9.9878

------Generation 1------
Rule  1: b171c1117b, Class:  1, CF:0.993844, Len: 10, Fitness_tra: 691
Rule  2: 1471211c41, Class:  1, CF:0.99412, Len: 10, Fitness_tra: 990
Rule  3: 71b1c1142b, Class:  1, CF:0.996945, Len: 10, Fitness_tra: 150
Rule  4: 77bb811171, Class:  1, CF:0.979785, Len: 10, Fitness_tra: -31
Rule  5: 7747251b22, Class:  1, CF:0.988949, Len: 10, Fitness_tra: 13
Rule  6: 2147c21442, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 27
Rule  7: b111dd2724, Class:  1, CF:0.999688, Len: 10, Fitness_tra: 11
Rule  8: 71411abb17, Class:  0, CF:  1, Len: 10, Fitness_tra: 14
Rule  9: 4371152142, Class:  1, CF:0.999834, Len: 10, Fitness_tra: -341
Rule 10: 722181b141, Class:  1, CF:0.989499, Len: 10, Fitness_tra: -22
Rule 11: 1817d112c4, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 12: 24b1597bbb, Class:  1, CF:0.902348, Len: 10, Fitness_tra: 5
Rule 13: 214b1e1182, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 14: 11b113b224, Class:  1, CF:0.957387, Len: 10, Fitness_tra: 0
Rule 15: b4bbd14221, Class:  1, CF:0.997592, Len: 10, Fitness_tra: 0
Rule 16: 1112551254, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b1741e28cb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 1144217214, Class:  1, CF:0.983934, Len: 10, Fitness_tra: -5
Rule 19: 414721b1b7, Class:  1, CF:0.965153, Len: 10, Fitness_tra: 0
Rule 20: 4c2bc141b2, Class:  1, CF:0.904545, Len: 10, Fitness_tra: 0
Rule 21: 22142fbb2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 787213b7b1, Class:  0, CF:0.523232, Len: 10, Fitness_tra: 0
Rule 23: 717423b2bb, Class:  1, CF:0.834722, Len: 10, Fitness_tra: 0
Rule 24: 782b214141, Class:  1, CF:0.922438, Len: 10, Fitness_tra: 0
Rule 25: 417b561717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e148d233d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 44775921b4, Class:  1, CF:0.715456, Len: 10, Fitness_tra: 0
Rule 28: 22126a21b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: 1bb2ca1b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 47bbc1b444, Class:  1, CF:0.995418, Len: 10, Fitness_tra: 0
Rule 31: 214751758b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 2c111d424b, Class:  1, CF:0.980114, Len: 10, Fitness_tra: 0
Rule 33: 22278a7742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b14456b42c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 774413747b, Class:  1, CF:0.630774, Len: 10, Fitness_tra: 0
Rule 36: c1c1192515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2b12164427, Class:  1, CF:0.513096, Len: 10, Fitness_tra: 0
Rule 38: 42bb89bb7b, Class:  1, CF:0.695743, Len: 10, Fitness_tra: 0
Rule 39: b175114771, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 712b13b741, Class:  1, CF:0.43774, Len: 10, Fitness_tra: 0
Rule 41: 211796b22d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 477731bbb4, Class:  1, CF:0.7149, Len: 10, Fitness_tra: 0
Rule 43: 1442114144, Class:  1, CF:0.916658, Len: 10, Fitness_tra: -70
Rule 44: 839485233d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 7142414177, Class:  1, CF:0.974284, Len: 10, Fitness_tra: 0
Rule 46: 1277da1b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4124561121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 772416b7b2, Class:  0, CF:0.937164, Len: 10, Fitness_tra: 0
Rule 49: b41b814b22, Class:  1, CF:0.971987, Len: 10, Fitness_tra: 0
Rule 50: 7541112417, Class:  1, CF:0.979781, Len: 10, Fitness_tra: 329
Rule 51: 41141eb512, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 2712d92174, Class:  1, CF:0.976669, Len: 10, Fitness_tra: 0
Rule 53: 4271494472, Class:  1, CF:0.998459, Len: 10, Fitness_tra: 0
Rule 54: 4b27812147, Class:  1, CF:0.998422, Len: 10, Fitness_tra: 0
Rule 55: 272bc1b212, Class:  1, CF:0.995475, Len: 10, Fitness_tra: 0
Rule 56: 4174cdb144, Class:  1, CF:0.995563, Len: 10, Fitness_tra: 0
Rule 57: 1214814152, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 4b47834171, Class:  1, CF:0.978922, Len: 10, Fitness_tra: 0
Rule 59: c1211f7981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1b1253b17b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 44129a7bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 18c1d11d31, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: b21126bb21, Class:  0, CF:0.430463, Len: 10, Fitness_tra: 2
Rule 64: bb14262124, Class:  1, CF:0.925376, Len: 10, Fitness_tra: 0
Rule 65: 157b212217, Class:  1, CF:0.949577, Len: 10, Fitness_tra: -6
Rule 66: 121b562125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 41112fb24b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 114b217b72, Class:  1, CF:0.944714, Len: 10, Fitness_tra: 0
Rule 69: 712bc1b114, Class:  1, CF:0.988369, Len: 10, Fitness_tra: 0
Rule 70: 7772597444, Class:  1, CF:0.998991, Len: 10, Fitness_tra: 0
Rule 71: 224b21b1b2, Class:  1, CF:0.921578, Len: 10, Fitness_tra: 0
Rule 72: 47711142b1, Class:  1, CF:0.859298, Len: 10, Fitness_tra: -16
Rule 73: 141b2fbb22, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 74: c81bd371d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 224759bb41, Class:  1, CF:0.329741, Len: 10, Fitness_tra: 0
Rule 76: 417b854144, Class:  1, CF:0.997098, Len: 10, Fitness_tra: 0
Rule 77: 2cb45574bb, Class:  1, CF:0.172265, Len: 10, Fitness_tra: 0
Rule 78: b242564bb4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 47bbd31447, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: 74b2162b21, Class:  0, CF:0.960211, Len: 10, Fitness_tra: 0
Rule 81: 42415f77b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11421142b2, Class:  1, CF:0.947539, Len: 10, Fitness_tra: 0
Rule 83: 287bd3b251, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: 1221334314, Class:  0, CF:0.037126, Len: 10, Fitness_tra: 180
Rule 85: 4714112812, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 44b4812b42, Class:  1, CF:0.975267, Len: 10, Fitness_tra: 0
Rule 87: 41b173bbb1, Class:  1, CF:0.64154, Len: 10, Fitness_tra: 33
Rule 88: 217baab447, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 89: 1122337355, Class:  1, CF:0.683774, Len: 10, Fitness_tra: -1
Rule 90: 42221627b2, Class:  0, CF:0.998015, Len: 10, Fitness_tra: 0
Rule 91: 427481414e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4211162b24, Class:  0, CF:0.450626, Len: 10, Fitness_tra: 0
Rule 93: 192723b217, Class:  1, CF:0.998522, Len: 10, Fitness_tra: -2
Rule 94: b4bb114227, Class:  1, CF:0.983592, Len: 10, Fitness_tra: 1
Rule 95: 72bb10bb7b, Class:  1, CF:0.737913, Len:  9, Fitness_tra: -63
Rule 96: 41b723b227, Class:  1, CF:0.972461, Len: 10, Fitness_tra: 0
Rule 97: b242514b31, Class:  1, CF:0.540944, Len: 10, Fitness_tra: 0
Rule 98: 18b7da1bc4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 6747251b22, Class:  1, CF:0.911205, Len: 10, Fitness_tra: -1079
Rule100: 11741528cb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:97.7449
------Result------
Miss_rate(tra)	:97.7449
Miss_rate(tst)	:96.7093
ARL				:9.9878

------Generation 2------
Rule  1: b171c1117b, Class:  1, CF:0.993844, Len: 10, Fitness_tra: 691
Rule  2: 1471211c41, Class:  1, CF:0.99412, Len: 10, Fitness_tra: 990
Rule  3: 71b1c1142b, Class:  1, CF:0.996945, Len: 10, Fitness_tra: 150
Rule  4: 77bb811171, Class:  1, CF:0.979785, Len: 10, Fitness_tra: -31
Rule  5: 7747251b22, Class:  1, CF:0.988949, Len: 10, Fitness_tra: 13
Rule  6: 2147c21442, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 27
Rule  7: b111dd2724, Class:  1, CF:0.999688, Len: 10, Fitness_tra: 11
Rule  8: 71411abb17, Class:  0, CF:  1, Len: 10, Fitness_tra: 14
Rule  9: 4371152142, Class:  1, CF:0.999834, Len: 10, Fitness_tra: -341
Rule 10: 722181b141, Class:  1, CF:0.989499, Len: 10, Fitness_tra: -22
Rule 11: 1817d112c4, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 12: 24b1597bbb, Class:  1, CF:0.902348, Len: 10, Fitness_tra: 5
Rule 13: 214b1e1182, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 14: 11b113b224, Class:  1, CF:0.957387, Len: 10, Fitness_tra: 0
