------Generation 0------
Rule  1: 215b81b192, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 72248ab724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2221d37182, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 277b19b117, Class:  1, CF:0.951826, Len: 10, Fitness_tra: 0
Rule 80: 72241ab142, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: 212b2927b1, Class:  1, CF:0.824091, Len: 10, Fitness_tra: -1
Rule 82: 124b1124cb, Class:  1, CF:0.988885, Len: 10, Fitness_tra: 0
Rule 83: 41321521f5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: 1471d3b4b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: 71121a4141, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 11425121b7, Class:  1, CF:0.82824, Len: 10, Fitness_tra: 0
Rule 87: 1c4256211d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 22b242b444, Class:  1, CF:0.990911, Len: 10, Fitness_tra: 0
Rule 89: 1111111b12, Class:  1, CF:0.866336, Len: 10, Fitness_tra: -1170
Rule 90: b117c32122, Class:  1, CF:0.998472, Len: 10, Fitness_tra: 0
Rule 91: 4612187315, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 121b137442, Class:  1, CF:0.960796, Len: 10, Fitness_tra: 0
Rule 93: 1c14d11b22, Class:  0, CF:0.311896, Len: 10, Fitness_tra: 0
Rule 94: b4b7831421, Class:  1, CF:0.995715, Len: 10, Fitness_tra: 0
Rule 95: 2147511742, Class:  1, CF:0.994778, Len: 10, Fitness_tra: 0
Rule 96: 71728911b1, Class:  1, CF:0.850099, Len: 10, Fitness_tra: -4
Rule 97: 2d142171d9, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 117b21227b, Class:  1, CF:0.980955, Len: 10, Fitness_tra: 0
Rule 99: 7721161142, Class:  0, CF:0.79238, Len: 10, Fitness_tra: 0
Rule100: 77bb5d742b, Class:  1, CF:0.998956, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.7346
------Result------
Miss_rate(tra)	:99.7346
Miss_rate(tst)	:99.6344
ARL				:9.80233

------Generation 0------
Rule  1: 0600470000, Class:  1, CF:0.55716, Len:  3, Fitness_tra: 1046
Rule  2: 7141211174, Class:  1, CF:0.988588, Len: 10, Fitness_tra: -569
Rule  3: 7127111221, Class:  1, CF:0.990559, Len: 10, Fitness_tra: 364
Rule  4: 424115121b, Class:  1, CF:0.983716, Len: 10, Fitness_tra: -402
Rule  5: 4cb1112241, Class:  1, CF:0.927844, Len: 10, Fitness_tra: 7
Rule  6: 72b12144b4, Class:  1, CF:0.985582, Len: 10, Fitness_tra: 2
Rule  7: 4b71297774, Class:  1, CF:0.999707, Len: 10, Fitness_tra: 2
Rule  8: 215b81b192, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 77bb5d742b, Class:  1, CF:0.998956, Len: 10, Fitness_tra: 0
Rule 10: 4247d114b4, Class:  1, CF:0.951705, Len: 10, Fitness_tra: 0
Rule 11: 41d1c143ad, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 724bc87214, Class:  1, CF:0.996523, Len: 10, Fitness_tra: 0
Rule 13: 27b48e411b, Class:  1, CF:0.93628, Len: 10, Fitness_tra: 0
Rule 14: 4812164884, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: cd8251b555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 7721161142, Class:  0, CF:0.79238, Len: 10, Fitness_tra: 4
Rule 17: 4b1725b741, Class:  1, CF:0.970811, Len: 10, Fitness_tra: -23
Rule 18: 2274c94b14, Class:  1, CF:0.862008, Len: 10, Fitness_tra: 0
Rule 19: 41b1112b22, Class:  1, CF:0.978271, Len: 10, Fitness_tra: 5
Rule 20: 457bc121bb, Class:  1, CF:0.897, Len: 10, Fitness_tra: 0
Rule 21: 441181247b, Class:  1, CF:0.996433, Len: 10, Fitness_tra: 0
Rule 22: 444b8172b4, Class:  1, CF:0.991062, Len: 10, Fitness_tra: 0
Rule 23: 1724c872b7, Class:  1, CF:0.988021, Len: 10, Fitness_tra: 0
Rule 24: 2472152771, Class:  1, CF:0.935031, Len: 10, Fitness_tra: -1
Rule 25: b244ff2214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 21121e1474, Class:  1, CF:0.973693, Len: 10, Fitness_tra: -5
Rule 27: b241a1b474, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 2b72297147, Class:  1, CF:0.99629, Len: 10, Fitness_tra: 0
Rule 29: 244411b4b1, Class:  1, CF:0.839305, Len: 10, Fitness_tra: 0
Rule 30: 241215b71b, Class:  1, CF:0.822658, Len: 10, Fitness_tra: 0
Rule 31: 45bbd62172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1777d3724b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 33: 47122912b2, Class:  1, CF:0.93574, Len: 10, Fitness_tra: -1
Rule 34: 8ccb1e1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 172bc62424, Class:  1, CF:0.997371, Len: 10, Fitness_tra: 0
Rule 36: b322ddb44b, Class:  1, CF:0.999851, Len: 10, Fitness_tra: 0
Rule 37: 4b42164221, Class:  0, CF:0.603178, Len: 10, Fitness_tra: 0
Rule 38: 7bb286b471, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 21418371b2, Class:  1, CF:0.997999, Len: 10, Fitness_tra: 0
Rule 41: 72b4531274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 222b83b7bb, Class:  1, CF:0.99506, Len: 10, Fitness_tra: 0
Rule 43: 41212141d5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 2582111311, Class:  0, CF:0.535966, Len: 10, Fitness_tra: 1
Rule 45: 22b7162b12, Class:  0, CF:0.835448, Len: 10, Fitness_tra: 0
Rule 46: 2421f34247, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 27772e27b7, Class:  1, CF:0.934123, Len: 10, Fitness_tra: 0
Rule 48: 71b22347b7, Class:  1, CF:0.902911, Len: 10, Fitness_tra: 0
Rule 49: 222111418d, Class:  1, CF:0.797399, Len: 10, Fitness_tra: 0
Rule 50: 411b114271, Class:  1, CF:0.95443, Len: 10, Fitness_tra: -14
Rule 51: 782b514272, Class:  1, CF:0.987741, Len: 10, Fitness_tra: 0
Rule 52: 72b4192824, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: 4192c57119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4357554eed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11821d2581, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 56: b21c3a274b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 722811472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 12b1ca1b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 421b33b711, Class:  1, CF:0.0976018, Len: 10, Fitness_tra: 0
Rule 60: 117b21227b, Class:  1, CF:0.980955, Len: 10, Fitness_tra: 0
Rule 61: 2242594274, Class:  1, CF:0.934668, Len: 10, Fitness_tra: 0
Rule 62: 4ed28126ad, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 714b2627b4, Class:  0, CF:0.218218, Len: 10, Fitness_tra: 0
Rule 64: b4142142b7, Class:  1, CF:0.968509, Len: 10, Fitness_tra: 0
Rule 65: b74b414b22, Class:  1, CF:0.985252, Len: 10, Fitness_tra: 0
Rule 66: 7272d174b7, Class:  1, CF:0.947341, Len: 10, Fitness_tra: 0
Rule 67: b822931171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7442154b42, Class:  1, CF:0.951614, Len: 10, Fitness_tra: 0
Rule 69: 2522111112, Class:  1, CF:0.14421, Len: 10, Fitness_tra: -42
Rule 70: 2747817227, Class:  1, CF:0.999147, Len: 10, Fitness_tra: 0
Rule 71: 8c27d6b815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1314254e11, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 72248ab724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2221d37182, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 277b19b117, Class:  1, CF:0.951826, Len: 10, Fitness_tra: 0
Rule 76: 72241ab142, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 124b1124cb, Class:  1, CF:0.988885, Len: 10, Fitness_tra: 0
Rule 78: 41321521f5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 1471d3b4b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: 71121a4141, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: b717812441, Class:  1, CF:0.982789, Len: 10, Fitness_tra: -1
Rule 82: 717b562222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1117334121, Class:  1, CF:0.525772, Len: 10, Fitness_tra: -28
Rule 84: 27741e7b42, Class:  1, CF:0.99436, Len: 10, Fitness_tra: 0
Rule 85: 1c12297221, Class:  0, CF:0.0431016, Len: 10, Fitness_tra: 35
Rule 86: 7141194b72, Class:  1, CF:0.998259, Len: 10, Fitness_tra: 0
Rule 87: 4274594774, Class:  1, CF:0.686809, Len: 10, Fitness_tra: 0
Rule 88: 7d22c5bb47, Class:  1, CF:0.748734, Len: 10, Fitness_tra: 0
Rule 89: b471cfb214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 8380554eed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2147112742, Class:  1, CF:0.976244, Len: 10, Fitness_tra: 0
Rule 93: 3227d17227, Class:  1, CF:0.989249, Len: 10, Fitness_tra: 0
Rule 94: 78b121e4b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: cde251b555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 7114c171b9, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 7121161192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 413b1574f5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 160a13743d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0704c072c7, Class:  1, CF:0.998266, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.3264
------Result------
Miss_rate(tra)	:99.3264
Miss_rate(tst)	:99.2687
ARL				:9.74684

------Generation 1------
Rule  1: 0600470000, Class:  1, CF:0.55716, Len:  3, Fitness_tra: 1083
Rule  2: 7127111221, Class:  1, CF:0.990559, Len: 10, Fitness_tra: 464
Rule  3: 1c12297221, Class:  0, CF:0.0431016, Len: 10, Fitness_tra: 20
Rule  4: 4cb1112241, Class:  1, CF:0.927844, Len: 10, Fitness_tra: 107
Rule  5: 41b1112b22, Class:  1, CF:0.978271, Len: 10, Fitness_tra: 15
Rule  6: 7721161142, Class:  0, CF:0.79238, Len: 10, Fitness_tra: 17
Rule  7: 72b12144b4, Class:  1, CF:0.985582, Len: 10, Fitness_tra: 144
Rule  8: 4b71297774, Class:  1, CF:0.999707, Len: 10, Fitness_tra: 385
Rule  9: 2582111311, Class:  0, CF:0.535966, Len: 10, Fitness_tra: -2
Rule 10: 0704c072c7, Class:  1, CF:0.998266, Len:  7, Fitness_tra: 7
Rule 11: 41d1c143ad, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 724bc87214, Class:  1, CF:0.996523, Len: 10, Fitness_tra: 2
Rule 13: 27b48e411b, Class:  1, CF:0.93628, Len: 10, Fitness_tra: 0
Rule 14: 4812164884, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: cd8251b555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 160a13743d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 413b1574f5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 2274c94b14, Class:  1, CF:0.862008, Len: 10, Fitness_tra: 0
Rule 19: 215b81b192, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 457bc121bb, Class:  1, CF:0.897, Len: 10, Fitness_tra: 0
Rule 21: 441181247b, Class:  1, CF:0.996433, Len: 10, Fitness_tra: 227
Rule 22: 444b8172b4, Class:  1, CF:0.991062, Len: 10, Fitness_tra: 0
Rule 23: 1724c872b7, Class:  1, CF:0.988021, Len: 10, Fitness_tra: 0
Rule 24: 7121161192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b244ff2214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: b241a1b474, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 27: 2b72297147, Class:  1, CF:0.99629, Len: 10, Fitness_tra: 0
Rule 28: 244411b4b1, Class:  1, CF:0.839305, Len: 10, Fitness_tra: 0
Rule 29: 241215b71b, Class:  1, CF:0.822658, Len: 10, Fitness_tra: 0
Rule 30: 45bbd62172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1777d3724b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 8ccb1e1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 172bc62424, Class:  1, CF:0.997371, Len: 10, Fitness_tra: 0
Rule 34: b322ddb44b, Class:  1, CF:0.999851, Len: 10, Fitness_tra: 0
Rule 35: 4b42164221, Class:  0, CF:0.603178, Len: 10, Fitness_tra: 0
Rule 36: 7bb286b471, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 21418371b2, Class:  1, CF:0.997999, Len: 10, Fitness_tra: 0
Rule 39: 72b4531274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 222b83b7bb, Class:  1, CF:0.99506, Len: 10, Fitness_tra: 0
Rule 41: 41212141d5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 77bb5d742b, Class:  1, CF:0.998956, Len: 10, Fitness_tra: 1
Rule 43: 22b7162b12, Class:  0, CF:0.835448, Len: 10, Fitness_tra: 0
Rule 44: 2421f34247, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 27772e27b7, Class:  1, CF:0.934123, Len: 10, Fitness_tra: 0
Rule 46: 71b22347b7, Class:  1, CF:0.902911, Len: 10, Fitness_tra: 0
Rule 47: 222111418d, Class:  1, CF:0.797399, Len: 10, Fitness_tra: 0
Rule 48: 782b514272, Class:  1, CF:0.987741, Len: 10, Fitness_tra: 0
Rule 49: 72b4192824, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 50: 4192c57119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 4357554eed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 11821d2581, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: b21c3a274b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 722811472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 12b1ca1b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 421b33b711, Class:  1, CF:0.0976018, Len: 10, Fitness_tra: -5
Rule 57: 117b21227b, Class:  1, CF:0.980955, Len: 10, Fitness_tra: 0
Rule 58: 2242594274, Class:  1, CF:0.934668, Len: 10, Fitness_tra: 0
Rule 59: 4ed28126ad, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 714b2627b4, Class:  0, CF:0.218218, Len: 10, Fitness_tra: 0
Rule 61: b4142142b7, Class:  1, CF:0.968509, Len: 10, Fitness_tra: 0
Rule 62: b74b414b22, Class:  1, CF:0.985252, Len: 10, Fitness_tra: 0
Rule 63: 7272d174b7, Class:  1, CF:0.947341, Len: 10, Fitness_tra: 0
Rule 64: b822931171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 7442154b42, Class:  1, CF:0.951614, Len: 10, Fitness_tra: 0
Rule 66: 2747817227, Class:  1, CF:0.999147, Len: 10, Fitness_tra: 0
Rule 67: 8c27d6b815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1314254e11, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 69: 72248ab724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 2221d37182, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 277b19b117, Class:  1, CF:0.951826, Len: 10, Fitness_tra: -4
Rule 72: 72241ab142, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 124b1124cb, Class:  1, CF:0.988885, Len: 10, Fitness_tra: 1
Rule 74: 41321521f5, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 1471d3b4b7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 71121a4141, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 77: 717b562222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 27741e7b42, Class:  1, CF:0.99436, Len: 10, Fitness_tra: 0
Rule 79: 4247d114b4, Class:  1, CF:0.951705, Len: 10, Fitness_tra: -2
Rule 80: 7141194b72, Class:  1, CF:0.998259, Len: 10, Fitness_tra: 40
Rule 81: 41b18eb717, Class:  1, CF:0.997921, Len: 10, Fitness_tra: 348
Rule 82: 2b273a7b27, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: b217592b22, Class:  1, CF:0.174951, Len: 10, Fitness_tra: 0
Rule 84: 11122eb422, Class:  1, CF:0.889094, Len: 10, Fitness_tra: 0
Rule 85: 1112297b44, Class:  1, CF:0.595947, Len: 10, Fitness_tra: -122
Rule 86: 11bbf12121, Class:  0, CF:  1, Len: 10, Fitness_tra: 20
Rule 87: b27411444d, Class:  1, CF:0.999037, Len: 10, Fitness_tra: 0
Rule 88: 242b234c11, Class:  1, CF:0.929014, Len: 10, Fitness_tra: 0
Rule 89: 2412de2141, Class:  1, CF:0.679051, Len: 10, Fitness_tra: -1
Rule 90: 4171192212, Class:  1, CF:0.999419, Len: 10, Fitness_tra: 38
Rule 91: 411123c52d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4cb2164241, Class:  0, CF:0.999967, Len: 10, Fitness_tra: 0
Rule 93: 4d74504774, Class:  0, CF:0.186215, Len:  9, Fitness_tra: 0
Rule 94: 9b41192772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: cd821a1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 22421144b1, Class:  1, CF:0.837156, Len: 10, Fitness_tra: 0
Rule 97: 240410b400, Class:  1, CF:0.935441, Len:  6, Fitness_tra: -2510
Rule 98: b324d54411, Class:  1, CF:0.989291, Len: 10, Fitness_tra: 0
Rule 99: 27771a2192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 12bb831bbb, Class:  1, CF:0.977868, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.0814
------Result------
Miss_rate(tra)	:99.0814
Miss_rate(tst)	:98.9031
ARL				:9.6875

------Generation 2------
Rule  1: 0600470000, Class:  1, CF:0.55716, Len:  3, Fitness_tra: 1083
Rule  2: 7127111221, Class:  1, CF:0.990559, Len: 10, Fitness_tra: -632
Rule  3: 4b71297774, Class:  1, CF:0.999707, Len: 10, Fitness_tra: 269
Rule  4: 41b18eb717, Class:  1, CF:0.997921, Len: 10, Fitness_tra: -204
Rule  5: 441181247b, Class:  1, CF:0.996433, Len: 10, Fitness_tra: 168
Rule  6: 72b12144b4, Class:  1, CF:0.985582, Len: 10, Fitness_tra: 136
Rule  7: 4cb1112241, Class:  1, CF:0.927844, Len: 10, Fitness_tra: 102
Rule  8: 7141194b72, Class:  1, CF:0.998259, Len: 10, Fitness_tra: 5
Rule  9: 4171192212, Class:  1, CF:0.999419, Len: 10, Fitness_tra: 28
Rule 10: 1c12297221, Class:  0, CF:0.0431016, Len: 10, Fitness_tra: 34
Rule 11: 11bbf12121, Class:  0, CF:  1, Len: 10, Fitness_tra: 119
Rule 12: 7721161142, Class:  0, CF:0.79238, Len: 10, Fitness_tra: 3
Rule 13: 41b1112b22, Class:  1, CF:0.978271, Len: 10, Fitness_tra: 11
Rule 14: 0704c072c7, Class:  1, CF:0.998266, Len:  7, Fitness_tra: 7
