------Generation 0------
Rule  1: 7771cf1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 42b2592722, Class:  1, CF:0.832009, Len: 10, Fitness_tra: 0
Rule 56: b21115b7b4, Class:  1, CF:0.963884, Len: 10, Fitness_tra: 19
Rule 57: bb245a7b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4c42111442, Class:  1, CF:0.977847, Len: 10, Fitness_tra: 97
Rule 59: c21291458c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1711512411, Class:  1, CF:0.922323, Len: 10, Fitness_tra: -51
Rule 61: 2cbb132111, Class:  0, CF:0.962377, Len: 10, Fitness_tra: 0
Rule 62: 49725d4b72, Class:  0, CF:0.998727, Len: 10, Fitness_tra: 0
Rule 63: 71271127b4, Class:  1, CF:0.828227, Len: 10, Fitness_tra: 0
Rule 64: 1114131c87, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 65: 26922d4ee5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 2b44292b14, Class:  1, CF:0.974826, Len: 10, Fitness_tra: 0
Rule 67: 1272591114, Class:  0, CF:0.129589, Len: 10, Fitness_tra: 0
Rule 68: 11bb161711, Class:  0, CF:0.931578, Len: 10, Fitness_tra: 82
Rule 69: bb27867127, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 70: 121441211b, Class:  0, CF:0.596906, Len: 10, Fitness_tra: 192
Rule 71: 2122d12212, Class:  1, CF:0.998048, Len: 10, Fitness_tra: 0
Rule 72: 212b591581, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 414b8f4b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 717b711b22, Class:  1, CF:0.902436, Len: 10, Fitness_tra: 23
Rule 75: 21715977b1, Class:  1, CF:0.963524, Len: 10, Fitness_tra: -25
Rule 76: 244721b2b2, Class:  1, CF:0.971799, Len: 10, Fitness_tra: 0
Rule 77: 1271291411, Class:  1, CF:0.849657, Len: 10, Fitness_tra: -773
Rule 78: 47b4132721, Class:  0, CF:0.276531, Len: 10, Fitness_tra: 0
Rule 79: 1117c12b27, Class:  1, CF:0.902723, Len: 10, Fitness_tra: 0
Rule 80: bbb75374bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: 21115a2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: c2cb117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: bb12114112, Class:  1, CF:0.931116, Len: 10, Fitness_tra: 0
Rule 84: 4741592227, Class:  1, CF:0.999896, Len: 10, Fitness_tra: 0
Rule 85: 41178db27b, Class:  1, CF:0.993307, Len: 10, Fitness_tra: 0
Rule 86: b4b28211b2, Class:  1, CF:0.92059, Len: 10, Fitness_tra: 4
Rule 87: 151b51733d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1424814411, Class:  1, CF:0.83011, Len: 10, Fitness_tra: 0
Rule 89: 4c143171dd, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 90: b227514222, Class:  1, CF:0.998898, Len: 10, Fitness_tra: 0
Rule 91: 11c2311111, Class:  1, CF:0.768985, Len: 10, Fitness_tra: 116
Rule 92: 27215d1471, Class:  1, CF:0.999284, Len: 10, Fitness_tra: 147
Rule 93: 242213b2b1, Class:  0, CF:0.663546, Len: 10, Fitness_tra: 0
Rule 94: 45b436b427, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: 7174162711, Class:  0, CF:0.902532, Len: 10, Fitness_tra: 0
Rule 96: b11211b271, Class:  1, CF:0.922114, Len: 10, Fitness_tra: 1
Rule 97: 22b1d37741, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 214b1a2551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2b42de1212, Class:  1, CF:0.998944, Len: 10, Fitness_tra: 0
Rule100: 2242534122, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:94.7245
------Result------
Miss_rate(tra)	:94.7245
Miss_rate(tst)	:92.8702
ARL				:10

------Generation 0------
Rule  1: 71b112b7b7, Class:  1, CF:0.976424, Len: 10, Fitness_tra: 594
Rule  2: 121441211b, Class:  0, CF:0.596906, Len: 10, Fitness_tra: 2755
Rule  3: 27215d1471, Class:  1, CF:0.999284, Len: 10, Fitness_tra: 585
Rule  4: 11c2311111, Class:  1, CF:0.768985, Len: 10, Fitness_tra: 69
Rule  5: 427bc31147, Class:  1, CF:0.994641, Len: 10, Fitness_tra: 92
Rule  6: 4c42111442, Class:  1, CF:0.977847, Len: 10, Fitness_tra: 33
Rule  7: 7227112211, Class:  1, CF:0.912564, Len: 10, Fitness_tra: 58
Rule  8: 11bb161711, Class:  0, CF:0.931578, Len: 10, Fitness_tra: 95
Rule  9: b241517211, Class:  1, CF:0.994995, Len: 10, Fitness_tra: 11
Rule 10: 71448d174b, Class:  1, CF:0.992848, Len: 10, Fitness_tra: 8
Rule 11: 717b711b22, Class:  1, CF:0.902436, Len: 10, Fitness_tra: 15
Rule 12: b21115b7b4, Class:  1, CF:0.963884, Len: 10, Fitness_tra: 56
Rule 13: bbb4851724, Class:  1, CF:0.999643, Len: 10, Fitness_tra: 56
Rule 14: 115b212151, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 15: b4b28211b2, Class:  1, CF:0.92059, Len: 10, Fitness_tra: -7
Rule 16: 4871134217, Class:  1, CF:0.601757, Len: 10, Fitness_tra: 3
Rule 17: 71112921b4, Class:  1, CF:0.972607, Len: 10, Fitness_tra: -168
Rule 18: 4144c1b277, Class:  1, CF:0.997051, Len: 10, Fitness_tra: 1
Rule 19: 4821337bb2, Class:  0, CF:0.998965, Len: 10, Fitness_tra: 2
Rule 20: 1114131c87, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 21: 122bc311b1, Class:  1, CF:0.475859, Len: 10, Fitness_tra: -4
Rule 22: b11211b271, Class:  1, CF:0.922114, Len: 10, Fitness_tra: 0
Rule 23: b2b721b714, Class:  1, CF:0.935237, Len: 10, Fitness_tra: 0
Rule 24: 7771cf1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 411b39b352, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 7bbb1e4417, Class:  1, CF:0.996953, Len: 10, Fitness_tra: 0
Rule 27: 122b554417, Class:  1, CF:0.250423, Len: 10, Fitness_tra: 0
Rule 28: 41121911c2, Class:  1, CF:  1, Len: 10, Fitness_tra: 27
Rule 29: 1247112b44, Class:  1, CF:0.504906, Len: 10, Fitness_tra: 0
Rule 30: 2242534122, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 2721894414, Class:  1, CF:0.999636, Len: 10, Fitness_tra: 0
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4772d94141, Class:  1, CF:0.978085, Len: 10, Fitness_tra: 0
Rule 34: 4141634511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 2422da2127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b2b28f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1424512bb2, Class:  1, CF:0.404725, Len: 10, Fitness_tra: 0
Rule 38: b3428521b2, Class:  1, CF:0.995199, Len: 10, Fitness_tra: 0
Rule 39: b112d97421, Class:  1, CF:0.973967, Len: 10, Fitness_tra: 0
Rule 40: 287b254141, Class:  1, CF:0.668488, Len: 10, Fitness_tra: 0
Rule 41: 2447584b21, Class:  1, CF:0.871265, Len: 10, Fitness_tra: 0
Rule 42: 2b42de1212, Class:  1, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 43: 2b421321bb, Class:  1, CF:0.548492, Len: 10, Fitness_tra: 0
Rule 44: 85cb534511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cc2ea1d9d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b78ab271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 41b225b772, Class:  1, CF:0.983604, Len: 10, Fitness_tra: 0
Rule 48: b2bb3142b7, Class:  1, CF:0.638546, Len: 10, Fitness_tra: 0
Rule 49: b2715e2b2b, Class:  1, CF:0.690559, Len: 10, Fitness_tra: 0
Rule 50: b414cf7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1b223f7127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 1b72ce1774, Class:  1, CF:0.992091, Len: 10, Fitness_tra: -51
Rule 53: 27425111b2, Class:  1, CF:0.985736, Len: 10, Fitness_tra: 0
Rule 54: b842c5bbb1, Class:  1, CF:0.106541, Len: 10, Fitness_tra: 0
Rule 55: 42b2592722, Class:  1, CF:0.832009, Len: 10, Fitness_tra: 0
Rule 56: 7b71861427, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: bb245a7b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: c21291458c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2cbb132111, Class:  0, CF:0.962377, Len: 10, Fitness_tra: 0
Rule 60: 49725d4b72, Class:  0, CF:0.998727, Len: 10, Fitness_tra: 0
Rule 61: 71271127b4, Class:  1, CF:0.828227, Len: 10, Fitness_tra: 0
Rule 62: c27119b8b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 26922d4ee5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2b44292b14, Class:  1, CF:0.974826, Len: 10, Fitness_tra: 0
Rule 65: 1272591114, Class:  0, CF:0.129589, Len: 10, Fitness_tra: 117
Rule 66: 211b857322, Class:  1, CF:0.944562, Len: 10, Fitness_tra: 0
Rule 67: bb27867127, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 4114157912, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 69: 2122d12212, Class:  1, CF:0.998048, Len: 10, Fitness_tra: 0
Rule 70: 212b591581, Class:  1, CF:  1, Len: 10, Fitness_tra: 3
Rule 71: 414b8f4b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 4444114172, Class:  1, CF:0.880337, Len: 10, Fitness_tra: 0
Rule 73: 244721b2b2, Class:  1, CF:0.971799, Len: 10, Fitness_tra: 0
Rule 74: 47b4132721, Class:  0, CF:0.276531, Len: 10, Fitness_tra: 0
Rule 75: 1117c12b27, Class:  1, CF:0.902723, Len: 10, Fitness_tra: 0
Rule 76: bbb75374bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 21115a2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: c2cb117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: bb12114112, Class:  1, CF:0.931116, Len: 10, Fitness_tra: 0
Rule 80: 4741592227, Class:  1, CF:0.999896, Len: 10, Fitness_tra: 2
Rule 81: 1b272f2744, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 82: 74271614bb, Class:  0, CF:0.99928, Len: 10, Fitness_tra: 1
Rule 83: 171b16b7b4, Class:  0, CF:0.809033, Len: 10, Fitness_tra: 0
Rule 84: 83818141d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2171117171, Class:  1, CF:0.880741, Len: 10, Fitness_tra: 1403
Rule 86: 1224562741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b7778571b4, Class:  1, CF:0.978483, Len: 10, Fitness_tra: 0
Rule 88: 1714892141, Class:  1, CF:0.00195078, Len: 10, Fitness_tra: -55
Rule 89: b712197444, Class:  1, CF:0.996021, Len: 10, Fitness_tra: 0
Rule 90: 7427c32244, Class:  1, CF:0.997383, Len: 10, Fitness_tra: 0
Rule 91: c141591227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b444117447, Class:  1, CF:0.982175, Len: 10, Fitness_tra: 0
Rule 93: 212dd97421, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: b211c5b784, Class:  1, CF:0.999977, Len: 10, Fitness_tra: 179
Rule 95: 2121294eed, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 1126817827, Class:  1, CF:  1, Len: 10, Fitness_tra: 212
Rule 97: b26115b7b4, Class:  1, CF:0.955186, Len: 10, Fitness_tra: 0
Rule 98: 1215131417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: bb777374bb, Class:  1, CF:0.360526, Len: 10, Fitness_tra: 0
Rule100: b1b78321b4, Class:  1, CF:0.922849, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:69.4082
------Result------
Miss_rate(tra)	:69.4082
Miss_rate(tst)	:38.2084
ARL				:10

------Generation 1------
Rule  1: 121441211b, Class:  0, CF:0.596906, Len: 10, Fitness_tra: 3653
Rule  2: 2171117171, Class:  1, CF:0.880741, Len: 10, Fitness_tra: 2160
Rule  3: 71b112b7b7, Class:  1, CF:0.976424, Len: 10, Fitness_tra: 174
Rule  4: 27215d1471, Class:  1, CF:0.999284, Len: 10, Fitness_tra: 362
Rule  5: 1126817827, Class:  1, CF:  1, Len: 10, Fitness_tra: 90
Rule  6: b211c5b784, Class:  1, CF:0.999977, Len: 10, Fitness_tra: 69
Rule  7: 1272591114, Class:  0, CF:0.129589, Len: 10, Fitness_tra: 189
Rule  8: 11bb161711, Class:  0, CF:0.931578, Len: 10, Fitness_tra: 95
Rule  9: 427bc31147, Class:  1, CF:0.994641, Len: 10, Fitness_tra: 0
Rule 10: 11c2311111, Class:  1, CF:0.768985, Len: 10, Fitness_tra: 43
Rule 11: 7227112211, Class:  1, CF:0.912564, Len: 10, Fitness_tra: 42
Rule 12: b21115b7b4, Class:  1, CF:0.963884, Len: 10, Fitness_tra: 30
Rule 13: bbb4851724, Class:  1, CF:0.999643, Len: 10, Fitness_tra: 4
Rule 14: 4c42111442, Class:  1, CF:0.977847, Len: 10, Fitness_tra: 7
Rule 15: 41121911c2, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 16: 717b711b22, Class:  1, CF:0.902436, Len: 10, Fitness_tra: 1
Rule 17: b241517211, Class:  1, CF:0.994995, Len: 10, Fitness_tra: 8
Rule 18: 71448d174b, Class:  1, CF:0.992848, Len: 10, Fitness_tra: 0
Rule 19: 4871134217, Class:  1, CF:0.601757, Len: 10, Fitness_tra: 0
Rule 20: 212b591581, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule 21: 4821337bb2, Class:  0, CF:0.998965, Len: 10, Fitness_tra: 2
Rule 22: 115b212151, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 23: 4741592227, Class:  1, CF:0.999896, Len: 10, Fitness_tra: 1
Rule 24: 1114131c87, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: 74271614bb, Class:  0, CF:0.99928, Len: 10, Fitness_tra: 0
Rule 26: 4144c1b277, Class:  1, CF:0.997051, Len: 10, Fitness_tra: 1
Rule 27: b1b78321b4, Class:  1, CF:0.922849, Len: 10, Fitness_tra: 0
Rule 28: bb777374bb, Class:  1, CF:0.360526, Len: 10, Fitness_tra: 0
Rule 29: 1247112b44, Class:  1, CF:0.504906, Len: 10, Fitness_tra: 0
Rule 30: 2242534122, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 2721894414, Class:  1, CF:0.999636, Len: 10, Fitness_tra: 0
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4772d94141, Class:  1, CF:0.978085, Len: 10, Fitness_tra: 0
Rule 34: 4141634511, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 2422da2127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b2b28f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1424512bb2, Class:  1, CF:0.404725, Len: 10, Fitness_tra: 0
Rule 38: b3428521b2, Class:  1, CF:0.995199, Len: 10, Fitness_tra: 0
Rule 39: b112d97421, Class:  1, CF:0.973967, Len: 10, Fitness_tra: 0
Rule 40: 287b254141, Class:  1, CF:0.668488, Len: 10, Fitness_tra: 0
Rule 41: 2447584b21, Class:  1, CF:0.871265, Len: 10, Fitness_tra: 0
Rule 42: 2b42de1212, Class:  1, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 43: 2b421321bb, Class:  1, CF:0.548492, Len: 10, Fitness_tra: 0
Rule 44: 85cb534511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cc2ea1d9d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b78ab271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 41b225b772, Class:  1, CF:0.983604, Len: 10, Fitness_tra: 0
Rule 48: b2bb3142b7, Class:  1, CF:0.638546, Len: 10, Fitness_tra: 0
Rule 49: b2715e2b2b, Class:  1, CF:0.690559, Len: 10, Fitness_tra: 0
Rule 50: b414cf7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1b223f7127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 27425111b2, Class:  1, CF:0.985736, Len: 10, Fitness_tra: 0
Rule 53: b842c5bbb1, Class:  1, CF:0.106541, Len: 10, Fitness_tra: 0
Rule 54: 42b2592722, Class:  1, CF:0.832009, Len: 10, Fitness_tra: 0
Rule 55: 7b71861427, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 56: bb245a7b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: c21291458c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 2cbb132111, Class:  0, CF:0.962377, Len: 10, Fitness_tra: 0
Rule 59: 49725d4b72, Class:  0, CF:0.998727, Len: 10, Fitness_tra: 0
Rule 60: 71271127b4, Class:  1, CF:0.828227, Len: 10, Fitness_tra: 0
Rule 61: c27119b8b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 26922d4ee5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2b44292b14, Class:  1, CF:0.974826, Len: 10, Fitness_tra: 0
Rule 64: 211b857322, Class:  1, CF:0.944562, Len: 10, Fitness_tra: -27
Rule 65: bb27867127, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 4114157912, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 67: 2122d12212, Class:  1, CF:0.998048, Len: 10, Fitness_tra: 0
Rule 68: b11211b271, Class:  1, CF:0.922114, Len: 10, Fitness_tra: 0
Rule 69: 414b8f4b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4444114172, Class:  1, CF:0.880337, Len: 10, Fitness_tra: 0
Rule 71: 244721b2b2, Class:  1, CF:0.971799, Len: 10, Fitness_tra: 0
Rule 72: 47b4132721, Class:  0, CF:0.276531, Len: 10, Fitness_tra: 0
Rule 73: 1117c12b27, Class:  1, CF:0.902723, Len: 10, Fitness_tra: 0
Rule 74: bbb75374bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 21115a2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: c2cb117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: bb12114112, Class:  1, CF:0.931116, Len: 10, Fitness_tra: 0
Rule 78: b2b721b714, Class:  1, CF:0.935237, Len: 10, Fitness_tra: 0
Rule 79: 1b272f2744, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: 7771cf1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 41371d2165, Class:  1, CF:0.986579, Len: 10, Fitness_tra: 0
Rule 82: 2472812477, Class:  1, CF:0.994792, Len: 10, Fitness_tra: 0
Rule 83: 2b72d64b74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 4247d9721b, Class:  1, CF:0.91286, Len: 10, Fitness_tra: 0
Rule 85: 227255b712, Class:  1, CF:0.604557, Len: 10, Fitness_tra: 0
Rule 86: 2b2b534147, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 274181112b, Class:  1, CF:0.998931, Len: 10, Fitness_tra: 1134
Rule 88: 42c1131124, Class:  1, CF:0.640439, Len: 10, Fitness_tra: 165
Rule 89: 21211e1b42, Class:  1, CF:0.999267, Len: 10, Fitness_tra: 169
Rule 90: 444b191427, Class:  1, CF:0.989818, Len: 10, Fitness_tra: 25
Rule 91: bb4215210b, Class:  1, CF:0.978935, Len:  9, Fitness_tra: -2
Rule 92: 4c42211441, Class:  1, CF:0.974534, Len: 10, Fitness_tra: 2
Rule 93: 2241554e27, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 94: 2172d5b141, Class:  1, CF:0.973446, Len: 10, Fitness_tra: 0
Rule 95: 2c7b132111, Class:  0, CF:0.949806, Len: 10, Fitness_tra: 0
Rule 96: b872134a47, Class:  0, CF:0.986665, Len: 10, Fitness_tra: 0
Rule 97: 0727c514bb, Class:  1, CF:0.904518, Len:  9, Fitness_tra: -260
Rule 98: b111517421, Class:  1, CF:0.996677, Len: 10, Fitness_tra: -45
Rule 99: eb2455b712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 27bb132724, Class:  0, CF:0.101533, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:59.5408
------Result------
Miss_rate(tra)	:59.5408
Miss_rate(tst)	:18.6472
ARL				:9.9759

------Generation 2------
Rule  1: 121441211b, Class:  0, CF:0.596906, Len: 10, Fitness_tra: 3653
Rule  2: 2171117171, Class:  1, CF:0.880741, Len: 10, Fitness_tra: 2160
Rule  3: 71b112b7b7, Class:  1, CF:0.976424, Len: 10, Fitness_tra: 174
Rule  4: 27215d1471, Class:  1, CF:0.999284, Len: 10, Fitness_tra: 362
Rule  5: 1126817827, Class:  1, CF:  1, Len: 10, Fitness_tra: 90
Rule  6: b211c5b784, Class:  1, CF:0.999977, Len: 10, Fitness_tra: 69
Rule  7: 1272591114, Class:  0, CF:0.129589, Len: 10, Fitness_tra: 189
Rule  8: 11bb161711, Class:  0, CF:0.931578, Len: 10, Fitness_tra: 95
Rule  9: 427bc31147, Class:  1, CF:0.994641, Len: 10, Fitness_tra: 0
Rule 10: 11c2311111, Class:  1, CF:0.768985, Len: 10, Fitness_tra: 43
Rule 11: 7227112211, Class:  1, CF:0.912564, Len: 10, Fitness_tra: 42
Rule 12: b21115b7b4, Class:  1, CF:0.963884, Len: 10, Fitness_tra: 30
Rule 13: bbb4851724, Class:  1, CF:0.999643, Len: 10, Fitness_tra: 4
Rule 14: 4c42111442, Class:  1, CF:0.977847, Len: 10, Fitness_tra: 7
