------Generation 0------
Rule  1: 13f11c11312c5, Class:  0, CF:0.916178, Len: 13, Fitness_tra: 0
Rule 57: 0000902000d40, Class:  0, CF:  1, Len:  4, Fitness_tra: 14
Rule 58: 74bc91818395e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 17b5113115581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 747141285195d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 61b8318213155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: ae2c1d1112d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0002000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 0000000809000, Class:  0, CF:0.879152, Len:  2, Fitness_tra: 56
Rule 65: fe7154515d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 6f318113cc513, Class:  1, CF:0.738178, Len: 13, Fitness_tra: 0
Rule 67: a175181935521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2415519719115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 7411955115831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 61fdd85c11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3175121191512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: ff32115551512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 0000000003000, Class:  0, CF:0.138839, Len:  1, Fitness_tra: 120
Rule 74: 2811152329341, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: 00000300c0000, Class:  0, CF:0.183048, Len:  2, Fitness_tra: 26
Rule 76: 42251d1121519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b5a511451937d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 74b1111811135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 33125519d5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 7c71cc219539d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 48f31d1d11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 714cede221395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b242111e11811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: ff3592c511c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: bb1d1d1211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: f32d11515d1d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 7173d15155131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1eb5c1e913511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000300000d00, Class:  1, CF:0.142065, Len:  2, Fitness_tra: -17
Rule 90: 2c393d1156181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 17b13d11d3211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4271111831111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: f31c181dd931d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: bda1213f11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000300c0000, Class:  0, CF:0.183048, Len:  2, Fitness_tra: 0
Rule 96: a9b9511515911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: bc15598313151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: fe28118151555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 020d000000000, Class:  0, CF:0.586225, Len:  2, Fitness_tra: 154
Rule100: 133cd51511853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:21.7733
------Result------
Miss_rate(tra)	:21.7733
Miss_rate(tst)	:18.1818
ARL				:7.10345

------Generation 0------
Rule  1: 020d000000000, Class:  0, CF:0.586225, Len:  2, Fitness_tra: 155
Rule  2: 000d000000000, Class:  0, CF:0.302492, Len:  1, Fitness_tra: 105
Rule  3: 0000000003000, Class:  0, CF:0.138839, Len:  1, Fitness_tra: 143
Rule  4: 0200900000040, Class:  0, CF:  1, Len:  3, Fitness_tra: 81
Rule  5: 0000000809000, Class:  0, CF:0.879152, Len:  2, Fitness_tra: 58
Rule  6: 00000300c0000, Class:  0, CF:0.183048, Len:  2, Fitness_tra: 41
Rule  7: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 22
Rule  8: 0000902000d40, Class:  0, CF:  1, Len:  4, Fitness_tra: 14
Rule  9: 000020e90000c, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 10: 0002009000084, Class:  0, CF:0.0855393, Len:  4, Fitness_tra: 8
Rule 11: 13f11c11312c5, Class:  0, CF:0.916178, Len: 13, Fitness_tra: 0
Rule 12: 133cd51511853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3122861dd8113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3fa111131d88e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: a912125113118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: a615988c9581e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 39489155d9111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 333211395d841, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f1a5551122213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 2773115291198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 6179d5818d192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 23: a978e88513511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6d71211122113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1fa5d133558c3, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: b71c1d3215311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 61bde15519831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f145111911128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f17552585d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: f3f1182553151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1c111d2121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b8a2e1118e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000ec400000cd, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 2221955155131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3f151c5135881, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 13b1813da1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6115515913d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b83c91c21535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11f1511141811, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 40: 41b1311b2111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a3b211d159151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: aea398c111119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3d11231c8c5e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7271113155d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b81ec91d13121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3e21151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b215816de5351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: bbb5d235e5931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a973c5111551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: f6f18931c1111, Class:  0, CF:0.0292914, Len: 13, Fitness_tra: 0
Rule 51: 78fdc31318111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7839d51126815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b741151121191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 71459e1c8135e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b2f1511525859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: a1bc9122115d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 6668136118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 74bc91818395e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 17b5113115581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 747141285195d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 61b8318213155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: ae2c1d1112d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0002000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 21738c9de1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: fe7154515d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 6f318113cc513, Class:  1, CF:0.738178, Len: 13, Fitness_tra: 0
Rule 67: a175181935521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2415519719115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 7411955115831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 61fdd85c11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3175121191512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: ff32115551512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 3315511515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2811152329341, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: b5a1c133188ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 42251d1121519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b5a511451937d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 74b1111811135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 33125519d5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 7c71cc219539d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4c21891135113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0205000000000, Class:  0, CF:0.638265, Len:  2, Fitness_tra: 11
Rule 83: 0002000400e0e, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 84: 42f2538911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000200d0000, Class:  0, CF:0.0301001, Len:  2, Fitness_tra: 40
Rule 86: 72719317551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00000020d0d59, Class:  0, CF:0.539405, Len:  5, Fitness_tra: 1
Rule 88: 31118331d5213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: bc1d111d239c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 31291151e1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f10b831010100, Class:  0, CF:0.538116, Len:  8, Fitness_tra: 0
Rule 92: 31bd811d19831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: b200d110c1001, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: f32cd1551d895, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 07b5103109504, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00088013c5e0e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000d0000000c8, Class:  0, CF:0.648914, Len:  3, Fitness_tra: 34
Rule 98: 73b1119111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1831c1b21535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 6d71201002113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.9989
------Result------
Miss_rate(tra)	:10.9989
Miss_rate(tst)	:10.101
ARL				:7.35484

------Generation 1------
Rule  1: 020d000000000, Class:  0, CF:0.586225, Len:  2, Fitness_tra: 141
Rule  2: 0000000003000, Class:  0, CF:0.138839, Len:  1, Fitness_tra: 129
Rule  3: 000d000000000, Class:  0, CF:0.302492, Len:  1, Fitness_tra: 102
Rule  4: 0200900000040, Class:  0, CF:  1, Len:  3, Fitness_tra: 67
Rule  5: 0000000809000, Class:  0, CF:0.879152, Len:  2, Fitness_tra: 48
Rule  6: 00000300c0000, Class:  0, CF:0.183048, Len:  2, Fitness_tra: 37
Rule  7: 00000200d0000, Class:  0, CF:0.0301001, Len:  2, Fitness_tra: 12
Rule  8: 000d0000000c8, Class:  0, CF:0.648914, Len:  3, Fitness_tra: 35
Rule  9: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 22
Rule 10: 0000902000d40, Class:  0, CF:  1, Len:  4, Fitness_tra: 6
Rule 11: 0205000000000, Class:  0, CF:0.638265, Len:  2, Fitness_tra: 11
Rule 12: 0002009000084, Class:  0, CF:0.0855393, Len:  4, Fitness_tra: 2
Rule 13: 11f1511141811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 000020e90000c, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 15: 00000020d0d59, Class:  0, CF:0.539405, Len:  5, Fitness_tra: 0
Rule 16: 3122861dd8113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 39489155d9111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 333211395d841, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: f1a5551122213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 2773115291198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 6179d5818d192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 23: a978e88513511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6d71211122113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1fa5d133558c3, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: b71c1d3215311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 61bde15519831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f145111911128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f17552585d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: f3f1182553151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1c111d2121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b8a2e1118e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000ec400000cd, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 2221955155131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3f151c5135881, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 13b1813da1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6115515913d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b83c91c21535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3fa111131d88e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 41b1311b2111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a3b211d159151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: aea398c111119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3d11231c8c5e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7271113155d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b81ec91d13121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3e21151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b215816de5351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: bbb5d235e5931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a973c5111551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: f6f18931c1111, Class:  0, CF:0.0292914, Len: 13, Fitness_tra: 0
Rule 51: 78fdc31318111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7839d51126815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b741151121191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 71459e1c8135e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b2f1511525859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: a1bc9122115d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 6668136118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 74bc91818395e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 17b5113115581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 747141285195d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 61b8318213155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: ae2c1d1112d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0002000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 21738c9de1181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: fe7154515d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 6f318113cc513, Class:  1, CF:0.738178, Len: 13, Fitness_tra: 0
Rule 67: a175181935521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 2415519719115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 7411955115831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 61fdd85c11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3175121191512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: ff32115551512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 3315511515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2811152329341, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: b5a1c133188ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 42251d1121519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b5a511451937d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 74b1111811135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 33125519d5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 7c71cc219539d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00032000005d0, Class:  0, CF:0.907289, Len:  4, Fitness_tra: 29
Rule 82: 00000d000d000, Class:  0, CF:0.109732, Len:  2, Fitness_tra: 54
Rule 83: 0000002000d49, Class:  0, CF:0.944146, Len:  4, Fitness_tra: 15
Rule 84: 28f3151183325, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 00000900c0000, Class:  0, CF:0.722512, Len:  0, Fitness_tra: 0
Rule 86: 00000900c0000, Class:  0, CF:0.722512, Len:  0, Fitness_tra: 0
Rule 87: 113193821111c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: f141155d85e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 7239c5511511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: b86d812d13115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 6611911c95813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 3d71261dd8113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0075cc21c039d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 6f78ab821d85e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 11f1111141812, Class:  1, CF:0.304183, Len: 13, Fitness_tra: 0
Rule 96: 78bdc11319111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0745101021000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 34145515351a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0d00000802000, Class:  1, CF:0.212996, Len:  3, Fitness_tra: -17
Rule100: 097d008513510, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:10.9989
------Result------
Miss_rate(tra)	:10.9989
Miss_rate(tst)	:14.1414
ARL				:7.02857

------Generation 2------
Rule  1: 020d000000000, Class:  0, CF:0.586225, Len:  2, Fitness_tra: 141
Rule  2: 0000000003000, Class:  0, CF:0.138839, Len:  1, Fitness_tra: 129
Rule  3: 000d000000000, Class:  0, CF:0.302492, Len:  1, Fitness_tra: 102
Rule  4: 0200900000040, Class:  0, CF:  1, Len:  3, Fitness_tra: 67
Rule  5: 0000000809000, Class:  0, CF:0.879152, Len:  2, Fitness_tra: 48
Rule  6: 00000300c0000, Class:  0, CF:0.183048, Len:  2, Fitness_tra: 37
Rule  7: 00000200d0000, Class:  0, CF:0.0301001, Len:  2, Fitness_tra: 12
Rule  8: 000d0000000c8, Class:  0, CF:0.648914, Len:  3, Fitness_tra: 35
Rule  9: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 22
Rule 10: 0000902000d40, Class:  0, CF:  1, Len:  4, Fitness_tra: 6
Rule 11: 0205000000000, Class:  0, CF:0.638265, Len:  2, Fitness_tra: 11
Rule 12: 0002009000084, Class:  0, CF:0.0855393, Len:  4, Fitness_tra: 2
Rule 13: 11f1511141811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
