------Generation 0------
Rule  1: 93ffe13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 9a2fad1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11ff3d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 913115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 55aa551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 51ff528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 87f1521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1161658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 9efa111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 51f6111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 5bf3111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 196f312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 35613d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e331352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e363128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 15f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 25: 111f533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1861d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e611352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1663111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3e61614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000096e, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 31: 3ff131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 313131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 553f212, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 113f2c1, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: e1a631c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 18fa93e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1161519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 111f651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1566111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 41: 1233131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 42: d161558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1136121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 44: 553193e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 151f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 9a1fa1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 91f1252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 8df1d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 331aa51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 91af1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 11f615c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1ea1311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 351f134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1dfad82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 5463582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 75f1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 8166528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1116351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 516f115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 432aa11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3116371, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 613f11e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2513113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 64: e3f63b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 24a3185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 93319d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 811f351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e3a3132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 2516111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 11aa115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 88a1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3a6111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: e9fa315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 16faa35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 91aa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 77: 3e36311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 166a645, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1fa13d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1af6311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5daf921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 5d1f112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 31a3e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1163d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1366311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 416a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111a312, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 90: 5611351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d163515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 04a352c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e613312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7800092, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 95: 9e3a121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 936f11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: e5a1881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000096e, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 99: 3361652, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1d06300, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.2465
------Result------
Miss_rate(tra)	:70.2465
Miss_rate(tst)	:50
ARL				:4.56

------Generation 1------
Rule  1: 0500000, Class:  1, CF:0.564922, Len:  1, Fitness_tra: 106
Rule  2: 000000d, Class:  0, CF:0.99062, Len:  1, Fitness_tra: 93
Rule  3: 0d00000, Class:  1, CF:0.45627, Len:  1, Fitness_tra: 66
Rule  4: 0b00d00, Class:  0, CF:0.496763, Len:  2, Fitness_tra: 38
Rule  5: 93ffe13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 393a618, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 9a2fad1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11ff3d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 913115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 55aa551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 51ff528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 87f1521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1161658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 9efa111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 51f6111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 5bf3111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 196f312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 35613d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e331352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e363128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 15f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 25: 111f533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1861d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e611352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1663111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3e61614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000096e, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 31: 3ff131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 313131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 553f212, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 113f2c1, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: e1a631c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 18fa93e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1161519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 111f651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1566111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 41: 1233131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 42: d161558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1136121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 44: 553193e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 151f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 9a1fa1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 91f1252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 8df1d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 331aa51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 91af1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 11f615c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1ea1311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 351f134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1dfad82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 5463582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 75f1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 8166528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1116351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 516f115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 432aa11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3116371, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 613f11e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2513113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 64: e3f63b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 24a3185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 93319d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 811f351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e3a3132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 2516111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 71: 11aa115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 88a1d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3a6111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: e9fa315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 16faa35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 91aa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 77: 3e36311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 166a645, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1fa13d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1af6311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5daf921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 5d1f112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 84: 31a3e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1163d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1366311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 416a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111a312, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 90: 5611351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d163515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 04a352c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e613312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7800092, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 95: 9e3a121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 936f11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: e5a1881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000096e, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 99: 3361652, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1d06300, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.2465
------Result------
Miss_rate(tra)	:70.2465
Miss_rate(tst)	:50
ARL				:4.56

------Generation 2------
Rule  1: 0500000, Class:  1, CF:0.564922, Len:  1, Fitness_tra: 106
Rule  2: 000000d, Class:  0, CF:0.99062, Len:  1, Fitness_tra: 93
Rule  3: 0d00000, Class:  1, CF:0.45627, Len:  1, Fitness_tra: 66
Rule  4: 0b00d00, Class:  0, CF:0.496763, Len:  2, Fitness_tra: 38
Rule  5: 93ffe13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 393a618, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 9a2fad1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11ff3d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 913115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 55aa551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 51ff528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 87f1521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1161658, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 9efa111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 51f6111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 17: 5bf3111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 196f312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 35613d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e331352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e363128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 15f1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 25: 111f533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1861d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e611352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1663111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3e61614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000096e, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 31: 3ff131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 313131c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 553f212, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 113f2c1, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
