------Generation 0------
Rule  1: 885127c5421152111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9511125cd115124111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000b00, Class:  1, CF:0.124782, Len:  1, Fitness_tra: -125
Rule 77: 0000008d000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 79: 3e31129291d5312113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 115822184211121531, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 51d22181122c1445e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 13a1143c15d15231d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 193542115311181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 8212225d4811141191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2118141512c2241593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 33152c941151121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 551884c1211c1c2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: c21212231c2412111c, Class:  0, CF:0.898686, Len: 18, Fitness_tra: 1
Rule 89: 151227c528c4112418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 821111214812222151, Class:  0, CF:0.977286, Len: 18, Fitness_tra: 0
Rule 91: 2121171322225c1244, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: d005008dc08800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 82dc148121c2c42193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 196821111d52521233, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 116111949115141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 02d000000050000060, Class:  0, CF:0.925737, Len:  4, Fitness_tra: 0
Rule 97: d00000000000000004, Class:  0, CF:0.909828, Len:  2, Fitness_tra: 143
Rule 98: 00000000000000c0d2, Class:  0, CF:0.00890362, Len:  3, Fitness_tra: 8
Rule 99: 111141919113322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 521211812111821511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
------Current------
Miss_rate(tra)	:42.707
------Result------
Miss_rate(tra)	:42.707
Miss_rate(tst)	:37.6471
ARL				:11.675

------Generation 0------
Rule  1: d00000000000000004, Class:  0, CF:0.909828, Len:  2, Fitness_tra: 145
Rule  2: d0d000000000000000, Class:  0, CF:0.932528, Len:  2, Fitness_tra: 68
Rule  3: 02d007004200000030, Class:  0, CF:0.427392, Len:  6, Fitness_tra: 25
Rule  4: c22272414117222118, Class:  0, CF:0.533159, Len: 18, Fitness_tra: 7
Rule  5: 00000000000000c0d2, Class:  0, CF:0.00890362, Len:  3, Fitness_tra: 12
Rule  6: 000000000500000000, Class:  0, CF:0.472074, Len:  1, Fitness_tra: -4
Rule  7: 1312426b1113121114, Class:  0, CF:0.896824, Len: 18, Fitness_tra: 17
Rule  8: 0000c00008000000dd, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule  9: c21212231c2412111c, Class:  0, CF:0.898686, Len: 18, Fitness_tra: 1
Rule 10: 885127c5421152111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 111422111147881122, Class:  1, CF:0.790621, Len: 18, Fitness_tra: -20
Rule 12: 1211871212111242e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 59182194195d1115d9, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 916114579315541185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5132145c51215b1251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1965125133dd911151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 115127225351311293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1e3111919351911121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3135115c1581842159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11124b11821c511833, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 23: 22222215c82c812115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 116522949155172351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 88814485c114281c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00d00b005850000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 11151431111534111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 272c111e22172421e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 521211812111821511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 1851124dc2c21212c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 030000005050005700, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1152228d8118513111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 181242d21251122591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 18847b291122811124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 522221217c42221111, Class:  0, CF:0.998082, Len: 18, Fitness_tra: 0
Rule 36: 113112115911111119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 81114485c124111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 115124181422712113, Class:  1, CF:0.647861, Len: 18, Fitness_tra: 0
Rule 39: 0000000000080800c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5535111c811d112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 09000c0003000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5255c7112c884221e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 111171131824112121, Class:  0, CF:0.713906, Len: 18, Fitness_tra: 7
Rule 44: 1e31421c5311e221d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00d00b005050005000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 11d1222511222125e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 53612ce1e1599c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 191dc1125dd9522118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 113512113911311c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: c884b7852124281141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1335279151d5341c31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1114421155c4114185, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 151144c3212218212b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: c15c4781211c512b11, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: 151121858818111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 111141919113322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 55952421c18c141251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 59: 5165c15c5155512311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 196d1c14d1d5511859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 15141bc5121c1c1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 511227851211117152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 28224781c82c111127, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 64: 1151112541121c5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 8811242121248712d5, Class:  0, CF:0.97902, Len: 18, Fitness_tra: -1
Rule 66: 111247128118141131, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 67: 391511519955341215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5c84244e4514811221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1ea521513393145159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 52d1c712242c222135, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 21124412c8c8c12313, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 72: 3518211c1511272113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 11112ce1915111911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: d551115512cc211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9511125cd115124111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000008d000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 78: 3e31129291d5312113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 115822184211121531, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 80: 51d22181122c1445e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 82: 0000700000000000e0, Class:  1, CF:0.259738, Len:  2, Fitness_tra: -5
Rule 83: 155211114514821211, Class:  0, CF:0.988128, Len: 18, Fitness_tra: 0
Rule 84: 000000000c000080d0, Class:  0, CF:0.00954724, Len:  3, Fitness_tra: 1
Rule 85: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: c11724732272223122, Class:  0, CF:0.931506, Len: 18, Fitness_tra: 12
Rule 87: 1154421341471c1518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d51517812118811231, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 89: 000000000500000000, Class:  0, CF:0.472074, Len:  0, Fitness_tra: 0
Rule 90: 515812825c81221155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 91: 02d00000420500c0d0, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 92: 20020210080c080100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 10300040c002101001, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 94: 48d41b212322c421a3, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 515822881211117532, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1e33129139d1311123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 18222731112718a122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: 5255c7112c884221e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0905029091051823c0, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule100: 115d1c24d151311259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:42.4442
------Result------
Miss_rate(tra)	:42.4442
Miss_rate(tst)	:40
ARL				:12.5714

------Generation 1------
Rule  1: d00000000000000004, Class:  0, CF:0.909828, Len:  2, Fitness_tra: 165
Rule  2: d0d000000000000000, Class:  0, CF:0.932528, Len:  2, Fitness_tra: 75
Rule  3: 02d007004200000030, Class:  0, CF:0.427392, Len:  6, Fitness_tra: -1
Rule  4: 1312426b1113121114, Class:  0, CF:0.896824, Len: 18, Fitness_tra: 21
Rule  5: c11724732272223122, Class:  0, CF:0.931506, Len: 18, Fitness_tra: 14
Rule  6: 00000000000000c0d2, Class:  0, CF:0.00890362, Len:  3, Fitness_tra: 16
Rule  7: c22272414117222118, Class:  0, CF:0.533159, Len: 18, Fitness_tra: 9
Rule  8: 0000c00008000000dd, Class:  0, CF:  1, Len:  4, Fitness_tra: 10
Rule  9: 111171131824112121, Class:  0, CF:0.713906, Len: 18, Fitness_tra: 0
Rule 10: c21212231c2412111c, Class:  0, CF:0.898686, Len: 18, Fitness_tra: -1
Rule 11: 000000000c000080d0, Class:  0, CF:0.00954724, Len:  3, Fitness_tra: 4
Rule 12: 28224781c82c111127, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 115d1c24d151311259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 916114579315541185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5132145c51215b1251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1965125133dd911151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 115127225351311293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1e3111919351911121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3135115c1581842159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11124b11821c511833, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 23: 22222215c82c812115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 116522949155172351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 88814485c114281c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00d00b005850000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 11151431111534111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 272c111e22172421e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 521211812111821511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 1851124dc2c21212c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 030000005050005700, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1152228d8118513111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 181242d21251122591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 18847b291122811124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 522221217c42221111, Class:  0, CF:0.998082, Len: 18, Fitness_tra: 0
Rule 36: 113112115911111119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 81114485c124111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 115124181422712113, Class:  1, CF:0.647861, Len: 18, Fitness_tra: 1
Rule 39: 0000000000080800c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5535111c811d112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 09000c0003000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5255c7112c884221e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 885127c5421152111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1e31421c5311e221d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00d00b005050005000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 11d1222511222125e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 53612ce1e1599c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 191dc1125dd9522118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 113512113911311c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: c884b7852124281141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1335279151d5341c31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1114421155c4114185, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 151144c3212218212b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: c15c4781211c512b11, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: 151121858818111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 111141919113322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 55952421c18c141251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 59: 5165c15c5155512311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 196d1c14d1d5511859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 15141bc5121c1c1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 511227851211117152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1211871212111242e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1151112541121c5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0905029091051823c0, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 66: 111247128118141131, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 67: 391511519955341215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5c84244e4514811221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1ea521513393145159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 52d1c712242c222135, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 21124412c8c8c12313, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 72: 3518211c1511272113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 11112ce1915111911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: d551115512cc211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9511125cd115124111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000008d000c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 78: 3e31129291d5312113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 115822184211121531, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 80: 51d22181122c1445e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00000c000000000000, Class:  1, CF:0.295215, Len:  1, Fitness_tra: -2
Rule 82: 03000c004040000000, Class:  1, CF:0.258314, Len:  4, Fitness_tra: 0
Rule 83: 52221bc52121118222, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 84: 0000008d008c005000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 515881c24128242513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 151112c521125c5811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000500000000, Class:  0, CF:0.472074, Len:  0, Fitness_tra: 0
Rule 88: 8552114515142c7221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 255c4c1513115241c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 159c242d152814c281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 00d00b2450e1301259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000000500000000, Class:  0, CF:0.472074, Len:  0, Fitness_tra: 0
Rule 93: 115124131a24112123, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 94: 3e3112900a030821c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 11188438113d31111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 105d0000000130c0d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d22700004100000114, Class:  0, CF:0.957662, Len:  9, Fitness_tra: 0
Rule 98: 53112ce1e15911911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 103000000c010021d1, Class:  1, CF:0.461447, Len:  8, Fitness_tra: 6
Rule100: 011040100804100185, Class:  1, CF:0.0761237, Len: 10, Fitness_tra: -3
------Current------
Miss_rate(tra)	:41.3929
------Result------
Miss_rate(tra)	:41.3929
Miss_rate(tst)	:37.6471
ARL				:11.7297

------Generation 2------
Rule  1: d00000000000000004, Class:  0, CF:0.909828, Len:  2, Fitness_tra: 156
Rule  2: d0d000000000000000, Class:  0, CF:0.932528, Len:  2, Fitness_tra: 71
