------Generation 0------
Rule  1: 312d1511619c8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 68: 27b8d15755111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: fef1151155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 61b3221111555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: ae21521111118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 3315111c15513, Class:  1, CF:0.867597, Len: 13, Fitness_tra: 4
Rule 73: 030b9a6200039, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b1b5213c17933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1d45831212536, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 333133111831c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 11f1259122119, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 78: 36a21121d5221, Class:  1, CF:0.702291, Len: 13, Fitness_tra: -12
Rule 79: a1313ddd55551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 134d25e3311c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 392511d511311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b1a2e51113915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 61111511115d2, Class:  0, CF:  1, Len: 13, Fitness_tra: 38
Rule 84: 7173d1111d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1af1151518d23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 4b42315155d39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 413e192545111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 35be151d15515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b7b19118d5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: aa3c559118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 91: a3611de821111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 92: 42435532c5e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 397111513e511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: a311121111211, Class:  0, CF:0.109678, Len: 13, Fitness_tra: 53
Rule 95: b3a5552151819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 6175e88153382, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2b71853212158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1c49552585851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: bb25d83198851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: a165e22136d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.4557
------Result------
Miss_rate(tra)	:34.4557
Miss_rate(tst)	:33.3333
ARL				:12.2222

------Generation 0------
Rule  1: 0000403000042, Class:  0, CF:0.977865, Len:  4, Fitness_tra: 450
Rule  2: a311121111211, Class:  0, CF:0.109678, Len: 13, Fitness_tra: 66
Rule  3: 61111511115d2, Class:  0, CF:  1, Len: 13, Fitness_tra: 36
Rule  4: 36f3d11211151, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  5: 2568251112286, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule  6: 3315111c15513, Class:  1, CF:0.867597, Len: 13, Fitness_tra: 5
Rule  7: 11f1259122119, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule  8: 020b9f6200039, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 3621d5d525111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: aa3c559118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: 312d1511619c8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1da2a11111223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b14188915c9d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2248111195911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: b5315382cde82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f51111d155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3e11e15511d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1373135251115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 144e52d11c385, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: a128911d8599d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 28451611c1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: a178111111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2811958119515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 721251581d899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 7b123531d1538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4c7d811155153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 14b2915113511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4c43835252111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: b815111815314, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 391111dd1d185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1127833d55251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4865113331283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: a165e22136d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b538152111171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b534111315d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: aa35911591d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7dfc8919b5c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4235853915121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b8a15321211c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: fe21551511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: feb1e51551511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 6e1115c159152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: feb131c519511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3af85e3912183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b213221581453, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 61312f6118551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3171151355122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 17b18885c3811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b162111981d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 71659182835d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 28651d5523545, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4d121e35b218a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 21238153131d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 66f8e1285e128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 75151d5115115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 71f223e619413, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 397151115551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1512115925341, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: a1f235392c8c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 19b4e535dd131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 66a519112881e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 65b1228d21155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 33a8151251158, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 030b0f6800539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3579515111538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: aaa5151318221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 14415931d1332, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 27b8d15755111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: fef1151155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 61b3221111555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: ae21521111118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 113d5d251d549, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 030b9a6200039, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b1b5213c17933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1d45831212536, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 333133111831c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 4722311111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: a1313ddd55551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 134d25e3311c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 392511d511311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4115bee112223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b531511122c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f123121111311, Class:  1, CF:0.578727, Len: 13, Fitness_tra: -13
Rule 84: 45f153132c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 6129219d13951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3921151125918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: f1fc1911822cd, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 88: 11a321e555113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: f631525851853, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 33b58111d5d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 653d5d8d11145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 131511d585511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: a1f1353922111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: 234b0668c4131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 3971113311211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a311121115511, Class:  0, CF:0.367772, Len: 13, Fitness_tra: 0
Rule 97: b535111815215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 424325e821e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: f51121d122119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 21651f6126545, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:31.3131
------Result------
Miss_rate(tra)	:31.3131
Miss_rate(tst)	:31.3131
ARL				:12.3333

------Generation 1------
Rule  1: 0000403000042, Class:  0, CF:0.977865, Len:  4, Fitness_tra: 450
Rule  2: a311121111211, Class:  0, CF:0.109678, Len: 13, Fitness_tra: 66
Rule  3: 61111511115d2, Class:  0, CF:  1, Len: 13, Fitness_tra: 36
Rule  4: 36f3d11211151, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  5: 2568251112286, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule  6: 3315111c15513, Class:  1, CF:0.867597, Len: 13, Fitness_tra: 5
Rule  7: 11f1259122119, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule  8: 020b9f6200039, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 3621d5d525111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: aa3c559118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: 312d1511619c8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1da2a11111223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b14188915c9d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2248111195911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: b5315382cde82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f51111d155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3e11e15511d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1373135251115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 144e52d11c385, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: a128911d8599d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 28451611c1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: a178111111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2811958119515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 721251581d899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 7b123531d1538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4c7d811155153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 14b2915113511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4c43835252111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: b815111815314, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 391111dd1d185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1127833d55251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4865113331283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: a165e22136d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b538152111171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b534111315d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: aa35911591d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7dfc8919b5c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4235853915121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b8a15321211c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: fe21551511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: feb1e51551511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 6e1115c159152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: feb131c519511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3af85e3912183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b213221581453, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 61312f6118551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3171151355122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 17b18885c3811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b162111981d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 71659182835d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 28651d5523545, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4d121e35b218a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 21238153131d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 66f8e1285e128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 75151d5115115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 71f223e619413, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 397151115551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1512115925341, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: a1f235392c8c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 19b4e535dd131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 66a519112881e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 65b1228d21155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 33a8151251158, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 030b0f6800539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 3579515111538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: aaa5151318221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 14415931d1332, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 27b8d15755111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: fef1151155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 61b3221111555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: ae21521111118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 113d5d251d549, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 030b9a6200039, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b1b5213c17933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1d45831212536, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 333133111831c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 4722311111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: a1313ddd55551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 134d25e3311c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 392511d511311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4115bee112223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b531511122c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f123121111311, Class:  1, CF:0.578727, Len: 13, Fitness_tra: -13
Rule 84: 45f153132c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 6129219d13951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3921151125918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: f1fc1911822cd, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 88: 11a321e555113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: f631525851853, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 33b58111d5d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 653d5d8d11145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 131511d585511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: a1f1353922111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: 234b0668c4131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 3971113311211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a311121115511, Class:  0, CF:0.367772, Len: 13, Fitness_tra: 0
Rule 97: b535111815215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 424325e821e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: f51121d122119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 21651f6126545, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:31.3131
------Result------
Miss_rate(tra)	:31.3131
Miss_rate(tst)	:31.3131
ARL				:12.3333

------Generation 2------
Rule  1: 0000403000042, Class:  0, CF:0.977865, Len:  4, Fitness_tra: 450
Rule  2: a311121111211, Class:  0, CF:0.109678, Len: 13, Fitness_tra: 66
Rule  3: 61111511115d2, Class:  0, CF:  1, Len: 13, Fitness_tra: 36
Rule  4: 36f3d11211151, Class:  0, CF:  1, Len: 13, Fitness_tra: 9
Rule  5: 2568251112286, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule  6: 3315111c15513, Class:  1, CF:0.867597, Len: 13, Fitness_tra: 5
Rule  7: 11f1259122119, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule  8: 020b9f6200039, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 3621d5d525111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: aa3c559118c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: 312d1511619c8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1da2a11111223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b14188915c9d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2248111195911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: b5315382cde82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f51111d155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3e11e15511d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
