------Generation 0------
Rule  1: bda855292111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: a1181d5315911, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 94: 63a555d515185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 22bd1118c4111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b1a1112185551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: f313111111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule 98: 41f581951225e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b2a25111e1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 781121e151411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:88.2155
------Result------
Miss_rate(tra)	:88.2155
Miss_rate(tst)	:85.8586
ARL				:13

------Generation 0------
Rule  1: f6a1118311c19, Class:  0, CF:  1, Len: 13, Fitness_tra: 28
Rule  2: f313111111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  3: 25611111d3511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  4: 21151531581d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  5: 6a1d589123511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  6: 29f4a11581111, Class:  1, CF:0.999149, Len: 13, Fitness_tra: 8
Rule  7: 1221155151111, Class:  1, CF:0.936587, Len: 13, Fitness_tra: 4
Rule  8: bda855292111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 15f3131185145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bb2c121132151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4c767192f5972, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 3975151d351c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1ca58381815cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1715152515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11bd555551115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b1689d1211515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2143111852135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 42a2315523154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7161338121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 39b1151512135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 17191ce5951d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31452c1139111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 317d53d111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f6655d9158c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f111258551558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: bc6d19e941155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 41315e351118a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 616581952d216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 214ec1119355d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b229de1cc151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: f679d38d891d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 35b5932211512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 211e2cd53898d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1161329d11145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 714de18815511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 753261155511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 15121d9d131e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: f3f115d51d226, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 39: 11ac351151921, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: f11515938d286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2cb5d53188153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 612155d515351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b231154151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a5b2121111925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3322915585991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3e25228381581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b2b51568119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b475553218115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3f6dec51115c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: a1ac1e2151918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 6929551221535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6e4111e515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 24155118921d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 2bb1351c15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6915355191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: f911131853118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 71f13141d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28f91555815d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 332d5312853e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 781121e151411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 354d325515d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 613351951d1d6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1162322513d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7b48315111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 43a1113922c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 13ade115131c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11b6151311dd8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: fe43211351151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12b5dd1b51531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b47d52581d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b2a25111e1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 714251a2c7116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: feb1ed1155311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 4c69551855512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 69212c3133518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 75a6151119181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: bda5d85511889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 71ad1d9151c13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 72b1531155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 4831c3e128855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: a121d15d15511, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 82: b871531881511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 28a3512181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 52
Rule 84: a1348319c85d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: a1fdd51125151, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 86: 6db1833c845e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: a571e18215331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 7912311311d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 112d513851191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: a3b15d1521138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2962a22e11151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: f313111111911, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 93: 4115513882256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 63a5525515285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: f3f51dd518286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 614581e582251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 39b115551d235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1ca58381815cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: a9011b1511925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: bea5d85511889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:83.6139
------Result------
Miss_rate(tra)	:83.6139
Miss_rate(tst)	:83.8384
ARL				:13

------Generation 1------
Rule  1: 28a3512181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 52
Rule  2: f6a1118311c19, Class:  0, CF:  1, Len: 13, Fitness_tra: 28
Rule  3: f313111111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  4: 21151531581d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  5: 25611111d3511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  6: 29f4a11581111, Class:  1, CF:0.999149, Len: 13, Fitness_tra: 8
Rule  7: 6a1d589123511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  8: 1221155151111, Class:  1, CF:0.936587, Len: 13, Fitness_tra: 4
Rule  9: a1fdd51125151, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 10: f3f115d51d226, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: a121d15d15511, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: 15f3131185145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1ca58381815cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1715152515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11bd555551115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b1689d1211515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2143111852135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 42a2315523154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7161338121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 39b1151512135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 17191ce5951d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 31452c1139111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 317d53d111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f6655d9158c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f111258551558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: bc6d19e941155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 41315e351118a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 616581952d216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 214ec1119355d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b229de1cc151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: f679d38d891d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 35b5932211512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 211e2cd53898d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1161329d11145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 714de18815511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 753261155511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 15121d9d131e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: bb2c121132151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11ac351151921, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: f11515938d286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2cb5d53188153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 612155d515351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b231154151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a5b2121111925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3322915585991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3e25228381581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: b2b51568119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b475553218115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3f6dec51115c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: a1ac1e2151918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 6929551221535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6e4111e515111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 24155118921d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 2bb1351c15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6915355191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: f911131853118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 71f13141d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 28f91555815d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 332d5312853e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 781121e151411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 354d325515d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 613351951d1d6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1162322513d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7b48315111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 43a1113922c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 13ade115131c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11b6151311dd8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: fe43211351151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12b5dd1b51531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b47d52581d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b2a25111e1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 714251a2c7116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: feb1ed1155311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 4c69551855512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 69212c3133518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 75a6151119181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: bda5d85511889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 71ad1d9151c13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 72b1531155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 4831c3e128855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 442321d91ee58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f97591515d815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f141511581198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1661113951123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 12f1111e15981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 6612111551221, Class:  1, CF:0.705743, Len: 13, Fitness_tra: 0
Rule 87: f118111d5d112, Class:  1, CF:0.778416, Len: 13, Fitness_tra: -3
Rule 88: 35b1513112513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 157115c535131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1aa1931321115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: b871531881511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 51f91e55515d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 214de1da58511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: bd48555d1151e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 65f313e585251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: f11515832dc16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2b71e58215131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 4571719215332, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 71b265155511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1275e11b11838, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:82.6038
------Result------
Miss_rate(tra)	:82.6038
Miss_rate(tst)	:81.8182
ARL				:13

------Generation 2------
Rule  1: 28a3512181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 52
Rule  2: f6a1118311c19, Class:  0, CF:  1, Len: 13, Fitness_tra: 28
Rule  3: f313111111911, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  4: 21151531581d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule  5: 25611111d3511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  6: 29f4a11581111, Class:  1, CF:0.999149, Len: 13, Fitness_tra: 8
Rule  7: 6a1d589123511, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  8: 1221155151111, Class:  1, CF:0.936587, Len: 13, Fitness_tra: 4
Rule  9: a1fdd51125151, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 10: f3f115d51d226, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: a121d15d15511, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: 15f3131185145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1ca58381815cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1715152515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11bd555551115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b1689d1211515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
