------Generation 0------
Rule  1: 30e00c000300004900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11211bc948c2122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 020c400d50000b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: c5871b8d8d28181c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000007083000005003, Class:  1, CF:0.0194405, Len:  5, Fitness_tra: 0
Rule 62: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1254211972c7111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 002000000000000008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 213c44c5811cd21215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000d00000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 82dc14c54111141152, Class:  0, CF:0.995308, Len: 18, Fitness_tra: -1
Rule 72: 00000000080000000d, Class:  1, CF:0.0459018, Len:  2, Fitness_tra: -58
Rule 73: 2282cbc142c11c2221, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2d872bc32584d22142, Class:  1, CF:0.323669, Len: 18, Fitness_tra: 0
Rule 77: 1111222d41281418c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 0
Rule 82: 002000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000c004004000000, Class:  2, CF:0.652589, Len:  3, Fitness_tra: -1
Rule 84: 8dd1211113c824b1c5, Class:  1, CF:0.998347, Len: 18, Fitness_tra: 0
Rule 85: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d00300000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 511227211221212b93, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 961272ab33e33221c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000040000003, Class:  2, CF:0.2784, Len:  2, Fitness_tra: -28
Rule 98: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000000000000c0000, Class:  2, CF:0.252174, Len:  1, Fitness_tra: -22
------Current------
Miss_rate(tra)	:61.7608
------Result------
Miss_rate(tra)	:61.7608
Miss_rate(tst)	:65.8824
ARL				:9.38095

------Generation 0------
Rule  1: 30e00c000300004900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 155114218924121555, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: c0000000000000c060, Class:  0, CF:0.512752, Len:  3, Fitness_tra: 14
Rule  5: 0000007e0c7b000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule  6: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 222cc1192881511181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: d591121d1188871115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 16122ba211e16c21c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e002000c0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1915111c95dd173113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000b000e050b050007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: da00000006000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1d92212141118cc285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 15158b51c5151421e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00e08c0040440c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000400000007000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11544b2548cc587422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d00000d05000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 258224852112181224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000008c000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000000000800e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000500000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0d200b000000d00000, Class:  1, CF:0.131641, Len:  4, Fitness_tra: 2
Rule 28: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000500000c00000000, Class:  0, CF:0.497899, Len:  2, Fitness_tra: 1
Rule 30: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1121442eb224c88212, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 32: 0e0000000300008000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000000000000b0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 070000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 81dc222548c1242191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 15821481851111211c, Class:  3, CF:0.418427, Len: 18, Fitness_tra: 1
Rule 37: 21224113b241711113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00a000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2000c0000000000000, Class:  2, CF:0.293284, Len:  2, Fitness_tra: 20
Rule 41: 511114cd118c525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 12
Rule 43: 003000000007000080, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000700000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 418421818282112511, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 85211443b22b542211, Class:  1, CF:0.150967, Len: 18, Fitness_tra: 0
Rule 47: 33611ce291539231d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d11174432141122212, Class:  1, CF:0.177727, Len: 18, Fitness_tra: -7
Rule 50: 00500000300005009c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 936271121133181881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11211bc948c2122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 020c400d50000b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: c5871b8d8d28181c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000007083000005003, Class:  1, CF:0.0194405, Len:  5, Fitness_tra: 0
Rule 62: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1254211972c7111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 002000000000000008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 213c44c5811cd21215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000d00000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 82dc14c54111141152, Class:  0, CF:0.995308, Len: 18, Fitness_tra: -1
Rule 72: 00000000080000000d, Class:  1, CF:0.0459018, Len:  2, Fitness_tra: -58
Rule 73: 2282cbc142c11c2221, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2d872bc32584d22142, Class:  1, CF:0.323669, Len: 18, Fitness_tra: 0
Rule 77: 1111222d41281418c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 0
Rule 82: 002000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000c004004000000, Class:  2, CF:0.652589, Len:  3, Fitness_tra: -1
Rule 84: 8dd1211113c824b1c5, Class:  1, CF:0.998347, Len: 18, Fitness_tra: 0
Rule 85: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000d00, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d00300000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 511227211221212b93, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 961272ab33e33221c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000040000003, Class:  2, CF:0.2784, Len:  2, Fitness_tra: -28
Rule 98: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000000000000c0000, Class:  2, CF:0.252174, Len:  1, Fitness_tra: -22
------Current------
Miss_rate(tra)	:61.7608
------Result------
Miss_rate(tra)	:61.7608
Miss_rate(tst)	:65.8824
ARL				:9.38095

------Generation 1------
Rule  1: 2000c0000000000000, Class:  2, CF:0.293284, Len:  2, Fitness_tra: 30
Rule  2: c0000000000000c060, Class:  0, CF:0.512752, Len:  3, Fitness_tra: -1
Rule  3: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 7
Rule  4: 0d200b000000d00000, Class:  1, CF:0.131641, Len:  4, Fitness_tra: 3
Rule  5: 0000007e0c7b000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 7
Rule  6: 000500000c00000000, Class:  0, CF:0.497899, Len:  2, Fitness_tra: -1
Rule  7: 15821481851111211c, Class:  3, CF:0.418427, Len: 18, Fitness_tra: 5
Rule  8: 30e00c000300004900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 16122ba211e16c21c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e002000c0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1915111c95dd173113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000b000e050b050007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: da00000006000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1d92212141118cc285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 15158b51c5151421e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00e08c0040440c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000400000007000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11544b2548cc587422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d00000d05000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 258224852112181224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000008c000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000000000800e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000500000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 155114218924121555, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1121442eb224c88212, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 32: 0e0000000300008000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000000000000b0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 070000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 81dc222548c1242191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 21224113b241711113, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00a000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 222cc1192881511181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 511114cd118c525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d591121d1188871115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 003000000007000080, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000700000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 418421818282112511, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 85211443b22b542211, Class:  1, CF:0.150967, Len: 18, Fitness_tra: 0
Rule 47: 33611ce291539231d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00500000300005009c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 936271121133181881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11211bc948c2122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 020c400d50000b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: c5871b8d8d28181c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000007083000005003, Class:  1, CF:0.0194405, Len:  5, Fitness_tra: -4
Rule 62: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1254211972c7111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 002000000000000008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 213c44c5811cd21215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000d00000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 2282cbc142c11c2221, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2d872bc32584d22142, Class:  1, CF:0.323669, Len: 18, Fitness_tra: 0
Rule 76: 1111222d41281418c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 219111c5858814c1c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 8511428525c1113225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: d00300000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1252c1811212c42591, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 86: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 003000000d00000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 88: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 00800070000a0a0000, Class:  0, CF:0.0675033, Len:  4, Fitness_tra: -25
Rule 92: 002000000780000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0800000000d0000000, Class:  2, CF:0.357045, Len:  2, Fitness_tra: 1
Rule 94: 070400008202812511, Class:  1, CF:0.0376258, Len: 11, Fitness_tra: 1
Rule 95: 000000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0d2c04006220008072, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 02dc14053010100102, Class:  0, CF:0.982307, Len: 11, Fitness_tra: 0
Rule 98: 2d872bc32984d22142, Class:  1, CF:0.162225, Len: 18, Fitness_tra: 0
Rule 99: 1254211972c711c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2285cbc142c11c2221, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
------Current------
Miss_rate(tra)	:60.3154
------Result------
Miss_rate(tra)	:60.3154
Miss_rate(tst)	:60
ARL				:9.95455

------Generation 2------
Rule  1: 2000c0000000000000, Class:  2, CF:0.293284, Len:  2, Fitness_tra: 30
Rule  2: c0000000000000c060, Class:  0, CF:0.512752, Len:  3, Fitness_tra: -1
Rule  3: 000000000d000c0030, Class:  2, CF:0.770246, Len:  3, Fitness_tra: 7
Rule  4: 0d200b000000d00000, Class:  1, CF:0.131641, Len:  4, Fitness_tra: 3
Rule  5: 0000007e0c7b000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 7
Rule  6: 000500000c00000000, Class:  0, CF:0.497899, Len:  2, Fitness_tra: -1
