------Generation 0------
Rule  1: 52122425c4c27211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e00000003000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 53d44c1115cc522125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000c00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 044000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000080d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: cd1444112522822142, Class:  3, CF:0.290872, Len: 18, Fitness_tra: 0
Rule 55: 581421894582552214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 55e00b000000580008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 51921b1c5d825c2291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1455c4828ccc7741e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000b000e000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 0
Rule 60: d511122d22cc121113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 818b7281152c852412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: d000000b000000c000, Class:  1, CF:0.10512, Len:  3, Fitness_tra: 8
Rule 67: 1d528c1dc58118181d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 03000c0003000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e00000000500000003, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 70: 08d00000080000cc00, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11d111c11514182221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 000000005000000900, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 511887821181217215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000000c000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 00a000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 81172b2115c8184244, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 000000004000005000, Class:  1, CF:0.221695, Len:  2, Fitness_tra: -7
Rule 79: 003000000000070003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 870000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0030c0000000000000, Class:  2, CF:0.610759, Len:  2, Fitness_tra: 4
Rule 83: 111114173e166c1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: ee3122ec131134331e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00e000000030000000, Class:  1, CF:0.128114, Len:  2, Fitness_tra: -2
Rule 88: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 19
Rule 89: 1dd14285c1c4512182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: e00240000000000000, Class:  1, CF:0.701899, Len:  3, Fitness_tra: 5
Rule 91: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000000000009000, Class:  1, CF:0.12381, Len:  1, Fitness_tra: -4
Rule 93: 000000000600000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 5d92821519811c11c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 131824521d555c111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 8554145d85c85c1525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 003000000000000080, Class:  0, CF:0.069843, Len:  2, Fitness_tra: -16
Rule 98: 1d9c41cd1d21211215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000000000050000000, Class:  2, CF:0.512137, Len:  1, Fitness_tra: -35
Rule100: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:63.3858
------Result------
Miss_rate(tra)	:63.3858
Miss_rate(tst)	:59.5238
ARL				:7.34615

------Generation 0------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 16
Rule  2: 0400000000007c0000, Class:  2, CF:0.252369, Len:  3, Fitness_tra: 18
Rule  3: d000000b000000c000, Class:  1, CF:0.10512, Len:  3, Fitness_tra: -7
Rule  4: e00240000000000000, Class:  1, CF:0.701899, Len:  3, Fitness_tra: 16
Rule  5: 0030c0000000000000, Class:  2, CF:0.610759, Len:  2, Fitness_tra: 5
Rule  6: 00000c000040000000, Class:  2, CF:0.465639, Len:  2, Fitness_tra: 1
Rule  7: 000080000000000000, Class:  0, CF:0.343023, Len:  1, Fitness_tra: 1
Rule  8: c004007eb077000000, Class:  0, CF:0.839067, Len:  7, Fitness_tra: 0
Rule  9: 52122425c4c27211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 821414cd12c215221b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 6631741261131c51c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1365213c11131211d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1d9c41cd1d21211215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: d131142915221121e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d00000000000000200, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00200b0040000c0060, Class:  2, CF:0.763345, Len:  5, Fitness_tra: 5
Rule 20: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 28114243218428c174, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 000070004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3161b7173e111c1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 51511b125188172131, Class:  1, CF:0.101069, Len: 18, Fitness_tra: 1
Rule 30: 311124541111511111, Class:  3, CF:0.759078, Len: 18, Fitness_tra: 3
Rule 31: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00005b004200000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00a000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9365223be391312511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 5154142315221c1412, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e00000003000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 53d44c1115cc522125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000c00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 044000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000080d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: cd1444112522822142, Class:  3, CF:0.290872, Len: 18, Fitness_tra: 6
Rule 55: 581421894582552214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 55e00b000000580008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 51921b1c5d825c2291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1455c4828ccc7741e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000b000e000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 10
Rule 60: d511122d22cc121113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 818b7281152c852412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 008000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1d528c1dc58118181d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 03000c0003000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e00000000500000003, Class:  2, CF:  1, Len:  3, Fitness_tra: 9
Rule 70: 08d00000080000cc00, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11d111c11514182221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 000000005000000900, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 511887821181217215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000000c000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 00a000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 81172b2115c8184244, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 003000000000070003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 870000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 321811281212121511, Class:  3, CF:0.581698, Len: 18, Fitness_tra: -2
Rule 82: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0c000c000c00c00000, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 551111cdc3c18121c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2d512421c981d82128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000070600000002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000004000003000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 800000000000200800, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000040000080d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 002000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 099070704000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0100b0cc6182500290, Class:  2, CF:0.147401, Len: 11, Fitness_tra: 0
Rule 97: 2000700000a0000000, Class:  0, CF:0.139534, Len:  3, Fitness_tra: 15
Rule 98: 0052a1edc08018781d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 036070701110021000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000005000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:51.3123
------Result------
Miss_rate(tra)	:51.3123
Miss_rate(tst)	:47.619
ARL				:8.65217

------Generation 1------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 16
Rule  2: 0400000000007c0000, Class:  2, CF:0.252369, Len:  3, Fitness_tra: 18
Rule  3: d000000b000000c000, Class:  1, CF:0.10512, Len:  3, Fitness_tra: -7
Rule  4: e00240000000000000, Class:  1, CF:0.701899, Len:  3, Fitness_tra: 16
Rule  5: 0030c0000000000000, Class:  2, CF:0.610759, Len:  2, Fitness_tra: 5
Rule  6: 00000c000040000000, Class:  2, CF:0.465639, Len:  2, Fitness_tra: 1
Rule  7: 000080000000000000, Class:  0, CF:0.343023, Len:  1, Fitness_tra: 1
Rule  8: c004007eb077000000, Class:  0, CF:0.839067, Len:  7, Fitness_tra: 0
Rule  9: 52122425c4c27211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 821414cd12c215221b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 6631741261131c51c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1365213c11131211d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1d9c41cd1d21211215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: d131142915221121e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d00000000000000200, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00200b0040000c0060, Class:  2, CF:0.763345, Len:  5, Fitness_tra: 5
Rule 20: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 28114243218428c174, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 000070004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3161b7173e111c1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 51511b125188172131, Class:  1, CF:0.101069, Len: 18, Fitness_tra: 1
Rule 30: 311124541111511111, Class:  3, CF:0.759078, Len: 18, Fitness_tra: 3
Rule 31: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00005b004200000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00a000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9365223be391312511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 5154142315221c1412, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e00000003000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 53d44c1115cc522125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000c00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 044000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000080d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: cd1444112522822142, Class:  3, CF:0.290872, Len: 18, Fitness_tra: 6
Rule 55: 581421894582552214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 55e00b000000580008, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 51921b1c5d825c2291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1455c4828ccc7741e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000b000e000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 10
Rule 60: d511122d22cc121113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 818b7281152c852412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 008000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1d528c1dc58118181d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 03000c0003000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e00000000500000003, Class:  2, CF:  1, Len:  3, Fitness_tra: 9
Rule 70: 08d00000080000cc00, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 11d111c11514182221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 000000005000000900, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 511887821181217215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000000c000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 00a000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 81172b2115c8184244, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 003000000000070003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 870000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 321811281212121511, Class:  3, CF:0.581698, Len: 18, Fitness_tra: -2
Rule 82: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0c000c000c00c00000, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 551111cdc3c18121c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2d512421c981d82128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000070600000002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000004000003000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 800000000000200800, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000040000080d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 002000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 099070704000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0100b0cc6182500290, Class:  2, CF:0.147401, Len: 11, Fitness_tra: 0
Rule 97: 2000700000a0000000, Class:  0, CF:0.139534, Len:  3, Fitness_tra: 15
Rule 98: 0052a1edc08018781d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 036070701110021000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000005000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:51.3123
------Result------
Miss_rate(tra)	:51.3123
Miss_rate(tst)	:47.619
ARL				:8.65217

------Generation 2------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 16
Rule  2: 0400000000007c0000, Class:  2, CF:0.252369, Len:  3, Fitness_tra: 18
Rule  3: d000000b000000c000, Class:  1, CF:0.10512, Len:  3, Fitness_tra: -7
Rule  4: e00240000000000000, Class:  1, CF:0.701899, Len:  3, Fitness_tra: 16
Rule  5: 0030c0000000000000, Class:  2, CF:0.610759, Len:  2, Fitness_tra: 5
Rule  6: 00000c000040000000, Class:  2, CF:0.465639, Len:  2, Fitness_tra: 1
Rule  7: 000080000000000000, Class:  0, CF:0.343023, Len:  1, Fitness_tra: 1
