------Generation 0------
Rule  1: e12221ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d122b292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 638171e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 811217d1, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 80: e3857b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1d111152, Class:  1, CF:0.298893, Len:  8, Fitness_tra: 0
Rule 82: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 111277e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 28d22bd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 15c5b75c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 652c7731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 55252791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1188123c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 328244ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 51482411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: d0000004, Class:  1, CF:0.701787, Len:  2, Fitness_tra: 823
Rule 93: 9d2242e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 3118419c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 54227b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 115c3411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 51257111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4822b215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1d1c1b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:64.1583
------Result------
Miss_rate(tra)	:64.1583
Miss_rate(tst)	:34.2282
ARL				:2.25

------Generation 0------
Rule  1: e12221ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 12822192, Class:  0, CF:0.974213, Len:  8, Fitness_tra: 0
Rule  3: e12d1292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: c11441e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: e52211e4, Class:  1, CF:0.835104, Len:  8, Fitness_tra: 0
Rule  6: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11122492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1dc217e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00300000, Class:  1, CF:0.260232, Len:  1, Fitness_tra: 13
Rule 13: 12111b58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 91ccb19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 81122298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 815241e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21111418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d151149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d188b19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1581b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 31217751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11117411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: ed18b232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cc112495, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1515478c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11587111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 39c12b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 18542452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6edd1762, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 111c119c, Class:  0, CF:0.669276, Len:  8, Fitness_tra: 0
Rule 31: 55181712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 31c124d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: edc8149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5154b298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3d124434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 158d1231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00400000, Class:  0, CF:0.14036, Len:  1, Fitness_tra: 834
Rule 38: 32251718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1d82b495, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1e251791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: e28c413c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1d12145c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 12254291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2c1cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1554b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1552419c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: d3192752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 9ec2241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 81d11135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 5514bbe1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 55cc22e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 12824712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e3c82732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: e118b25c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 35812712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3148b41c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 33524111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 15c5741c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1521b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: e9124438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: ed2c1b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000004, Class:  0, CF:0.0537364, Len:  1, Fitness_tra: 2
Rule 66: 55121462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 58117731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 11c2b23c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e1217418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 31117794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: e1187b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: c1227712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 35144b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1981b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 811877d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d122b292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 638171e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 811217d1, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 80: e3857b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1d111152, Class:  1, CF:0.298893, Len:  8, Fitness_tra: 0
Rule 82: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 111277e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 28d22bd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 15c5b75c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 652c7731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 55252791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1188123c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 328244ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 51482411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: d0000004, Class:  1, CF:0.701787, Len:  2, Fitness_tra: 823
Rule 93: 9d2242e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 3118419c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 54227b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 115c3411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 51257111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 4822b215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1d1c1b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:64.1583
------Result------
Miss_rate(tra)	:64.1583
Miss_rate(tst)	:34.2282
ARL				:2.25

------Generation 1------
Rule  1: 00400000, Class:  0, CF:0.14036, Len:  1, Fitness_tra: 0
Rule  2: d0000004, Class:  1, CF:0.701787, Len:  2, Fitness_tra: 662
Rule  3: 00300000, Class:  1, CF:0.260232, Len:  1, Fitness_tra: -86
Rule  4: 00000004, Class:  0, CF:0.0537364, Len:  1, Fitness_tra: 0
Rule  5: e12221ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11122492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1dc217e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 12822192, Class:  0, CF:0.974213, Len:  8, Fitness_tra: 0
Rule 13: 12111b58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 91ccb19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 81122298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 815241e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21111418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d151149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d188b19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1581b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 31217751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11117411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: ed18b232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cc112495, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1515478c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11587111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 39c12b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 18542452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6edd1762, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 111c119c, Class:  0, CF:0.669276, Len:  8, Fitness_tra: 0
Rule 31: 55181712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 31c124d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: edc8149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5154b298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3d124434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 158d1231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: e12d1292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 32251718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1d82b495, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1e251791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: e28c413c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1d12145c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 12254291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2c1cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1554b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1552419c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: d3192752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 9ec2241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 81d11135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 5514bbe1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 55cc22e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 12824712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e3c82732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: e118b25c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 35812712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3148b41c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 33524111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 15c5741c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1521b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: e9124438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: ed2c1b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: c11441e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 55121462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 58117731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 11c2b23c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: e1217418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 31117794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: e1187b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: c1227712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 35144b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1981b738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 811877d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d122b292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 638171e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 811217d1, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 80: e3857b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1911b264, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 9188bbe1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0e050000, Class:  0, CF:0.736953, Len:  2, Fitness_tra: 0
Rule 84: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 611c1791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: e3282232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 20000000, Class:  1, CF:0.251872, Len:  1, Fitness_tra: 203
Rule 88: 35c2445c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: e0050000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 91: 00c00000, Class:  0, CF:0.477545, Len:  1, Fitness_tra: 779
Rule 92: c1192758, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 51187181, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 94: 55c572e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 51262791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1515b232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 12811453, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 98: e02210e4, Class:  1, CF:0.788953, Len:  6, Fitness_tra: 0
Rule 99: dd124434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 48c5776c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:54.7324
------Result------
Miss_rate(tra)	:54.7324
Miss_rate(tst)	:25.5034
ARL				:2.59091

------Generation 2------
Rule  1: 00c00000, Class:  0, CF:0.477545, Len:  1, Fitness_tra: 780
Rule  2: d0000004, Class:  1, CF:0.701787, Len:  2, Fitness_tra: 659
Rule  3: 20000000, Class:  1, CF:0.251872, Len:  1, Fitness_tra: 127
Rule  4: 00400000, Class:  0, CF:0.14036, Len:  1, Fitness_tra: 16
Rule  5: e12221ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11122492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1dc217e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 12822192, Class:  0, CF:0.974213, Len:  8, Fitness_tra: 0
Rule 13: 12111b58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 91ccb19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 81122298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 815241e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21111418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d151149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d188b19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1581b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 31217751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11117411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: ed18b232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cc112495, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1515478c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11587111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 39c12b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 18542452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6edd1762, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 111c119c, Class:  0, CF:0.669276, Len:  8, Fitness_tra: 0
Rule 31: 55181712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 31c124d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: edc8149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
