------Generation 0------
Rule  1: c5ecd1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1892d2cb1, Class:  1, CF:0.545285, Len:  9, Fitness_tra: 0
Rule 34: 51e212142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cce1d7c71, Class:  1, CF:0.539122, Len:  9, Fitness_tra: 0
Rule 36: 11989181c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 251c1bc78, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2d3151514, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 39: 0d0080000, Class:  0, CF:0.987107, Len:  2, Fitness_tra: 2
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 39
Rule 42: 251817c22, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 43: 181c14174, Class:  0, CF:0.814622, Len:  9, Fitness_tra: 0
Rule 44: c54311c4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 181c1117b, Class:  0, CF:0.990453, Len:  9, Fitness_tra: 0
Rule 47: 1de2d41b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 55221b1b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 50: 219852847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: c2e111c42, Class:  1, CF:0.972432, Len:  9, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 881881221, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 831d1755b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 58: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c8ecd7542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 111114111, Class:  1, CF:0.0373302, Len:  9, Fitness_tra: 0
Rule 61: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1815522b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 65: 116552814, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: 8111d417b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 67: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 124114371, Class:  0, CF:0.951312, Len:  9, Fitness_tra: 0
Rule 69: 00f000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 70: 12e117c41, Class:  1, CF:0.474714, Len:  9, Fitness_tra: 0
Rule 71: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 72: 111514114, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 73: 289521cbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000030000, Class:  1, CF:0.0508632, Len:  1, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 117e1b11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 154937212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 81: 581224241, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 82: 8d128bd71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: c512d4112, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 84: cc9c54141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 5c9834517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 87: 111291841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 119257c41, Class:  1, CF:0.066666, Len:  9, Fitness_tra: 0
Rule 90: 0c0000000, Class:  1, CF:0.0997223, Len:  1, Fitness_tra: 47
Rule 91: 813812171, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 92: cc31575b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1518d4141, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 94: 511811174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 115114227, Class:  1, CF:0.388762, Len:  9, Fitness_tra: 0
Rule 96: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 12e257121, Class:  0, CF:0.300961, Len:  9, Fitness_tra: 0
Rule 98: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 99: 281cd1c21, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule100: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.3559
------Result------
Miss_rate(tra)	:81.3559
Miss_rate(tst)	:71.4286
ARL				:4.55405

------Generation 0------
Rule  1: c5ecd1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 183211124, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  4: 1814148b2, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  5: 42e15b17b, Class:  0, CF:0.143913, Len:  9, Fitness_tra: 0
Rule  6: 8ce8d111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: c1e251112, Class:  0, CF:0.341014, Len:  9, Fitness_tra: 0
Rule  8: 8811d1222, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule  9: 25e512112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c895db8b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d09000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 12: 111214274, Class:  0, CF:0.710622, Len:  9, Fitness_tra: 0
Rule 13: cc911181b, Class:  0, CF:0.823701, Len:  9, Fitness_tra: 0
Rule 14: 111117521, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 15: 11121b114, Class:  0, CF:0.0812476, Len:  9, Fitness_tra: 0
Rule 16: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 17: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 3
Rule 18: 513c57221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 211111111, Class:  0, CF:0.0851317, Len:  9, Fitness_tra: 0
Rule 20: 8d3212274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8d1112541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c5ec1751b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 27: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8ce114441, Class:  1, CF:0.742645, Len:  9, Fitness_tra: 0
Rule 29: 821551272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 31: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 33: 1892d2cb1, Class:  1, CF:0.545285, Len:  9, Fitness_tra: 0
Rule 34: 51e212142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cce1d7c71, Class:  1, CF:0.539122, Len:  9, Fitness_tra: 0
Rule 36: 11989181c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 251c1bc78, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2d3151514, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 39: 0d0080000, Class:  0, CF:0.987107, Len:  2, Fitness_tra: 2
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 39
Rule 42: 251817c22, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 43: 181c14174, Class:  0, CF:0.814622, Len:  9, Fitness_tra: 0
Rule 44: c54311c4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 181c1117b, Class:  0, CF:0.990453, Len:  9, Fitness_tra: 0
Rule 47: 1de2d41b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 55221b1b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 50: 219852847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: c2e111c42, Class:  1, CF:0.972432, Len:  9, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 881881221, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 831d1755b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 58: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c8ecd7542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 111114111, Class:  1, CF:0.0373302, Len:  9, Fitness_tra: 0
Rule 61: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1815522b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 65: 116552814, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: 8111d417b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 67: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 124114371, Class:  0, CF:0.951312, Len:  9, Fitness_tra: 0
Rule 69: 00f000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 70: 12e117c41, Class:  1, CF:0.474714, Len:  9, Fitness_tra: 0
Rule 71: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 72: 111514114, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 73: 289521cbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000030000, Class:  1, CF:0.0508632, Len:  1, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 117e1b11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 154937212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 81: 581224241, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 82: 8d128bd71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: c512d4112, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 84: cc9c54141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 5c9834517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000500, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 87: 111291841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 119257c41, Class:  1, CF:0.066666, Len:  9, Fitness_tra: 0
Rule 90: 0c0000000, Class:  1, CF:0.0997223, Len:  1, Fitness_tra: 47
Rule 91: 813812171, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 92: cc31575b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1518d4141, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 94: 511811174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 115114227, Class:  1, CF:0.388762, Len:  9, Fitness_tra: 0
Rule 96: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 12e257121, Class:  0, CF:0.300961, Len:  9, Fitness_tra: 0
Rule 98: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 99: 281cd1c21, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule100: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.3559
------Result------
Miss_rate(tra)	:81.3559
Miss_rate(tst)	:71.4286
ARL				:4.55405

------Generation 1------
Rule  1: 0c0000000, Class:  1, CF:0.0997223, Len:  1, Fitness_tra: 48
Rule  2: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 40
Rule  3: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  4: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  5: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 3
Rule  6: 0d0080000, Class:  0, CF:0.987107, Len:  2, Fitness_tra: 2
Rule  7: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule  8: c5ecd1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 25e512112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c895db8b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d09000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 12: 111214274, Class:  0, CF:0.710622, Len:  9, Fitness_tra: 0
Rule 13: cc911181b, Class:  0, CF:0.823701, Len:  9, Fitness_tra: 0
Rule 14: 111117521, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 15: 11121b114, Class:  0, CF:0.0812476, Len:  9, Fitness_tra: 0
Rule 16: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 183211124, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: 513c57221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 211111111, Class:  0, CF:0.0851317, Len:  9, Fitness_tra: 0
Rule 20: 8d3212274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8d1112541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c5ec1751b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 27: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8ce114441, Class:  1, CF:0.742645, Len:  9, Fitness_tra: 0
Rule 29: 821551272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 31: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1814148b2, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 33: 1892d2cb1, Class:  1, CF:0.545285, Len:  9, Fitness_tra: 0
Rule 34: 51e212142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cce1d7c71, Class:  1, CF:0.539122, Len:  9, Fitness_tra: 0
Rule 36: 11989181c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 251c1bc78, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2d3151514, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 39: 42e15b17b, Class:  0, CF:0.143913, Len:  9, Fitness_tra: 0
Rule 40: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 8ce8d111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 251817c22, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 43: 181c14174, Class:  0, CF:0.814622, Len:  9, Fitness_tra: 0
Rule 44: c54311c4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 181c1117b, Class:  0, CF:0.990453, Len:  9, Fitness_tra: 0
Rule 47: 1de2d41b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 55221b1b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c1e251112, Class:  0, CF:0.341014, Len:  9, Fitness_tra: 0
Rule 50: 219852847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: c2e111c42, Class:  1, CF:0.972432, Len:  9, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 881881221, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 831d1755b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 58: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c8ecd7542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 111114111, Class:  1, CF:0.0373302, Len:  9, Fitness_tra: 0
Rule 61: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1815522b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 65: 116552814, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 66: 8111d417b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 67: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 124114371, Class:  0, CF:0.951312, Len:  9, Fitness_tra: 0
Rule 69: 00f000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 70: 12e117c41, Class:  1, CF:0.474714, Len:  9, Fitness_tra: 0
Rule 71: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 72: 111514114, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 73: 289521cbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000030000, Class:  1, CF:0.0508632, Len:  1, Fitness_tra: 0
Rule 76: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 117e1b11b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 154937212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 81: 2161d71b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 82: 2165d214b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 83: 28125b144, Class:  0, CF:0.965825, Len:  9, Fitness_tra: 0
Rule 84: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: cd9134111, Class:  0, CF:0.035841, Len:  9, Fitness_tra: 0
Rule 87: 88e894147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0c0090000, Class:  0, CF:  1, Len:  0, Fitness_tra: 0
Rule 89: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 01e2d0000, Class:  0, CF:0.491561, Len:  4, Fitness_tra: 0
Rule 92: 80000ad70, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 100110c01, Class:  1, CF:0.141437, Len:  5, Fitness_tra: 0
Rule 94: 100014408, Class:  1, CF:0.751245, Len:  5, Fitness_tra: 0
Rule 95: 9c0200801, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 12c500121, Class:  0, CF:  1, Len:  7, Fitness_tra: 1
Rule 97: 4c8090000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 98: 289cdb8ba, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 011111010, Class:  0, CF:0.133569, Len:  6, Fitness_tra: 0
Rule100: 87c8d1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:81.0734
------Result------
Miss_rate(tra)	:81.0734
Miss_rate(tst)	:71.4286
ARL				:4.5493

------Generation 2------
Rule  1: 0c0000000, Class:  1, CF:0.0997223, Len:  1, Fitness_tra: 48
Rule  2: 00a000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 40
Rule  3: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  4: 000000d00, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule  5: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 3
Rule  6: 0d0080000, Class:  0, CF:0.987107, Len:  2, Fitness_tra: 2
Rule  7: 0c0090000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule  8: c5ecd1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 25e512112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c895db8b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d09000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 12: 111214274, Class:  0, CF:0.710622, Len:  9, Fitness_tra: 0
Rule 13: cc911181b, Class:  0, CF:0.823701, Len:  9, Fitness_tra: 0
Rule 14: 111117521, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 15: 11121b114, Class:  0, CF:0.0812476, Len:  9, Fitness_tra: 0
Rule 16: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 183211124, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 18: 513c57221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 211111111, Class:  0, CF:0.0851317, Len:  9, Fitness_tra: 0
Rule 20: 8d3212274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 8d1112541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: c5ec1751b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000400, Class:  1, CF:0.0173008, Len:  1, Fitness_tra: 0
Rule 27: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8ce114441, Class:  1, CF:0.742645, Len:  9, Fitness_tra: 0
