------Generation 0------
Rule  1: fafd9185551ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 19211551111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 29a2111119921, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 26: 351198528135d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f34112125d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 75f9335221121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 161118c19e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 6e23552521311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3371521319582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1138351211551, Class:  0, CF:  1, Len: 13, Fitness_tra: 14
Rule 33: 3341d29213858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b2b1c21151955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b12191d111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7141118115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13115d1dd1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 44b1811855e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f368311318121, Class:  0, CF:0.997956, Len: 13, Fitness_tra: 48
Rule 40: 2d39158115123, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 41: 6912e91c8d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 44431c1d11d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1213118d55d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 23143d43d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4c1136155d58c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 31a1e81811d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 13b23191515e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: aa6532411ed58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: f121281551112, Class:  1, CF:0.0328981, Len: 13, Fitness_tra: -4
Rule 50: 1511d1c556d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3aacd13328c13, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 52: 1d2125151d158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7bb1311111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: a3b8515111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1212155113911, Class:  0, CF:  1, Len: 13, Fitness_tra: 13
Rule 56: 0003500090e50, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 57: f3651911c11d9, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 58: 1162112159121, Class:  1, CF:0.515548, Len: 13, Fitness_tra: 9
Rule 59: b4b13917111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 24b98c8d11118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: aaf998d215811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4211181d31188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: a362e22153511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2411ee2c13111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 186552515d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 7335121511211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 28f15d1331171, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 68: 36f935283152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 637139c155151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4b48913259195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000020600c500, Class:  0, CF:  1, Len:  4, Fitness_tra: 91
Rule 72: 6545851115512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f3a1982193111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 13f5515521256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 75ab311529911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: ff15119351119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 13a1513821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 78: 116e5121cd115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 721115d915151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1eb8855519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3525312255355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f37318122d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2141512811118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2445131181598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 121d811321111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule 86: 7c4121d818995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21ad358851d12, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 88: 1161d1c256151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 75a5155118183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: ff65331325283, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: 2b23d15119252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: a5b2131811113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 6afd18dc35223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1b71583c58115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: a63d9c515d18e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b3f23549d5141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0d00700006000, Class:  0, CF:0.455582, Len:  3, Fitness_tra: 11
Rule 98: 4162311115351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 39b1921811d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3941219131512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.0337
------Result------
Miss_rate(tra)	:70.0337
Miss_rate(tst)	:76.7677
ARL				:11.7143

------Generation 0------
Rule  1: 000020600c500, Class:  0, CF:  1, Len:  4, Fitness_tra: 90
Rule  2: f368311318121, Class:  0, CF:0.997956, Len: 13, Fitness_tra: 45
Rule  3: 121d811321111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule  4: 1138351211551, Class:  0, CF:  1, Len: 13, Fitness_tra: 14
Rule  5: 1212155113911, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule  6: 0d00700006000, Class:  0, CF:0.455582, Len:  3, Fitness_tra: 11
Rule  7: 1162112159121, Class:  1, CF:0.515548, Len: 13, Fitness_tra: 10
Rule  8: 12111d1183d51, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule  9: 3aacd13328c13, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 10: 21ad358851d12, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 11: f3651911c11d9, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 12: 13a1513821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 13: 22f115c119111, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 14: 28f15d1331171, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 15: 2d39158115123, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 16: 13118585111d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 17: 29a2111119921, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: 0003500090e50, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 19: fafd9185551ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 73315585191c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 121519528d1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: fef1899321183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6971811518813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 19211551111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b271318c21559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 351198528135d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f34112125d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 75f9335221121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 161118c19e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 6e23552521311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3371521319582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: a1a51d5515519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3341d29213858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b2b1c21151955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b12191d111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7141118115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13115d1dd1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 44b1811855e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 72412112f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 4419d911c1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 6912e91c8d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 44431c1d11d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1213118d55d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 23143d43d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4c1136155d58c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 31a1e81811d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 13b23191515e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: aa6532411ed58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3941219131512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1511d1c556d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 127e112121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1d2125151d158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7bb1311111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: a3b8515111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b1a8155313d82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: aaa56125d9511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 1c15591353111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 786d113122855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b4b13917111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 24b98c8d11118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: aaf998d215811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4211181d31188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: a362e22153511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2411ee2c13111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 186552515d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 7335121511211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0c00bee5e0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 36f935283152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 637139c155151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4b48913259195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3e114161a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6545851115512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f3a1982193111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 13f5515521256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 75ab311529911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: ff15119351119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6575255815535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 116e5121cd115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 721115d915151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1eb8855519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7126719261e7c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1161213e1248e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2111551b1155d, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 84: b1151891151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: a1125311d2181, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule 86: 11111d121519d, Class:  0, CF:  1, Len: 13, Fitness_tra: 18
Rule 87: 1e71191199131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 41782d359512c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1112c13de238c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 6112512d11518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 23a55143e1571, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 6c00beece0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 6362e221335c1, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 94: c1a51d2515811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 137358112d125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 721d88722d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3a5c353311c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 733992511128e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: d4b13917111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: f37d11132b621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:67.6768
------Result------
Miss_rate(tra)	:67.6768
Miss_rate(tst)	:76.7677
ARL				:11.8261

------Generation 1------
Rule  1: 000020600c500, Class:  0, CF:  1, Len:  4, Fitness_tra: 90
Rule  2: f368311318121, Class:  0, CF:0.997956, Len: 13, Fitness_tra: 45
Rule  3: 11111d121519d, Class:  0, CF:  1, Len: 13, Fitness_tra: 18
Rule  4: 121d811321111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule  5: 1138351211551, Class:  0, CF:  1, Len: 13, Fitness_tra: 14
Rule  6: 1212155113911, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule  7: 0d00700006000, Class:  0, CF:0.455582, Len:  3, Fitness_tra: 11
Rule  8: a1125311d2181, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule  9: 1162112159121, Class:  1, CF:0.515548, Len: 13, Fitness_tra: 10
Rule 10: 2111551b1155d, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 11: 12111d1183d51, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 12: 3aacd13328c13, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 13: 21ad358851d12, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 14: 13a1513821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 15: f3651911c11d9, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 16: 28f15d1331171, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 17: 6362e221335c1, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 18: 2d39158115123, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 13118585111d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 20: 22f115c119111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 29a2111119921, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 22: 0003500090e50, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 23: fef1899321183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 19211551111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b271318c21559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 351198528135d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f34112125d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 75f9335221121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 161118c19e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 6e23552521311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3371521319582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: a1a51d5515519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3341d29213858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b2b1c21151955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b12191d111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 7141118115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13115d1dd1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 44b1811855e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 72412112f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 4419d911c1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 6912e91c8d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 44431c1d11d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1213118d55d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 23143d43d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4c1136155d58c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 31a1e81811d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 13b23191515e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: aa6532411ed58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3941219131512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1511d1c556d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 127e112121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1d2125151d158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7bb1311111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: a3b8515111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b1a8155313d82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: aaa56125d9511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 1c15591353111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 786d113122855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b4b13917111e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 24b98c8d11118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: aaf998d215811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4211181d31188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: a362e22153511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2411ee2c13111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 186552515d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 7335121511211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0c00bee5e0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 36f935283152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 637139c155151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 4b48913259195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3e114161a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6545851115512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f3a1982193111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 13f5515521256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 75ab311529911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: ff15119351119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6575255815535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 116e5121cd115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 721115d915151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1eb8855519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: fe21dc15cd511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 48f1d15115811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f922915581518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 4da8d11115519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1c613d8181518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b1a1111d4d1c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 4868151151711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: b135118929125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b12511d8e8515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: fe4111118d15d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 7349925211858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1eb8855e19151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 7239825321181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: a1a51d551b519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: aaa5618d59d11, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 3399205111500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 28f21d1331121, Class:  0, CF:  1, Len: 13, Fitness_tra: 28
Rule 98: 22017dc019011, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 0401701a11260, Class:  0, CF:  1, Len:  9, Fitness_tra: 1
Rule100: 3aa151332151d, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
------Current------
Miss_rate(tra)	:65.0954
------Result------
Miss_rate(tra)	:65.0954
Miss_rate(tst)	:75.7576
ARL				:11.7857

------Generation 2------
Rule  1: 000020600c500, Class:  0, CF:  1, Len:  4, Fitness_tra: 83
Rule  2: f368311318121, Class:  0, CF:0.997956, Len: 13, Fitness_tra: 45
Rule  3: 28f21d1331121, Class:  0, CF:  1, Len: 13, Fitness_tra: 28
Rule  4: 11111d121519d, Class:  0, CF:  1, Len: 13, Fitness_tra: 18
Rule  5: 121d811321111, Class:  0, CF:  1, Len: 13, Fitness_tra: 14
Rule  6: 1138351211551, Class:  0, CF:  1, Len: 13, Fitness_tra: 14
Rule  7: 0d00700006000, Class:  0, CF:0.455582, Len:  3, Fitness_tra: 11
Rule  8: a1125311d2181, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule  9: 1212155113911, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 10: 1162112159121, Class:  1, CF:0.515548, Len: 13, Fitness_tra: 7
Rule 11: 12111d1183d51, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 12: 3aacd13328c13, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 13: 2111551b1155d, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 14: 21ad358851d12, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 15: f3651911c11d9, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 16: 13a1513821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
