------Generation 0------
Rule  1: 1265132d11541, Class:  1, CF:0.343366, Len: 13, Fitness_tra: -7
Rule 35: f311119111811, Class:  0, CF:0.459347, Len: 13, Fitness_tra: 7
Rule 36: b861151353b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1173251151555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7813951c8e512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6312958199115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f11d5de515151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 42f5118819dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 63b512ed61315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 211d1138d315c, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 44: 3f623925d5388, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: f943815c831d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 6e18385111512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 13221158191c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 48: 1133595145815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 11a1355321d54, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 6a1d151d82d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 2132251159111, Class:  0, CF:0.690973, Len: 13, Fitness_tra: -2
Rule 52: fe7995cd31191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b81291518ed12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 632192153811c, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 55: 4424135515159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 4c1351218e18d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 636c131911125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3918315515155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000cc00900002, Class:  0, CF:  1, Len:  4, Fitness_tra: 46
Rule 60: aff1119515451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 414ac23831181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a3711951113e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: f375111111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2245111198e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: f3a1e8189e5cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4b75185115815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7812ed1119d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b11515e311115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12b5512151515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6138598dd5d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 75f1338129115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1418113251932, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 7931d58558111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3175d51581311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 256541d158229, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 333d955551589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0002c00300008, Class:  0, CF:0.998758, Len:  4, Fitness_tra: 362
Rule 78: 19b1942c9151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 21a1911151111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule 80: 1143152511535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b11e2853e11d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b221dc1211852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2561112311113, Class:  0, CF:  1, Len: 13, Fitness_tra: 24
Rule 84: 39459185195d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 4d6cd52182811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1441111512151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 19b5521519521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 6e42151581e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 631c392d51118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 6321411911112, Class:  0, CF:0.503404, Len: 13, Fitness_tra: 4
Rule 91: 61fd5d118c28a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 41f5938c11315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 69213d141391d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 771511551591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2561512525515, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 96: a3a13d5152213, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 97: 111139212d511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: a921311d9e31d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1575e31481111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: b1f1851131121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:43.4343
------Result------
Miss_rate(tra)	:43.4343
Miss_rate(tst)	:48.4848
ARL				:12.1429

------Generation 0------
Rule  1: 0002c00300008, Class:  0, CF:0.998758, Len:  4, Fitness_tra: 363
Rule  2: 000cc00900002, Class:  0, CF:  1, Len:  4, Fitness_tra: 46
Rule  3: 2561112311113, Class:  0, CF:  1, Len: 13, Fitness_tra: 25
Rule  4: 21a1911151111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule  5: f311119111811, Class:  0, CF:0.459347, Len: 13, Fitness_tra: 7
Rule  6: a3a13d5152213, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule  7: 6321411911112, Class:  0, CF:0.503404, Len: 13, Fitness_tra: 4
Rule  8: 632192153811c, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule  9: 13f3111111511, Class:  0, CF:0.895386, Len: 13, Fitness_tra: 3
Rule 10: 211d1138d315c, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 11: 13221158191c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: f661981151153, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 13: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: 2561512525515, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 15: b1f1851131121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b27c311125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 75fd291111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 272831e7cd111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: feb9212e15518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 651111d58d51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a361156e91259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: fef1951d115c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6362388d59518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6147edd511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4cf518919d152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6541133c8c113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31f5e11111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: bcbe8515c5551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 18f115551d82e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3131513921186, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 117153811111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4312112359515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: aa1551151d213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 71f4111111221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 6e65352dd91c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b861151353b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1173251151555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7813951c8e512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6312958199115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f11d5de515151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 42f5118819dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 63b512ed61315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7c23535222995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3f623925d5388, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: f943815c831d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 6e18385111512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3578515251533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1133595145815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 11a1355321d54, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 6a1d151d82d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1575e31481111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: fe7995cd31191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b81291518ed12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: a921311d9e31d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4424135515159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 4c1351218e18d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 636c131911125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3918315515155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 611113e911211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: aff1119515451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 414ac23831181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a3711951113e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: f375111111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2245111198e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: f3a1e8189e5cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4b75185115815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7812ed1119d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b11515e311115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12b5512151515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6138598dd5d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 75f1338129115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1418113251932, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 7931d58558111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3175d51581311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 256541d158229, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 333d955551589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: bc1581e122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 19b1942c9151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1c11512115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1143152511535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 61f1291122813, Class:  0, CF:0.0916227, Len: 13, Fitness_tra: -1
Rule 82: a143d82985112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: f6ad515515819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: a97185e155588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 61791dd111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 4135d1155e511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3a62111558988, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 88: 48f138515e5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: aff8163351183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 471f1791f5eb5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f18d5de5d5d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 47f5352c11311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: c1611c51d1153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 4175c51981012, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7813555c8e522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 70f1680920105, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 4113512181e8d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: f941115c11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 6c65352dd9ec1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: bc4411e1d11a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:43.2099
------Result------
Miss_rate(tra)	:43.2099
Miss_rate(tst)	:48.4848
ARL				:12.0526

------Generation 1------
Rule  1: 0002c00300008, Class:  0, CF:0.998758, Len:  4, Fitness_tra: 363
Rule  2: 000cc00900002, Class:  0, CF:  1, Len:  4, Fitness_tra: 46
Rule  3: 2561112311113, Class:  0, CF:  1, Len: 13, Fitness_tra: 25
Rule  4: 21a1911151111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule  5: f311119111811, Class:  0, CF:0.459347, Len: 13, Fitness_tra: 7
Rule  6: 3a62111558988, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: a3a13d5152213, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule  8: 6321411911112, Class:  0, CF:0.503404, Len: 13, Fitness_tra: 4
Rule  9: 632192153811c, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 10: 13f3111111511, Class:  0, CF:0.895386, Len: 13, Fitness_tra: 3
Rule 11: 211d1138d315c, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: f661981151153, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 13: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: 2561512525515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 13221158191c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 16: b1f1851131121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 75fd291111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 272831e7cd111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: feb9212e15518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 651111d58d51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a361156e91259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: fef1951d115c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6362388d59518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6147edd511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4cf518919d152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6541133c8c113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31f5e11111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: bcbe8515c5551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 18f115551d82e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3131513921186, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 117153811111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4312112359515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: aa1551151d213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 71f4111111221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 6e65352dd91c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b861151353b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1173251151555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7813951c8e512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6312958199115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f11d5de515151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 42f5118819dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 63b512ed61315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7c23535222995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3f623925d5388, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: f943815c831d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 6e18385111512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3578515251533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1133595145815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 11a1355321d54, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 6a1d151d82d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1575e31481111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: fe7995cd31191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b81291518ed12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: a921311d9e31d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4424135515159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 4c1351218e18d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 636c131911125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3918315515155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 611113e911211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: aff1119515451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 414ac23831181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a3711951113e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: f375111111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2245111198e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: f3a1e8189e5cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4b75185115815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7812ed1119d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b11515e311115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12b5512151515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 6138598dd5d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 75f1338129115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1418113251932, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 7931d58558111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3175d51581311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 256541d158229, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 333d955551589, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: bc1581e122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 19b1942c9151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1c11512115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1143152511535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 72a5413111b25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 72692525ced2d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 13683221d5181, Class:  0, CF:0.537644, Len: 13, Fitness_tra: 8
Rule 84: 7213c11df3171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 713c511555918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b23d211111215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3138d1d585123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 6365d53115211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 89: 3a6c351555e2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 7812111311512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 336d155959b25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 72e3161119531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3018300510052, Class:  0, CF:0.640343, Len:  8, Fitness_tra: 8
Rule 94: 15753b515e5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 040cc32500102, Class:  0, CF:  1, Len:  8, Fitness_tra: 71
Rule 96: 061ac20901002, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 97: 1219e51c8b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7811b49111d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: a921511d9e31d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 166115551d82e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:33.67
------Result------
Miss_rate(tra)	:33.67
Miss_rate(tst)	:35.3535
ARL				:11.5652

------Generation 2------
Rule  1: 0002c00300008, Class:  0, CF:0.998758, Len:  4, Fitness_tra: 363
Rule  2: 040cc32500102, Class:  0, CF:  1, Len:  8, Fitness_tra: 71
Rule  3: 000cc00900002, Class:  0, CF:  1, Len:  4, Fitness_tra: 46
Rule  4: 2561112311113, Class:  0, CF:  1, Len: 13, Fitness_tra: 25
Rule  5: 21a1911151111, Class:  0, CF:  1, Len: 13, Fitness_tra: 16
Rule  6: 3018300510052, Class:  0, CF:0.640343, Len:  8, Fitness_tra: 8
Rule  7: 13683221d5181, Class:  0, CF:0.537644, Len: 13, Fitness_tra: 8
Rule  8: f311119111811, Class:  0, CF:0.459347, Len: 13, Fitness_tra: 5
Rule  9: 6321411911112, Class:  0, CF:0.503404, Len: 13, Fitness_tra: 4
Rule 10: a3a13d5152213, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 11: 632192153811c, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 12: 13f3111111511, Class:  0, CF:0.895386, Len: 13, Fitness_tra: 0
Rule 13: f661981151153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 13221158191c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 15: ff63922139821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 211d1138d315c, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
