------Generation 0------
Rule  1: b4bbf14221, Class:  4, CF:0.998396, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2227a97742, Class:  4, CF:0.986054, Len: 10, Fitness_tra: 0
Rule 10: 22bb59bb47, Class:  1, CF:0.602962, Len: 10, Fitness_tra: 0
Rule 11: 1442114144, Class:  4, CF:0.199157, Len: 10, Fitness_tra: 0
Rule 12: 77bb611171, Class:  4, CF:0.970362, Len: 10, Fitness_tra: 1222
Rule 13: b21129bb21, Class:  2, CF:0.207466, Len: 10, Fitness_tra: -383
Rule 14: 231d5d2144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 7412f6b421, Class:  4, CF:0.992652, Len: 10, Fitness_tra: 0
Rule 16: 4527111214, Class:  2, CF:0.134727, Len: 10, Fitness_tra: 258
Rule 17: b14223744b, Class:  4, CF:0.189966, Len: 10, Fitness_tra: 0
Rule 18: 1212561b77, Class:  3, CF:0.440385, Len: 10, Fitness_tra: 0
Rule 19: b1241e28c7, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 1174617424, Class:  4, CF:0.884037, Len: 10, Fitness_tra: 0
Rule 21: 414741b1b7, Class:  2, CF:0.160567, Len: 10, Fitness_tra: 0
Rule 22: 4b2bf142b2, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 23: 22143fbe38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 777213b7b1, Class:  4, CF:0.988712, Len: 10, Fitness_tra: 0
Rule 25: 717451b2bb, Class:  2, CF:0.979297, Len: 10, Fitness_tra: 0
Rule 26: 772b314141, Class:  4, CF:0.841988, Len: 10, Fitness_tra: 2
Rule 27: 417b551717, Class:  2, CF:0.857451, Len: 10, Fitness_tra: -38
Rule 28: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 7221e1b141, Class:  2, CF:0.896821, Len: 10, Fitness_tra: 0
Rule 30: 44775921b4, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b171e1117b, Class:  2, CF:0.995781, Len: 10, Fitness_tra: 43
Rule 32: 1bb2fa1b17, Class:  4, CF:0.998511, Len: 10, Fitness_tra: 9
Rule 33: 28cb91b554, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 214781747b, Class:  2, CF:0.994615, Len: 10, Fitness_tra: 0
Rule 35: 2c1119424b, Class:  2, CF:0.975975, Len: 10, Fitness_tra: 4
Rule 36: 1771511741, Class:  2, CF:0.994525, Len: 10, Fitness_tra: -530
Rule 37: b2745fb77b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7944167277, Class:  4, CF:0.999989, Len: 10, Fitness_tra: 0
Rule 39: b1b11e2444, Class:  2, CF:0.999445, Len: 10, Fitness_tra: 117
Rule 40: 2b12164427, Class:  4, CF:0.999256, Len: 10, Fitness_tra: 0
Rule 41: 14b116b447, Class:  4, CF:0.999768, Len: 10, Fitness_tra: 8
Rule 42: b174114771, Class:  4, CF:0.355582, Len: 10, Fitness_tra: 0
Rule 43: 712b13bb41, Class:  4, CF:0.993562, Len: 10, Fitness_tra: 4
Rule 44: 2114c5b45c, Class:  2, CF:  1, Len: 10, Fitness_tra: 1
Rule 45: 487221bbb4, Class:  4, CF:0.790847, Len: 10, Fitness_tra: 0
Rule 46: 115b1211c1, Class:  4, CF:0.928928, Len: 10, Fitness_tra: 40
Rule 47: 72b483222b, Class:  2, CF:0.995885, Len: 10, Fitness_tra: 0
Rule 48: 2122514188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 127bb51b71, Class:  4, CF:0.337682, Len: 10, Fitness_tra: -1835
Rule 51: 2b41137b7b, Class:  4, CF:0.978966, Len: 10, Fitness_tra: 2
Rule 52: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 7a2211b772, Class:  4, CF:0.286518, Len: 10, Fitness_tra: 0
Rule 56: 4417611127, Class:  4, CF:0.90025, Len: 10, Fitness_tra: 105
Rule 57: 244111b477, Class:  2, CF:0.0654225, Len: 10, Fitness_tra: 2
Rule 58: b41b714b22, Class:  4, CF:0.286349, Len: 10, Fitness_tra: 0
Rule 59: 1417831474, Class:  2, CF:0.961693, Len: 10, Fitness_tra: -162
Rule 60: b21418b714, Class:  2, CF:0.208859, Len: 10, Fitness_tra: -170
Rule 61: 1412752144, Class:  2, CF:0.179555, Len: 10, Fitness_tra: -282
Rule 62: 4471594472, Class:  2, CF:0.997524, Len: 10, Fitness_tra: 1
Rule 63: 4b27a12147, Class:  4, CF:0.99985, Len: 10, Fitness_tra: 0
Rule 64: 272bf1b212, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 0
Rule 65: 4174fab144, Class:  4, CF:0.999568, Len: 10, Fitness_tra: 0
Rule 66: 2214834447, Class:  2, CF:0.992167, Len: 10, Fitness_tra: 0
Rule 67: 4444834171, Class:  2, CF:0.719961, Len: 10, Fitness_tra: 0
Rule 68: 4412191bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b1211d7b71, Class:  2, CF:0.870333, Len: 10, Fitness_tra: 442
Rule 71: 1c14132118, Class:  4, CF:0.991742, Len: 10, Fitness_tra: 3
Rule 72: 1c1285b17b, Class:  1, CF:0.299146, Len: 10, Fitness_tra: 286
Rule 73: 44129e7bb4, Class:  1, CF:0.412987, Len: 10, Fitness_tra: 0
Rule 74: 15c1811d31, Class:  2, CF:  1, Len: 10, Fitness_tra: 14
Rule 75: 4171b11417, Class:  2, CF:0.0495791, Len: 10, Fitness_tra: 521
Rule 76: bb14662124, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 77: 147b212217, Class:  2, CF:0.646653, Len: 10, Fitness_tra: -3
Rule 78: 2147c51442, Class:  2, CF:0.99632, Len: 10, Fitness_tra: 68
Rule 79: 41113eb24b, Class:  2, CF:0.922887, Len: 10, Fitness_tra: -3
Rule 80: 2472152144, Class:  2, CF:0.798858, Len: 10, Fitness_tra: 0
Rule 81: 42111144b1, Class:  4, CF:0.29715, Len: 10, Fitness_tra: -493
Rule 82: 114b217b72, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 712bd1b114, Class:  2, CF:0.968719, Len: 10, Fitness_tra: -2
Rule 84: bbb24e74b4, Class:  2, CF:0.99718, Len: 10, Fitness_tra: 0
Rule 85: 274b61b1b2, Class:  4, CF:0.99837, Len: 10, Fitness_tra: 0
Rule 86: 47711142b1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 181b1ab853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b71bd37177, Class:  2, CF:0.99212, Len: 10, Fitness_tra: 0
Rule 90: 224755bb41, Class:  1, CF:0.854794, Len: 10, Fitness_tra: 0
Rule 91: 7747261b22, Class:  4, CF:0.999677, Len: 10, Fitness_tra: 5
Rule 92: 417b864177, Class:  4, CF:0.690987, Len: 10, Fitness_tra: 0
Rule 93: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2cb44574bb, Class:  2, CF:0.565988, Len: 10, Fitness_tra: 0
Rule 95: b2425a4bb4, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 4abdd31747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 72b2152b21, Class:  1, CF:0.613619, Len: 10, Fitness_tra: 1
Rule 99: 712119b718, Class:  2, CF:0.985551, Len: 10, Fitness_tra: 9
Rule100: 2678827212, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4403
------Result------
Miss_rate(tra)	:99.4403
Miss_rate(tst)	:97.2578
ARL				:10

------Generation 1------
Rule  1: 77bb611171, Class:  4, CF:0.970362, Len: 10, Fitness_tra: 258
Rule  2: 4171b11417, Class:  2, CF:0.0495791, Len: 10, Fitness_tra: 542
Rule  3: b1211d7b71, Class:  2, CF:0.870333, Len: 10, Fitness_tra: 779
Rule  4: 1c1285b17b, Class:  1, CF:0.299146, Len: 10, Fitness_tra: 212
Rule  5: 4527111214, Class:  2, CF:0.134727, Len: 10, Fitness_tra: 76
Rule  6: b1b11e2444, Class:  2, CF:0.999445, Len: 10, Fitness_tra: 275
Rule  7: 4417611127, Class:  4, CF:0.90025, Len: 10, Fitness_tra: -195
Rule  8: 2147c51442, Class:  2, CF:0.99632, Len: 10, Fitness_tra: 10
Rule  9: b171e1117b, Class:  2, CF:0.995781, Len: 10, Fitness_tra: 191
Rule 10: 115b1211c1, Class:  4, CF:0.928928, Len: 10, Fitness_tra: 23
Rule 11: 4221112217, Class:  2, CF:0.267755, Len: 10, Fitness_tra: 2
Rule 12: 15c1811d31, Class:  2, CF:  1, Len: 10, Fitness_tra: 15
Rule 13: b111bd2b24, Class:  2, CF:0.586294, Len: 10, Fitness_tra: 16
Rule 14: 712119b718, Class:  2, CF:0.985551, Len: 10, Fitness_tra: 9
Rule 15: 1bb2fa1b17, Class:  4, CF:0.998511, Len: 10, Fitness_tra: 6
Rule 16: 24b14d7bbb, Class:  2, CF:0.764875, Len: 10, Fitness_tra: 31
Rule 17: 14b116b447, Class:  4, CF:0.999768, Len: 10, Fitness_tra: 0
Rule 18: 7747261b22, Class:  4, CF:0.999677, Len: 10, Fitness_tra: 0
Rule 19: 712b13bb41, Class:  4, CF:0.993562, Len: 10, Fitness_tra: 0
Rule 20: 2c1119424b, Class:  2, CF:0.975975, Len: 10, Fitness_tra: 0
Rule 21: 1c14132118, Class:  4, CF:0.991742, Len: 10, Fitness_tra: 0
Rule 22: 244111b477, Class:  2, CF:0.0654225, Len: 10, Fitness_tra: 1
Rule 23: 772b314141, Class:  4, CF:0.841988, Len: 10, Fitness_tra: 0
Rule 24: 2b41137b7b, Class:  4, CF:0.978966, Len: 10, Fitness_tra: 0
Rule 25: 2114c5b45c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 22125e21b2, Class:  1, CF:0.938991, Len: 10, Fitness_tra: 1
Rule 27: 4471594472, Class:  2, CF:0.997524, Len: 10, Fitness_tra: 5
Rule 28: 72b2152b21, Class:  1, CF:0.613619, Len: 10, Fitness_tra: 1
Rule 29: b4bbf14221, Class:  4, CF:0.998396, Len: 10, Fitness_tra: 0
Rule 30: 44775921b4, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2227a97742, Class:  4, CF:0.986054, Len: 10, Fitness_tra: 0
Rule 32: 22bb59bb47, Class:  1, CF:0.602962, Len: 10, Fitness_tra: 0
Rule 33: 28cb91b554, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 214781747b, Class:  2, CF:0.994615, Len: 10, Fitness_tra: 0
Rule 35: 1442114144, Class:  4, CF:0.199157, Len: 10, Fitness_tra: 0
Rule 36: 2678827212, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 37: b2745fb77b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7944167277, Class:  4, CF:0.999989, Len: 10, Fitness_tra: 0
Rule 39: 2b12164427, Class:  4, CF:0.999256, Len: 10, Fitness_tra: 0
Rule 40: 7221e1b141, Class:  2, CF:0.896821, Len: 10, Fitness_tra: -1
Rule 41: b174114771, Class:  4, CF:0.355582, Len: 10, Fitness_tra: 0
Rule 42: 231d5d2144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7412f6b421, Class:  4, CF:0.992652, Len: 10, Fitness_tra: 0
Rule 44: 487221bbb4, Class:  4, CF:0.790847, Len: 10, Fitness_tra: 0
Rule 45: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 72b483222b, Class:  2, CF:0.995885, Len: 10, Fitness_tra: 0
Rule 47: 2122514188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b14223744b, Class:  4, CF:0.189966, Len: 10, Fitness_tra: 0
Rule 50: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7a2211b772, Class:  4, CF:0.286518, Len: 10, Fitness_tra: 0
Rule 54: 1212561b77, Class:  3, CF:0.440385, Len: 10, Fitness_tra: 0
Rule 55: b1241e28c7, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 56: b41b714b22, Class:  4, CF:0.286349, Len: 10, Fitness_tra: 0
Rule 57: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1174617424, Class:  4, CF:0.884037, Len: 10, Fitness_tra: 0
Rule 59: 4b27a12147, Class:  4, CF:0.99985, Len: 10, Fitness_tra: 0
Rule 60: 272bf1b212, Class:  4, CF:0.999814, Len: 10, Fitness_tra: 0
Rule 61: 4174fab144, Class:  4, CF:0.999568, Len: 10, Fitness_tra: 0
Rule 62: 2214834447, Class:  2, CF:0.992167, Len: 10, Fitness_tra: 0
Rule 63: 4444834171, Class:  2, CF:0.719961, Len: 10, Fitness_tra: 0
Rule 64: 4412191bb7, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 414741b1b7, Class:  2, CF:0.160567, Len: 10, Fitness_tra: 0
Rule 67: 4b2bf142b2, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 68: 22143fbe38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 44129e7bb4, Class:  1, CF:0.412987, Len: 10, Fitness_tra: 0
Rule 70: 777213b7b1, Class:  4, CF:0.988712, Len: 10, Fitness_tra: 0
Rule 71: 717451b2bb, Class:  2, CF:0.979297, Len: 10, Fitness_tra: 0
Rule 72: bb14662124, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 73: 4abdd31747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2472152144, Class:  2, CF:0.798858, Len: 10, Fitness_tra: 0
Rule 76: 114b217b72, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: bbb24e74b4, Class:  2, CF:0.99718, Len: 10, Fitness_tra: 0
Rule 79: 274b61b1b2, Class:  4, CF:0.99837, Len: 10, Fitness_tra: 0
Rule 80: 47711142b1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 22112177bb, Class:  2, CF:0.429655, Len: 10, Fitness_tra: 4
Rule 82: 472486bb4b, Class:  4, CF:0.973126, Len: 10, Fitness_tra: 0
Rule 83: 1121114221, Class:  2, CF:0.726317, Len: 10, Fitness_tra: 471
Rule 84: 714255b2b1, Class:  2, CF:0.80834, Len: 10, Fitness_tra: -15
Rule 85: 7a45d342b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7712ff4b71, Class:  4, CF:0.988633, Len: 10, Fitness_tra: 0
Rule 87: 2744f14217, Class:  4, CF:0.999115, Len: 10, Fitness_tra: 0
Rule 88: 42413a1b4b, Class:  4, CF:0.999959, Len: 10, Fitness_tra: 191
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 411411b171, Class:  4, CF:0.199421, Len: 10, Fitness_tra: -2300
Rule 91: 14b19d21b1, Class:  1, CF:0.0717659, Len: 10, Fitness_tra: 58
Rule 92: 117b5921c1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 93: 184159bb43, Class:  1, CF:0.746066, Len: 10, Fitness_tra: 128
Rule 94: 712b13bb4b, Class:  4, CF:0.995882, Len: 10, Fitness_tra: 0
Rule 95: 144116b077, Class:  4, CF:0.999492, Len:  9, Fitness_tra: 34
Rule 96: 4421822212, Class:  2, CF:0.998583, Len: 10, Fitness_tra: 18
Rule 97: 0000261b22, Class:  4, CF:0.999314, Len:  6, Fitness_tra: 234
Rule 98: 4527111218, Class:  4, CF:0.0238358, Len: 10, Fitness_tra: 0
Rule 99: 4b2cc51442, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 42755f4d7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.3284
------Result------
Miss_rate(tra)	:99.3284
Miss_rate(tst)	:96.6179
ARL				:9.9375

------Generation 2------
Rule  1: 77bb611171, Class:  4, CF:0.970362, Len: 10, Fitness_tra: 258
Rule  2: 4171b11417, Class:  2, CF:0.0495791, Len: 10, Fitness_tra: 542
Rule  3: b1211d7b71, Class:  2, CF:0.870333, Len: 10, Fitness_tra: 779
Rule  4: 1c1285b17b, Class:  1, CF:0.299146, Len: 10, Fitness_tra: 212
Rule  5: 4527111214, Class:  2, CF:0.134727, Len: 10, Fitness_tra: 76
Rule  6: b1b11e2444, Class:  2, CF:0.999445, Len: 10, Fitness_tra: 275
Rule  7: 4417611127, Class:  4, CF:0.90025, Len: 10, Fitness_tra: -195
Rule  8: 2147c51442, Class:  2, CF:0.99632, Len: 10, Fitness_tra: 10
Rule  9: b171e1117b, Class:  2, CF:0.995781, Len: 10, Fitness_tra: 191
Rule 10: 115b1211c1, Class:  4, CF:0.928928, Len: 10, Fitness_tra: 23
Rule 11: 4221112217, Class:  2, CF:0.267755, Len: 10, Fitness_tra: 2
Rule 12: 15c1811d31, Class:  2, CF:  1, Len: 10, Fitness_tra: 15
Rule 13: b111bd2b24, Class:  2, CF:0.586294, Len: 10, Fitness_tra: 16
