------Generation 0------
Rule  1: bb71aa7447, Class:  4, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 25: 1142331111, Class:  4, CF:0.721857, Len: 10, Fitness_tra: 7
Rule 26: 21b41d4774, Class:  2, CF:0.358767, Len: 10, Fitness_tra: 0
Rule 27: 2844b1b442, Class:  2, CF:0.516661, Len: 10, Fitness_tra: 0
Rule 28: 14171ab24b, Class:  4, CF:0.998222, Len: 10, Fitness_tra: 0
Rule 29: 7212231172, Class:  4, CF:0.813083, Len: 10, Fitness_tra: 0
Rule 30: b244d1bb2b, Class:  1, CF:0.202803, Len: 10, Fitness_tra: 0
Rule 31: 1471167744, Class:  4, CF:0.999957, Len: 10, Fitness_tra: 0
Rule 32: 7b4b15217b, Class:  2, CF:0.959293, Len: 10, Fitness_tra: 0
Rule 33: 1b1442724b, Class:  2, CF:0.963252, Len: 10, Fitness_tra: 0
Rule 34: 47b4ef224b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 44179317b2, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 36: b32221b121, Class:  2, CF:0.853404, Len: 10, Fitness_tra: 0
Rule 37: 4172531211, Class:  2, CF:0.992833, Len: 10, Fitness_tra: 0
Rule 38: b572ce1471, Class:  2, CF:0.0266265, Len: 10, Fitness_tra: 0
Rule 39: 774119472b, Class:  2, CF:0.974253, Len: 10, Fitness_tra: 0
Rule 40: 41bb112177, Class:  4, CF:0.256334, Len: 10, Fitness_tra: 0
Rule 41: 1121c32117, Class:  2, CF:0.95688, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 21b23e717b, Class:  2, CF:0.581819, Len: 10, Fitness_tra: 0
Rule 44: 41778f4412, Class:  4, CF:0.917359, Len: 10, Fitness_tra: 0
Rule 45: 427748bb27, Class:  2, CF:0.116256, Len: 10, Fitness_tra: 0
Rule 46: 771771227b, Class:  2, CF:0.553262, Len: 10, Fitness_tra: 0
Rule 47: b44749b121, Class:  2, CF:0.831094, Len: 10, Fitness_tra: 0
Rule 48: 42b73abbb4, Class:  4, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 49: 71711f2747, Class:  4, CF:0.99991, Len: 10, Fitness_tra: 0
Rule 50: 1121ea24b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b82111b424, Class:  2, CF:0.675487, Len: 10, Fitness_tra: 0
Rule 52: 77b11574b7, Class:  2, CF:0.929947, Len: 10, Fitness_tra: 0
Rule 53: 1211134318, Class:  4, CF:0.957066, Len: 10, Fitness_tra: 0
Rule 54: b4bb7bb71b, Class:  4, CF:0.627956, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 451115b241, Class:  2, CF:0.688559, Len: 10, Fitness_tra: 0
Rule 57: 0000400000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 417271bb77, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2141e77b7, Class:  1, CF:0.114989, Len: 10, Fitness_tra: 0
Rule 61: 4177d94247, Class:  2, CF:0.99595, Len: 10, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b1b243714c, Class:  2, CF:0.119143, Len: 10, Fitness_tra: 0
Rule 64: 711785b14b, Class:  2, CF:0.869278, Len: 10, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2114157274, Class:  2, CF:0.851036, Len: 10, Fitness_tra: 0
Rule 68: b217192771, Class:  1, CF:0.884832, Len: 10, Fitness_tra: 0
Rule 69: 43255571bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 47b49177b2, Class:  2, CF:0.96162, Len: 10, Fitness_tra: 0
Rule 71: 44472514b2, Class:  2, CF:0.540492, Len: 10, Fitness_tra: 0
Rule 72: 411111b771, Class:  2, CF:0.352154, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2744114127, Class:  2, CF:0.182149, Len: 10, Fitness_tra: 0
Rule 76: 24711fb21b, Class:  4, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 77: 0040400000, Class:  2, CF:0.650998, Len:  2, Fitness_tra: -9169
Rule 78: 1427134214, Class:  4, CF:0.623646, Len: 10, Fitness_tra: 0
Rule 79: 4277962421, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 214c3f4742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 171451214b, Class:  2, CF:0.370125, Len: 10, Fitness_tra: 0
Rule 83: b422137bb2, Class:  4, CF:0.973512, Len: 10, Fitness_tra: 0
Rule 84: 21b78e21b1, Class:  2, CF:0.415992, Len: 10, Fitness_tra: 0
Rule 85: 422b8e4b11, Class:  1, CF:0.798141, Len: 10, Fitness_tra: 0
Rule 86: 77b451214b, Class:  2, CF:0.984303, Len: 10, Fitness_tra: 0
Rule 87: 4274114b71, Class:  4, CF:0.648185, Len: 10, Fitness_tra: 0
Rule 88: 4227134921, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 17b4217bb4, Class:  2, CF:0.279654, Len: 10, Fitness_tra: 0
Rule 91: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: b228f127b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 17112d4b4b, Class:  2, CF:0.866079, Len: 10, Fitness_tra: 0
Rule 95: 4cb19a21b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1727cd4b21, Class:  2, CF:0.78778, Len: 10, Fitness_tra: 0
Rule 97: 4b22c12721, Class:  2, CF:0.966922, Len: 10, Fitness_tra: 0
Rule 98: 114b132117, Class:  4, CF:0.884244, Len: 10, Fitness_tra: 0
Rule 99: 7b7253421b, Class:  2, CF:0.999958, Len: 10, Fitness_tra: 0
Rule100: 1c241abd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.8728
------Result------
Miss_rate(tra)	:99.8728
Miss_rate(tst)	:99.4516
ARL				:9.88889

------Generation 0------
Rule  1: 1142331111, Class:  4, CF:0.721857, Len: 10, Fitness_tra: -19
Rule  2: 117b611721, Class:  4, CF:0.954412, Len: 10, Fitness_tra: 0
Rule  3: bb71aa7447, Class:  4, CF:0.999997, Len: 10, Fitness_tra: 0
Rule  4: 747142b112, Class:  2, CF:0.809532, Len: 10, Fitness_tra: 35
Rule  5: 24711e7222, Class:  2, CF:0.998633, Len: 10, Fitness_tra: 7
Rule  6: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b17b15b141, Class:  2, CF:0.691725, Len: 10, Fitness_tra: 0
Rule  8: 22b27cb121, Class:  2, CF:0.559712, Len: 10, Fitness_tra: 0
Rule  9: 2bb4714471, Class:  2, CF:0.6788, Len: 10, Fitness_tra: 0
Rule 10: 1c241abd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b221df4742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: b64213b14b, Class:  4, CF:0.667791, Len: 10, Fitness_tra: 0
Rule 13: 22217c424b, Class:  2, CF:0.955815, Len: 10, Fitness_tra: 5
Rule 14: 4b1b617271, Class:  4, CF:0.961504, Len: 10, Fitness_tra: 0
Rule 15: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 2112131411, Class:  4, CF:0.815959, Len: 10, Fitness_tra: 0
Rule 17: 4bbb9f7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 7211b2b214, Class:  2, CF:0.811969, Len: 10, Fitness_tra: 114
Rule 19: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2717dd7717, Class:  2, CF:0.861808, Len: 10, Fitness_tra: 0
Rule 22: 7b242a2b27, Class:  4, CF:0.999987, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1e11424218, Class:  2, CF:0.995621, Len: 10, Fitness_tra: 1
Rule 25: 4117254212, Class:  2, CF:0.905154, Len: 10, Fitness_tra: 0
Rule 26: 21b41d4774, Class:  2, CF:0.358767, Len: 10, Fitness_tra: 0
Rule 27: 2844b1b442, Class:  2, CF:0.516661, Len: 10, Fitness_tra: 0
Rule 28: 14171ab24b, Class:  4, CF:0.998222, Len: 10, Fitness_tra: 0
Rule 29: 7212231172, Class:  4, CF:0.813083, Len: 10, Fitness_tra: 0
Rule 30: b244d1bb2b, Class:  1, CF:0.202803, Len: 10, Fitness_tra: 0
Rule 31: 1471167744, Class:  4, CF:0.999957, Len: 10, Fitness_tra: 0
Rule 32: 7b4b15217b, Class:  2, CF:0.959293, Len: 10, Fitness_tra: 0
Rule 33: 1b1442724b, Class:  2, CF:0.963252, Len: 10, Fitness_tra: 0
Rule 34: 47b4ef224b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 44179317b2, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 36: b32221b121, Class:  2, CF:0.853404, Len: 10, Fitness_tra: 0
Rule 37: 4172531211, Class:  2, CF:0.992833, Len: 10, Fitness_tra: 0
Rule 38: b572ce1471, Class:  2, CF:0.0266265, Len: 10, Fitness_tra: 0
Rule 39: 774119472b, Class:  2, CF:0.974253, Len: 10, Fitness_tra: 0
Rule 40: 41bb112177, Class:  4, CF:0.256334, Len: 10, Fitness_tra: 0
Rule 41: 1121c32117, Class:  2, CF:0.95688, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 21b23e717b, Class:  2, CF:0.581819, Len: 10, Fitness_tra: 0
Rule 44: 41778f4412, Class:  4, CF:0.917359, Len: 10, Fitness_tra: 0
Rule 45: 427748bb27, Class:  2, CF:0.116256, Len: 10, Fitness_tra: 0
Rule 46: 771771227b, Class:  2, CF:0.553262, Len: 10, Fitness_tra: 0
Rule 47: b44749b121, Class:  2, CF:0.831094, Len: 10, Fitness_tra: 0
Rule 48: 42b73abbb4, Class:  4, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 49: 71711f2747, Class:  4, CF:0.99991, Len: 10, Fitness_tra: 0
Rule 50: 1121ea24b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b82111b424, Class:  2, CF:0.675487, Len: 10, Fitness_tra: 109
Rule 52: 77b11574b7, Class:  2, CF:0.929947, Len: 10, Fitness_tra: 0
Rule 53: 1211134318, Class:  4, CF:0.957066, Len: 10, Fitness_tra: 0
Rule 54: b4bb7bb71b, Class:  4, CF:0.627956, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 451115b241, Class:  2, CF:0.688559, Len: 10, Fitness_tra: 12
Rule 57: 0000400000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 417271bb77, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2141e77b7, Class:  1, CF:0.114989, Len: 10, Fitness_tra: 0
Rule 61: 4177d94247, Class:  2, CF:0.99595, Len: 10, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b1b243714c, Class:  2, CF:0.119143, Len: 10, Fitness_tra: 0
Rule 64: 711785b14b, Class:  2, CF:0.869278, Len: 10, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2114157274, Class:  2, CF:0.851036, Len: 10, Fitness_tra: 0
Rule 68: b217192771, Class:  1, CF:0.884832, Len: 10, Fitness_tra: 5
Rule 69: 43255571bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 47b49177b2, Class:  2, CF:0.96162, Len: 10, Fitness_tra: 0
Rule 71: 44472514b2, Class:  2, CF:0.540492, Len: 10, Fitness_tra: 0
Rule 72: 411111b771, Class:  2, CF:0.352154, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2744114127, Class:  2, CF:0.182149, Len: 10, Fitness_tra: 0
Rule 76: 24711fb21b, Class:  4, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 77: 1427134214, Class:  4, CF:0.623646, Len: 10, Fitness_tra: 0
Rule 78: 4277962421, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 214c3f4742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2222111424, Class:  2, CF:0.412865, Len: 10, Fitness_tra: 0
Rule 82: c117537111, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 7121f12b7b, Class:  4, CF:0.999945, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1242131224, Class:  2, CF:0.627744, Len: 10, Fitness_tra: 15
Rule 87: 14b21127b1, Class:  4, CF:0.241656, Len: 10, Fitness_tra: -1
Rule 88: 2b17211b21, Class:  2, CF:0.821042, Len: 10, Fitness_tra: 0
Rule 89: b641d94147, Class:  2, CF:0.999921, Len: 10, Fitness_tra: 12
Rule 90: b47bf31741, Class:  4, CF:0.999425, Len: 10, Fitness_tra: 0
Rule 91: 7b1253724b, Class:  2, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 92: 064200010b, Class:  2, CF:0.0772739, Len:  5, Fitness_tra: -43
Rule 93: 042e137022, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 71212a2b17, Class:  4, CF:0.9979, Len: 10, Fitness_tra: 0
Rule 95: 010110b700, Class:  2, CF:0.5361, Len:  5, Fitness_tra: -3029
Rule 96: 7e16522148, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 2040000173, Class:  4, CF:0.0582548, Len:  5, Fitness_tra: -2413
Rule 98: 060e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 99: cc248e4d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4010600001, Class:  4, CF:0.688312, Len:  4, Fitness_tra: 642
------Current------
Miss_rate(tra)	:99.4302
------Result------
Miss_rate(tra)	:99.4302
Miss_rate(tst)	:97.8976
ARL				:9.60274

------Generation 1------
Rule  1: 4010600001, Class:  4, CF:0.688312, Len:  4, Fitness_tra: 853
Rule  2: 7211b2b214, Class:  2, CF:0.811969, Len: 10, Fitness_tra: 0
Rule  3: b82111b424, Class:  2, CF:0.675487, Len: 10, Fitness_tra: 28
Rule  4: 747142b112, Class:  2, CF:0.809532, Len: 10, Fitness_tra: 113
Rule  5: 1242131224, Class:  2, CF:0.627744, Len: 10, Fitness_tra: 0
Rule  6: b641d94147, Class:  2, CF:0.999921, Len: 10, Fitness_tra: 195
Rule  7: 451115b241, Class:  2, CF:0.688559, Len: 10, Fitness_tra: -90
Rule  8: 24711e7222, Class:  2, CF:0.998633, Len: 10, Fitness_tra: 5
Rule  9: 22217c424b, Class:  2, CF:0.955815, Len: 10, Fitness_tra: 0
Rule 10: b217192771, Class:  1, CF:0.884832, Len: 10, Fitness_tra: 38
Rule 11: 060e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 12: 1e11424218, Class:  2, CF:0.995621, Len: 10, Fitness_tra: 0
Rule 13: 117b611721, Class:  4, CF:0.954412, Len: 10, Fitness_tra: 0
Rule 14: 4b1b617271, Class:  4, CF:0.961504, Len: 10, Fitness_tra: 0
Rule 15: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 2112131411, Class:  4, CF:0.815959, Len: 10, Fitness_tra: -29
Rule 17: 4bbb9f7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2717dd7717, Class:  2, CF:0.861808, Len: 10, Fitness_tra: 0
Rule 22: 7b242a2b27, Class:  4, CF:0.999987, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b17b15b141, Class:  2, CF:0.691725, Len: 10, Fitness_tra: -65
Rule 25: 4117254212, Class:  2, CF:0.905154, Len: 10, Fitness_tra: -2
Rule 26: 21b41d4774, Class:  2, CF:0.358767, Len: 10, Fitness_tra: 0
Rule 27: 2844b1b442, Class:  2, CF:0.516661, Len: 10, Fitness_tra: 0
Rule 28: 14171ab24b, Class:  4, CF:0.998222, Len: 10, Fitness_tra: 0
Rule 29: 7212231172, Class:  4, CF:0.813083, Len: 10, Fitness_tra: 0
Rule 30: b244d1bb2b, Class:  1, CF:0.202803, Len: 10, Fitness_tra: 0
Rule 31: 1471167744, Class:  4, CF:0.999957, Len: 10, Fitness_tra: 0
Rule 32: 7b4b15217b, Class:  2, CF:0.959293, Len: 10, Fitness_tra: 0
Rule 33: 1b1442724b, Class:  2, CF:0.963252, Len: 10, Fitness_tra: -1101
Rule 34: 47b4ef224b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 44179317b2, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 36: b32221b121, Class:  2, CF:0.853404, Len: 10, Fitness_tra: -1
Rule 37: 4172531211, Class:  2, CF:0.992833, Len: 10, Fitness_tra: 0
Rule 38: b572ce1471, Class:  2, CF:0.0266265, Len: 10, Fitness_tra: 0
Rule 39: 774119472b, Class:  2, CF:0.974253, Len: 10, Fitness_tra: 0
Rule 40: 41bb112177, Class:  4, CF:0.256334, Len: 10, Fitness_tra: 0
Rule 41: 1121c32117, Class:  2, CF:0.95688, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 21b23e717b, Class:  2, CF:0.581819, Len: 10, Fitness_tra: 0
Rule 44: 41778f4412, Class:  4, CF:0.917359, Len: 10, Fitness_tra: 0
Rule 45: 427748bb27, Class:  2, CF:0.116256, Len: 10, Fitness_tra: 0
Rule 46: 771771227b, Class:  2, CF:0.553262, Len: 10, Fitness_tra: 0
Rule 47: b44749b121, Class:  2, CF:0.831094, Len: 10, Fitness_tra: -1
Rule 48: 42b73abbb4, Class:  4, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 49: 71711f2747, Class:  4, CF:0.99991, Len: 10, Fitness_tra: 0
Rule 50: 1121ea24b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 22b27cb121, Class:  2, CF:0.559712, Len: 10, Fitness_tra: -55
Rule 52: 77b11574b7, Class:  2, CF:0.929947, Len: 10, Fitness_tra: 84
Rule 53: 1211134318, Class:  4, CF:0.957066, Len: 10, Fitness_tra: 0
Rule 54: b4bb7bb71b, Class:  4, CF:0.627956, Len: 10, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 2bb4714471, Class:  2, CF:0.6788, Len: 10, Fitness_tra: 0
Rule 57: 0000400000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 417271bb77, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2141e77b7, Class:  1, CF:0.114989, Len: 10, Fitness_tra: 0
Rule 61: 4177d94247, Class:  2, CF:0.99595, Len: 10, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b1b243714c, Class:  2, CF:0.119143, Len: 10, Fitness_tra: 0
Rule 64: 711785b14b, Class:  2, CF:0.869278, Len: 10, Fitness_tra: -385
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2114157274, Class:  2, CF:0.851036, Len: 10, Fitness_tra: 0
Rule 68: 1c241abd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 43255571bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 47b49177b2, Class:  2, CF:0.96162, Len: 10, Fitness_tra: 0
Rule 71: 44472514b2, Class:  2, CF:0.540492, Len: 10, Fitness_tra: 0
Rule 72: 411111b771, Class:  2, CF:0.352154, Len: 10, Fitness_tra: -1294
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 2744114127, Class:  2, CF:0.182149, Len: 10, Fitness_tra: 0
Rule 76: 24711fb21b, Class:  4, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 77: 1427134214, Class:  4, CF:0.623646, Len: 10, Fitness_tra: 0
Rule 78: 4277962421, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 214c3f4742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 174b1f7117, Class:  4, CF:0.956781, Len: 10, Fitness_tra: 0
Rule 83: 1254b57711, Class:  4, CF:0.921348, Len: 10, Fitness_tra: 0
Rule 84: 2118311bb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: 477b11bb42, Class:  4, CF:0.183023, Len: 10, Fitness_tra: 0
Rule 86: 2424af2b72, Class:  4, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 87: 21112ebb77, Class:  2, CF:0.970026, Len: 10, Fitness_tra: -1
Rule 88: 7c213647b1, Class:  4, CF:0.999801, Len: 10, Fitness_tra: 0
Rule 89: 1151517511, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 90: 21b49322b2, Class:  2, CF:0.999929, Len: 10, Fitness_tra: 0
Rule 91: 45b411b241, Class:  2, CF:0.292819, Len: 10, Fitness_tra: 0
Rule 92: 71b12f2b17, Class:  4, CF:0.99633, Len: 10, Fitness_tra: 0
Rule 93: 4111134241, Class:  4, CF:0.219083, Len: 10, Fitness_tra: 0
Rule 94: 247115b11b, Class:  2, CF:0.637901, Len: 10, Fitness_tra: 0
Rule 95: 22292a3747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2401b0a200, Class:  2, CF:0.548277, Len:  6, Fitness_tra: 1080
Rule 97: 181db1b44b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: 2b0e30007b, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 99: 422741bb27, Class:  2, CF:0.0982025, Len: 10, Fitness_tra: 0
Rule100: 4296f62b7a, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.3946
------Result------
Miss_rate(tra)	:99.3946
Miss_rate(tst)	:97.8976
ARL				:9.71053

------Generation 2------
Rule  1: 2401b0a200, Class:  2, CF:0.548277, Len:  6, Fitness_tra: 1068
Rule  2: 4010600001, Class:  4, CF:0.688312, Len:  4, Fitness_tra: 853
Rule  3: b641d94147, Class:  2, CF:0.999921, Len: 10, Fitness_tra: 234
Rule  4: 747142b112, Class:  2, CF:0.809532, Len: 10, Fitness_tra: 115
Rule  5: 77b11574b7, Class:  2, CF:0.929947, Len: 10, Fitness_tra: 116
Rule  6: b217192771, Class:  1, CF:0.884832, Len: 10, Fitness_tra: 106
Rule  7: b82111b424, Class:  2, CF:0.675487, Len: 10, Fitness_tra: 29
Rule  8: 24711e7222, Class:  2, CF:0.998633, Len: 10, Fitness_tra: 6
Rule  9: 060e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 10: 22217c424b, Class:  2, CF:0.955815, Len: 10, Fitness_tra: 0
Rule 11: 1242131224, Class:  2, CF:0.627744, Len: 10, Fitness_tra: 0
Rule 12: 1e11424218, Class:  2, CF:0.995621, Len: 10, Fitness_tra: 7
Rule 13: 117b611721, Class:  4, CF:0.954412, Len: 10, Fitness_tra: 0
Rule 14: 4b1b617271, Class:  4, CF:0.961504, Len: 10, Fitness_tra: 0
Rule 15: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
