------Generation 0------
Rule  1: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 60
Rule 34: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 557
Rule 35: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 232
Rule 36: 47b76a1111, Class:  4, CF:0.519544, Len: 10, Fitness_tra: 624
Rule 37: 414481b277, Class:  2, CF:0.994055, Len: 10, Fitness_tra: 0
Rule 38: 4171454411, Class:  2, CF:0.993599, Len: 10, Fitness_tra: -218
Rule 39: 2422892127, Class:  2, CF:0.95882, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: d2b2247b44, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1224512bb2, Class:  1, CF:0.986391, Len: 10, Fitness_tra: 0
Rule 44: b2428521b2, Class:  1, CF:0.610504, Len: 10, Fitness_tra: 0
Rule 45: c112557311, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 71245e2287, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 28279e4d11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 21243371bb, Class:  4, CF:0.983869, Len: 10, Fitness_tra: 0
Rule 49: 1c22112132, Class:  4, CF:0.723239, Len: 10, Fitness_tra: -1
Rule 50: 74bb424411, Class:  2, CF:0.707093, Len: 10, Fitness_tra: -79
Rule 51: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 53: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 54: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 55: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 56: 4d71134217, Class:  4, CF:0.642025, Len: 10, Fitness_tra: -46
Rule 57: b414cd7b47, Class:  2, CF:0.789214, Len: 10, Fitness_tra: 0
Rule 58: 21bb312272, Class:  4, CF:0.377867, Len: 10, Fitness_tra: 0
Rule 59: 1b72bc1774, Class:  2, CF:0.797399, Len: 10, Fitness_tra: 8
Rule 60: 71112721b4, Class:  2, CF:0.671589, Len: 10, Fitness_tra: -984
Rule 61: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 64: b21116b7b4, Class:  4, CF:0.999293, Len: 10, Fitness_tra: 1
Rule 65: bb24487b22, Class:  2, CF:0.996806, Len: 10, Fitness_tra: 0
Rule 66: 4b42111444, Class:  2, CF:0.677521, Len: 10, Fitness_tra: 28
Rule 67: b2128174bb, Class:  2, CF:0.598764, Len: 10, Fitness_tra: 1
Rule 68: 1411512211, Class:  2, CF:0.424733, Len: 10, Fitness_tra: -1224
Rule 69: 27bb132111, Class:  4, CF:0.520573, Len: 10, Fitness_tra: -280
Rule 70: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 71: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2124161bbb, Class:  4, CF:0.999391, Len: 10, Fitness_tra: -1
Rule 74: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
Rule 75: 2c442e2b14, Class:  1, CF:0.0262262, Len: 10, Fitness_tra: 0
Rule 76: 24715d1114, Class:  2, CF:0.995324, Len: 10, Fitness_tra: 296
Rule 77: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1bb151b11b, Class:  2, CF:0.994934, Len: 10, Fitness_tra: 2
Rule 79: b2776a1271, Class:  4, CF:0.998694, Len: 10, Fitness_tra: 0
Rule 80: 21441211b4, Class:  4, CF:0.0504937, Len: 10, Fitness_tra: -1
Rule 81: 142b122242, Class:  2, CF:0.849947, Len: 10, Fitness_tra: 106
Rule 82: 12b4914b24, Class:  1, CF:0.953443, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 12cbd3b539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 28bd61b224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1412da7b12, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 4242192421, Class:  2, CF:0.40856, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2412d14114, Class:  2, CF:0.364194, Len: 10, Fitness_tra: 0
Rule 92: 4c42137211, Class:  4, CF:0.967379, Len: 10, Fitness_tra: 0
Rule 93: 117b12b27b, Class:  2, CF:0.550249, Len: 10, Fitness_tra: -536
Rule 94: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: bbb43a4bb2, Class:  4, CF:0.999964, Len: 10, Fitness_tra: 0
Rule 96: 1114d1217b, Class:  1, CF:0.487188, Len: 10, Fitness_tra: 0
Rule 97: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 33
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 794
Rule100: b414832274, Class:  2, CF:0.846133, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4962
------Result------
Miss_rate(tra)	:99.4962
Miss_rate(tst)	:97.8995
ARL				:10

------Generation 0------
Rule  1: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 60
Rule  2: 27218a4414, Class:  3, CF:0.998354, Len: 10, Fitness_tra: 0
Rule  3: 122b534121, Class:  2, CF:0.998662, Len: 10, Fitness_tra: 0
Rule  4: 1c223f7127, Class:  4, CF:0.993297, Len: 10, Fitness_tra: 0
Rule  5: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2d524111c2, Class:  4, CF:0.980768, Len: 10, Fitness_tra: 2
Rule  7: 7271151b12, Class:  2, CF:0.657883, Len: 10, Fitness_tra: 707
Rule  8: 77bb1c1717, Class:  2, CF:0.285393, Len: 10, Fitness_tra: -302
Rule  9: 122bc211b1, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4b72ff4141, Class:  4, CF:0.971961, Len: 10, Fitness_tra: 0
Rule 11: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 25
Rule 12: b2bb3342b7, Class:  4, CF:0.983929, Len: 10, Fitness_tra: 0
Rule 13: b271492b2b, Class:  2, CF:0.751859, Len: 10, Fitness_tra: 0
Rule 14: b241517211, Class:  2, CF:0.985626, Len: 10, Fitness_tra: 5
Rule 15: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b2b731b714, Class:  4, CF:0.684089, Len: 10, Fitness_tra: -4
Rule 19: c8c11abdd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 42bbb87bb7, Class:  4, CF:0.604933, Len: 10, Fitness_tra: 0
Rule 21: 4214337d35, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 4444114172, Class:  4, CF:0.720443, Len: 10, Fitness_tra: 0
Rule 23: b747212211, Class:  2, CF:0.672618, Len: 10, Fitness_tra: 0
Rule 24: 15b4812172, Class:  1, CF:0.957475, Len: 10, Fitness_tra: 4
Rule 25: 12226627b4, Class:  4, CF:0.999857, Len: 10, Fitness_tra: 0
Rule 26: 44b7662b77, Class:  4, CF:0.999769, Len: 10, Fitness_tra: 0
Rule 27: b32b29b222, Class:  2, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 28: 7bbb1f4417, Class:  4, CF:0.994199, Len: 10, Fitness_tra: 0
Rule 29: 1247564717, Class:  3, CF:0.948622, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 71121d11b4, Class:  2, CF:0.324268, Len: 10, Fitness_tra: -3535
Rule 33: 1247112b47, Class:  4, CF:0.324743, Len: 10, Fitness_tra: -1
Rule 34: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 557
Rule 35: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 232
Rule 36: 47b76a1111, Class:  4, CF:0.519544, Len: 10, Fitness_tra: 624
Rule 37: 414481b277, Class:  2, CF:0.994055, Len: 10, Fitness_tra: 0
Rule 38: 4171454411, Class:  2, CF:0.993599, Len: 10, Fitness_tra: -218
Rule 39: 2422892127, Class:  2, CF:0.95882, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: d2b2247b44, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1224512bb2, Class:  1, CF:0.986391, Len: 10, Fitness_tra: 0
Rule 44: b2428521b2, Class:  1, CF:0.610504, Len: 10, Fitness_tra: 0
Rule 45: c112557311, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 71245e2287, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 28279e4d11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 21243371bb, Class:  4, CF:0.983869, Len: 10, Fitness_tra: 0
Rule 49: 1c22112132, Class:  4, CF:0.723239, Len: 10, Fitness_tra: -1
Rule 50: 74bb424411, Class:  2, CF:0.707093, Len: 10, Fitness_tra: -79
Rule 51: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 53: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 54: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 55: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 56: 4d71134217, Class:  4, CF:0.642025, Len: 10, Fitness_tra: -46
Rule 57: b414cd7b47, Class:  2, CF:0.789214, Len: 10, Fitness_tra: 0
Rule 58: 21bb312272, Class:  4, CF:0.377867, Len: 10, Fitness_tra: 0
Rule 59: 1b72bc1774, Class:  2, CF:0.797399, Len: 10, Fitness_tra: 8
Rule 60: 71112721b4, Class:  2, CF:0.671589, Len: 10, Fitness_tra: -984
Rule 61: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 64: b21116b7b4, Class:  4, CF:0.999293, Len: 10, Fitness_tra: 1
Rule 65: bb24487b22, Class:  2, CF:0.996806, Len: 10, Fitness_tra: 0
Rule 66: 4b42111444, Class:  2, CF:0.677521, Len: 10, Fitness_tra: 28
Rule 67: b2128174bb, Class:  2, CF:0.598764, Len: 10, Fitness_tra: 1
Rule 68: 1411512211, Class:  2, CF:0.424733, Len: 10, Fitness_tra: -1224
Rule 69: 27bb132111, Class:  4, CF:0.520573, Len: 10, Fitness_tra: -280
Rule 70: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 71: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2124161bbb, Class:  4, CF:0.999391, Len: 10, Fitness_tra: -1
Rule 74: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
Rule 75: 2c442e2b14, Class:  1, CF:0.0262262, Len: 10, Fitness_tra: 0
Rule 76: 24715d1114, Class:  2, CF:0.995324, Len: 10, Fitness_tra: 296
Rule 77: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1bb151b11b, Class:  2, CF:0.994934, Len: 10, Fitness_tra: 2
Rule 79: b2776a1271, Class:  4, CF:0.998694, Len: 10, Fitness_tra: 0
Rule 80: 21441211b4, Class:  4, CF:0.0504937, Len: 10, Fitness_tra: -1
Rule 81: 142b122242, Class:  2, CF:0.849947, Len: 10, Fitness_tra: 106
Rule 82: 12b4914b24, Class:  1, CF:0.953443, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 12cbd3b539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 28bd61b224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1412da7b12, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 4242192421, Class:  2, CF:0.40856, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2412d14114, Class:  2, CF:0.364194, Len: 10, Fitness_tra: 0
Rule 92: 4c42137211, Class:  4, CF:0.967379, Len: 10, Fitness_tra: 0
Rule 93: 117b12b27b, Class:  2, CF:0.550249, Len: 10, Fitness_tra: -536
Rule 94: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: bbb43a4bb2, Class:  4, CF:0.999964, Len: 10, Fitness_tra: 0
Rule 96: 1114d1217b, Class:  1, CF:0.487188, Len: 10, Fitness_tra: 0
Rule 97: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 33
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 794
Rule100: b414832274, Class:  2, CF:0.846133, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4962
------Result------
Miss_rate(tra)	:99.4962
Miss_rate(tst)	:97.8995
ARL				:10

------Generation 1------
Rule  1: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 60
Rule  2: 27218a4414, Class:  3, CF:0.998354, Len: 10, Fitness_tra: 0
Rule  3: 122b534121, Class:  2, CF:0.998662, Len: 10, Fitness_tra: 0
Rule  4: 1c223f7127, Class:  4, CF:0.993297, Len: 10, Fitness_tra: 0
Rule  5: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2d524111c2, Class:  4, CF:0.980768, Len: 10, Fitness_tra: 2
Rule  7: 7271151b12, Class:  2, CF:0.657883, Len: 10, Fitness_tra: 707
Rule  8: 77bb1c1717, Class:  2, CF:0.285393, Len: 10, Fitness_tra: -302
Rule  9: 122bc211b1, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4b72ff4141, Class:  4, CF:0.971961, Len: 10, Fitness_tra: 0
Rule 11: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 25
Rule 12: b2bb3342b7, Class:  4, CF:0.983929, Len: 10, Fitness_tra: 0
Rule 13: b271492b2b, Class:  2, CF:0.751859, Len: 10, Fitness_tra: 0
Rule 14: b241517211, Class:  2, CF:0.985626, Len: 10, Fitness_tra: 5
Rule 15: 4c44391915, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 7b71d61427, Class:  3, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b2b731b714, Class:  4, CF:0.684089, Len: 10, Fitness_tra: -4
Rule 19: c8c11abdd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 42bbb87bb7, Class:  4, CF:0.604933, Len: 10, Fitness_tra: 0
Rule 21: 4214337d35, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 4444114172, Class:  4, CF:0.720443, Len: 10, Fitness_tra: 0
Rule 23: b747212211, Class:  2, CF:0.672618, Len: 10, Fitness_tra: 0
Rule 24: 15b4812172, Class:  1, CF:0.957475, Len: 10, Fitness_tra: 4
Rule 25: 12226627b4, Class:  4, CF:0.999857, Len: 10, Fitness_tra: 0
Rule 26: 44b7662b77, Class:  4, CF:0.999769, Len: 10, Fitness_tra: 0
Rule 27: b32b29b222, Class:  2, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 28: 7bbb1f4417, Class:  4, CF:0.994199, Len: 10, Fitness_tra: 0
Rule 29: 1247564717, Class:  3, CF:0.948622, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 71121d11b4, Class:  2, CF:0.324268, Len: 10, Fitness_tra: -3535
Rule 33: 1247112b47, Class:  4, CF:0.324743, Len: 10, Fitness_tra: -1
Rule 34: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 557
Rule 35: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 232
Rule 36: 47b76a1111, Class:  4, CF:0.519544, Len: 10, Fitness_tra: 624
Rule 37: 414481b277, Class:  2, CF:0.994055, Len: 10, Fitness_tra: 0
Rule 38: 4171454411, Class:  2, CF:0.993599, Len: 10, Fitness_tra: -218
Rule 39: 2422892127, Class:  2, CF:0.95882, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: d2b2247b44, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1224512bb2, Class:  1, CF:0.986391, Len: 10, Fitness_tra: 0
Rule 44: b2428521b2, Class:  1, CF:0.610504, Len: 10, Fitness_tra: 0
Rule 45: c112557311, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 71245e2287, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 28279e4d11, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 21243371bb, Class:  4, CF:0.983869, Len: 10, Fitness_tra: 0
Rule 49: 1c22112132, Class:  4, CF:0.723239, Len: 10, Fitness_tra: -1
Rule 50: 74bb424411, Class:  2, CF:0.707093, Len: 10, Fitness_tra: -79
Rule 51: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1cb2ff1b77, Class:  4, CF:0.998944, Len: 10, Fitness_tra: 0
Rule 53: b2b78ab271, Class:  1, CF:0.670678, Len: 10, Fitness_tra: 0
Rule 54: 41b253b772, Class:  2, CF:0.994783, Len: 10, Fitness_tra: 0
Rule 55: 427be31147, Class:  2, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 56: 4d71134217, Class:  4, CF:0.642025, Len: 10, Fitness_tra: -46
Rule 57: b414cd7b47, Class:  2, CF:0.789214, Len: 10, Fitness_tra: 0
Rule 58: 21bb312272, Class:  4, CF:0.377867, Len: 10, Fitness_tra: 0
Rule 59: 1b72bc1774, Class:  2, CF:0.797399, Len: 10, Fitness_tra: 8
Rule 60: 71112721b4, Class:  2, CF:0.671589, Len: 10, Fitness_tra: -984
Rule 61: ca52c5bee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 42b2582722, Class:  2, CF:0.122931, Len: 10, Fitness_tra: 0
Rule 64: b21116b7b4, Class:  4, CF:0.999293, Len: 10, Fitness_tra: 1
Rule 65: bb24487b22, Class:  2, CF:0.996806, Len: 10, Fitness_tra: 0
Rule 66: 4b42111444, Class:  2, CF:0.677521, Len: 10, Fitness_tra: 28
Rule 67: b2128174bb, Class:  2, CF:0.598764, Len: 10, Fitness_tra: 1
Rule 68: 1411512211, Class:  2, CF:0.424733, Len: 10, Fitness_tra: -1224
Rule 69: 27bb132111, Class:  4, CF:0.520573, Len: 10, Fitness_tra: -280
Rule 70: 47742e4b74, Class:  2, CF:0.91413, Len: 10, Fitness_tra: 0
Rule 71: 72271127b7, Class:  4, CF:0.785472, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2124161bbb, Class:  4, CF:0.999391, Len: 10, Fitness_tra: -1
Rule 74: 2472184bb4, Class:  4, CF:0.0306519, Len: 10, Fitness_tra: 0
Rule 75: 2c442e2b14, Class:  1, CF:0.0262262, Len: 10, Fitness_tra: 0
Rule 76: 24715d1114, Class:  2, CF:0.995324, Len: 10, Fitness_tra: 296
Rule 77: 0000c00000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1bb151b11b, Class:  2, CF:0.994934, Len: 10, Fitness_tra: 2
Rule 79: b2776a1271, Class:  4, CF:0.998694, Len: 10, Fitness_tra: 0
Rule 80: 21441211b4, Class:  4, CF:0.0504937, Len: 10, Fitness_tra: -1
Rule 81: 142b122242, Class:  2, CF:0.849947, Len: 10, Fitness_tra: 106
Rule 82: 12b4914b24, Class:  1, CF:0.953443, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 12cbd3b539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 28bd61b224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1412da7b12, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 4242192421, Class:  2, CF:0.40856, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2412d14114, Class:  2, CF:0.364194, Len: 10, Fitness_tra: 0
Rule 92: 4c42137211, Class:  4, CF:0.967379, Len: 10, Fitness_tra: 0
Rule 93: 117b12b27b, Class:  2, CF:0.550249, Len: 10, Fitness_tra: -536
Rule 94: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: bbb43a4bb2, Class:  4, CF:0.999964, Len: 10, Fitness_tra: 0
Rule 96: 1114d1217b, Class:  1, CF:0.487188, Len: 10, Fitness_tra: 0
Rule 97: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 33
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 794
Rule100: b414832274, Class:  2, CF:0.846133, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4962
------Result------
Miss_rate(tra)	:99.4962
Miss_rate(tst)	:97.8995
ARL				:10

------Generation 2------
Rule  1: b121161124, Class:  4, CF:0.99909, Len: 10, Fitness_tra: 33
Rule  2: 7271151b12, Class:  2, CF:0.657883, Len: 10, Fitness_tra: -2250
Rule  3: 47b76a1111, Class:  4, CF:0.519544, Len: 10, Fitness_tra: -15
Rule  4: 1814117b11, Class:  1, CF:0.808374, Len: 10, Fitness_tra: 526
Rule  5: 24715d1114, Class:  2, CF:0.995324, Len: 10, Fitness_tra: -238
Rule  6: 48213378d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 142b122242, Class:  2, CF:0.849947, Len: 10, Fitness_tra: 132
Rule  8: 7871dd1472, Class:  2, CF:0.996718, Len: 10, Fitness_tra: 60
Rule  9: 2cb13a141b, Class:  4, CF:0.998564, Len: 10, Fitness_tra: 1
Rule 10: 4b42111444, Class:  2, CF:0.677521, Len: 10, Fitness_tra: 79
Rule 11: 71b113b7b7, Class:  4, CF:0.947592, Len: 10, Fitness_tra: 0
Rule 12: 1b72bc1774, Class:  2, CF:0.797399, Len: 10, Fitness_tra: -178
Rule 13: b241517211, Class:  2, CF:0.985626, Len: 10, Fitness_tra: 2
