------Generation 0------
Rule  1: 12b12e7141, Class:  2, CF:0.61364, Len: 10, Fitness_tra: -1305
Rule 83: 1b21137771, Class:  4, CF:0.728195, Len: 10, Fitness_tra: -17
Rule 84: 147459b727, Class:  2, CF:0.276133, Len: 10, Fitness_tra: 0
Rule 85: b427e6114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 227212bb72, Class:  4, CF:0.500761, Len: 10, Fitness_tra: 0
Rule 87: 4717a37172, Class:  4, CF:0.998769, Len: 10, Fitness_tra: 0
Rule 88: 2742331441, Class:  4, CF:0.960685, Len: 10, Fitness_tra: 0
Rule 89: ca57114661, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 90: 2c47317952, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: 41b7fa7711, Class:  4, CF:0.98323, Len: 10, Fitness_tra: -1
Rule 92: 1142197211, Class:  2, CF:0.53871, Len: 10, Fitness_tra: -24
Rule 93: 1b2726bb22, Class:  4, CF:0.995837, Len: 10, Fitness_tra: 0
Rule 94: 1148514221, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 95: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 271115222b, Class:  2, CF:0.992196, Len: 10, Fitness_tra: 0
Rule 97: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2c12562293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b424171bb7, Class:  4, CF:0.953755, Len: 10, Fitness_tra: 150
Rule100: 7421ff1b7b, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 219
------Current------
Miss_rate(tra)	:99.7048
------Result------
Miss_rate(tra)	:99.7048
Miss_rate(tst)	:98.6289
ARL				:9.9

------Generation 0------
Rule  1: 76b6a61441, Class:  4, CF:0.923276, Len: 10, Fitness_tra: 31
Rule  2: 7bb11112b2, Class:  2, CF:0.469823, Len: 10, Fitness_tra: 44
Rule  3: 1d24727817, Class:  2, CF:0.999933, Len: 10, Fitness_tra: 0
Rule  4: 7421ff1b7b, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 108
Rule  5: 74112db21b, Class:  2, CF:0.979798, Len: 10, Fitness_tra: -66
Rule  6: b424171bb7, Class:  4, CF:0.953755, Len: 10, Fitness_tra: 7
Rule  7: b7413a1241, Class:  4, CF:0.999833, Len: 10, Fitness_tra: 29
Rule  8: b47149b174, Class:  2, CF:0.994506, Len: 10, Fitness_tra: 89
Rule  9: 77b4b21b7b, Class:  4, CF:0.763209, Len: 10, Fitness_tra: 0
Rule 10: b4243314b1, Class:  4, CF:0.997182, Len: 10, Fitness_tra: 2
Rule 11: 744b354222, Class:  2, CF:0.873061, Len: 10, Fitness_tra: 0
Rule 12: b472a31142, Class:  4, CF:0.995528, Len: 10, Fitness_tra: 0
Rule 13: b57b2571b1, Class:  1, CF:0.953923, Len: 10, Fitness_tra: 40
Rule 14: 41741e1217, Class:  2, CF:0.967123, Len: 10, Fitness_tra: -142
Rule 15: 74b41c742b, Class:  2, CF:0.631512, Len: 10, Fitness_tra: 0
Rule 16: 72241b77b2, Class:  4, CF:0.994391, Len: 10, Fitness_tra: 1
Rule 17: 2427132772, Class:  4, CF:0.9956, Len: 10, Fitness_tra: 1
Rule 18: 71422e141b, Class:  2, CF:0.951313, Len: 10, Fitness_tra: -11
Rule 19: 112bfa4744, Class:  4, CF:0.999975, Len: 10, Fitness_tra: 0
Rule 20: 79b741422b, Class:  2, CF:0.937549, Len: 10, Fitness_tra: 0
Rule 21: c1871611d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: bb11812212, Class:  2, CF:0.999496, Len: 10, Fitness_tra: 0
Rule 23: b414ff474b, Class:  4, CF:0.999794, Len: 10, Fitness_tra: 0
Rule 24: 72b4312777, Class:  4, CF:0.891082, Len: 10, Fitness_tra: 0
Rule 25: 474253b472, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 0
Rule 26: 13e7142111, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4314252638, Class:  2, CF:0.995013, Len: 10, Fitness_tra: 0
Rule 29: 41bbc34414, Class:  2, CF:0.953362, Len: 10, Fitness_tra: 0
Rule 30: 7c14191211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 27b1ce7112, Class:  2, CF:0.996294, Len: 10, Fitness_tra: -156
Rule 32: 427baf12bb, Class:  4, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 33: 27b759b74b, Class:  2, CF:0.985986, Len: 10, Fitness_tra: 0
Rule 34: 4312157215, Class:  2, CF:0.987924, Len: 10, Fitness_tra: 0
Rule 35: 4227aa212b, Class:  4, CF:0.999968, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2b14ff22b1, Class:  4, CF:0.991939, Len: 10, Fitness_tra: 0
Rule 38: 4217517712, Class:  1, CF:0.255652, Len: 10, Fitness_tra: 0
Rule 39: b84b82b71b, Class:  2, CF:0.580623, Len: 10, Fitness_tra: 0
Rule 40: 427b9911b1, Class:  1, CF:0.644105, Len: 10, Fitness_tra: 76
Rule 41: 424491b442, Class:  2, CF:0.881489, Len: 10, Fitness_tra: 0
Rule 42: 2c12562293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1b12617b74, Class:  4, CF:0.970391, Len: 10, Fitness_tra: 0
Rule 44: 72221e7bbb, Class:  1, CF:0.197302, Len: 10, Fitness_tra: 0
Rule 45: b11491bbb7, Class:  2, CF:0.279217, Len: 10, Fitness_tra: 0
Rule 46: 1121197515, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 74b2ff71bb, Class:  4, CF:0.9993, Len: 10, Fitness_tra: 0
Rule 48: b1b2614214, Class:  4, CF:0.970915, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b7b2154177, Class:  2, CF:0.818343, Len: 10, Fitness_tra: 0
Rule 52: b4271cbb47, Class:  4, CF:0.470531, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 257b474177, Class:  2, CF:0.0624739, Len: 10, Fitness_tra: 0
Rule 57: 7bb7111772, Class:  2, CF:0.327582, Len: 10, Fitness_tra: 3
Rule 58: 777b19b217, Class:  2, CF:0.993079, Len: 10, Fitness_tra: 0
Rule 59: 111189be38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 42121a7ccd, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: bc72257b14, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 7274297b72, Class:  2, CF:0.0161492, Len: 10, Fitness_tra: 0
Rule 64: 27171347b1, Class:  4, CF:0.868002, Len: 10, Fitness_tra: 0
Rule 65: b4122ab2b1, Class:  4, CF:0.998803, Len: 10, Fitness_tra: 0
Rule 66: 722283b421, Class:  2, CF:0.965591, Len: 10, Fitness_tra: 0
Rule 67: 2122261447, Class:  4, CF:0.999821, Len: 10, Fitness_tra: 0
Rule 68: b11271bb21, Class:  2, CF:0.107655, Len: 10, Fitness_tra: -12
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 7174da717b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 72171344b2, Class:  4, CF:0.983, Len: 10, Fitness_tra: 0
Rule 72: 7b72212742, Class:  2, CF:0.944759, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2222557b2b, Class:  1, CF:0.546728, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 147459b727, Class:  2, CF:0.276133, Len: 10, Fitness_tra: -507
Rule 77: b427e6114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 227212bb72, Class:  4, CF:0.500761, Len: 10, Fitness_tra: 0
Rule 79: 4717a37172, Class:  4, CF:0.998769, Len: 10, Fitness_tra: 0
Rule 80: 2742331441, Class:  4, CF:0.960685, Len: 10, Fitness_tra: 0
Rule 81: 211b111221, Class:  2, CF:0.470351, Len: 10, Fitness_tra: -164
Rule 82: 212ca34b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 227b91bb41, Class:  1, CF:0.857141, Len: 10, Fitness_tra: 0
Rule 84: 7927a6bc21, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: b2b1137172, Class:  4, CF:0.958979, Len: 10, Fitness_tra: -3
Rule 86: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2cbbd54127, Class:  2, CF:0.89568, Len: 10, Fitness_tra: 0
Rule 88: 7744514271, Class:  2, CF:0.998894, Len: 10, Fitness_tra: 0
Rule 89: 2b22de2774, Class:  2, CF:0.998879, Len: 10, Fitness_tra: 0
Rule 90: b211b41bb1, Class:  4, CF:0.601247, Len: 10, Fitness_tra: -3772
Rule 91: b57b474177, Class:  2, CF:0.121753, Len: 10, Fitness_tra: 0
Rule 92: 110009b038, Class:  2, CF:0.988852, Len:  6, Fitness_tra: 29
Rule 93: 0b01511007, Class:  2, CF:0.987893, Len:  6, Fitness_tra: 43
Rule 94: 7211a61241, Class:  4, CF:0.999412, Len: 10, Fitness_tra: 506
Rule 95: 7b72212742, Class:  2, CF:0.944759, Len:  0, Fitness_tra: 0
Rule 96: b117518b17, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 97: 7314252b7b, Class:  2, CF:0.969559, Len: 10, Fitness_tra: 0
Rule 98: 74714db17b, Class:  2, CF:0.890742, Len: 10, Fitness_tra: 59
Rule 99: b797157227, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 24d7132772, Class:  4, CF:0.999942, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4453
------Result------
Miss_rate(tra)	:99.4453
Miss_rate(tst)	:97.532
ARL				:9.89873

------Generation 1------
Rule  1: 76b6a61441, Class:  4, CF:0.923276, Len: 10, Fitness_tra: 31
Rule  2: 7bb11112b2, Class:  2, CF:0.469823, Len: 10, Fitness_tra: 44
Rule  3: 1d24727817, Class:  2, CF:0.999933, Len: 10, Fitness_tra: 0
Rule  4: 7421ff1b7b, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 108
Rule  5: 74112db21b, Class:  2, CF:0.979798, Len: 10, Fitness_tra: -66
Rule  6: b424171bb7, Class:  4, CF:0.953755, Len: 10, Fitness_tra: 7
Rule  7: b7413a1241, Class:  4, CF:0.999833, Len: 10, Fitness_tra: 29
Rule  8: b47149b174, Class:  2, CF:0.994506, Len: 10, Fitness_tra: 89
Rule  9: 77b4b21b7b, Class:  4, CF:0.763209, Len: 10, Fitness_tra: 0
Rule 10: b4243314b1, Class:  4, CF:0.997182, Len: 10, Fitness_tra: 2
Rule 11: 744b354222, Class:  2, CF:0.873061, Len: 10, Fitness_tra: 0
Rule 12: b472a31142, Class:  4, CF:0.995528, Len: 10, Fitness_tra: 0
Rule 13: b57b2571b1, Class:  1, CF:0.953923, Len: 10, Fitness_tra: 40
Rule 14: 41741e1217, Class:  2, CF:0.967123, Len: 10, Fitness_tra: -142
Rule 15: 74b41c742b, Class:  2, CF:0.631512, Len: 10, Fitness_tra: 0
Rule 16: 72241b77b2, Class:  4, CF:0.994391, Len: 10, Fitness_tra: 1
Rule 17: 2427132772, Class:  4, CF:0.9956, Len: 10, Fitness_tra: 1
Rule 18: 71422e141b, Class:  2, CF:0.951313, Len: 10, Fitness_tra: -11
Rule 19: 112bfa4744, Class:  4, CF:0.999975, Len: 10, Fitness_tra: 0
Rule 20: 79b741422b, Class:  2, CF:0.937549, Len: 10, Fitness_tra: 0
Rule 21: c1871611d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: bb11812212, Class:  2, CF:0.999496, Len: 10, Fitness_tra: 0
Rule 23: b414ff474b, Class:  4, CF:0.999794, Len: 10, Fitness_tra: 0
Rule 24: 72b4312777, Class:  4, CF:0.891082, Len: 10, Fitness_tra: 0
Rule 25: 474253b472, Class:  2, CF:0.999986, Len: 10, Fitness_tra: 0
Rule 26: 13e7142111, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4314252638, Class:  2, CF:0.995013, Len: 10, Fitness_tra: 0
Rule 29: 41bbc34414, Class:  2, CF:0.953362, Len: 10, Fitness_tra: 0
Rule 30: 7c14191211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 27b1ce7112, Class:  2, CF:0.996294, Len: 10, Fitness_tra: -156
Rule 32: 427baf12bb, Class:  4, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 33: 27b759b74b, Class:  2, CF:0.985986, Len: 10, Fitness_tra: 0
Rule 34: 4312157215, Class:  2, CF:0.987924, Len: 10, Fitness_tra: 0
Rule 35: 4227aa212b, Class:  4, CF:0.999968, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2b14ff22b1, Class:  4, CF:0.991939, Len: 10, Fitness_tra: 0
Rule 38: 4217517712, Class:  1, CF:0.255652, Len: 10, Fitness_tra: 0
Rule 39: b84b82b71b, Class:  2, CF:0.580623, Len: 10, Fitness_tra: 0
Rule 40: 427b9911b1, Class:  1, CF:0.644105, Len: 10, Fitness_tra: 76
Rule 41: 424491b442, Class:  2, CF:0.881489, Len: 10, Fitness_tra: 0
Rule 42: 2c12562293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1b12617b74, Class:  4, CF:0.970391, Len: 10, Fitness_tra: 0
Rule 44: 72221e7bbb, Class:  1, CF:0.197302, Len: 10, Fitness_tra: 0
Rule 45: b11491bbb7, Class:  2, CF:0.279217, Len: 10, Fitness_tra: 0
Rule 46: 1121197515, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 74b2ff71bb, Class:  4, CF:0.9993, Len: 10, Fitness_tra: 0
Rule 48: b1b2614214, Class:  4, CF:0.970915, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b7b2154177, Class:  2, CF:0.818343, Len: 10, Fitness_tra: 0
Rule 52: b4271cbb47, Class:  4, CF:0.470531, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 257b474177, Class:  2, CF:0.0624739, Len: 10, Fitness_tra: 0
Rule 57: 7bb7111772, Class:  2, CF:0.327582, Len: 10, Fitness_tra: 3
Rule 58: 777b19b217, Class:  2, CF:0.993079, Len: 10, Fitness_tra: 0
Rule 59: 111189be38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 42121a7ccd, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: bc72257b14, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 7274297b72, Class:  2, CF:0.0161492, Len: 10, Fitness_tra: 0
Rule 64: 27171347b1, Class:  4, CF:0.868002, Len: 10, Fitness_tra: 0
Rule 65: b4122ab2b1, Class:  4, CF:0.998803, Len: 10, Fitness_tra: 0
Rule 66: 722283b421, Class:  2, CF:0.965591, Len: 10, Fitness_tra: 0
Rule 67: 2122261447, Class:  4, CF:0.999821, Len: 10, Fitness_tra: 0
Rule 68: b11271bb21, Class:  2, CF:0.107655, Len: 10, Fitness_tra: -12
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 7174da717b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 72171344b2, Class:  4, CF:0.983, Len: 10, Fitness_tra: 0
Rule 72: 7b72212742, Class:  2, CF:0.944759, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 2222557b2b, Class:  1, CF:0.546728, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 147459b727, Class:  2, CF:0.276133, Len: 10, Fitness_tra: -507
Rule 77: b427e6114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 227212bb72, Class:  4, CF:0.500761, Len: 10, Fitness_tra: 0
Rule 79: 4717a37172, Class:  4, CF:0.998769, Len: 10, Fitness_tra: 0
Rule 80: 2742331441, Class:  4, CF:0.960685, Len: 10, Fitness_tra: 0
Rule 81: 211b111221, Class:  2, CF:0.470351, Len: 10, Fitness_tra: -164
Rule 82: 212ca34b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 227b91bb41, Class:  1, CF:0.857141, Len: 10, Fitness_tra: 0
Rule 84: 7927a6bc21, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule 85: b2b1137172, Class:  4, CF:0.958979, Len: 10, Fitness_tra: -3
Rule 86: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2cbbd54127, Class:  2, CF:0.89568, Len: 10, Fitness_tra: 0
Rule 88: 7744514271, Class:  2, CF:0.998894, Len: 10, Fitness_tra: 0
Rule 89: 2b22de2774, Class:  2, CF:0.998879, Len: 10, Fitness_tra: 0
Rule 90: b211b41bb1, Class:  4, CF:0.601247, Len: 10, Fitness_tra: -3772
Rule 91: b57b474177, Class:  2, CF:0.121753, Len: 10, Fitness_tra: 0
Rule 92: 110009b038, Class:  2, CF:0.988852, Len:  6, Fitness_tra: 29
Rule 93: 0b01511007, Class:  2, CF:0.987893, Len:  6, Fitness_tra: 43
Rule 94: 7211a61241, Class:  4, CF:0.999412, Len: 10, Fitness_tra: 506
Rule 95: 7b72212742, Class:  2, CF:0.944759, Len:  0, Fitness_tra: 0
Rule 96: b117518b17, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 97: 7314252b7b, Class:  2, CF:0.969559, Len: 10, Fitness_tra: 0
Rule 98: 74714db17b, Class:  2, CF:0.890742, Len: 10, Fitness_tra: 59
Rule 99: b797157227, Class:  4, CF:  1, Len: 10, Fitness_tra: 0
Rule100: 24d7132772, Class:  4, CF:0.999942, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4453
------Result------
Miss_rate(tra)	:99.4453
Miss_rate(tst)	:97.532
ARL				:9.89873

------Generation 2------
Rule  1: 7211a61241, Class:  4, CF:0.999412, Len: 10, Fitness_tra: 201
Rule  2: 7421ff1b7b, Class:  4, CF:0.999991, Len: 10, Fitness_tra: 107
Rule  3: b47149b174, Class:  2, CF:0.994506, Len: 10, Fitness_tra: 72
Rule  4: 427b9911b1, Class:  1, CF:0.644105, Len: 10, Fitness_tra: 0
Rule  5: 74714db17b, Class:  2, CF:0.890742, Len: 10, Fitness_tra: 48
Rule  6: 7bb11112b2, Class:  2, CF:0.469823, Len: 10, Fitness_tra: -2
Rule  7: 0b01511007, Class:  2, CF:0.987893, Len:  6, Fitness_tra: 793
Rule  8: b57b2571b1, Class:  1, CF:0.953923, Len: 10, Fitness_tra: 0
Rule  9: 76b6a61441, Class:  4, CF:0.923276, Len: 10, Fitness_tra: 5
Rule 10: b7413a1241, Class:  4, CF:0.999833, Len: 10, Fitness_tra: 36
Rule 11: 110009b038, Class:  2, CF:0.988852, Len:  6, Fitness_tra: -1
Rule 12: b424171bb7, Class:  4, CF:0.953755, Len: 10, Fitness_tra: 35
Rule 13: 7bb7111772, Class:  2, CF:0.327582, Len: 10, Fitness_tra: 2
