------Generation 0------
Rule  1: 1381154111ac5221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 19b12112a3161311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 21114111f1f11512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 133f331151a59441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1e1157bb55631316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000b00000f000, Class:  1, CF:0.0661496, Len:  2, Fitness_tra: 1
Rule 64: 1313111c222c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 13114e11371455f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000f0e0e00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2a131315115b1c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0500606000300000, Class:  1, CF:0.442283, Len:  4, Fitness_tra: -3
Rule 69: 2136133e151117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 3a26411c51f41c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1111111511211113, Class:  8, CF:0.701225, Len: 16, Fitness_tra: -7
Rule 72: 0500000000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1613151319125171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000003080000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3f51451231313212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 21411761a116c12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1123111428313121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1111131e19351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 963a3e1331115141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 23dfa11335311bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 265a315121b81531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 3113731531115561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2116251215316137, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 71165119421b9b62, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 2315572211113616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000007505003050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 291f1358442112f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00d040006e0d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 111a19111b111913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1391131517111831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0009000000002000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7381915142125411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1316294515611112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1146113117421511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 251136ffae6d1114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 6111111333651212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 131a31911812d141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1a1a194115fd311b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 461f11e1545722a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1a21218162a1681b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.8636
------Result------
Miss_rate(tra)	:98.8636
Miss_rate(tst)	:99.0909
ARL				:8

------Generation 0------
Rule  1: 000000b00000f000, Class:  1, CF:0.0661496, Len:  2, Fitness_tra: 0
Rule  2: 0f00e00000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  3: 1381154111ac5221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4111331911123444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 134129b511183c6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: a63321211ba73c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000505000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7113131115121114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 49b28214ad3a1613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1311292135a1121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7111113fae651132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1511111ca51ac37d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4121d13663151c52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 21133316395d2c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1a29421231151834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 115ad11922149b67, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111a3111272273b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 56114111f3131114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21111b68f133237d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2671419461f31141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1321111722193311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000e000000000400, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0dfe00000c0bb005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13161963f13251b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1156131111a25472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 132e755261a91212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000e000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1629121131319512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000a0e0d0c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11c3311e91321411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 8315413ba2fe1f41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 721596a11e15122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1e15114111191311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 211512c745b61111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 261f11551bc75865, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000500c0740, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111a1e159512d724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2513116f6e113817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 765361eed5211b64, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: f613457c21111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1311321121111a26, Class:  1, CF:  1, Len: 16, Fitness_tra: 0
Rule 43: bd5131a111951c97, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1326b17cd4115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1381711165153112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 49221411a33a2a41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 4653331142171134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 264512174c4916fa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1151111a19651222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 16194811f5113212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13259251b1111aaa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 111a133e5122126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 41166115111b5812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 712a131514241261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 26195551122313f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 711aa111122b2831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11163155111192a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 19b12112a3161311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 21114111f1f11512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 133f331151a59441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1e1157bb55631316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1321b11131ad1812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1313111c222c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 13114e11371455f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000f0e0e00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2a131315115b1c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1a21218162a1681b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2136133e151117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 3a26411c51f41c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0500000000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1613151319125171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000003080000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3f51451231313212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 21411761a116c12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1123111428313121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1111131e19351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 963a3e1331115141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 23dfa11335311bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 265a315121b81531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00d040006e0d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 451111113e911112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 131181341133831d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2621311422212616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000e000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: fad1c9211294111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 111f139151821111, Class:  0, CF:  1, Len: 16, Fitness_tra: 5
Rule 88: 331a43121b421161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1111381115113f43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 431f3318421411a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 76311111a3651114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c726411142171c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 264502174c4914b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 4186614111c25811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1111111a19351222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 26212171aba3681b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 251111ff6e611114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2619555112191311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 96b232123d1a561a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 134129551b185c6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.9773
------Result------
Miss_rate(tra)	:98.9773
Miss_rate(tst)	:99.0909
ARL				:9

------Generation 1------
Rule  1: 000000b00000f000, Class:  1, CF:0.0661496, Len:  2, Fitness_tra: 0
Rule  2: 0f00e00000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  3: 1381154111ac5221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4111331911123444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 134129b511183c6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: a63321211ba73c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000505000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7113131115121114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 49b28214ad3a1613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1311292135a1121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7111113fae651132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1511111ca51ac37d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4121d13663151c52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 21133316395d2c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1a29421231151834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 115ad11922149b67, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111a3111272273b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 56114111f3131114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21111b68f133237d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2671419461f31141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1321111722193311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000e000000000400, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0dfe00000c0bb005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13161963f13251b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1156131111a25472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 132e755261a91212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000e000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1629121131319512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000a0e0d0c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11c3311e91321411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 8315413ba2fe1f41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 721596a11e15122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1e15114111191311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 211512c745b61111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 261f11551bc75865, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000500c0740, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 111a1e159512d724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2513116f6e113817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 765361eed5211b64, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: f613457c21111518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1311321121111a26, Class:  1, CF:  1, Len: 16, Fitness_tra: 0
Rule 43: bd5131a111951c97, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1326b17cd4115112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1381711165153112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 49221411a33a2a41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 4653331142171134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 264512174c4916fa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1151111a19651222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 16194811f5113212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13259251b1111aaa, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 111a133e5122126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 41166115111b5812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 712a131514241261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 26195551122313f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 711aa111122b2831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11163155111192a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 19b12112a3161311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 21114111f1f11512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 133f331151a59441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1e1157bb55631316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1321b11131ad1812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1313111c222c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 13114e11371455f6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000f0e0e00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2a131315115b1c32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1a21218162a1681b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2136133e151117b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 3a26411c51f41c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0500000000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1613151319125171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000003080000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3f51451231313212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 21411761a116c12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1123111428313121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1111131e19351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 963a3e1331115141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 23dfa11335311bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 265a315121b81531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00d040006e0d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 451111113e911112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 131181341133831d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2621311422212616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000e000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: fad1c9211294111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 111f139151821111, Class:  0, CF:  1, Len: 16, Fitness_tra: 5
Rule 88: 331a43121b421161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1111381115113f43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 431f3318421411a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 76311111a3651114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c726411142171c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 264502174c4914b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 4186614111c25811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1111111a19351222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 26212171aba3681b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 251111ff6e611114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 2619555112191311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 96b232123d1a561a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 134129551b185c6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.9773
------Result------
Miss_rate(tra)	:98.9773
Miss_rate(tst)	:99.0909
ARL				:9

------Generation 2------
Rule  1: 111f139151821111, Class:  0, CF:  1, Len: 16, Fitness_tra: 5
Rule  2: 0f00e00000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  3: 000000b00000f000, Class:  1, CF:0.0661496, Len:  2, Fitness_tra: 0
Rule  4: 4111331911123444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 134129b511183c6b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: a63321211ba73c41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000505000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
