------Generation 0------
Rule  1: b11336195d525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 112a11511122513b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000eef0009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 631ac34511173112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 231d111481353321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 132f511d1c729161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1115141711331f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11b51211f1339611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000000000000c00, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b61f331514178811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: bf131f1a1115225b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 191a131533a53214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1311111b22131a26, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0009000000002000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000903060000000, Class:  9, CF:0.0109499, Len:  3, Fitness_tra: -12
Rule 90: 711e33311511111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1611212112685522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 211fe11817412568, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1a21bd4252a13111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1321381bb1231fff, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1636161e116117b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 11113335126111b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 167555322211131f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1ad6c12214125842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1313711257f13117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:80.2273
------Result------
Miss_rate(tra)	:80.2273
Miss_rate(tst)	:82.2727
ARL				:6.66667

------Generation 0------
Rule  1: 0500060050000000, Class:  0, CF:0.952871, Len:  3, Fitness_tra: 63
Rule  2: 500020400004d000, Class:  9, CF:0.0554097, Len:  5, Fitness_tra: 7
Rule  3: 0df9000000004005, Class:  8, CF:0.796025, Len:  5, Fitness_tra: 8
Rule  4: 00600000f3000000, Class:  5, CF:0.353571, Len:  3, Fitness_tra: 5
Rule  5: 000060e008000000, Class:  4, CF:0.799409, Len:  3, Fitness_tra: 6
Rule  6: 132152124151a616, Class:  1, CF:  1, Len: 16, Fitness_tra: 2
Rule  7: b811136f16112542, Class:  8, CF:  1, Len: 16, Fitness_tra: 2
Rule  8: b11336195d525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 13133611512122a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000008000d8, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4a0030000000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1316192135f11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 41161311d1211462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15c9136313391c57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11211d1511118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1321752791a8a311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2396a15168115241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 117512e1111651be, Class:  8, CF:  1, Len: 16, Fitness_tra: 0
Rule 19: 13166e3118111224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 5621b52511319c52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21263339d5212232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2e11571165368341, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a113131113353514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 21c3931ae3111127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 718fd11521723b37, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2f21294d11353267, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 235f9582722111f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1313711257f13117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 63d329b112113c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2625111127228136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1171c737f1665a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3351c171156d183b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000050d007000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1f131611311122a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 113a11e5e8312724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 16633f1611185741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13bd1792f5111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1111311115145b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3311191882212d61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 41163351541121f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 131a931d22121262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 900a0e0600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4926361518211b61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f6131933331817b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1119593f13393597, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 231922576cae5149, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1611111a19313222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1ad6c12214125842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1311331512121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2f1e751111693591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 7153f63d52141165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 116a131e11611241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 23115911b14b1432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 431161111bc44531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000f093800080500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11111d174111a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 73269695111412a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 13da11111712d565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000060a0020b5c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 298f9335112252a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2a3a1f1ed1185122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b6000e0000000208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 111315111121131a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4221131f9e13282b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 21119881781353a6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 193a111514211169, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1683458115a53114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b61a111935f25122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b156131117115135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 112118cb45165161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000f000900040b00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6313111361111222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3113151c141155f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1353235817b21136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 112a11511122513b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000eef0009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 631ac34511173112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 231d111481353321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 132f511d1c729161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1115141711331f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: ff51852117345222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 161f13111231db27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1311151111111167, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b113933a13351597, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 11411115f531623b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 431313f69e1d8282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1a1311111811381b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 132d9532214d2faf, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 83536a9131115127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 111f2e1111412d63, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0dc9000a00000290, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2663111017185546, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 7321979511341241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 032f0e000c724105, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 46001e109013222b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 731f591521421b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 10d903631039ec57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000e60aa02005c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 127513322e11131f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 492600051a210b00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:82.1591
------Result------
Miss_rate(tra)	:82.1591
Miss_rate(tst)	:84.0909
ARL				:8.375

------Generation 1------
Rule  1: 0500060050000000, Class:  0, CF:0.952871, Len:  3, Fitness_tra: 63
Rule  2: 0df9000000004005, Class:  8, CF:0.796025, Len:  5, Fitness_tra: 8
Rule  3: 500020400004d000, Class:  9, CF:0.0554097, Len:  5, Fitness_tra: 7
Rule  4: 000060e008000000, Class:  4, CF:0.799409, Len:  3, Fitness_tra: 6
Rule  5: 00600000f3000000, Class:  5, CF:0.353571, Len:  3, Fitness_tra: 5
Rule  6: 132152124151a616, Class:  1, CF:  1, Len: 16, Fitness_tra: 2
Rule  7: b811136f16112542, Class:  8, CF:  1, Len: 16, Fitness_tra: 2
Rule  8: b11336195d525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 13133611512122a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000008000d8, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4a0030000000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1316192135f11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 41161311d1211462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15c9136313391c57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11211d1511118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1321752791a8a311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2396a15168115241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 117512e1111651be, Class:  8, CF:  1, Len: 16, Fitness_tra: 0
Rule 19: 13166e3118111224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 5621b52511319c52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21263339d5212232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2e11571165368341, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a113131113353514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 21c3931ae3111127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 718fd11521723b37, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2f21294d11353267, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 235f9582722111f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1313711257f13117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 63d329b112113c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2625111127228136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1171c737f1665a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3351c171156d183b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000050d007000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1f131611311122a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 113a11e5e8312724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 16633f1611185741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13bd1792f5111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1111311115145b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3311191882212d61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 41163351541121f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 131a931d22121262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 900a0e0600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4926361518211b61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f6131933331817b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1119593f13393597, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 231922576cae5149, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1611111a19313222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1ad6c12214125842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1311331512121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2f1e751111693591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 7153f63d52141165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 116a131e11611241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 23115911b14b1432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 431161111bc44531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000f093800080500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11111d174111a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 73269695111412a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 13da11111712d565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000060a0020b5c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 298f9335112252a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2a3a1f1ed1185122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: b6000e0000000208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 111315111121131a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4221131f9e13282b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 21119881781353a6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 193a111514211169, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1683458115a53114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b61a111935f25122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b156131117115135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 112118cb45165161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000f000900040b00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6313111361111222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3113151c141155f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1353235817b21136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 112a11511122513b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000eef0009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 631ac34511173112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 231d111481353321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 132f511d1c729161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1115141711331f13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 112375119b151313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11111a9318121262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000000000000080, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 5f19111131651157, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 13511315111b5c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 611f19b542141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 111111211211f183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0505000000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b116111968611217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 41d3613152171512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 161313111231d517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 13111e111a118711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 66d3b5b111113c1a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 6000e01001110028, Class:  7, CF:0.998358, Len:  8, Fitness_tra: 34
Rule 95: b12113cf56112561, Class:  0, CF:  1, Len: 16, Fitness_tra: 0
Rule 96: 1319333f13396592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 5d19000111214305, Class:  0, CF:0.514801, Len: 12, Fitness_tra: -2
Rule 98: 1063001053010010, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 99: 41e913116cae7469, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 111115111a11a163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:78.0682
------Result------
Miss_rate(tra)	:78.0682
Miss_rate(tst)	:81.8182
ARL				:9.25

------Generation 2------
Rule  1: 0500060050000000, Class:  0, CF:0.952871, Len:  3, Fitness_tra: 63
Rule  2: 6000e01001110028, Class:  7, CF:0.998358, Len:  8, Fitness_tra: 34
Rule  3: 0df9000000004005, Class:  8, CF:0.796025, Len:  5, Fitness_tra: 8
Rule  4: 500020400004d000, Class:  9, CF:0.0554097, Len:  5, Fitness_tra: 6
Rule  5: 000060e008000000, Class:  4, CF:0.799409, Len:  3, Fitness_tra: 6
Rule  6: 00600000f3000000, Class:  5, CF:0.353571, Len:  3, Fitness_tra: 5
Rule  7: 132152124151a616, Class:  1, CF:  1, Len: 16, Fitness_tra: 2
Rule  8: b811136f16112542, Class:  8, CF:  1, Len: 16, Fitness_tra: 2
