------Generation 0------
Rule  1: 1313f3ed3112d727, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: ff00000000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule 24: 16153252124111a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2313111135611741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4156915118621b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1113218132225561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b116335157111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1351111857645511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2a214111f1151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5a83151211fcd221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 214151a1f9161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: cf43bd3561351134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 163a331561a41211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1f511571311d3811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 23d1191c17211165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 8196511221245434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 135f3f1e11115114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f136c97824141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 215a3695111181b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1311333951212414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 136f112951311224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 5321718234619a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 33d1cd7124545c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1316111212125512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0500500000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d11a315938612211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11131e3581b11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 111f1115121121a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1321119133123112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 761f1315db525118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 118f3e18d4125cfc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000060a002075c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 23115e511b251d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 09000f00000000f9, Class:  0, CF:0.844307, Len:  4, Fitness_tra: 16
Rule 56: 13311a1911125771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000c00000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 6111133f19321247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2393135131a1db41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: f1e15911111b1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 131685121b211136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4113313e11115212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 731333e151113121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1116234521316212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b11b1161332f45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 231f1f3311525112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1321b1cbe4156353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 23212232a59a1312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1e23a63935611444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1113191311a1d474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 6316191521111218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: a311211311351114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6191219133311272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 135333151c771112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: d3232d1c61651c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1a56116615182274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b55331fa6111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1a112811a1e19111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1a217232a1113837, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2175149215665319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 41c39631ee531c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 3313718111311c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 132e459565133112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b31691d1128451a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 13133921422214f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 111254a8631a2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 115133331d311447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00000000040b0c08, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000000000005009, Class:  8, CF:0.104998, Len:  2, Fitness_tra: -2
Rule 90: 36112141386d1834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1a2a451151126911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1a9f19381b2c1162, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1111111411191a1a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 3600a50000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 26111391122112a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1a9a191814171121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0500000000900000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1341755539111c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1e11111728111111, Class:  4, CF:0.9998, Len: 16, Fitness_tra: 38
Rule100: 112eb51131131112, Class:  6, CF:  1, Len: 16, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.5
------Result------
Miss_rate(tra)	:87.5
Miss_rate(tst)	:86.8182
ARL				:10.2857

------Generation 0------
Rule  1: 1e11111728111111, Class:  4, CF:0.9998, Len: 16, Fitness_tra: 38
Rule  2: 09000f00000000f9, Class:  0, CF:0.844307, Len:  4, Fitness_tra: 14
Rule  3: 112e41186113111b, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule  4: ff00000000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  5: 1313f3ed3112d727, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 13611a1351185214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 232f91512171126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 86134c8be11136c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: fa16412124121548, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1511166319111c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 83d33155221712a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 21161a336335141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff5a2125351157b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 26b5215b18f11621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b35333319184d261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 006036090508b000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 311111153532d241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1a2ab512523c1133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1f13451114115122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b52511331335111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 112eb51131131112, Class:  6, CF:  1, Len: 16, Fitness_tra: 0
Rule 23: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 16153252124111a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2313111135611741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4156915118621b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1113218132225561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b116335157111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1351111857645511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2a214111f1151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5a83151211fcd221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 214151a1f9161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: cf43bd3561351134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 163a331561a41211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1f511571311d3811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 23d1191c17211165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 8196511221245434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 135f3f1e11115114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f136c97824141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 215a3695111181b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1311333951212414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 136f112951311224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 5321718234619a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 33d1cd7124545c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1316111212125512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0500500000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d11a315938612211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11131e3581b11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 111f1115121121a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1321119133123112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 761f1315db525118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 118f3e18d4125cfc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000060a002075c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 23115e511b251d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 3111111161311112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 13311a1911125771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000c00000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 6111133f19321247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2393135131a1db41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: f1e15911111b1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 131685121b211136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4113313e11115212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 731333e151113121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1116234521316212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b11b1161332f45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 231f1f3311525112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1321b1cbe4156353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 23212232a59a1312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1e23a63935611444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1113191311a1d474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 6316191521111218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: a311211311351114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6191219133311272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 135333151c771112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: d3232d1c61651c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1a56116615182274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b55331fa6111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1a112811a1e19111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1a217232a1113837, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2175149215665319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b600300000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11131112112e1fa6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1a11254c82f11141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 165971111c351861, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 9600650000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 461f13553132d214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 5133e11c124257f4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 13111331a2141421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 138f33981b11d8f2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1313417c14a25c24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 612e41156111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 13a123553911121b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 351311819131111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 11131631ee111ccb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 26111911123112a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 4fc39d11e1331c34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1f3a2a19111157b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b1b1331157111f31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 162eb51a3d11111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 415691381b221b63, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:93.2955
------Result------
Miss_rate(tra)	:93.2955
Miss_rate(tst)	:94.0909
ARL				:10.8

------Generation 1------
Rule  1: 1e11111728111111, Class:  4, CF:0.9998, Len: 16, Fitness_tra: 0
Rule  2: 09000f00000000f9, Class:  0, CF:0.844307, Len:  4, Fitness_tra: 14
Rule  3: 112e41186113111b, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule  4: ff00000000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  5: 1313f3ed3112d727, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 13611a1351185214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 232f91512171126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 86134c8be11136c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: fa16412124121548, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1511166319111c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 83d33155221712a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 21161a336335141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: ff5a2125351157b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 26b5215b18f11621, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b35333319184d261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 006036090508b000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 311111153532d241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1a2ab512523c1133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1f13451114115122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b52511331335111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 112eb51131131112, Class:  6, CF:  1, Len: 16, Fitness_tra: 0
Rule 23: 0000000000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 16153252124111a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2313111135611741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4156915118621b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1113218132225561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b116335157111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1351111857645511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2a214111f1151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5a83151211fcd221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 214151a1f9161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: cf43bd3561351134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 163a331561a41211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1f511571311d3811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 23d1191c17211165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 8196511221245434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 135f3f1e11115114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f136c97824141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 215a3695111181b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1311333951212414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 136f112951311224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 5321718234619a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 33d1cd7124545c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1316111212125512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0500500000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d11a315938612211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11131e3581b11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 111f1115121121a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1321119133123112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 761f1315db525118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 118f3e18d4125cfc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000060a002075c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 23115e511b251d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 3111111161311112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 13311a1911125771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000c00000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 6111133f19321247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 2393135131a1db41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: f1e15911111b1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 131685121b211136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4113313e11115212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 731333e151113121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1116234521316212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11b11b1161332f45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 231f1f3311525112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1321b1cbe4156353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 23212232a59a1312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1e23a63935611444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1113191311a1d474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 6316191521111218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: a311211311351114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6191219133311272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 135333151c771112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: d3232d1c61651c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1a56116615182274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b55331fa6111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1a112811a1e19111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1a217232a1113837, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2175149215665319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2113911111113461, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 7116111111242511, Class:  0, CF:  1, Len: 16, Fitness_tra: 1
Rule 83: 765613e552173c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 511a752115319214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000500c000330000, Class:  2, CF:0.0622942, Len:  4, Fitness_tra: -21
Rule 86: 1311132e19351112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21111f1311182c17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 31211d1111111611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 3ad6294124111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 211f119368128b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d11a412128611261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 61911111133162a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 115a2125351152b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 980a6502500c1103, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1316211111e19511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 264f13ab3912d214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 8f511571311d3811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 01133631ee1e14c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1e11111000101011, Class:  0, CF:0.444218, Len: 11, Fitness_tra: -27
Rule100: 31d31e3521545112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.2727
------Result------
Miss_rate(tra)	:87.2727
Miss_rate(tst)	:86.8182
ARL				:10.625

------Generation 2------
Rule  1: 09000f00000000f9, Class:  0, CF:0.844307, Len:  4, Fitness_tra: 14
Rule  2: 7116111111242511, Class:  0, CF:  1, Len: 16, Fitness_tra: 1
Rule  3: 112e41186113111b, Class:  6, CF:  1, Len: 16, Fitness_tra: 1
Rule  4: ff00000000000000, Class:  9, CF:  1, Len:  2, Fitness_tra: 1
Rule  5: 1e11111728111111, Class:  4, CF:0.9998, Len: 16, Fitness_tra: 38
Rule  6: 13611a1351185214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 232f91512171126b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
