------Generation 0------
Rule  1: 1512e5dc5119d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 050500000900c, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 15: 131b535881555, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 61278af58d813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: af35d1135181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 2bb9151d9d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4c3d15e112c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000d000, Class:  0, CF:0.159257, Len:  1, Fitness_tra: 163
Rule 21: 74413112c195e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: bc23523815953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f1779111511e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000950000, Class:  0, CF:0.979084, Len:  2, Fitness_tra: 30
Rule 25: b564111313851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 13f73183c5c5e, Class:  0, CF:0.414198, Len: 13, Fitness_tra: 0
Rule 27: 3172cd3515188, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 6921191215155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2221115531155, Class:  0, CF:0.993283, Len: 13, Fitness_tra: 4
Rule 30: 2215161c11531, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 31: 1d61318113915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6975d81811525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: a1a8311151c28, Class:  0, CF:0.973028, Len: 13, Fitness_tra: 19
Rule 34: 1111939555211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 0000d00000000, Class:  1, CF:0.307642, Len:  1, Fitness_tra: 249
Rule 36: 7413111c11e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 51a2311918115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b8613518131d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: fd151111d8935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f34515d11d518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 694219d258131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15f5138225118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: a311539128181, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 7831355e1e5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2b215ed815259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f1b181111c116, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: f1659ddd25151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1318159988211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 21f1611521121, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 50: 78151d313114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b16bd121859bd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 47181c35e21d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1531e18c21355, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 65b25335d1116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1314951811832, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 7425d3ec12111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1121193551d11, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 58: 336111d111585, Class:  0, CF:0.962985, Len: 13, Fitness_tra: 5
Rule 59: 6142551da1118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 66a15d112551d, Class:  0, CF:0.999484, Len: 13, Fitness_tra: 0
Rule 61: 1d25863251191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2bb5d1882523d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: feb4133551291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1ff211e521c11, Class:  1, CF:  1, Len: 13, Fitness_tra: 16
Rule 65: 25f2158185181, Class:  0, CF:0.643754, Len: 13, Fitness_tra: 0
Rule 66: 63f4991852112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 4121655515853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: f331e1c1d1c83, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 3f1c15e31111d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 4ca52515e112d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b861328323211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6f31318111853, Class:  0, CF:0.316796, Len: 13, Fitness_tra: 10
Rule 73: 2473181138181, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 74: 1138312c21315, Class:  0, CF:0.997128, Len: 13, Fitness_tra: 6
Rule 75: 41211911e5131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 423b6d152e1c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6119121153211, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 78: b1fbe815c58d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b22512556d315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1d3822858555e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 21a4311921915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 15b1d55d13181, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: f1a5311551cca, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 24b31515ec111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 6e4c153d12885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3e72188135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00020c000d0d0, Class:  0, CF:0.381503, Len:  4, Fitness_tra: 1
Rule 88: 11691d2181881, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 89: aa1c3119dd155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: b1a2915989d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 71b55131311d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 71229318192d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2114d195e5533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2875831851995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 144c5195c5869, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b218d51189553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3971e11251195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: f335e58d55c16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b171c525e3e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 36f51911c2129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.7654
------Result------
Miss_rate(tra)	:68.7654
Miss_rate(tst)	:53.5354
ARL				:11.4857

------Generation 1------
Rule  1: 1512e5dc5119d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7175181111938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7cb1515111231, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: 3e23111155512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 391d51d955512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: ae1be15811de5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1919d5dd15591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: a1223981111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: fe11115518515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b12155151d5e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7131d51123129, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 115c5335d2851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f1a58211d3859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 050500000900c, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 15: 131b535881555, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 61278af58d813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: af35d1135181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 2bb9151d9d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4c3d15e112c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000d000, Class:  0, CF:0.159257, Len:  1, Fitness_tra: 163
Rule 21: 74413112c195e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: bc23523815953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f1779111511e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000950000, Class:  0, CF:0.979084, Len:  2, Fitness_tra: 30
Rule 25: b564111313851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 13f73183c5c5e, Class:  0, CF:0.414198, Len: 13, Fitness_tra: 0
Rule 27: 3172cd3515188, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 6921191215155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2221115531155, Class:  0, CF:0.993283, Len: 13, Fitness_tra: 4
Rule 30: 2215161c11531, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 31: 1d61318113915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6975d81811525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: a1a8311151c28, Class:  0, CF:0.973028, Len: 13, Fitness_tra: 19
Rule 34: 1111939555211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 0000d00000000, Class:  1, CF:0.307642, Len:  1, Fitness_tra: 249
Rule 36: 7413111c11e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 51a2311918115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b8613518131d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: fd151111d8935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: f34515d11d518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 694219d258131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15f5138225118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: a311539128181, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 7831355e1e5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2b215ed815259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f1b181111c116, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: f1659ddd25151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1318159988211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 21f1611521121, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 50: 78151d313114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b16bd121859bd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 47181c35e21d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1531e18c21355, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 65b25335d1116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1314951811832, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 7425d3ec12111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1121193551d11, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 58: 336111d111585, Class:  0, CF:0.962985, Len: 13, Fitness_tra: 5
Rule 59: 6142551da1118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 66a15d112551d, Class:  0, CF:0.999484, Len: 13, Fitness_tra: 0
Rule 61: 1d25863251191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2bb5d1882523d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: feb4133551291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1ff211e521c11, Class:  1, CF:  1, Len: 13, Fitness_tra: 16
Rule 65: 25f2158185181, Class:  0, CF:0.643754, Len: 13, Fitness_tra: 0
Rule 66: 63f4991852112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 4121655515853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: f331e1c1d1c83, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 3f1c15e31111d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 4ca52515e112d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b861328323211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6f31318111853, Class:  0, CF:0.316796, Len: 13, Fitness_tra: 10
Rule 73: 2473181138181, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 74: 1138312c21315, Class:  0, CF:0.997128, Len: 13, Fitness_tra: 6
Rule 75: 41211911e5131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 423b6d152e1c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6119121153211, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 78: b1fbe815c58d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b22512556d315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1d3822858555e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 21a4311921915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 15b1d55d13181, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: f1a5311551cca, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 24b31515ec111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 6e4c153d12885, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3e72188135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00020c000d0d0, Class:  0, CF:0.381503, Len:  4, Fitness_tra: 1
Rule 88: 11691d2181881, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 89: aa1c3119dd155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: b1a2915989d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 71b55131311d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 71229318192d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2114d195e5533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2875831851995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 144c5195c5869, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b218d51189553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3971e11251195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: f335e58d55c16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b171c525e3e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 36f51911c2129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.7654
------Result------
Miss_rate(tra)	:68.7654
Miss_rate(tst)	:53.5354
ARL				:11.4857

------Generation 2------
Rule  1: 0000d00000000, Class:  1, CF:0.307642, Len:  1, Fitness_tra: 249
Rule  2: 000000000d000, Class:  0, CF:0.159257, Len:  1, Fitness_tra: 163
Rule  3: 0000000950000, Class:  0, CF:0.979084, Len:  2, Fitness_tra: 30
Rule  4: a1a8311151c28, Class:  0, CF:0.973028, Len: 13, Fitness_tra: 19
Rule  5: 1ff211e521c11, Class:  1, CF:  1, Len: 13, Fitness_tra: 16
Rule  6: 6f31318111853, Class:  0, CF:0.316796, Len: 13, Fitness_tra: 10
Rule  7: 1138312c21315, Class:  0, CF:0.997128, Len: 13, Fitness_tra: 2
Rule  8: 6119121153211, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule  9: 336111d111585, Class:  0, CF:0.962985, Len: 13, Fitness_tra: 7
Rule 10: 21f1611521121, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 11: 2221115531155, Class:  0, CF:0.993283, Len: 13, Fitness_tra: 4
Rule 12: 11691d2181881, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 13: 2215161c11531, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
