------Generation 0------
Rule  1: b8fb91c5251b8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 132b133111553, Class:  1, CF:0.924027, Len: 13, Fitness_tra: -1
Rule 34: 22115d1155152, Class:  0, CF:0.222508, Len: 13, Fitness_tra: -8
Rule 35: a125253919182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 11a1551811151, Class:  1, CF:0.933558, Len: 13, Fitness_tra: 35
Rule 37: b211331915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: a144113111151, Class:  1, CF:  1, Len: 13, Fitness_tra: 13
Rule 39: 1eb1115258192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3945c11d33911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 3339151291525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b13515235118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 19b988139331c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1911d55111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 7862d11321928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f5b19135d115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 13a89dc216158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1712d1313d551, Class:  0, CF:0.865298, Len: 13, Fitness_tra: 1
Rule 49: a1b15de9e5522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: a61d885c1315e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 49a1311111171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b8a65111298c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 7446c151a3129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 256b33c9c9121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2211531819861, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 56: 7111551121115, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 57: a11391113955c, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 4241511811d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 25623a19c131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 6e12d19131d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4c65ddc111185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: aaa9551159111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 311181d511958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0005000400090, Class:  0, CF:  1, Len:  3, Fitness_tra: 52
Rule 65: b231565511511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 66: bd6b34531185e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: f571593115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 12281151319e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4d1218181118e, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 70: 11723191d5191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 39b1133515839, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 71629d1511119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 421231111d513, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 74: b1a1155143111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 75: 11f8513951585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 317231123dd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: bb11515252118, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 78: 1272512831183, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 79: 114521118c216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a31216f815181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11f2315115111, Class:  0, CF:0.984599, Len: 13, Fitness_tra: 8
Rule 82: 2424213595593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2a2151219151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2141511b5113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 36481511a188d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 121cd11223231, Class:  1, CF:0.975994, Len: 13, Fitness_tra: 1
Rule 87: a66131c516d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 21a7568e41d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1162d3a38c185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 7475155118191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: ff685915585c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2d32515119151, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 93: 72b6141d11148, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 94: 48ba18cd55355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1ca15d1998113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a5279851893ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: f3b31855cd151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 4264131311118, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 99: a6115d1d11811, Class:  1, CF:  1, Len: 13, Fitness_tra: 23
Rule100: f31295191c151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:88.0247
------Result------
Miss_rate(tra)	:88.0247
Miss_rate(tst)	:82.8283
ARL				:12

------Generation 0------
Rule  1: 0005000400090, Class:  0, CF:  1, Len:  3, Fitness_tra: 52
Rule  2: 11ad388111211, Class:  0, CF:  1, Len: 13, Fitness_tra: 33
Rule  3: 11a1551811151, Class:  1, CF:0.933558, Len: 13, Fitness_tra: 30
Rule  4: a131511355111, Class:  1, CF:0.654489, Len: 13, Fitness_tra: 24
Rule  5: a6115d1d11811, Class:  1, CF:  1, Len: 13, Fitness_tra: 22
Rule  6: 0005000000e0d, Class:  0, CF:  1, Len:  3, Fitness_tra: 21
Rule  7: f1f11111511c9, Class:  1, CF:0.874094, Len: 13, Fitness_tra: 0
Rule  8: a144113111151, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule  9: 0700000260e00, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 10: 11f2315115111, Class:  0, CF:0.984599, Len: 13, Fitness_tra: 7
Rule 11: 4264131311118, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 12: 1272512831183, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 13: 72b6141d11148, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 14: 3613d12552511, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 15: 1812111325111, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 16: 7111551121115, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 17: b1a1155143111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 18: a3411111d315c, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 19: 1338551181521, Class:  0, CF:0.95719, Len: 13, Fitness_tra: 2
Rule 20: 4d1218181118e, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 21: 0d08e000de005, Class:  0, CF:  1, Len:  6, Fitness_tra: 2
Rule 22: a63158851d183, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 23: bb11515252118, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 24: 2d32515119151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 421231111d513, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 26: 121cd11223231, Class:  1, CF:0.975994, Len: 13, Fitness_tra: 1
Rule 27: 1712d1313d551, Class:  0, CF:0.865298, Len: 13, Fitness_tra: 1
Rule 28: 2211531819861, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 1312153121515, Class:  0, CF:0.662254, Len: 13, Fitness_tra: 1
Rule 30: b8fb91c5251b8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: f31295191c151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a125253919182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7173141515119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b211331915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 45a455592385b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1eb1115258192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3945c11d33911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3339151291525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b13515235118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 19b988139331c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1911d55111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 7862d11321928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: f5b19135d115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 13a89dc216158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 7532911129d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: a1b15de9e5522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a61d885c1315e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 49a1311111171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b8a65111298c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7446c151a3129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 256b33c9c9121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 24189531551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: a11391113955c, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 4241511811d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 25623a19c131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 6e12d19131d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4c65ddc111185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: aaa9551159111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 311181d511958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 79a161c12111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b231565511511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: bd6b34531185e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: f571593115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 12281151319e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: bdf1f81521183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11723191d5191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 39b1133515839, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 71629d1511119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 72118151d5359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3e213d125d138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 11f8513951585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 317231123dd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 194156181253a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b1ac155112851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 78: 114521118c216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a31216f815181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 3e21583115528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7117112919221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f9b1151515915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b7b2111833851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 75f81151d9113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1a1d111551183, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule 86: 2d11111171813, Class:  0, CF:0.576527, Len: 13, Fitness_tra: 45
Rule 87: 197192115115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 253215d385382, Class:  1, CF:  1, Len: 13, Fitness_tra: 15
Rule 89: 22f11139128d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 27b1113211e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: b1315119553e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: a341551121115, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule 93: d11116f815111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7241c151a5129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 4d6418131111e, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 1ca1381111713, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 97: 25629551c11ed, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 98: 491988191351c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: f0f11101501c9, Class:  1, CF:0.849612, Len: 10, Fitness_tra: 26
Rule100: 36411113d315c, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:76.9136
------Result------
Miss_rate(tra)	:76.9136
Miss_rate(tst)	:70.7071
ARL				:12.093

------Generation 1------
Rule  1: 0005000400090, Class:  0, CF:  1, Len:  3, Fitness_tra: 52
Rule  2: 2d11111171813, Class:  0, CF:0.576527, Len: 13, Fitness_tra: 45
Rule  3: 11ad388111211, Class:  0, CF:  1, Len: 13, Fitness_tra: 33
Rule  4: 11a1551811151, Class:  1, CF:0.933558, Len: 13, Fitness_tra: 29
Rule  5: f0f11101501c9, Class:  1, CF:0.849612, Len: 10, Fitness_tra: 26
Rule  6: a131511355111, Class:  1, CF:0.654489, Len: 13, Fitness_tra: 23
Rule  7: a6115d1d11811, Class:  1, CF:  1, Len: 13, Fitness_tra: 22
Rule  8: 0005000000e0d, Class:  0, CF:  1, Len:  3, Fitness_tra: 21
Rule  9: 253215d385382, Class:  1, CF:  1, Len: 13, Fitness_tra: 15
Rule 10: 0700000260e00, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 11: a144113111151, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule 12: 1a1d111551183, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 13: a341551121115, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule 14: 11f2315115111, Class:  0, CF:0.984599, Len: 13, Fitness_tra: 4
Rule 15: 4264131311118, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 16: 1ca1381111713, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 17: 1272512831183, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 18: 72b6141d11148, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 19: 3613d12552511, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 20: 7111551121115, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 21: b1a1155143111, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 22: 0d08e000de005, Class:  0, CF:  1, Len:  6, Fitness_tra: 2
Rule 23: bb11515252118, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 24: 25629551c11ed, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 25: a63158851d183, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 26: a3411111d315c, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 27: 1338551181521, Class:  0, CF:0.95719, Len: 13, Fitness_tra: 2
Rule 28: 1812111325111, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 29: 4d1218181118e, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 30: 421231111d513, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 31: 121cd11223231, Class:  1, CF:0.975994, Len: 13, Fitness_tra: 1
Rule 32: 1712d1313d551, Class:  0, CF:0.865298, Len: 13, Fitness_tra: 0
Rule 33: 1312153121515, Class:  0, CF:0.662254, Len: 13, Fitness_tra: 2
Rule 34: f1f11111511c9, Class:  1, CF:0.874094, Len: 13, Fitness_tra: 0
Rule 35: 7173141515119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b211331915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 45a455592385b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1eb1115258192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3945c11d33911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3339151291525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b13515235118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 19b988139331c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1911d55111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 7862d11321928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: f5b19135d115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 13a89dc216158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 7532911129d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: a1b15de9e5522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a61d885c1315e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 49a1311111171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b8a65111298c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7446c151a3129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 256b33c9c9121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 24189531551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: a11391113955c, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 4241511811d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 25623a19c131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 6e12d19131d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4c65ddc111185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: aaa9551159111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 311181d511958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 79a161c12111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: b231565511511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: bd6b34531185e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: f571593115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 12281151319e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: bdf1f81521183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11723191d5191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 39b1133515839, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 71629d1511119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 72118151d5359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3e213d125d138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 11f8513951585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 317231123dd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 194156181253a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: b1ac155112851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 78: 114521118c216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a31216f815181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 3e21583115528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 421c511118918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1115552115311, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: 36f151181d151, Class:  1, CF:0.167851, Len: 13, Fitness_tra: 4
Rule 84: 3322e3c121611, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 85: 47251931c51e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0f05000900056, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 6f611d15d2111, Class:  0, CF:0.996006, Len: 13, Fitness_tra: 3
Rule 88: 213113195d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: f1f1161d112d6, Class:  1, CF:  1, Len: 13, Fitness_tra: 24
Rule 90: b5a915dd19811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1532375115381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 27b11e3213211, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 93: b81b953525518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1e41115253192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: a144113111151, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 96: 36421103d315c, Class:  1, CF:  1, Len: 12, Fitness_tra: 0
Rule 97: 121d112551183, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 98: 191251113d53a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: e5615519c0125, Class:  1, CF:  1, Len: 12, Fitness_tra: 1
Rule100: 2531293129d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:76.6667
------Result------
Miss_rate(tra)	:76.6667
Miss_rate(tst)	:69.697
ARL				:12.1458

------Generation 2------
Rule  1: 0005000400090, Class:  0, CF:  1, Len:  3, Fitness_tra: 52
Rule  2: 2d11111171813, Class:  0, CF:0.576527, Len: 13, Fitness_tra: 45
Rule  3: 11ad388111211, Class:  0, CF:  1, Len: 13, Fitness_tra: 33
Rule  4: 11a1551811151, Class:  1, CF:0.933558, Len: 13, Fitness_tra: 29
Rule  5: f0f11101501c9, Class:  1, CF:0.849612, Len: 10, Fitness_tra: 26
Rule  6: a131511355111, Class:  1, CF:0.654489, Len: 13, Fitness_tra: 23
Rule  7: a6115d1d11811, Class:  1, CF:  1, Len: 13, Fitness_tra: 22
Rule  8: 0005000000e0d, Class:  0, CF:  1, Len:  3, Fitness_tra: 21
Rule  9: 253215d385382, Class:  1, CF:  1, Len: 13, Fitness_tra: 15
Rule 10: 0700000260e00, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 11: a144113111151, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule 12: 1a1d111551183, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 13: a341551121115, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule 14: 11f2315115111, Class:  0, CF:0.984599, Len: 13, Fitness_tra: 4
Rule 15: 4264131311118, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 16: 1ca1381111713, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
