------Generation 0------
Rule  1: 58877175481bc21282, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00d000000000040008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000009000, Class:  1, CF:0.206208, Len:  1, Fitness_tra: -7
Rule 64: e00000000020e00000, Class:  2, CF:0.907199, Len:  3, Fitness_tra: 0
Rule 65: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000080000000000000, Class:  0, CF:0.261438, Len:  1, Fitness_tra: -1
Rule 68: 000000002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: d40000000000700000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00000000c000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 13a114529115111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 82142b292112852121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1292124142421228e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0c00b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 9111413459111c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000000d00000003, Class:  2, CF:0.507265, Len:  2, Fitness_tra: -18
Rule 80: 000000060000000800, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 161114129113111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: c000000e007b000000, Class:  0, CF:0.66748, Len:  4, Fitness_tra: 27
Rule 85: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 511c42c11822221131, Class:  1, CF:0.150955, Len: 18, Fitness_tra: -3
Rule 93: 800000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000070002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1282b24e2121221211, Class:  3, CF:0.206435, Len: 18, Fitness_tra: 0
Rule 96: 000000004000000060, Class:  2, CF:0.10971, Len:  2, Fitness_tra: 4
Rule 97: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 88c77129221c181174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000000002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000343000e00020, Class:  3, CF:0.805159, Len:  5, Fitness_tra: -2
------Current------
Miss_rate(tra)	:60.5867
------Result------
Miss_rate(tra)	:60.5867
Miss_rate(tst)	:57.1429
ARL				:6.74074

------Generation 0------
Rule  1: c000000e007b000000, Class:  0, CF:0.66748, Len:  4, Fitness_tra: 6
Rule  2: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 34
Rule  3: e00240000000000000, Class:  1, CF:0.74974, Len:  3, Fitness_tra: 14
Rule  4: 000000d0200000d800, Class:  1, CF:0.761628, Len:  4, Fitness_tra: 10
Rule  5: 0e0000000000000000, Class:  3, CF:0.0401022, Len:  1, Fitness_tra: 0
Rule  6: 000000004000000060, Class:  2, CF:0.10971, Len:  2, Fitness_tra: -15
Rule  7: 00c0007e000b0000d0, Class:  0, CF:0.56498, Len:  5, Fitness_tra: 3
Rule  8: 251c4411c1145152c1, Class:  1, CF:0.741185, Len: 18, Fitness_tra: 1
Rule  9: 000008000000000000, Class:  0, CF:0.515152, Len:  1, Fitness_tra: 1
Rule 10: 58877175481bc21282, Class:  0, CF:  1, Len: 18, Fitness_tra: 2
Rule 11: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d00070000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2d521185851c1c22cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 53121412d155188112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 0
Rule 21: 200000000000000500, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 044000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 28842181c122d12221, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11572b1141c2551241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 85127185181c111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1168221256113c8181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 13e127111111181152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000c00000000003088, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 161874141911111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c00000000cb0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000000000a000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 39: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 44: 00008c003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 800000000c00800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 521172c58121d82147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1252472122122c2251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00f080000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 81311c15cd882415c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000b00000400000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 005000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 00d000000000040008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: e00000000020e00000, Class:  2, CF:0.907199, Len:  3, Fitness_tra: 0
Rule 62: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 88c77129221c181174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: d40000000000700000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00000000c000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 13a114529115111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 82142b292112852121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1292124142421228e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0c00b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9111413459111c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000060000000800, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 161114129113111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000b0000000d00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c1111185c52c18112d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 111c128d89c21817c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000007e007b000400, Class:  0, CF:0.229317, Len:  5, Fitness_tra: 1
Rule 84: 0000c0000000000000, Class:  2, CF:0.353801, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1c24141e15cb8c1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 551c428d1112822515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00e00c004044000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1914448d2118dcb182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5e1178cc8921d81111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000c0e000000003008, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 93: 0e0000801000000000, Class:  3, CF:0.255742, Len:  3, Fitness_tra: 5
Rule 94: 001000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 005000009000000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 20
Rule 96: 5d5272858511d422c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 006000000000000000, Class:  0, CF:0.0755482, Len:  1, Fitness_tra: 14
Rule 98: c0000e0e000b000400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00000b00700d050100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: c00000060000000000, Class:  3, CF:0.0918497, Len:  2, Fitness_tra: -6
------Current------
Miss_rate(tra)	:59.6939
------Result------
Miss_rate(tra)	:59.6939
Miss_rate(tst)	:55.9524
ARL				:4.27273

------Generation 1------
Rule  1: c000000e007b000000, Class:  0, CF:0.66748, Len:  4, Fitness_tra: 6
Rule  2: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 34
Rule  3: e00240000000000000, Class:  1, CF:0.74974, Len:  3, Fitness_tra: 14
Rule  4: 000000d0200000d800, Class:  1, CF:0.761628, Len:  4, Fitness_tra: 10
Rule  5: 0e0000000000000000, Class:  3, CF:0.0401022, Len:  1, Fitness_tra: 0
Rule  6: 000000004000000060, Class:  2, CF:0.10971, Len:  2, Fitness_tra: -15
Rule  7: 00c0007e000b0000d0, Class:  0, CF:0.56498, Len:  5, Fitness_tra: 3
Rule  8: 251c4411c1145152c1, Class:  1, CF:0.741185, Len: 18, Fitness_tra: 1
Rule  9: 000008000000000000, Class:  0, CF:0.515152, Len:  1, Fitness_tra: 1
Rule 10: 58877175481bc21282, Class:  0, CF:  1, Len: 18, Fitness_tra: 2
Rule 11: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d00070000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2d521185851c1c22cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 53121412d155188112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 0
Rule 21: 200000000000000500, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 044000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 28842181c122d12221, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11572b1141c2551241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 85127185181c111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1168221256113c8181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 13e127111111181152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000c00000000003088, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 161874141911111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c00000000cb0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000000000a000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 39: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 44: 00008c003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 800000000c00800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 521172c58121d82147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1252472122122c2251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00f080000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 81311c15cd882415c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000b00000400000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 005000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 00d000000000040008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: e00000000020e00000, Class:  2, CF:0.907199, Len:  3, Fitness_tra: 0
Rule 62: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 88c77129221c181174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000002000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: d40000000000700000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00000000c000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 13a114529115111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 82142b292112852121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1292124142421228e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0c00b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9111413459111c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000060000000800, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 161114129113111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000b0000000d00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c1111185c52c18112d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 111c128d89c21817c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000007e007b000400, Class:  0, CF:0.229317, Len:  5, Fitness_tra: 1
Rule 84: 0000c0000000000000, Class:  2, CF:0.353801, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1c24141e15cb8c1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 551c428d1112822515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00e00c004044000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1914448d2118dcb182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 5e1178cc8921d81111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000c0e000000003008, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 93: 0e0000801000000000, Class:  3, CF:0.255742, Len:  3, Fitness_tra: 5
Rule 94: 001000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 005000009000000000, Class:  2, CF:  1, Len:  2, Fitness_tra: 20
Rule 96: 5d5272858511d422c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 006000000000000000, Class:  0, CF:0.0755482, Len:  1, Fitness_tra: 14
Rule 98: c0000e0e000b000400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00000b00700d050100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: c00000060000000000, Class:  3, CF:0.0918497, Len:  2, Fitness_tra: -6
------Current------
Miss_rate(tra)	:59.6939
------Result------
Miss_rate(tra)	:59.6939
Miss_rate(tst)	:55.9524
ARL				:4.27273

------Generation 2------
Rule  1: c000000e007b000000, Class:  0, CF:0.66748, Len:  4, Fitness_tra: 6
Rule  2: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 34
Rule  3: e00240000000000000, Class:  1, CF:0.74974, Len:  3, Fitness_tra: 14
Rule  4: 000000d0200000d800, Class:  1, CF:0.761628, Len:  4, Fitness_tra: 10
Rule  5: 0e0000000000000000, Class:  3, CF:0.0401022, Len:  1, Fitness_tra: 0
Rule  6: 000000004000000060, Class:  2, CF:0.10971, Len:  2, Fitness_tra: -15
Rule  7: 00c0007e000b0000d0, Class:  0, CF:0.56498, Len:  5, Fitness_tra: 3
