------Generation 0------
Rule  1: 5a6124e4931152111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 255121cd4222224211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d005008d808c00000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1111211dc111523251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000007e7d0b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 281c241518cc872111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 090000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000805, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 20
Rule 59: 500000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 122421412247241112, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 858221c52111811117, Class:  0, CF:  1, Len: 18, Fitness_tra: 10
Rule 62: 551181511d81141255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 090800000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 582b2b852111811127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0700007e707b7b0000, Class:  0, CF:0.345098, Len:  8, Fitness_tra: -4
Rule 68: d158c12941c2242891, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00000000000000e000, Class:  1, CF:0.245283, Len:  1, Fitness_tra: 2
Rule 70: c1d1481155cc882211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: d59cc2cd4321241811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 18912125228c121553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 51d52111c841122531, Class:  1, CF:0.302642, Len: 18, Fitness_tra: 0
Rule 75: 13358151155d321111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 85224719c584121142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 0
Rule 79: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 050000080d80200000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: c55b17112281522c44, Class:  3, CF:0.403582, Len: 18, Fitness_tra: -4
Rule 82: 551c148281cc28158d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d40000000000b00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8d52c1c5111cd81b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0b0000000b00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000000000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11a571a161ef6111c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: d11244117547212111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1914228523881c21c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 513c11c111cc411113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 8112cb1145411124cc, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 003000000000000080, Class:  0, CF:0.201763, Len:  2, Fitness_tra: -8
Rule100: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.7817
------Result------
Miss_rate(tra)	:68.7817
Miss_rate(tst)	:64.7059
ARL				:10.5556

------Generation 0------
Rule  1: 5a6124e4931152111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 133412111188581125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 121144111212122252, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 003000000400000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 513d2c92135512d21d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000002000000090, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 511144515921141181, Class:  1, CF:0.0996498, Len: 18, Fitness_tra: -1
Rule  9: 82141b217141141136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 12: 15511b11c588d12214, Class:  3, CF:0.357064, Len: 18, Fitness_tra: 9
Rule 13: 5118c11dc521823151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 33f11c329159321151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000000000c0d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1131115153d1e21581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 81d1115dc58c141185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000500000000000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 151bb185118c822222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 299c121d2118144125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 152117cd42c4111218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 291c211513188218c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 25144429c111588114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 219211812422242125, Class:  1, CF:0.679333, Len: 18, Fitness_tra: 12
Rule 29: 828c1211411452175e, Class:  1, CF:0.715702, Len: 18, Fitness_tra: 0
Rule 30: 16a1b4f739ea151124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1152c1cd48c4c11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 931121323111a511c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 300000000000580030, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 36: 000000000d000c0030, Class:  2, CF:0.781097, Len:  3, Fitness_tra: 22
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 258142cd15221c5112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3661441413e1121c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 54d584c811cc121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 513d4c315311328121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 885772c1154c11187b, Class:  3, CF:0.65573, Len: 18, Fitness_tra: 1
Rule 43: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 255121cd4222224211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d005008d808c00000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1111211dc111523251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000007e7d0b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 281c241518cc872111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 090000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000805, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 20
Rule 59: 500000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 122421412247241112, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 858221c52111811117, Class:  0, CF:  1, Len: 18, Fitness_tra: 10
Rule 62: 551181511d81141255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 090800000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 582b2b852111811127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0700007e707b7b0000, Class:  0, CF:0.345098, Len:  8, Fitness_tra: -4
Rule 68: d158c12941c2242891, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00000000000000e000, Class:  1, CF:0.245283, Len:  1, Fitness_tra: 2
Rule 70: c1d1481155cc882211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: d59cc2cd4321241811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 18912125228c121553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 51d52111c841122531, Class:  1, CF:0.302642, Len: 18, Fitness_tra: 0
Rule 75: 13358151155d321111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 85224719c584121142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 0
Rule 79: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 050000080d80200000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: c55b17112281522c44, Class:  3, CF:0.403582, Len: 18, Fitness_tra: -4
Rule 82: 551c148281cc28158d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d40000000000b00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8d52c1c5111cd81b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0b0000000b00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000000000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11a571a161ef6111c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: d11244117547212111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1914228523881c21c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 513c11c111cc411113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 8112cb1145411124cc, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 003000000000000080, Class:  0, CF:0.201763, Len:  2, Fitness_tra: -8
Rule100: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.7817
------Result------
Miss_rate(tra)	:68.7817
Miss_rate(tst)	:64.7059
ARL				:10.5556

------Generation 1------
Rule  1: 5a6124e4931152111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 133412111188581125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 121144111212122252, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 003000000400000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 513d2c92135512d21d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000002000000090, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 511144515921141181, Class:  1, CF:0.0996498, Len: 18, Fitness_tra: -1
Rule  9: 82141b217141141136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 12: 15511b11c588d12214, Class:  3, CF:0.357064, Len: 18, Fitness_tra: 9
Rule 13: 5118c11dc521823151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 33f11c329159321151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000000000c0d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1131115153d1e21581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 81d1115dc58c141185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000500000000000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 151bb185118c822222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 299c121d2118144125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 152117cd42c4111218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 291c211513188218c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 25144429c111588114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 219211812422242125, Class:  1, CF:0.679333, Len: 18, Fitness_tra: 12
Rule 29: 828c1211411452175e, Class:  1, CF:0.715702, Len: 18, Fitness_tra: 0
Rule 30: 16a1b4f739ea151124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1152c1cd48c4c11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 931121323111a511c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 300000000000580030, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 36: 000000000d000c0030, Class:  2, CF:0.781097, Len:  3, Fitness_tra: 22
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 258142cd15221c5112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3661441413e1121c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 54d584c811cc121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 513d4c315311328121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 885772c1154c11187b, Class:  3, CF:0.65573, Len: 18, Fitness_tra: 1
Rule 43: 00000000000000d000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 255121cd4222224211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d005008d808c00000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1111211dc111523251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000007e7d0b000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 281c241518cc872111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00000000d00d000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 090000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000805, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 20
Rule 59: 500000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 122421412247241112, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 858221c52111811117, Class:  0, CF:  1, Len: 18, Fitness_tra: 10
Rule 62: 551181511d81141255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 090800000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 582b2b852111811127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0700007e707b7b0000, Class:  0, CF:0.345098, Len:  8, Fitness_tra: -4
Rule 68: d158c12941c2242891, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00000000000000e000, Class:  1, CF:0.245283, Len:  1, Fitness_tra: 2
Rule 70: c1d1481155cc882211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: d59cc2cd4321241811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 18912125228c121553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 51d52111c841122531, Class:  1, CF:0.302642, Len: 18, Fitness_tra: 0
Rule 75: 13358151155d321111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 85224719c584121142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 0
Rule 79: 030000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 050000080d80200000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: c55b17112281522c44, Class:  3, CF:0.403582, Len: 18, Fitness_tra: -4
Rule 82: 551c148281cc28158d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d40000000000b00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8d52c1c5111cd81b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0b0000000b00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000000000000300, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11a571a161ef6111c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: d11244117547212111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1914228523881c21c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 513c11c111cc411113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 8112cb1145411124cc, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 003000000000000080, Class:  0, CF:0.201763, Len:  2, Fitness_tra: -8
Rule100: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.7817
------Result------
Miss_rate(tra)	:68.7817
Miss_rate(tst)	:64.7059
ARL				:10.5556

------Generation 2------
Rule  1: 000000000d000c0030, Class:  2, CF:0.781097, Len:  3, Fitness_tra: 22
Rule  2: 0000c0000000000000, Class:  2, CF:0.438078, Len:  1, Fitness_tra: 25
Rule  3: 219211812422242125, Class:  1, CF:0.679333, Len: 18, Fitness_tra: 11
Rule  4: 858221c52111811117, Class:  0, CF:  1, Len: 18, Fitness_tra: 2
Rule  5: 15511b11c588d12214, Class:  3, CF:0.357064, Len: 18, Fitness_tra: 2
