------Generation 0------
Rule  1: 9312243299d39811d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 139527523351311251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1a32b21b1e96a251cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: e16524e453d9949381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 002080004000000000, Class:  0, CF:0.477652, Len:  3, Fitness_tra: 0
Rule 53: 090000000500000000, Class:  3, CF:0.0916696, Len:  2, Fitness_tra: -1
Rule 54: 811142c528c1521127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: dd9281151d84121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000000080d0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 00000c004000000000, Class:  2, CF:0.559322, Len:  2, Fitness_tra: 2
Rule 61: 519c1cc58118171115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 115cc18dc1c2141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1121412548112811c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 00f000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 181417c34d88511424, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 12d2c4131112121131, Class:  3, CF:0.403217, Len: 18, Fitness_tra: 0
Rule 74: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 400000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 113122e1e6d911218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 79: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000c0000070b0c00a, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: 1552221dc1c2541193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000000000008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000d00000003, Class:  2, CF:0.515142, Len:  2, Fitness_tra: -19
Rule 85: 133111315d53521112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000080be00e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 5198121d12221b1499, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 00005b004200000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00e000000900000009, Class:  1, CF:0.869112, Len:  3, Fitness_tra: 3
Rule 93: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000000003000000003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000500005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 366121329931ec8114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000070004000000006, Class:  2, CF:0.588736, Len:  3, Fitness_tra: -2
Rule 99: 003000000000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.0255
------Result------
Miss_rate(tra)	:70.0255
Miss_rate(tst)	:65.4762
ARL				:6.8

------Generation 0------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 24
Rule  2: 00e000000900000009, Class:  1, CF:0.869112, Len:  3, Fitness_tra: 5
Rule  3: 00000c004000000000, Class:  2, CF:0.559322, Len:  2, Fitness_tra: 2
Rule  4: 000000000000000980, Class:  1, CF:0.171363, Len:  2, Fitness_tra: 1
Rule  5: d0200b0040000c0000, Class:  2, CF:  1, Len:  5, Fitness_tra: 23
Rule  6: 251c248143c212158d, Class:  1, CF:  1, Len: 18, Fitness_tra: 1
Rule  7: 0000800040000c0000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule  8: 000080000000000000, Class:  0, CF:0.343023, Len:  1, Fitness_tra: 1
Rule  9: 9312243299d39811d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d25214731111447c11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1957142183c2544115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e3d11549955111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8351218d45c1d41181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3165143c311d121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1282142d18c4512511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 02000c004040000000, Class:  2, CF:0.836014, Len:  4, Fitness_tra: 0
Rule 21: 5515c282151c121195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51111b1111181421e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1368b73b6e363812c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0004000000070b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: cd841215cd82521211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 69f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 521c17194147211163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: d00b00000000000004, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000009, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 1
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 139527523351311251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1a32b21b1e96a251cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e16524e453d9949381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 002080004000000000, Class:  0, CF:0.477652, Len:  3, Fitness_tra: 0
Rule 52: 003000000000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 811142c528c1521127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: dd9281151d84121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000000080d0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000270000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 519c1cc58118171115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 115cc18dc1c2141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1121412548112811c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 00f000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 181417c34d88511424, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 12d2c4131112121131, Class:  3, CF:0.403217, Len: 18, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 400000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 113122e1e6d911218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 78: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0000c0000070b0c00a, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 1552221dc1c2541193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000005000002000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00070c005040080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000c0000000000400, Class:  2, CF:0.183784, Len:  2, Fitness_tra: 3
Rule 85: 141411291412121211, Class:  0, CF:0.0843209, Len: 18, Fitness_tra: 34
Rule 86: 1c1b7411114bc25121, Class:  0, CF:0.00102688, Len: 18, Fitness_tra: -10
Rule 87: 91f52c9159519c51d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 002080000000000000, Class:  0, CF:0.451411, Len:  2, Fitness_tra: 0
Rule 90: 2c1141114122141119, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 090000003000000000, Class:  3, CF:0.0645598, Len:  2, Fitness_tra: -1
Rule 92: 0021800040000c0000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 4000700000070b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000000000000090007, Class:  0, CF:0.275168, Len:  2, Fitness_tra: 1
Rule 95: 8110027500c102102c, Class:  0, CF:0.992228, Len: 12, Fitness_tra: -1
Rule 96: b51c0b0040c222008d, Class:  3, CF:0.142585, Len: 12, Fitness_tra: -2
Rule 97: 090000000001000001, Class:  3, CF:0.0733826, Len:  3, Fitness_tra: 7
Rule 98: 139427520000001200, Class:  3, CF:0.0886664, Len: 10, Fitness_tra: 0
Rule 99: 0a0000000060000070, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 023100010003520110, Class:  2, CF:  1, Len:  9, Fitness_tra: 10
------Current------
Miss_rate(tra)	:65.6888
------Result------
Miss_rate(tra)	:65.6888
Miss_rate(tst)	:65.4762
ARL				:6.96296

------Generation 1------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 24
Rule  2: 00e000000900000009, Class:  1, CF:0.869112, Len:  3, Fitness_tra: 5
Rule  3: 00000c004000000000, Class:  2, CF:0.559322, Len:  2, Fitness_tra: 2
Rule  4: 000000000000000980, Class:  1, CF:0.171363, Len:  2, Fitness_tra: 1
Rule  5: d0200b0040000c0000, Class:  2, CF:  1, Len:  5, Fitness_tra: 23
Rule  6: 251c248143c212158d, Class:  1, CF:  1, Len: 18, Fitness_tra: 1
Rule  7: 0000800040000c0000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule  8: 000080000000000000, Class:  0, CF:0.343023, Len:  1, Fitness_tra: 1
Rule  9: 9312243299d39811d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d25214731111447c11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1957142183c2544115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e3d11549955111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8351218d45c1d41181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3165143c311d121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1282142d18c4512511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 02000c004040000000, Class:  2, CF:0.836014, Len:  4, Fitness_tra: 0
Rule 21: 5515c282151c121195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51111b1111181421e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1368b73b6e363812c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0004000000070b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: cd841215cd82521211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 69f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 521c17194147211163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: d00b00000000000004, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000009, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 1
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 139527523351311251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1a32b21b1e96a251cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e16524e453d9949381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 002080004000000000, Class:  0, CF:0.477652, Len:  3, Fitness_tra: 0
Rule 52: 003000000000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 811142c528c1521127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000004000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: dd9281151d84121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000000000000080d0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000270000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 519c1cc58118171115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 115cc18dc1c2141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1121412548112811c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 00f000000000000003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 181417c34d88511424, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000000070, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 12d2c4131112121131, Class:  3, CF:0.403217, Len: 18, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 400000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 113122e1e6d911218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 78: 003000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0000c0000070b0c00a, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 1552221dc1c2541193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000005000002000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00070c005040080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000c0000000000400, Class:  2, CF:0.183784, Len:  2, Fitness_tra: 3
Rule 85: 141411291412121211, Class:  0, CF:0.0843209, Len: 18, Fitness_tra: 34
Rule 86: 1c1b7411114bc25121, Class:  0, CF:0.00102688, Len: 18, Fitness_tra: -10
Rule 87: 91f52c9159519c51d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 002080000000000000, Class:  0, CF:0.451411, Len:  2, Fitness_tra: 0
Rule 90: 2c1141114122141119, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 090000003000000000, Class:  3, CF:0.0645598, Len:  2, Fitness_tra: -1
Rule 92: 0021800040000c0000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 4000700000070b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 000000000000090007, Class:  0, CF:0.275168, Len:  2, Fitness_tra: 1
Rule 95: 8110027500c102102c, Class:  0, CF:0.992228, Len: 12, Fitness_tra: -1
Rule 96: b51c0b0040c222008d, Class:  3, CF:0.142585, Len: 12, Fitness_tra: -2
Rule 97: 090000000001000001, Class:  3, CF:0.0733826, Len:  3, Fitness_tra: 7
Rule 98: 139427520000001200, Class:  3, CF:0.0886664, Len: 10, Fitness_tra: 0
Rule 99: 0a0000000060000070, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 023100010003520110, Class:  2, CF:  1, Len:  9, Fitness_tra: 10
------Current------
Miss_rate(tra)	:65.6888
------Result------
Miss_rate(tra)	:65.6888
Miss_rate(tst)	:65.4762
ARL				:6.96296

------Generation 2------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 24
Rule  2: 00e000000900000009, Class:  1, CF:0.869112, Len:  3, Fitness_tra: 5
Rule  3: 00000c004000000000, Class:  2, CF:0.559322, Len:  2, Fitness_tra: 2
Rule  4: 000000000000000980, Class:  1, CF:0.171363, Len:  2, Fitness_tra: 1
Rule  5: d0200b0040000c0000, Class:  2, CF:  1, Len:  5, Fitness_tra: 23
Rule  6: 251c248143c212158d, Class:  1, CF:  1, Len: 18, Fitness_tra: 1
