------Generation 0------
Rule  1: 00000000000000050f, Class:  2, CF:0.717647, Len:  2, Fitness_tra: 0
Rule 76: 3118476431111c522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 8d181b2d1122128425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000000000000b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 515c14112111221151, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11128b25418c14243e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1211c125182cc14133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 128b178d2581282517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 03e00c0040440c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 07c0000000b0480004, Class:  0, CF:0.602161, Len:  6, Fitness_tra: 0
Rule 86: 000000000000085000, Class:  1, CF:0.25, Len:  2, Fitness_tra: 0
Rule 87: 931822123513111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 25d4418d4821582122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: d912c11581c8529519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 51214413111b141811, Class:  2, CF:0.200415, Len: 18, Fitness_tra: -2
Rule 92: 13112c523915141125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5595c218555112c231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00fdc0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: c21c1229c2c25c1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000002000000090, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1222124e1814411c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0e0070000000000000, Class:  3, CF:0.171584, Len:  2, Fitness_tra: 17
Rule 99: dd318125c514141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:63.5204
------Result------
Miss_rate(tra)	:63.5204
Miss_rate(tst)	:67.0588
ARL				:7.36364

------Generation 0------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.175846, Len:  2, Fitness_tra: 29
Rule  2: 0e0070000000000000, Class:  3, CF:0.171584, Len:  2, Fitness_tra: 9
Rule  3: 090000000500000003, Class:  2, CF:0.724139, Len:  3, Fitness_tra: 9
Rule  4: 000008000000000000, Class:  0, CF:0.782059, Len:  1, Fitness_tra: 4
Rule  5: 00ec7b00000000000c, Class:  3, CF:0.157486, Len:  5, Fitness_tra: -2
Rule  6: 000000000000000006, Class:  2, CF:0.196797, Len:  1, Fitness_tra: 1
Rule  7: 0c000c000c00c00000, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule  8: 0c00007ebc7bc00000, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 00000000000000050f, Class:  2, CF:0.717647, Len:  2, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d3000c0000000000c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 5511221151185c1122, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 000000004040000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 212c17cd41c1512285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000005000c0020, Class:  2, CF:0.712373, Len:  3, Fitness_tra: -1
Rule 16: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000005000000900, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0080c00000400800cc, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c221448948121c2412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000003000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 15542ccdc3c81111c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 551121c11918511c11, Class:  3, CF:0.29437, Len: 18, Fitness_tra: 0
Rule 31: 158212228112512193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1e31423251155119de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0a0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1161cc921313941189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000400c03000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000a0000800000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00a0000b060e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 03000c004900080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111123231913c1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 005000000000000030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00808b004200008009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 300000000000580030, Class:  0, CF:0.957175, Len:  4, Fitness_tra: 0
Rule 48: 8dd42c1525818482c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 85d4111d218c1277c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 911241146336181221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1dd1c285151117129e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c15122c3484c152224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000007d00007000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 66112ba23e33181184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000d03000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 11121292111192121d, Class:  1, CF:0.420228, Len: 18, Fitness_tra: 0
Rule 62: e331283c31d111315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 85824411852c11247b, Class:  3, CF:0.683341, Len: 18, Fitness_tra: 0
Rule 67: 0a0000000630002005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 9e1122145359141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 811111851551111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000600000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 21174b151881d81112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 15318115c111271291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3118476431111c522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 8d181b2d1122128425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000000000000b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 515c14112111221151, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11128b25418c14243e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1211c125182cc14133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000005000000300, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000060000000800, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b000000000000000b0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000005000000700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0110000463d8181200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1000007a0900800000, Class:  3, CF:0.519981, Len:  5, Fitness_tra: 0
Rule 93: 000080000000000000, Class:  0, CF:0.633322, Len:  1, Fitness_tra: 2
Rule 94: b30020023000101125, Class:  0, CF:0.436619, Len: 10, Fitness_tra: -14
Rule 95: 003000000000200006, Class:  2, CF:0.0545178, Len:  3, Fitness_tra: 0
Rule 96: 1211492548121c2112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 051021c01918601511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b00000000600000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000d4001588001, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0e1e12320090301201, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:61.0969
------Result------
Miss_rate(tra)	:61.0969
Miss_rate(tst)	:74.1176
ARL				:7.14286

------Generation 1------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.175846, Len:  2, Fitness_tra: 29
Rule  2: 0e0070000000000000, Class:  3, CF:0.171584, Len:  2, Fitness_tra: 9
Rule  3: 090000000500000003, Class:  2, CF:0.724139, Len:  3, Fitness_tra: 9
Rule  4: 000008000000000000, Class:  0, CF:0.782059, Len:  1, Fitness_tra: 4
Rule  5: 00ec7b00000000000c, Class:  3, CF:0.157486, Len:  5, Fitness_tra: -2
Rule  6: 000000000000000006, Class:  2, CF:0.196797, Len:  1, Fitness_tra: 1
Rule  7: 0c000c000c00c00000, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule  8: 0c00007ebc7bc00000, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  9: 00000000000000050f, Class:  2, CF:0.717647, Len:  2, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d3000c0000000000c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 5511221151185c1122, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 000000004040000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 212c17cd41c1512285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000005000c0020, Class:  2, CF:0.712373, Len:  3, Fitness_tra: -1
Rule 16: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000005000000900, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0080c00000400800cc, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c221448948121c2412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000003000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 15542ccdc3c81111c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 551121c11918511c11, Class:  3, CF:0.29437, Len: 18, Fitness_tra: 0
Rule 31: 158212228112512193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1e31423251155119de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0a0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1161cc921313941189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000400c03000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000a0000800000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00a0000b060e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 03000c004900080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111123231913c1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 005000000000000030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00808b004200008009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 300000000000580030, Class:  0, CF:0.957175, Len:  4, Fitness_tra: 0
Rule 48: 8dd42c1525818482c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 85d4111d218c1277c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 911241146336181221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1dd1c285151117129e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c15122c3484c152224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000007d00007000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 66112ba23e33181184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000d03000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 11121292111192121d, Class:  1, CF:0.420228, Len: 18, Fitness_tra: 0
Rule 62: e331283c31d111315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 85824411852c11247b, Class:  3, CF:0.683341, Len: 18, Fitness_tra: 0
Rule 67: 0a0000000630002005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 9e1122145359141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 811111851551111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000000000600000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 21174b151881d81112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 15318115c111271291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3118476431111c522b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 8d181b2d1122128425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000000000000b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 515c14112111221151, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11128b25418c14243e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1211c125182cc14133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000005000000300, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000060000000800, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b000000000000000b0, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000005000000700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0110000463d8181200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1000007a0900800000, Class:  3, CF:0.519981, Len:  5, Fitness_tra: 0
Rule 93: 000080000000000000, Class:  0, CF:0.633322, Len:  1, Fitness_tra: 2
Rule 94: b30020023000101125, Class:  0, CF:0.436619, Len: 10, Fitness_tra: -14
Rule 95: 003000000000200006, Class:  2, CF:0.0545178, Len:  3, Fitness_tra: 0
Rule 96: 1211492548121c2112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 051021c01918601511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b00000000600000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000d4001588001, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0e1e12320090301201, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:61.0969
------Result------
Miss_rate(tra)	:61.0969
Miss_rate(tst)	:74.1176
ARL				:7.14286

------Generation 2------
Rule  1: 0000c0000000000b00, Class:  2, CF:0.175846, Len:  2, Fitness_tra: 29
Rule  2: 0e0070000000000000, Class:  3, CF:0.171584, Len:  2, Fitness_tra: 9
Rule  3: 090000000500000003, Class:  2, CF:0.724139, Len:  3, Fitness_tra: 9
Rule  4: 000008000000000000, Class:  0, CF:0.782059, Len:  1, Fitness_tra: 4
Rule  5: 00ec7b00000000000c, Class:  3, CF:0.157486, Len:  5, Fitness_tra: -2
Rule  6: 000000000000000006, Class:  2, CF:0.196797, Len:  1, Fitness_tra: 1
