------Generation 0------
Rule  1: 00005000a0000000000000000000000000ee00090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 63ee11133ef11111311e3e136e31a66f393333e39156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11115111121113111113111111112113115211121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: e000000000000000f000006000000eee000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000500500a0550ee000000000060000000020090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3e3e1511111133961111111331191136e9e136311131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00000000fa00090000000000000d0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 161611919e1131131e89991eee9d163a1111111a3116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 91913913311111513111911551313131191133131951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 191e13611e111136e311e119e3351116311e3ee61333, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 933931311361a6166e53ee39ee1911665361313116e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000600000000000006000006e6a00600000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: a0000000fa0000f0a0af09a000000050d00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 31166e6aa331361136366e3919919e6f3e111a13e951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11111131316313156311391115111116111111115551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: f00000000fe00500000000000000000000f000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00590000000050000000000500000090000a00000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 531e11311366ae13169111e91131313a991113116e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000f60f000000f00000000a00000ef000f000990000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3333e961fa1a16396a93e95331ee3613133361933e96, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 333331a6633191a31e33361311113e1a3e1e51133e91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000000000e000000000000009000000000000000000, Class:  0, CF:0.318137, Len:  2, Fitness_tra: -7
Rule 77: 0000000005000d050500a00d00a00f0000f0f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 111115111231315111133119111111111e2211211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00000000005000000000000000000000000000000000, Class:  0, CF:0.0152193, Len:  1, Fitness_tra: -17
Rule 80: 000000000a0009000fc0000055000009000000000000, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 11111511116199111151133155111131131131111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1111339363a3365333e63ee39e9113111161e6661951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 13333e61116311e116e1113991331111ee1616163e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000000000000005000000000000000e000000, Class:  0, CF:0.18181, Len:  2, Fitness_tra: -15
Rule 85: 31311e13e36366136111133e36f11a63111311131193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0050009000000000f90e00000000000006fa00e00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000d005000f005000000000d5000099e009000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 9e1531e3e366611e3a5613e399ee6163553a6331a1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000e00000000000000d000090000a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000005f0000a0000000506000d0500050080550000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11113113313311111111111111331311113111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 161999e6313a63911e11e193993936a6996e11169e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00000005000005050000000000000000000000000000, Class:  0, CF:0.305291, Len:  3, Fitness_tra: 40
Rule 94: 00000d00000000050d055d0000500000000000000000, Class:  0, CF:0.399386, Len:  7, Fitness_tra: 0
Rule 95: 331611eea33a3eee11636e3e9139e1336331e3139399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00000d00000000000505000005000000009000090000, Class:  0, CF:0.523583, Len:  6, Fitness_tra: -2
Rule 97: 0090000000000009a050000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 331339311316631e11911333e3331133e93311613119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 331e336111313ea313133651331ee66363e193116111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1113e511331191113151111115113163e13311315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50
------Result------
Miss_rate(tra)	:50
Miss_rate(tst)	:77.7778
ARL				:4.92308

------Generation 0------
Rule  1: 00000005000005050000000000000000000000000000, Class:  0, CF:0.305291, Len:  3, Fitness_tra: 30
Rule  2: 00000000009000000000000000000000000000000005, Class:  0, CF:0.265981, Len:  2, Fitness_tra: 14
Rule  3: 00005000a0000000000000000000000000ee00090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 31191516611ae3e9319e6ee31e6911619399333a3313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000500000000000d5050000000ea0000f0d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11331133311111111551111111111111111199311121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1113e511331191113151111115113163e13311315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000a00500a00000000000000000000000000d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000000000000a0000000000000000000e00e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 331531e6933133363e535113ee913116136f59119699, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000a000000000000005000000000000000e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 913e3531136331111136e99993e1e111133a11e3e3e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000060ff0000000000000d0000000500009900d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: e91199ee16331691e33e61311e9533169131663f113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: e391196139311331a691ee93136e669193e31f1a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 663119131963e61361933111e1311311e1a1111331e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000d00000009050000000000000000000000000909, Class:  0, CF:0.515937, Len:  5, Fitness_tra: 0
Rule 18: 5006000000000000000000000000000000000ae00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 35111919e9611a13e15511111319a616ee139936a116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11121111113111113611111111311111111311111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e6eee3331313e11663116331136f6a16e93159e33991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11311531363111133199191511113663513e19e31151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1131313336111313661e139131951163e36a31133331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 953e116e15111f3133391311139111333913593a66e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11113ee131161aa363133135e3e116369e311366313e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000066000000506e800e0050000060000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0050000ae000000000d9900000006a00050000000000, Class:  1, CF:  1, Len:  9, Fitness_tra: 1
Rule 28: 555d00000005000000090000000000e9d00000000000, Class:  0, CF:0.564575, Len:  9, Fitness_tra: 0
Rule 29: 0d60a0a000ff000000000a00000000000000000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 19139131e33161116691913e11e9131f111111113193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 9113333331336331615633193393aa331e61d9336133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0050069900000000090000000000000006ff00e00009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3691ee96e31e931331591536ee933336ee31311a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a000f0000000f0f00f0000000000fe990000000ef005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11111115111119111119333115111113315111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 131ee1633e36e63131111e31911136139e3631361613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000600000000e00000a00000de0000000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 9919e9e1391936163391133e11e9116193119e963e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 113111a333116313311131e111196113391393313616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 11e1111331e61113331313e1191313111e33611336e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 11111511313131511953311555111113113313115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 3113113363fa1199331663313319133339319e311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00d00000000000d0000000000000090905f000090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000000000ddd80090000000f090d0, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 45: 931e1919311311133e13e199e119111193911e111331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 111155111111111121133111119111161e1111211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: e3e59931e16311363e333e13131131311e6111136133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 3119111ee161111a3633339e1331a1e1111153131331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 313399e636113a3336d11916ee3511313131931f1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000000e0005000005e600060006a00000009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 05d000000000000000000000006000000000009e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: e13199113e1131136611391311a31191151113631163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000f00a000000000005000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11511111113111111511119115111211131111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1e3e11331e1311e313511e316911611fee3e13333111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 63ee11133ef11111311e3e136e31a66f393333e39156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11115111121113111113111111112113115211121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: e000000000000000f000006000000eee000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000500500a0550ee000000000060000000020090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3e3e1511111133961111111331191136e9e136311131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00000000fa00090000000000000d0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 161611919e1131131e89991eee9d163a1111111a3116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 91913913311111513111911551313131191133131951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 191e13611e111136e311e119e3351116311e3ee61333, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 933931311361a6166e53ee39ee1911665361313116e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000600000000000006000006e6a00600000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: a0000000fa0000f0a0af09a000000050d00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 31166e6aa331361136366e3919919e6f3e111a13e951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11111131316313156311391115111116111111115551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: f00000000fe00500000000000000000000f000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00590000000050000000000500000090000a00000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 531e11311366ae13169111e91131313a991113116e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000f60f000000f00000000a00000ef000f000990000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3333e961fa1a16396a93e95331ee3613133361933e96, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 333331a6633191a31e33361311113e1a3e1e51133e91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 331e336111313ea313133651331ee66363e193116111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000005000d050500a00d00a00f0000f0f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 111115111231315111133119111111111e2211211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000000000a0009000fc0000055000009000000000000, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 80: 11111511116199111151133155111131131131111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 05d000000000000000000000006000000000009e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000da0f090a0000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000000f00a000000000005000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 3931351131131951131111111131111313113e311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000000a00f0000000000f000f009000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000000000000000005000000000000000e000000, Class:  0, CF:0.18181, Len:  2, Fitness_tra: -21
Rule 88: e111113911311915119111111115113e15e313331151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000000500000000000f00a09050d50000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 02d00000000000000000f00000f000a00000000900d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 900e1160051010313009130100001033391359000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: e00009113a1030f060a139a000a01150d01000030093, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 10330033000011101550110101001010010199315000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 30910e960310930000591536000030960e3a31100009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: e00000500000000000d5006000000e3e000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000d0050000005000000000d50000000009000000000, Class:  0, CF:0.435745, Len:  6, Fitness_tra: -1
Rule 97: 03300010030360000101130eddd110930013111310d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0d60a0a000ff000000000a0000000000000000040000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 31311511e68316133199131e16d11663515e19e31193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 05111999e8000a00e90001101300a006061390e00006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.7382
------Result------
Miss_rate(tra)	:49.7382
Miss_rate(tst)	:77.7778
ARL				:5.1

------Generation 1------
Rule  1: 00000005000005050000000000000000000000000000, Class:  0, CF:0.305291, Len:  3, Fitness_tra: 20
Rule  2: 00000000009000000000000000000000000000000005, Class:  0, CF:0.265981, Len:  2, Fitness_tra: 10
Rule  3: 0050000ae000000000d9900000006a00050000000000, Class:  1, CF:  1, Len:  9, Fitness_tra: 1
Rule  4: 00005000a0000000000000000000000000ee00090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000500000000000d5050000000ea0000f0d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11331133311111111551111111111111111199311121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1113e511331191113151111115113163e13311315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000a00500a00000000000000000000000000d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000000000000a0000000000000000000e00e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 331531e6933133363e535113ee913116136f59119699, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000a000000000000005000000000000000e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 913e3531136331111136e99993e1e111133a11e3e3e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000060ff0000000000000d0000000500009900d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: e91199ee16331691e33e61311e9533169131663f113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: e391196139311331a691ee93136e669193e31f1a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 663119131963e61361933111e1311311e1a1111331e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000d00000009050000000000000000000000000909, Class:  0, CF:0.515937, Len:  5, Fitness_tra: 0
Rule 18: 5006000000000000000000000000000000000ae00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 35111919e9611a13e15511111319a616ee139936a116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11121111113111113611111111311111111311111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e6eee3331313e11663116331136f6a16e93159e33991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11311531363111133199191511113663513e19e31151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1131313336111313661e139131951163e36a31133331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 953e116e15111f3133391311139111333913593a66e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11113ee131161aa363133135e3e116369e311366313e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000066000000506e800e0050000060000600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31191516611ae3e9319e6ee31e6911619399333a3313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 555d00000005000000090000000000e9d00000000000, Class:  0, CF:0.564575, Len:  9, Fitness_tra: 0
Rule 29: 0d60a0a000ff000000000a00000000000000000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 19139131e33161116691913e11e9131f111111113193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 9113333331336331615633193393aa331e61d9336133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0050069900000000090000000000000006ff00e00009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3691ee96e31e931331591536ee933336ee31311a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a000f0000000f0f00f0000000000fe990000000ef005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11111115111119111119333115111113315111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 131ee1633e36e63131111e31911136139e3631361613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000600000000e00000a00000de0000000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 9919e9e1391936163391133e11e9116193119e963e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 113111a333116313311131e111196113391393313616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 11e1111331e61113331313e1191313111e33611336e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 11111511313131511953311555111113113313115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 3113113363fa1199331663313319133339319e311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00d00000000000d0000000000000090905f000090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000000000ddd80090000000f090d0, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 45: 931e1919311311133e13e199e119111193911e111331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 111155111111111121133111119111161e1111211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
