------Generation 0------
Rule  1: 9313153a31631113a1113161eee1e611e161e3166391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00000000000000a0a0000500e0000e00600000990000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00000000000000009000000000000000000900000000, Class:  0, CF:0.0901183, Len:  2, Fitness_tra: -47
Rule 49: e1113531e1a1e13369e3e113e9e133365e16e666e693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 313e61616616363366519113393e1613961e53e33691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1e1191313311113633119161666311965e3666ff6191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: ee3115e3133111113951115191313331131611319553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3313111e136111111111991535111111311113133111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000f50090000000500000a00000000000000a0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000000000000000a0000000000000000000900e0950, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 331311133136163111111161331e6636e1115e1e6156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 9e935311e36663331613e6eee1331311393113613113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1119316311339616a191e991165e1111131331a33133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 131e1511113331931311311351311111993113331115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000d0000000005000000000d00000000000000000000, Class:  0, CF:0.306035, Len:  3, Fitness_tra: 71
Rule 61: 1339e9313311361aa33e99e91331e3161eaa31363191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00090000000e900000000000006000000000e0090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: e3115131e9e11131931311e151e933f31e3111133393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 3333113e1e36911119113131511d11139e1313111919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000005e0a00000000000000500000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 963131136163a33e1193e611319e1136119159316339, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 93111e1331133631319e1361111931611331591e1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000050000f0000d6f00000a0000000055f0e00050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11111111111111111115111111111211111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 2
Rule 70: 11511111111311111151111111911111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 71: 13393191113a3133111113159119e331991311191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: e191e1131e31315111933161e33e1a16391636131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3e311193631331331e1191111133ee31311153111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1163633311333136eede9e133e333a3a5166133a3e36, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3e33e13331aae1913e11e191593531111e13311e3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000a0f00000000000000f000060090000000000a000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 05000e00000000000000000000006a000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000d0000000000000000000000000900060f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0e509090009900000a000900000000000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1e119163e13113311193116e33113693911133163f93, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1131e9161e633ee3a315111339633a3691139e313e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: ee11e56313166133a3191e31e9316a1a5e36e31a1311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d000d0d5cc0a0f00d04800d80000000000d525900f00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 00e000000000a0000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 05000d00a00000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1131111111363315e313391311191e13933111315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 6a319e11111a631e6e1333315335131399331a1119e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000e000000000000e0d5509e00000000000000000000, Class:  0, CF:0.679017, Len:  7, Fitness_tra: 1
Rule 89: 00000000000000000a00000000500000050f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 16111511133611111111111151111131191113511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000005000000000a6000500000000a0000f00e90000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 31519593e333e1363116e1e1111913e6393ae1631666, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e1313e631e66333e6e5161131e91391691e319a11e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 13111111111111131311111111111113313611311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 93311e63633f33111e331131139e31933e611631a116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 935e11e6113133136351391e3619111f1e333e613631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: ee3331361e33361e363313316139663a5e31111a3a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000000000000f600a00000a0000000f000090ad0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 161e3333163613166331113e33163631116391161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 313111e6316f363e31e119911e6331a6916e11113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:47.8947
------Result------
Miss_rate(tra)	:47.8947
Miss_rate(tst)	:77.7778
ARL				:10.8333

------Generation 0------
Rule  1: 000d0000000005000000000d00000000000000000000, Class:  0, CF:0.306035, Len:  3, Fitness_tra: 56
Rule  2: 00000000000000000000000000000000000060000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule  3: 11111111111111111115111111111211111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 2
Rule  4: 000e000000000000e0d5509e00000000000000000000, Class:  0, CF:0.679017, Len:  7, Fitness_tra: 1
Rule  5: 0000d000000000000000000000000f000d0000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule  6: 9313153a31631113a1113161eee1e611e161e3166391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0050000ae0000000000000a000006a00050000f00909, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 333163331311e39313e631319331336111611f136131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 5099006090e00000005000090e90009f060000000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000a0000000000005000e0000000f00aa00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000009f000a0000000000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000e5e0000000000e0000e00000000e000e00000000, Class:  0, CF:0.381856, Len:  7, Fitness_tra: -2
Rule 14: e11359ee13f61a36313111e911193136311e13e31393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00006000050000050000000000000500a00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0e060000000000e0000509000000000000999e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3311551113131133369e93119113313e396331311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1e91191139161119311e611911e51316111e51316131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 05000000050000000000000000e990e000000d090000, Class:  0, CF:0.551479, Len:  8, Fitness_tra: -5
Rule 20: 00000000000000ffa000050000000000050f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3311111166f131e9631e19e19319331611111e139551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 095000900009000ff0000000a0a6000900000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000000000000000000000f00000000000050e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 33e1913616313636e1e169331113611ae913111a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13131133913611111319311112111111153111115811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: d0000609500000005d00000500005000000560000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000a00006000000000000000000000a060000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 111969639f11133636139e13e1933a93e66e13136313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 313111e6316f363e31e119911e6331a6916e11113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0a0000000a00050000000000000000e0000f00005500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 31636931113316636e9e161331e11133391113113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000006000000000e5900000000000006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 9131e11631113e13311131363a33311113631311111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3133e11116311a3311531ee93393161a1e331363311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9193e131119a161331511131e1e13316936613163611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000009000f000000000900000050000000000000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0060050060f000006e00000a00900000000000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000d0000000009a000e0000000a6000e000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 13e1113369663a19a15ee3139e111a61e1166666f391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 669111311663311363e3113111316363116331331511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 19e115136163311e6e11131333e36663ee1131163136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000500f00d900000000d00000000000005a000f00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000906e6000e000000000e0005000000a0d0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111111311aa1355131513155135311159131e315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3696e911131a11e369199e1e1361136fe111396a33ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5333119e61133133339391133e133111136633111359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00000000000000a0a0000500e0000e00600000990000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: e1113531e1a1e13369e3e113e9e133365e16e666e693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 313e61616616363366519113393e1613961e53e33691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1e1191313311113633119161666311965e3666ff6191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: ee3115e3133111113951115191313331131611319553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 3313111e136111111111991535111111311113133111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000f50090000000500000a00000000000000a0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000000000a0000000000000000000900e0950, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 331311133136163111111161331e6636e1115e1e6156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 9e935311e36663331613e6eee1331311393113613113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1119316311339616a191e991165e1111131331a33133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 131e1511113331931311311351311111993113331115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 00000205000005d50000a00000000000000500900000, Class:  1, CF:  1, Len:  8, Fitness_tra: 0
Rule 60: 1339e9313311361aa33e99e91331e3161eaa31363191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00090000000e900000000000006000000000e0090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: e3115131e9e11131931311e151e933f31e3111133393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 3333113e1e36911119113131511d11139e1313111919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000005e0a00000000000000500000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 963131136163a33e1193e611319e1136119159316339, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 93111e1331133631319e1361111931611331591e1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000050000f0000d6f00000a0000000055f0e00050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3111153131131333f336331113e11119111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 11511111111311111151111111911111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 70: 13393191113a3133111113159119e331991311191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: e191e1131e31315111933161e33e1a16391636131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 3e311193631331331e1191111133ee31311153111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1163633311333136eede9e133e333a3a5166133a3e36, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3e33e13331aae1913e11e191593531111e13311e3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000a0f00000000000000f000060090000000000a000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 05000e00000000000000000000006a000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000d0000000000000000000000000900060f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0e509090009900000a000900000000000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1e119163e13113311193116e33113693911133163f93, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1131e9161e633ee3a315111339633a3691139e313e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000f50090000000500000a00000000000000a0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000009f000000000e0e000000000d000000d90550d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0050000000000000000000000000a000000000000500, Class:  1, CF:  1, Len:  3, Fitness_tra: 2
Rule 84: e0000090000900000000000600a6000900e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000000600f0900000000500d00000f0000000090d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1351151313131311139e11115163111199313e131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000a00000000000000000000000000060f000ee0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 09000d00a00000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000000000000000000000000000000060000000, Class:  1, CF:  1, Len:  0, Fitness_tra: 0
Rule 90: 00090000000e900000000000006000000000e0090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 016e650066f001336e51011309300610901e00033661, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 33e5013006305006e1e160001113011005a3001a1093, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00000000a000000000e0a00000000000000500000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 001010111100319016010110013010a1000f00330015, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 013000601e660030a0010103ee010916612010a11003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000500f00d90000f000d000000000000050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 011015e301a0405013100b155135300559130e310001, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1111d005010110101010010001000200111101011101, Class:  1, CF:0.99999, Len: 24, Fitness_tra: 21
Rule 99: 1111e1131131133111933161e3313a13391136161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 11113ed31e66135e131161151e35391659e379a11e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:42.6316
------Result------
Miss_rate(tra)	:42.6316
Miss_rate(tst)	:66.6667
ARL				:12.6667

------Generation 1------
Rule  1: 000d0000000005000000000d00000000000000000000, Class:  0, CF:0.306035, Len:  3, Fitness_tra: 50
Rule  2: 1111d005010110101010010001000200111101011101, Class:  1, CF:0.99999, Len: 24, Fitness_tra: 17
Rule  3: 00000000000000000000000000000000000060000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule  4: 11111111111111111115111111111211111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 2
Rule  5: 0050000000000000000000000000a000000000000500, Class:  1, CF:  1, Len:  3, Fitness_tra: 2
Rule  6: 000e000000000000e0d5509e00000000000000000000, Class:  0, CF:0.679017, Len:  7, Fitness_tra: 1
Rule  7: 0000d000000000000000000000000f000d0000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule  8: 0050000ae0000000000000a000006a00050000f00909, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 5099006090e00000005000090e90009f060000000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000a0000000000005000e0000000f00aa00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000009f000a0000000000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 11113ed31e66135e131161151e35391659e379a11e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: e11359ee13f61a36313111e911193136311e13e31393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00006000050000050000000000000500a00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0e060000000000e0000509000000000000999e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3311551113131133369e93119113313e396331311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1e91191139161119311e611911e51316111e51316131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000000ffa000050000000000050f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3311111166f131e9631e19e19319331611111e139551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 095000900009000ff0000000a0a6000900000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000000000000000000f00000000000050e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 33e1913616313636e1e169331113611ae913111a1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13131133913611111319311112111111153111115811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: d0000609500000005d00000500005000000560000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0000a00006000000000000000000000a060000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 111969639f11133636139e13e1933a93e66e13136313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 313111e6316f363e31e119911e6331a6916e11113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0a0000000a00050000000000000000e0000f00005500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 31636931113316636e9e161331e11133391113113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000006000000000e5900000000000006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 9131e11631113e13311131363a33311113631311111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3133e11116311a3311531ee93393161a1e331363311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 9193e131119a161331511131e1e13316936613163611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000009000f000000000900000050000000000000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0060050060f000006e00000a00900000000000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000d0000000009a000e0000000a6000e000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 13e1113369663a19a15ee3139e111a61e1166666f391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 669111311663311363e3113111316363116331331511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 19e115136163311e6e11131333e36663ee1131163136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000500f00d900000000d00000000000005a000f00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00000906e6000e000000000e0005000000a0d0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111111311aa1355131513155135311159131e315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3696e911131a11e369199e1e1361136fe111396a33ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 5333119e61133133339391133e133111136633111359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00000000000000a0a0000500e0000e00600000990000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
