------Generation 0------
Rule  1: e39ee1313163311133191e139e133a1691669aaff111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1133611f1e1e131163111539e3156631333a11316616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 931913e9991113111319133e6a1e3a11311e533163e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9111911113131131131e11193911133399333111193e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3633311131af111e11163e131113111a91e11a361933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000500f000000000000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 60000000600a09e0000000050d0000000000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 16131ee31333633363933931e3156a663e639161f611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 9316e9e11e6313391e31e331eee33113196ee333363e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3131111111331111331e131151393316593113315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 313a19116313139163e111611e191a161e6e133393e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 36311916631361161e96e1191e116661131313111393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 050d0d00000000000000000005000000000000000000, Class:  0, CF:0.523421, Len:  4, Fitness_tra: 1
Rule 49: 00050d00a0000060a00000500000000000a000000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 05000000000050000f00000000000000000000000a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0506000000000000900000000000000e00000ae00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13113e1691e36e3161d911e331356331616331111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3131e331e1313393931599335395e111111633333113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000000000000000000000500000000f000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 55: 3933153ee1a11111191539151191113633111e355151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000a0a000a0000000000000005900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000f0000000af0000000000a0000000009000000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule 58: 365991136e1ee1161139311331131a11191616136616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 513133111111333111113311111311111e3115116691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000f0006009000000000009a0000000000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1e593361133636191313333155111311111133111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 60000000660a00e000000000000000000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 00000000000000000000005000000000000000000000, Class:  0, CF:0.105776, Len:  1, Fitness_tra: -14
Rule 64: 313339ea1e316661631335111133313ae111131f36e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 33111111111311111111111111311133111111111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: e15e1113111911316391e1131163161155363a311611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000a0e00fff00a000000000050d00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3e931e361e16911a133e919931191a1aee31916a3611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 3331e1ea33a66ee6631131931699ef1a933ee6e6ee9e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e13111161316f616131963e991e9136a111953613119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 36313113311f1153611e111151113131996116111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1313e3336663193169111e11e699311f111331e1191e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 9e9111e119631311131e915331616313e33613361331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31311111111111113151111121111113131111512121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 33e331333ea39613319313111139611f9116e1111316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: e13e1e1611611eee16931e319319613a313633113693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 131311e11311e6163ee1113396611111113333931e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000d0000000005000000000050000009000000000000, Class:  0, CF:0.383602, Len:  4, Fitness_tra: -2
Rule 79: e61639131636e113e1e3111133e9116a31131336333e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 313951311163e133331991e11131331319e6316311e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00500000000059000000000500000090000a00900009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: e35913113363ee333111311115113333133311111331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000000000e0f00000500a0000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 91336136393e31133913151e1911a3111313e3a63636, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 6000000900000000000060000000000000000e090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 113135111131e1313e3131111133316139a133311151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 93111139311331313311111111611313331311133111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 31191393331136666339e311e113e311196691333a6a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1691191613313311a1331531e1333a139931116361e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 9e311931e133139e3151191333316111331e5e313653, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 111111111111111113111111111311e3113611113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00a00009f5005f000a00000605000000000900f0f00d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 31311511e11611113111319115311113311111111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000000000005d000000000000a0000000f000000000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 95: 36113913113a31961111e1333e55116111e13f1133e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0000000000f000000fc550505500000000f0500000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1111e333116ee663691161e919e111e331e31113666e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000000006a000000500600500000000000550000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 11313133113f1131311131111511131151131e131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000000000000000005e000000000000000000000000, Class:  0, CF:0.162758, Len:  2, Fitness_tra: -3
------Current------
Miss_rate(tra)	:48.1675
------Result------
Miss_rate(tra)	:48.1675
Miss_rate(tst)	:77.7778
ARL				:5.55556

------Generation 0------
Rule  1: e39ee1313163311133191e139e133a1691669aaff111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e9133511113611611313699691316a63ee6e11311131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3333ee611131e311169e11111e1e31369911e3a33163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000000000000000000000000900000000000000, Class:  0, CF:0.278828, Len:  1, Fitness_tra: 31
Rule  5: e111116613113636f11113316aa61a31e13691163319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 313313e3191e63e16e111e111133aa63e9e61116361e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0690500000000900005e000000006000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0900000000000000000000090500990000000000005e, Class:  0, CF:0.741175, Len:  7, Fitness_tra: 0
Rule  9: 13131513e331915511191911153d33311e3e13131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e19e3e61e131966e1e533119e61e36e19111e336f1e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 131195131936ee666956319e39ee1a11913331611163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000a000000000000a005a000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e113e336f1a6116661611e13ee911116e6a93e33693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000009000000000000090000000e00000000000000, Class:  0, CF:0.438484, Len:  3, Fitness_tra: 0
Rule 15: 00000000009000000900000000000000000000000e00, Class:  0, CF:0.332145, Len:  3, Fitness_tra: 0
Rule 16: 00000000a0000500000000000000000050f000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000f00a0050000d500f0fff0f0f00500d50500090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11111133113a51113113111121913111133311111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1139193111e396661e911513191e63169963131af313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 131139116333313333533e19611136161e61e1136193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e6313913136333363e3333319135111a1ee6e1111e9e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11111111111311111151311111915111111191111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000d000000a000000000000000900000e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 111e5d13131113113e1111111133e113533111135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000009000009050000000000000000000900000000, Class:  0, CF:0.33538, Len:  4, Fitness_tra: -1
Rule 26: 1311333111113331113e319391911a61e113ee616693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31111111913111111111311112111111591191512111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000060000005000000500d0000000000000005d5, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 16e36111f13616e6311631ee59353ee6331393ee169e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000000000000000000000000000000000000500, Class:  0, CF:0.238241, Len:  1, Fitness_tra: 4
Rule 31: 0009000000000000000000000000000000000e000000, Class:  0, CF:0.275782, Len:  2, Fitness_tra: -5
Rule 32: 15111111111311111119511311112111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 33: 000000000000000000000000050090000000000e0050, Class:  0, CF:0.631676, Len:  4, Fitness_tra: 0
Rule 34: 00000000000000000000000000000000050060000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 6
Rule 35: 33113113313131361111613111113111153331131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000f0a0000000000000000a00500ef000a00099f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1133611f1e1e131163111539e3156631333a11316616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 931913e9991113111319133e6a1e3a11311e533163e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9111911113131131131e11193911133399333111193e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3633311131af111e11163e131113111a91e11a361933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000500f000000000000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 60000000600a09e0000000050d0000000000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 16131ee31333633363933931e3156a663e639161f611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 9316e9e11e6313391e31e331eee33113196ee333363e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3131111111331111331e131151393316593113315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 313a19116313139163e111611e191a161e6e133393e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 36311916631361161e96e1191e116661131313111393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 050d0d00000000000000000005000000000000000000, Class:  0, CF:0.523421, Len:  4, Fitness_tra: 1
Rule 49: 00050d00a0000060a00000500000000000a000000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 05000000000050000f00000000000000000000000a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0506000000000000900000000000000e00000ae00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13113e1691e36e3161d911e331356331616331111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3131e331e1313393931599335395e111111633333113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000000000000000000000000500000000f000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 55: 3933153ee1a11111191539151191113633111e355151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000a0a000a0000000000000005900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000f0000000af0000000000a0000000009000000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule 58: 365991136e1ee1161139311331131a11191616136616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 513133111111333111113311111311111e3115116691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000000000f0006009000000000009a0000000000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1e593361133636191313333155111311111133111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 60000000660a00e000000000000000000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 00000000000000000000005000000000000000000000, Class:  0, CF:0.105776, Len:  1, Fitness_tra: -14
Rule 64: 313339ea1e316661631335111133313ae111131f36e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 33111111111311111111111111311133111111111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: e15e1113111911316391e1131163161155363a311611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000a0e00fff00a000000000050d00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3e931e361e16911a133e919931191a1aee31916a3611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 3331e1ea33a66ee6631131931699ef1a933ee6e6ee9e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e13111161316f616131963e991e9136a111953613119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 36313113311f1153611e111151113131996116111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1313e3336663193169111e11e699311f111331e1191e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 9e9111e119631311131e915331616313e33613361331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31311111111111113151111121111113131111512121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 33e331333ea39613319313111139611f9116e1111316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: e13e1e1611611eee16931e319319613a313633113693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 131311e11311e6163ee1113396611111113333931e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000d0000000005000000000050000009000000000000, Class:  0, CF:0.383602, Len:  4, Fitness_tra: -2
Rule 79: e61639131636e113e1e3111133e9116a31131336333e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 313951311163e133331991e11131331319e6316311e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00500000000059000000000500000090000a00900009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: e35913113363ee333111311115113333133311111331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000000000e0f00000500a0000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 91336136393e31133913151e1911a3111313e3a63636, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 6000000900000000000060000000000000000e090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 113135111131e1313e3131111133316139a133311151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 93111139311331313311111111611313331311133111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 31191393331136666339e311e113e311196691333a6a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1691191613313311a1331531e1333a139931116361e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 9e311931e133139e3151191333316111331e5e313653, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 111111111111111113111111111311e3113611113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00a00009f5005f000a00000605000000000900f0f00d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 31311511e11611113111319115311113311111111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000000000005d000000000000a0000000f000000000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 95: 36113913113a31961111e1333e55116111e13f1133e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0000000000f000000fc550505500000000f0500000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1111e333116ee663691161e919e111e331e31113666e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000000006a000000500600500000000000550000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 11313133113f1131311131111511131151131e131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000000000000000005e000000000000000000000000, Class:  0, CF:0.162758, Len:  2, Fitness_tra: -3
------Current------
Miss_rate(tra)	:48.1675
------Result------
Miss_rate(tra)	:48.1675
Miss_rate(tst)	:77.7778
ARL				:5.55556

------Generation 1------
Rule  1: e39ee1313163311133191e139e133a1691669aaff111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e9133511113611611313699691316a63ee6e11311131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3333ee611131e311169e11111e1e31369911e3a33163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000000000000000000000000900000000000000, Class:  0, CF:0.278828, Len:  1, Fitness_tra: 31
Rule  5: e111116613113636f11113316aa61a31e13691163319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 313313e3191e63e16e111e111133aa63e9e61116361e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0690500000000900005e000000006000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0900000000000000000000090500990000000000005e, Class:  0, CF:0.741175, Len:  7, Fitness_tra: 0
Rule  9: 13131513e331915511191911153d33311e3e13131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e19e3e61e131966e1e533119e61e36e19111e336f1e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 131195131936ee666956319e39ee1a11913331611163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000a000000000000a005a000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e113e336f1a6116661611e13ee911116e6a93e33693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000009000000000000090000000e00000000000000, Class:  0, CF:0.438484, Len:  3, Fitness_tra: 0
Rule 15: 00000000009000000900000000000000000000000e00, Class:  0, CF:0.332145, Len:  3, Fitness_tra: 0
Rule 16: 00000000a0000500000000000000000050f000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000f00a0050000d500f0fff0f0f00500d50500090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11111133113a51113113111121913111133311111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1139193111e396661e911513191e63169963131af313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 131139116333313333533e19611136161e61e1136193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e6313913136333363e3333319135111a1ee6e1111e9e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11111111111311111151311111915111111191111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000d000000a000000000000000900000e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 111e5d13131113113e1111111133e113533111135121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000009000009050000000000000000000900000000, Class:  0, CF:0.33538, Len:  4, Fitness_tra: -1
Rule 26: 1311333111113331113e319391911a61e113ee616693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31111111913111111111311112111111591191512111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000060000005000000500d0000000000000005d5, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 16e36111f13616e6311631ee59353ee6331393ee169e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000000000000000000000000000000000000500, Class:  0, CF:0.238241, Len:  1, Fitness_tra: 4
Rule 31: 0009000000000000000000000000000000000e000000, Class:  0, CF:0.275782, Len:  2, Fitness_tra: -5
Rule 32: 15111111111311111119511311112111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 33: 000000000000000000000000050090000000000e0050, Class:  0, CF:0.631676, Len:  4, Fitness_tra: 0
Rule 34: 00000000000000000000000000000000050060000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 6
Rule 35: 33113113313131361111613111113111153331131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000f0a0000000000000000a00500ef000a00099f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1133611f1e1e131163111539e3156631333a11316616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 931913e9991113111319133e6a1e3a11311e533163e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9111911113131131131e11193911133399333111193e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3633311131af111e11163e131113111a91e11a361933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000500f000000000000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 60000000600a09e0000000050d0000000000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 16131ee31333633363933931e3156a663e639161f611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 9316e9e11e6313391e31e331eee33113196ee333363e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3131111111331111331e131151393316593113315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 313a19116313139163e111611e191a161e6e133393e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
