------Generation 0------
Rule  1: 3391e913631611963313133e3331111a311a91163e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 191131e131353ea1f111111131331333516695a16331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 311ee13ee131e63363d9e13913131311591396a6a611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 36ee3913631331e31ee11331113113a3163111331131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1631193a111631113e51e311e119611a13315e969113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 913e139a3e13639933113e3e191916aa19119133631e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1313e9e16131133611936ee3113ee311111313fa6116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 313115a13e3af6ee1e5966119319916331e113631e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5e11559399363611135e33e91319e3131e36131611e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 113e13116636e19ee31363e9e6e96631311351136391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 15e331331e1693361113915913333a1a1e39e16361e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.7368
------Result------
Miss_rate(tra)	:49.7368
Miss_rate(tst)	:81.4815
ARL				:9

------Generation 0------
Rule  1: 000000000000000000000000000009090d0000090000, Class:  0, CF:0.489112, Len:  4, Fitness_tra: 49
Rule  2: 00000000000900000000000005000000000000000500, Class:  0, CF:0.440532, Len:  3, Fitness_tra: 13
Rule  3: 00000000000000000000000000005000000000e00000, Class:  0, CF:0.31229, Len:  2, Fitness_tra: -4
Rule  4: 000d00000000000000000000000000000000900e0000, Class:  0, CF:0.487856, Len:  3, Fitness_tra: 10
Rule  5: 050d0000000000000000000000000000000000000059, Class:  0, CF:0.561754, Len:  4, Fitness_tra: -1
Rule  6: 000000000000000f0000000500500000000000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 2
Rule  7: 3391e913631611963313133e3331111a311a91163e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e39119eae31393e36696931131691333531131636336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000a0000d000a000000000000000900000000050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0d020055000000000000000000000000000000090000, Class:  0, CF:0.409278, Len:  5, Fitness_tra: -1
Rule 11: 9131e313316313e33696391666e33e1693333aff1e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 500aa0f000e0f0600000aa000000090e00090000a000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15e331331e1693361113915913333a1a1e39e16361e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 113e13116636e19ee31363e9e6e96631311351136391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3391391111a11e11335113e3313131169113511116ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 133a93911116133e1e19991919353111913e91113e36, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 995e951335311e3161339331e1e11166931191336613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 3313353613111113131199193111116633e311191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 613319366166e39131316131959131369311131e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3119e513e9ea3311ae3131911691a616e931111631e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 331151e3313131311311311111111133113333111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 111133e1136133361611911311193611311136333e3e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 9131191133e31113131eee13331e36633e3319161336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e000e00000000000f000006000000909000000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 511ee131611a61e93911611136111163153e11113311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 96ee19161e1116e1119136613e313161e111e3a6e1ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 3111133331311113661191111111e993116331131e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1313e11113af31316111116611e13e6a93193a611113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0000000000000000a000e00000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 113e1ee1131616e1311311119315931393113ae63ee6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3613111f31316316e691e13313911661331613663133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000000000000000000000009500000900000, Class:  0, CF:0.390485, Len:  3, Fitness_tra: -8
Rule 33: 5e11559399363611135e33e91319e3131e36131611e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 111e33111111e113a15e1133311e1a169e316aa6a61a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 9131311e11311a13113e163393151361913311e31651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 3111133633131133331f163e169563361313ee161e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 63333161e1336111611191611115331611e6966661e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1911551131e611166313e31ee33163139ee3111331e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11339933116131e31393331151113336111131911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 113335e1131161e31e1319911111313113e331119551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000000000006000000000590000000000fa00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 933165e3391611131656e1e9e11966169313613666e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1399133e3193613a135351531313163ae96199ea1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: e11313e131139163a35ee931111e6331191a36636316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 511313e1e113133e19113961631333663336333311e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1333e111f13111116353131111333e11311131111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 33111531316311151111331151151136313133315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 6311116e391a11113111996e1313e611e96ee1361693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11111111111113151111113111111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 51: 000e0000900000000006000000000000d00a0f0a0606, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: e111396e396111113611eee36133ea361116e613633a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000f00d900000000d000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000a000000000000005000000000000000e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1511111111e111111151111111311111511111111112, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 56: 13131e1111611e166693ee391e391116116e1e613691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000a00050000000000000000e0000f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3636e11363311619691361113631e6165966316a313f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 111111e3336116333393a1e933e963361e3e33e111e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: e111331a1913139e1e1eee33e111361335131313111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3119e13313111136311e311e913111361e3363116696, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: e331336639161336f353133313633a1a113111119933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1611333e133a331631ef366e36336116636336113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 05000000fa0000000f00000000a0090000f000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000a0e00f0000a090000000050d00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000d00000000000000e0000000a00000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 33911931e61a33311ed333a61611e1119e3313611ee1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 11111111111111111111311111151111111211211119, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 69: 11113136131a119e31193e111515e311333e33663111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e31e93331e3111333e116131613516a11161e61313e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1e1e3131316311ea66331619ee31631316a3e3116619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000600a0900000000500d00000f0000000090d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00000000a00000000000005005000000e00090000059, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0a0000000a00050000000000000000e00000000055d0, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 75: 9631193e3311639e9e1eee131515311133931316e9e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1e193533e166331e6199e3eeee1e113191619631f33a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000000006f000050000000590000000000fa00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00a000000d00000000000060000009f0000000050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 3333e51e116113e11651e13366e3113113663a61a336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31111111311311116311111121111111111111111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000000000000000006000000000590000000000fa00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00000000090000000000000000000000000000050000, Class:  0, CF:0.258636, Len:  2, Fitness_tra: -39
Rule 83: 0000000000000000000000500500000000a0000e0055, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 31169511111311e13196311315191161531311191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 60000009000000050000000000000000000900099000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 11111211111131111151511111111111311111111211, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 87: 0e05000000000000f000e00000000000006000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: f000000000005000000000d000000900000000050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: e000e00000000000a000006000000909000000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1511552191e61111135133e11131e3115e11111111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 113e03010630019e006000eb0600693131030103f390, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e01a30fe09e0f1110611aae0900009060009e010a330, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1313151111a11e1133511313313333335313551e56ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 16163e311111118133591131113593335311e36e1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e0180330000110003e016030610056800061e6130000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 111e313361111113a1511113311e121611117a36a61a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1511111111e111111151111119311111511111111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3631153a116611111e51e31166e9611a13663e919113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 131e15311131111133531111113313335311131e55c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.4737
------Result------
Miss_rate(tra)	:49.4737
Miss_rate(tst)	:81.4815
ARL				:14.1333

------Generation 1------
Rule  1: 000000000000000000000000000009090d0000090000, Class:  0, CF:0.489112, Len:  4, Fitness_tra: 36
Rule  2: 00000000000900000000000005000000000000000500, Class:  0, CF:0.440532, Len:  3, Fitness_tra: 8
Rule  3: 000d00000000000000000000000000000000900e0000, Class:  0, CF:0.487856, Len:  3, Fitness_tra: 8
Rule  4: 000000000000000f0000000500500000000000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 2
Rule  5: 131e15311131111133531111113313335311131e55c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3631153a116611111e51e31166e9611a13663e919113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3391e913631611963313133e3331111a311a91163e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e39119eae31393e36696931131691333531131636336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000a0000d000a000000000000000900000000050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9131e313316313e33696391666e33e1693333aff1e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 500aa0f000e0f0600000aa000000090e00090000a000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 15e331331e1693361113915913333a1a1e39e16361e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 113e13116636e19ee31363e9e6e96631311351136391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3391391111a11e11335113e3313131169113511116ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 133a93911116133e1e19991919353111913e91113e36, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 995e951335311e3161339331e1e11166931191336613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3313353613111113131199193111116633e311191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 613319366166e39131316131959131369311131e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3119e513e9ea3311ae3131911691a616e931111631e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 331151e3313131311311311111111133113333111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 111133e1136133361611911311193611311136333e3e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9131191133e31113131eee13331e36633e3319161336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e000e00000000000f000006000000909000000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 511ee131611a61e93911611136111163153e11113311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 96ee19161e1116e1119136613e313161e111e3a6e1ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 3111133331311113661191111111e993116331131e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1313e11113af31316111116611e13e6a93193a611113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000000a000e00000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 113e1ee1131616e1311311119315931393113ae63ee6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613111f31316316e691e13313911661331613663133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5e11559399363611135e33e91319e3131e36131611e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 111e33111111e113a15e1133311e1a169e316aa6a61a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 9131311e11311a13113e163393151361913311e31651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3111133633131133331f163e169563361313ee161e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 63333161e1336111611191611115331611e6966661e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1911551131e611166313e31ee33163139ee3111331e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 11339933116131e31393331151113336111131911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 113335e1131161e31e1319911111313113e331119551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000000000000006000000000590000000000fa00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 933165e3391611131656e1e9e11966169313613666e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1399133e3193613a135351531313163ae96199ea1193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e11313e131139163a35ee931111e6331191a36636316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 511313e1e113133e19113961631333663336333311e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1333e111f13111116353131111333e11311131111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 33111531316311151111331151151136313133315111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
