------Generation 0------
Rule  1: 3331931113119913131331133319916a6e19531e1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000a00050000000000000000e0000f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 9631353e111116311119e3631e1196663563361a1e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000060060000660af9e0000000000f00000090000e05, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00a0005000000d00000050000f000000500000550000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000060000005000000000500000e590d0000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 161e131f311a1a33139e361113e113163e1633131693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000d0000000000000000000000600099000000f90000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 35111111111111121111111121111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 37: d0000600550000005d05000500005000000500000000, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 38: 11111211151111111151111122311111111133111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1133e111116a11393131e1e1911163333136113e3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 8d0006f0a005f00000af000500000009000020090028, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e33e19e661113131eee31191313916311ee11611315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00000000000000050000000000000000000000900000, Class:  0, CF:0.253462, Len:  2, Fitness_tra: -16
Rule 43: 11e1396119311311113139633e131a33111e9e3a1e16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 31511531111115111653151113311313533633331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 161611e111661ee16311111e1e1331a11e33131e1e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 9e931113313a3111165e3e61116139119111e1a116e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1e311131e111361e36913136e3693136eee631333693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1311111111e111113111111211311111113111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0000a0000d000f00000000000000090000000d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: a0000000000000050000000000000000050000090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d20000f500f0000000000000a000d000fa0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0050000f0af900000f0af00000a00059d000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 00000000a0a000000000090000000900000000e90000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 131631663363e159331111111191911a9e3313115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 050d00000500e50000000000950000000000000e0000, Class:  0, CF:0.460121, Len:  8, Fitness_tra: 0
Rule 56: 1e993916131aee363196e1ee33e113663e13e66633e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 00000d00000000000e000000050000000000000e0009, Class:  0, CF:0.610287, Len:  5, Fitness_tra: 0
Rule 58: 3e1e3133313331613e13139311999331111333113353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 111611336161139e36161ee9e1133161e33611111951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 33311e3111363361131313139193113a111329113311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 131e5311163a3116e1e33331e3e11666113116161139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11111511111111111113311111911111131111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0000a0000d00000000000000000000000000d0090000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 0000000500ff050000000000006000000000090000ff, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 333e111661311119eee39e13913166133313e1616191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000000f0000000000000000f000000d0e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 05000000f000000000000d0000a0090e00f0000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 161e9933311116313196191911e9111fe16131e6a396, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 9e9e1193e11333e3311e311631e11633e31393613391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 111a1361e161e11e13511e933991e1311911166131e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000000000000000a600000000000e00000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000000000f0000500000005900000000000a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: e0000560000000000600006000000e09000000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 00000000050000009000500000060000005000f00000, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule 75: 1311111191131111331511112111111111e111112112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 33113931313a11113e11113e9331111a9e3159131313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 115111311163313e1311611113199391153313131399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000005000a00000000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule 79: 1e93933136613319a35163613169ee11913633163951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 6009000000aa000000000000000000000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e3e6116311f311e1e31e663e39991361111311119313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00000000000000000000000000005000000000e00000, Class:  0, CF:0.27103, Len:  2, Fitness_tra: -9
Rule 83: 00000000000000000000000000000900000960000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 84: 00000000000000000000000005000000000000000500, Class:  0, CF:0.297666, Len:  2, Fitness_tra: -3
Rule 85: 31111133151311111315311111311111113113311118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 13153933613666516e996116193e3331936ee16a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1619e993311a11136316136336113131316136e6e153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 13331131313633113e51e13511111163113311111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000f000005e00d050009000d00000f0000f0f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 111311e1ee333e666113361131616a13911355633333, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000000000000500000000000000f000000f00a00500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 363319163131a113e111916131353311136193e6a316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 13133331133311196e31113193611131133133393115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 133361161663eeee3e36613e5e191116311a13331311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 5e19e9161313e616633111193113e63f3936e3163e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0d000060000500000000006000000900550000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 33935936111111ee31539e135959616a131161113131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 00000000000009000000000005000000000000000000, Class:  0, CF:0.374282, Len:  2, Fitness_tra: 29
Rule 99: 13131113313a93151113113511313113191311115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0050000000000000000000000000000000f000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.4764
------Result------
Miss_rate(tra)	:49.4764
Miss_rate(tst)	:80.7692
ARL				:5.89474

------Generation 0------
Rule  1: 050000000000000000000000000000000000000e0000, Class:  0, CF:0.40953, Len:  2, Fitness_tra: 41
Rule  2: 00000000000009000000000005000000000000000000, Class:  0, CF:0.374282, Len:  2, Fitness_tra: 13
Rule  3: 00000005000a00000000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule  4: 3331931113119913131331133319916a6e19531e1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000500050000000d0000000000600505, Class:  1, CF:  1, Len:  6, Fitness_tra: 1
Rule  6: 96911d1a11661191ae1e93f333a11363531311163e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11131111133111113391151111e11111339e33331151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e333616e3e6131133639331e33991161131111a11156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0050000000000000000000000000000000f000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 333319e3113a1ee161e1319e39191133313131333131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 131313133331339e619111191d113e63596313191555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11131113913311113351311112111113113135111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3191e96133131e39611315316361e113311ee3aa631a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13e13e33191313333351913391333a3fe611111a1191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000205000005050000000000000000000500000000, Class:  0, CF:0.305318, Len:  5, Fitness_tra: -24
Rule 16: 91e11111e33a31e363969316e133e1131e66336316ef, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d0000650000000000000005000000a0a0e00009f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11e33133391e3e3116d111311911a1619e3633133311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000f00050000000005000000aa0000000055f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e3313531eea11333ee11313163331a661133e13a1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 31e315e6e3e36ee1311133113ee1611191e613616191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 99933e16111313116e51311136e116319e31ee6131e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1331e1e6e933111e111993e11113631a11619e161e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13131111631661e3333113131115e31111e31e31a11a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 31111e63616111966331e199e9e531111961ea3633e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000a00050000000000000000e0000f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 9631353e111116311119e3631e1196663563361a1e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000060060000660af9e0000000000f00000090000e05, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00a0005000000d00000050000f000000500000550000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000060000005000000000500000e590d0000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 161e131f311a1a33139e361113e113163e1633131693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000d0000000000000000000000600099000000f90000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 35111111111111121111111121111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 35: d0000600550000005d05000500005000000500000000, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 11111211151111111151111122311111111133111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1133e111116a11393131e1e1911163333136113e3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 8d0006f0a005f00000af000500000009000020090028, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: e33e19e661113131eee31191313916311ee11611315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 11e1396119311311113139633e131a33111e9e3a1e16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 31511531111115111653151113311313533633331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 161611e111661ee16311111e1e1331a11e33131e1e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 9e931113313a3111165e3e61116139119111e1a116e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1e311131e111361e36913136e3693136eee631333693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1311111111e111113111111211311111113111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000a0000d000f00000000000000090000000d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: a0000000000000050000000000000000050000090500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: d20000f500f0000000000000a000d000fa0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0050000f0af900000f0af00000a00059d000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000000a0a000000000090000000900000000e90000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 131631663363e159331111111191911a9e3313115111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 050d00000500e50000000000950000000000000e0000, Class:  0, CF:0.460121, Len:  8, Fitness_tra: 0
Rule 53: 1e993916131aee363196e1ee33e113663e13e66633e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00000d00000000000e000000050000000000000e0009, Class:  0, CF:0.610287, Len:  5, Fitness_tra: 0
Rule 55: 3e1e3133313331613e13139311999331111333113353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111611336161139e36161ee9e1133161e33611111951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 33311e3111363361131313139193113a111329113311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 131e5311163a3116e1e33331e3e11666113116161139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 11111511111111111113311111911111131111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0000a0000d00000000000000000000000000d0090000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 61: 0000000500ff050000000000006000000000090000ff, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 333e111661311119eee39e13913166133313e1616191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0000000000000f0000000000000000f000000d0e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 05000000f000000000000d0000a0090e00f0000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 161e9933311116313196191911e9111fe16131e6a396, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 9e9e1193e11333e3311e311631e11633e31393613391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 111a1361e161e11e13511e933991e1311911166131e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000000000a600000000000e00000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000f0000500000005900000000000a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e0000560000000000600006000000e09000000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00000000050000009000500000060000005000f00000, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule 72: 1311111191131111331511112111111111e111112112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 33113931313a11113e11113e9331111a9e3159131313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 115111311163313e1311611113199391153313131399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 11511ee113111113a191311ee19111111e1116331131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1e93933136613319a35163613169ee11913633163951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 6009000000aa000000000000000000000000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: e3e6116311f311e1e31e663e39991361111311119313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00000000000000000000000000000900000960000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 80: 13131113313a93151113113511313113191311115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0d0008000000000000000005000d0000000009090000, Class:  0, CF:0.590086, Len:  6, Fitness_tra: 1
Rule 82: e1931133e1311115631111311511111e133933311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0008660d0000050f0000f00d0f0000090000a000f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11111131393633553913331111311111193133315151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 3133351333331991111e135511111313111113111812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000fff90f0000a0a500600000000000fd0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00000d00000000000505000005000000000000090000, Class:  0, CF:0.497282, Len:  5, Fitness_tra: -7
Rule 88: 0000000005000000000000000af00000000000000a00, Class:  1, CF:  1, Len:  4, Fitness_tra: 1
Rule 89: 05500000a00000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000a0000d00000000000000000000000000d0050000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 91: 00310000111110010109900000019600006330101e30, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: ce001193e07303003000011001ea1633e31090610090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11030003300e0e0506d511000d1101009e3603133505, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 33c14e6131161e691313153393931133111e23a16311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 05000000f000000500050d0000007050060000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e636191331f31111e11e66313195134111119116a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 11316116166111ee311661315e911111331a13331311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 030300e0113a0fe061010600301911333030010e01c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 33113911913a11113e111134211111119ee119111312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 31010133000309100005311111311101013103011000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.9529
------Result------
Miss_rate(tra)	:48.9529
Miss_rate(tst)	:80.7692
ARL				:6.82353

------Generation 1------
Rule  1: 050000000000000000000000000000000000000e0000, Class:  0, CF:0.40953, Len:  2, Fitness_tra: 44
Rule  2: 00000000000009000000000005000000000000000000, Class:  0, CF:0.374282, Len:  2, Fitness_tra: 16
Rule  3: 00000005000a00000000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule  4: 0000000005000000000000000af00000000000000a00, Class:  1, CF:  1, Len:  4, Fitness_tra: 1
Rule  5: 000000000000000500050000000d0000000000600505, Class:  1, CF:  1, Len:  6, Fitness_tra: 1
Rule  6: 0d0008000000000000000005000d0000000009090000, Class:  0, CF:0.590086, Len:  6, Fitness_tra: 1
Rule  7: 3331931113119913131331133319916a6e19531e1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e333616e3e6131133639331e33991161131111a11156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0050000000000000000000000000000000f000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 333319e3113a1ee161e1319e39191133313131333131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 131313133331339e619111191d113e63596313191555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11131113913311113351311112111113113135111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3191e96133131e39611315316361e113311ee3aa631a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13e13e33191313333351913391333a3fe611111a1191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 31010133000309100005311111311101013103011000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 91e11111e33a31e363969316e133e1131e66336316ef, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d0000650000000000000005000000a0a0e00009f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11e33133391e3e3116d111311911a1619e3633133311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000f00050000000005000000aa0000000055f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: e3313531eea11333ee11313163331a661133e13a1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 31e315e6e3e36ee1311133113ee1611191e613616191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 99933e16111313116e51311136e116319e31ee6131e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1331e1e6e933111e111993e11113631a11619e161e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13131111631661e3333113131115e31111e31e31a11a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 31111e63616111966331e199e9e531111961ea3633e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000a00050000000000000000e0000f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 9631353e111116311119e3631e1196663563361a1e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000060060000660af9e0000000000f00000090000e05, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00a0005000000d00000050000f000000500000550000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000060000005000000000500000e590d0000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 161e131f311a1a33139e361113e113163e1633131693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000d0000000000000000000000600099000000f90000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 35111111111111121111111121111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 35: d0000600550000005d05000500005000000500000000, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 11111211151111111151111122311111111133111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1133e111116a11393131e1e1911163333136113e3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 8d0006f0a005f00000af000500000009000020090028, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: e33e19e661113131eee31191313916311ee11611315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 11e1396119311311113139633e131a33111e9e3a1e16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 31511531111115111653151113311313533633331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 161611e111661ee16311111e1e1331a11e33131e1e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 9e931113313a3111165e3e61116139119111e1a116e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1e311131e111361e36913136e3693136eee631333693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1311111111e111113111111211311111113111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
