------Generation 0------
Rule  1: 000900000000050000000050000000e0000f500095d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1361193133e113e11311e161369111f631311113a1e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000600000a000f020006000000e00000000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 880006f0a005f00000af0000000000090000800900cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e1511de33e6661e361519313e19963aa336ae6636316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1113313616a311e91e911111131916111e1311131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000000000000000a00000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 32: 6611ee36116e1631e35ee3391313131a1e3a1363fa31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1116331331611311e39363e333e3336139e613313193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 050d00f000000000006000000000d5000f00f0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000000000009e00000000e00000000a06000000095e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: ee139133916316136353931993933361e931936a3116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000fae0f000f00a500000f60000000000005500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 933331e1633111e131169399111316131133116a33e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1131193ae1e1e1113981193635931131e11e91133e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 311e3133af1f9111613113333e11a61a1633e1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 3363113335196f6ee311136161916313e9ee1331f6e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 13151911e136116a31511191e99111f113619eeae699, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: d0000600550000005d00a00500005000000500000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3e11eee119af3a11633e36161195911a196133366311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 911135e1e11133136393e63111193633136113333619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00000000000000000000000000000000000000f0a000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule 47: e9361313951111e1111331191111a11691115161e331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1361133e11a36311363ee11113111e1691e181311619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 00000000000000000000909000000000000000000000, Class:  0, CF:0.137702, Len:  2, Fitness_tra: -21
Rule 50: 5000000900f000009e000e000095000f000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000a00000a0000000000000000000000000d0050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0650000e0090000e000e000000000000060a00000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1e193911e1633131a393131163116a3333a611161911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 13113931331691e113e363313311e6a3319333633113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00000000000000000000006000000e00000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000e00000500000000000d0000000000000500, Class:  0, CF:0.49889, Len:  4, Fitness_tra: 14
Rule 57: 1111151933313191611113151131316e316311191151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000090000000090505000505000000009000000000, Class:  0, CF:0.360301, Len:  7, Fitness_tra: 0
Rule 59: 050002050000050005000f0000d0009000050000f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 055d0000000500000009000000000095d00000000000, Class:  0, CF:0.478927, Len:  8, Fitness_tra: -6
Rule 61: 133315e31e1111116399933e613e61e1111616166f31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11111131113311116155111121311111111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 51531333316131161e1e9e11131393361916366311ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000a000a00000000000006f00a00009000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000f0000500500505900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 11331111131139111111391155151111911113111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00000050000000000000000005005000000000000000, Class:  0, CF:0.336688, Len:  3, Fitness_tra: 9
Rule 68: 0a0000f000000000000f00000f000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6633e513313111916611311591111111991313115511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11111133913311113111e11121111113113119311118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 13e11193111a3363361313191119113a366116e3169e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 500000090000006000000e0000950000000000000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule 73: 000d0090000005000000000d00606060000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 631315e1e11333e1ee9ee3333ee11a3f961313161113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 111111e133119191a113113115111113313e11131155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 999315ea63e36133131631e91111631a313613661ae6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0e000009000006e00000000000000000000090000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 111e153111113111335e31155d111113111111195511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1113e96e31e133163353e3333a11633ae91655366113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31363e13611616116113613933951116ee16319311e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e33311111e1191613153e631313e1396131163633611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000050000000050e00000000e0000000000000000000, Class:  0, CF:0.0233777, Len:  4, Fitness_tra: -1
Rule 83: 13919331111e1111a133319133311e31196336a1361a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 31911111311111136111315111311111113131111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000d0055000005e00000000d50000000009000090000, Class:  0, CF:0.583811, Len:  9, Fitness_tra: 0
Rule 86: 1113e311e36113113611131113113661ee11ea3a1363, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d800f6f500a00090000a006000005000fa0000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 61e61113633151611113311319691611636691616131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: e1139ee3336ae3111e196169e13e1631116116313a96, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000000000009000000000005000000009000000000, Class:  0, CF:0.426725, Len:  3, Fitness_tra: 26
Rule 91: 0000ee00000f0f000e00000000950e000e000a00f00f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 6f6311e66e6f3336ee31631ee999333a1e131631e611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 08000000000000000005f000000090f0000000090000, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule 94: 00000000600f0900000000500d00000f0000000090d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000000000000000000000f00000009000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule 96: 1111e91e6533131a315e13e11131a6e3191159161399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 111115e3113e11e33191e13933316113116391133151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 00000000f0000000a600000000000900050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000000000e00000000000000000e050000000000, Class:  0, CF:0.447124, Len:  3, Fitness_tra: 4
Rule100: 0a0000000a00050000000000000000e00000000095d0, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
------Current------
Miss_rate(tra)	:47.9058
------Result------
Miss_rate(tra)	:47.9058
Miss_rate(tst)	:76.9231
ARL				:6.82353

------Generation 0------
Rule  1: 00000000000009000000000005000000009000000000, Class:  0, CF:0.426725, Len:  3, Fitness_tra: 24
Rule  2: 000000000e00000500000000000d0000000000000500, Class:  0, CF:0.49889, Len:  4, Fitness_tra: 14
Rule  3: 00000050000000000000000005005000000000000000, Class:  0, CF:0.336688, Len:  3, Fitness_tra: -5
Rule  4: 0000000000000e00000000000000000e050000000000, Class:  0, CF:0.447124, Len:  3, Fitness_tra: -5
Rule  5: 00000000000000000a00000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule  6: 00000000000000000000000f00000009000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule  7: 00000000000000000000000000000000000000f0a000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule  8: 11111111111113111111111111111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 1
Rule  9: 000900000000050000000050000000e0000f500095d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e1139131131633196111113111e19111911311139591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: e131311131313693991191ee611363a1113e33166111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 63133113a31f16116e9e1135151113113e33331e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e36e91139f3913ee13ee1131339e16fe11e316133e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0d00a0000000000000000a00000000000000f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000009f000000000e0e000000000d000000d90550d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 19111111e1a319113111e11515311111311313155151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 919311e61661631e1151111136e1e11a3e331611163e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 919651e391e333631e11e116911111e619e133e33693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1139151111111911161e1111111311339116131e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11393e163e331316391e3ee31131111f3e6a9e6a3993, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1163e931e61361611115e1e91393166331631161131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11331133361ae1596911133115131e66136313133112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000005e0000000000000000000e00950, Class:  1, CF:0.220116, Len:  5, Fitness_tra: 0
Rule 24: 00000000000000000000050a00000000000fc200006f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 33e31391116316161356111e3339661a913611e1119e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1361193133e113e11311e161369111f631311113a1e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000600000a000f020006000000e00000000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 880006f0a005f00000af0000000000090000800900cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e1511de33e6661e361519313e19963aa336ae6636316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1113313616a311e91e911111131916111e1311131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 999e11331e131911a31e1116116133f395631e6ae196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6611ee36116e1631e35ee3391313131a1e3a1363fa31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1116331331611311e39363e333e3336139e613313193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 050d00f000000000006000000000d5000f00f0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000000000009e00000000e00000000a06000000095e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: ee139133916316136353931993933361e931936a3116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000fae0f000f00a500000f60000000000005500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 933331e1633111e131169399111316131133116a33e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1131193ae1e1e1113981193635931131e11e91133e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 311e3133af1f9111613113333e11a61a1633e1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 3363113335196f6ee311136161916313e9ee1331f6e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 13151911e136116a31511191e99111f113619eeae699, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: d0000600550000005d00a00500005000000500000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3e11eee119af3a11633e36161195911a196133366311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 911135e1e11133136393e63111193633136113333619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 391633363e6f331139e631333119133a1331e311661e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: e9361313951111e1111331191111a11691115161e331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1361133e11a36311363ee11113111e1691e181311619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0a0000000a00050000000000000000e00000000095d0, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 50: 5000000900f000009e000e000095000f000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000a00000a0000000000000000000000000d0050000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0650000e0090000e000e000000000000060a00000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1e193911e1633131a393131163116a3333a611161911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 13113931331691e113e363313311e6a3319333633113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00000000000000000000006000000e00000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11111131113331331115111111111113131111111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1111151933313191611113151131316e316311191151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000090000000090505000505000000009000000000, Class:  0, CF:0.360301, Len:  7, Fitness_tra: -1
Rule 59: 050002050000050005000f0000d0009000050000f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: eee91111e66161333133363311136a36311613361151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 133315e31e1111116399933e613e61e1111616166f31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11111131113311116155111121311111111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 51531333316131161e1e9e11131393361916366311ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000a000a00000000000006f00a00009000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000000000f0000500500505900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 11331111131139111111391155151111911113111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 161319e333fa93e663e613191e13363a131311131199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0a0000f000000000000f00000f000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 6633e513313111916611311591111111991313115511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 11111133913311113111e11121111113113119311118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 13e11193111a3363361313191119113a366116e3169e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 500000090000006000000e0000950000000000000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule 73: 000d0090000005000000000d00606060000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 631315e1e11333e1ee9ee3333ee11a3f961313161113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 111111e133119191a113113115111113313e11131155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 999315ea63e36133131631e91111631a313613661ae6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0e000009000006e00000000000000000000090000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 111e153111113111335e31155d111113111111195511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1113e96e31e133163353e3333a11633ae91655366113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 31363e13611616116113613933951116ee16319311e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 311395116313133366513191116e13e619161e111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000a0000d000f00000500000000090000000d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0000000000000050000000000000000e000500000050, Class:  0, CF:0.536853, Len:  4, Fitness_tra: 6
Rule 84: 000500f00d000000f00d000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 13311131353111113151111122311113511111511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3313e161336611393153111511191e61911133131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00000600050000000000000000060000055009000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 1
Rule 88: 000000000000000000000000000000f0000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule 89: 631133163311333e319113335199111633e1111e1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0d0000000009990000aff00000009e00d0000d9900da, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1611150930313121600e039510300160e16300091009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: e93311131e11916113533631313ea39671116363e331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: e1139131131653196111113111e19111911311139591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1110110000a0101100010000201000131000d9350110, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 3111ee331f1f3111613d13331e91911a1663e3113311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00000000000000040003050a00000000000fc200006f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 33e11311e91361313133363363136133311693e61151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1000093100e110e10011e161369159fc01300013a0e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 6f33a1116e11933131336611e99e3396131116313611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: d0000605000000000000006000005e00f00000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:46.5969
------Result------
Miss_rate(tra)	:46.5969
Miss_rate(tst)	:76.9231
ARL				:6.53333

------Generation 1------
Rule  1: 00000000000009000000000005000000009000000000, Class:  0, CF:0.426725, Len:  3, Fitness_tra: 41
Rule  2: 000000000e00000500000000000d0000000000000500, Class:  0, CF:0.49889, Len:  4, Fitness_tra: 8
Rule  3: 0000000000000050000000000000000e000500000050, Class:  0, CF:0.536853, Len:  4, Fitness_tra: 22
Rule  4: 000000000000000000000000000000f0000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule  5: 00000000000000000a00000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule  6: 00000000000000000000000f00000009000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule  7: 00000000000000000000000000000000000000f0a000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule  8: 11111111111113111111111111111111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 1
Rule  9: 00000600050000000000000000060000055009000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 1
Rule 10: d0000605000000000000006000005e00f00000000060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 63133113a31f16116e9e1135151113113e33331e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1e36e91139f3913ee13ee1131339e16fe11e316133e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0d00a0000000000000000a00000000000000f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000009f000000000e0e000000000d000000d90550d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 19111111e1a319113111e11515311111311313155151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 919311e61661631e1151111136e1e11a3e331611163e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 919651e391e333631e11e116911111e619e133e33693, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1139151111111911161e1111111311339116131e1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11393e163e331316391e3ee31131111f3e6a9e6a3993, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1163e931e61361611115e1e91393166331631161131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11331133361ae1596911133115131e66136313133112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000005e0000000000000000000e00950, Class:  1, CF:0.220116, Len:  5, Fitness_tra: 0
Rule 23: 00000000000000000000050a00000000000fc200006f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 33e31391116316161356111e3339661a913611e1119e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1361193133e113e11311e161369111f631311113a1e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000600000a000f020006000000e00000000600000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 880006f0a005f00000af0000000000090000800900cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: e1511de33e6661e361519313e19963aa336ae6636316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1113313616a311e91e911111131916111e1311131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 999e11331e131911a31e1116116133f395631e6ae196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 6611ee36116e1631e35ee3391313131a1e3a1363fa31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1116331331611311e39363e333e3336139e613313193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 050d00f000000000006000000000d5000f00f0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000000009e00000000e00000000a06000000095e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: ee139133916316136353931993933361e931936a3116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000fae0f000f00a500000f60000000000005500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 933331e1633111e131169399111316131133116a33e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1131193ae1e1e1113981193635931131e11e91133e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 311e3133af1f9111613113333e11a61a1633e1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3363113335196f6ee311136161916313e9ee1331f6e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 13151911e136116a31511191e99111f113619eeae699, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: d0000600550000005d00a00500005000000500000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3e11eee119af3a11633e36161195911a196133366311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 911135e1e11133136393e63111193633136113333619, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 391633363e6f331139e631333119133a1331e311661e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
