------Generation 0------
Rule  1: 6315123c51d31111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 19622711131912b985, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 553d81d28181821151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: e13514e15915915155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 331114511ed9121119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11621b6b19e3382124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00000000cc00000000, Class:  1, CF:0.432105, Len:  2, Fitness_tra: 22
Rule 56: 0000b0000000000000, Class:  1, CF:0.0353345, Len:  1, Fitness_tra: 0
Rule 57: 81dc21112141114251, Class:  1, CF:0.0314129, Len: 18, Fitness_tra: 0
Rule 58: 112217412221c81122, Class:  0, CF:0.998455, Len: 18, Fitness_tra: 0
Rule 59: 000000004000000400, Class:  1, CF:0.226268, Len:  2, Fitness_tra: 23
Rule 60: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0080000040000c0000, Class:  0, CF:0.737599, Len:  3, Fitness_tra: 0
Rule 62: 1112c4c58c11124115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 166d12e1535954b559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1214441122c2825811, Class:  1, CF:0.710869, Len: 18, Fitness_tra: 0
Rule 65: ee3212e19153e11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 115c222111812719d2, Class:  1, CF:0.472736, Len: 18, Fitness_tra: 0
Rule 67: 311112641311121151, Class:  0, CF:0.316686, Len: 18, Fitness_tra: 0
Rule 68: 3ef1123c511d341151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 002000000000000000, Class:  1, CF:0.106728, Len:  1, Fitness_tra: 4
Rule 70: c8524b218181dc4177, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 000870d00000000000, Class:  1, CF:0.395964, Len:  3, Fitness_tra: -2
Rule 72: 00000c000004000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 73: 000000000000080030, Class:  0, CF:0.902388, Len:  2, Fitness_tra: 5
Rule 74: 00e000002000000800, Class:  1, CF:0.401224, Len:  3, Fitness_tra: 0
Rule 75: d00000000000d00000, Class:  1, CF:0.487453, Len:  2, Fitness_tra: 14
Rule 76: 3119c1e15915111519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1c1222851c21815121, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 116d141299d3e12551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00007000500000c020, Class:  1, CF:0.281379, Len:  4, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 0000000500c0000000, Class:  1, CF:0.428861, Len:  2, Fitness_tra: 1
Rule 82: 000000430007000000, Class:  1, CF:0.3596, Len:  3, Fitness_tra: -3
Rule 83: 0c0000000000000000, Class:  0, CF:0.197044, Len:  1, Fitness_tra: 128
Rule 84: 020000005000000000, Class:  0, CF:0.00376321, Len:  2, Fitness_tra: 0
Rule 85: 000000000000000700, Class:  0, CF:0.0287291, Len:  1, Fitness_tra: 0
Rule 86: 819c14cd4128d11155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1911c4d85d58172b13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1931c45413d53c5115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000c0000500000050, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 90: 000000000000008400, Class:  1, CF:0.322642, Len:  2, Fitness_tra: 10
Rule 91: d55512852122121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0000b0000000000000, Class:  1, CF:0.0353345, Len:  1, Fitness_tra: 0
Rule 93: 1151271d4412c4b111, Class:  1, CF:0.430271, Len: 18, Fitness_tra: 0
Rule 94: 52d21729c88c811211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 5112c1514181121515, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 302000005000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 521211137117412851, Class:  0, CF:0.241249, Len: 18, Fitness_tra: 0
Rule 98: 1161819c13d5341553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 81cb4b2972b44c3111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 31e51494535991b355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:60.2473
------Result------
Miss_rate(tra)	:60.2473
Miss_rate(tst)	:57.1429
ARL				:5.78125

------Generation 0------
Rule  1: 0c0000000000000000, Class:  0, CF:0.197044, Len:  1, Fitness_tra: 152
Rule  2: d00000000000000000, Class:  1, CF:0.382943, Len:  1, Fitness_tra: 59
Rule  3: 000000004000000400, Class:  1, CF:0.226268, Len:  2, Fitness_tra: 30
Rule  4: 000000000000000500, Class:  1, CF:0.364369, Len:  1, Fitness_tra: 25
Rule  5: 00000000cc00000000, Class:  1, CF:0.432105, Len:  2, Fitness_tra: 25
Rule  6: 000c00000000000002, Class:  1, CF:0.399323, Len:  2, Fitness_tra: 8
Rule  7: d00000000000d00000, Class:  1, CF:0.487453, Len:  2, Fitness_tra: 14
Rule  8: d000000b0000000000, Class:  1, CF:0.494267, Len:  2, Fitness_tra: 11
Rule  9: 000000000000008400, Class:  1, CF:0.322642, Len:  2, Fitness_tra: 4
Rule 10: 00900b000000000002, Class:  1, CF:0.559777, Len:  3, Fitness_tra: 6
Rule 11: 00f000003000000300, Class:  0, CF:0.585515, Len:  3, Fitness_tra: 6
Rule 12: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 5
Rule 13: 000000000000080030, Class:  0, CF:0.902388, Len:  2, Fitness_tra: 5
Rule 14: 002000000000000000, Class:  1, CF:0.106728, Len:  1, Fitness_tra: -11
Rule 15: 0e0000000500000003, Class:  0, CF:0.982644, Len:  3, Fitness_tra: 4
Rule 16: 00000c000004000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 17: 0000000500c0000000, Class:  1, CF:0.428861, Len:  2, Fitness_tra: 1
Rule 18: 6315123c51d31111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 31e51494535991b355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 5e6dc29213d91131d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 611111145955921513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 259c14112d22d81215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 51511b89212c821217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 131124111511d41221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e62175215139c5881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1138b4ab3333121114, Class:  1, CF:0.990358, Len: 18, Fitness_tra: 0
Rule 28: 020000002000000000, Class:  1, CF:0.154384, Len:  2, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00f000000000000000, Class:  0, CF:0.0803862, Len:  1, Fitness_tra: 0
Rule 31: 00080b0000c0c00000, Class:  1, CF:0.478332, Len:  4, Fitness_tra: 0
Rule 32: 1e38415111d5111c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 25211b13c522d21422, Class:  1, CF:0.438946, Len: 18, Fitness_tra: 0
Rule 34: 1c151c282c88112531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1111146419e6651141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2851278dc221551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1d811721451c111521, Class:  0, CF:0.191474, Len: 18, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1d511411c522141119, Class:  1, CF:0.393767, Len: 18, Fitness_tra: 0
Rule 41: 00000000000000000c, Class:  1, CF:0.0547966, Len:  1, Fitness_tra: -4
Rule 42: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 8000007e007bc03000, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 000000000000080dcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 9e6222915155521125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 16a121673316182122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 19622711131912b985, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 553d81d28181821151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: e13514e15915915155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 331114511ed9121119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11621b6b19e3382124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000520000000000, Class:  1, CF:0.375539, Len:  2, Fitness_tra: 0
Rule 55: 0000b0000000000000, Class:  1, CF:0.0353345, Len:  1, Fitness_tra: 2
Rule 56: 81dc21112141114251, Class:  1, CF:0.0314129, Len: 18, Fitness_tra: 0
Rule 57: 112217412221c81122, Class:  0, CF:0.998455, Len: 18, Fitness_tra: 0
Rule 58: 19154c375119141351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0080000040000c0000, Class:  0, CF:0.737599, Len:  3, Fitness_tra: 0
Rule 61: 1112c4c58c11124115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 166d12e1535954b559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1214441122c2825811, Class:  1, CF:0.710869, Len: 18, Fitness_tra: 0
Rule 64: ee3212e19153e11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 115c222111812719d2, Class:  1, CF:0.472736, Len: 18, Fitness_tra: 0
Rule 66: 311112641311121151, Class:  0, CF:0.316686, Len: 18, Fitness_tra: 0
Rule 67: 3ef1123c511d341151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5c87141e7474111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: c8524b218181dc4177, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 81cb4b2972b44c3111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 9332bb646133181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000005000000400, Class:  1, CF:0.0920409, Len:  2, Fitness_tra: 0
Rule 73: 00e000002000000800, Class:  1, CF:0.401224, Len:  3, Fitness_tra: 0
Rule 74: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3119c1e15915111519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1c1222851c21815121, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 116d141299d3e12551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00007000500000c020, Class:  1, CF:0.281379, Len:  4, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00900b002000000008, Class:  1, CF:0.581545, Len:  4, Fitness_tra: 0
Rule 81: 082000000000000000, Class:  1, CF:0.249035, Len:  2, Fitness_tra: -8
Rule 82: 11384455cd8c121159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 511c42252228c11522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11121112d855111259, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 3163211451d5322221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d16141225581811153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5155242518ccd4c491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: d00000000000000000, Class:  1, CF:0.382943, Len:  0, Fitness_tra: 0
Rule 90: 00500b000000000008, Class:  1, CF:0.510618, Len:  3, Fitness_tra: 17
Rule 91: 1c020000000010b980, Class:  1, CF:0.754007, Len:  7, Fitness_tra: 0
Rule 92: 070000000000080030, Class:  0, CF:0.946026, Len:  3, Fitness_tra: 2
Rule 93: d00000000000d00100, Class:  1, CF:0.487749, Len:  3, Fitness_tra: 0
Rule 94: 255d278dc2d1551213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000c00000705000400, Class:  1, CF:0.328901, Len:  4, Fitness_tra: 0
Rule 96: 0002000102c0008401, Class:  1, CF:0.515797, Len:  7, Fitness_tra: 0
Rule 97: 0012c1504000101505, Class:  1, CF:0.536944, Len: 10, Fitness_tra: 0
Rule 98: d000000000000c0000, Class:  0, CF:0.973181, Len:  2, Fitness_tra: 2
Rule 99: 000c00100000000002, Class:  1, CF:0.347389, Len:  3, Fitness_tra: 0
Rule100: 1030c05413053c5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:59.2756
------Result------
Miss_rate(tra)	:59.2756
Miss_rate(tst)	:50
ARL				:5.7619

------Generation 1------
Rule  1: 0c0000000000000000, Class:  0, CF:0.197044, Len:  1, Fitness_tra: 156
Rule  2: d00000000000000000, Class:  1, CF:0.382943, Len:  1, Fitness_tra: 57
Rule  3: 000000004000000400, Class:  1, CF:0.226268, Len:  2, Fitness_tra: 37
Rule  4: 000000000000000500, Class:  1, CF:0.364369, Len:  1, Fitness_tra: 25
Rule  5: 00000000cc00000000, Class:  1, CF:0.432105, Len:  2, Fitness_tra: 22
Rule  6: 00500b000000000008, Class:  1, CF:0.510618, Len:  3, Fitness_tra: 17
Rule  7: d00000000000d00000, Class:  1, CF:0.487453, Len:  2, Fitness_tra: 14
Rule  8: d000000b0000000000, Class:  1, CF:0.494267, Len:  2, Fitness_tra: 11
Rule  9: 000c00000000000002, Class:  1, CF:0.399323, Len:  2, Fitness_tra: 12
Rule 10: 00900b000000000002, Class:  1, CF:0.559777, Len:  3, Fitness_tra: 6
Rule 11: 00f000003000000300, Class:  0, CF:0.585515, Len:  3, Fitness_tra: 5
Rule 12: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 5
Rule 13: 000000000000080030, Class:  0, CF:0.902388, Len:  2, Fitness_tra: 5
Rule 14: 000000000000008400, Class:  1, CF:0.322642, Len:  2, Fitness_tra: 6
Rule 15: 0e0000000500000003, Class:  0, CF:0.982644, Len:  3, Fitness_tra: 4
Rule 16: 00000c000004000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 3
Rule 17: d000000000000c0000, Class:  0, CF:0.973181, Len:  2, Fitness_tra: 2
Rule 18: 0000b0000000000000, Class:  1, CF:0.0353345, Len:  1, Fitness_tra: -12
Rule 19: 070000000000080030, Class:  0, CF:0.946026, Len:  3, Fitness_tra: 2
Rule 20: 0000000500c0000000, Class:  1, CF:0.428861, Len:  2, Fitness_tra: 1
Rule 21: 1030c05413053c5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 259c14112d22d81215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 51511b89212c821217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 131124111511d41221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e62175215139c5881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1138b4ab3333121114, Class:  1, CF:0.990358, Len: 18, Fitness_tra: 0
Rule 28: 020000002000000000, Class:  1, CF:0.154384, Len:  2, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00f000000000000000, Class:  0, CF:0.0803862, Len:  1, Fitness_tra: 0
Rule 31: 00080b0000c0c00000, Class:  1, CF:0.478332, Len:  4, Fitness_tra: 0
Rule 32: 1e38415111d5111c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 25211b13c522d21422, Class:  1, CF:0.438946, Len: 18, Fitness_tra: 0
Rule 34: 1c151c282c88112531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1111146419e6651141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2851278dc221551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1d811721451c111521, Class:  0, CF:0.191474, Len: 18, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1d511411c522141119, Class:  1, CF:0.393767, Len: 18, Fitness_tra: 0
Rule 41: 000c00100000000002, Class:  1, CF:0.347389, Len:  3, Fitness_tra: 0
Rule 42: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 8000007e007bc03000, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 000000000000080dcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 9e6222915155521125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 16a121673316182122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 19622711131912b985, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 553d81d28181821151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: e13514e15915915155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 331114511ed9121119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11621b6b19e3382124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000520000000000, Class:  1, CF:0.375539, Len:  2, Fitness_tra: 0
Rule 55: 6315123c51d31111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 81dc21112141114251, Class:  1, CF:0.0314129, Len: 18, Fitness_tra: 0
Rule 57: 112217412221c81122, Class:  0, CF:0.998455, Len: 18, Fitness_tra: 0
Rule 58: 19154c375119141351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0080000040000c0000, Class:  0, CF:0.737599, Len:  3, Fitness_tra: 0
Rule 61: 1112c4c58c11124115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 166d12e1535954b559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1214441122c2825811, Class:  1, CF:0.710869, Len: 18, Fitness_tra: 0
Rule 64: ee3212e19153e11421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 115c222111812719d2, Class:  1, CF:0.472736, Len: 18, Fitness_tra: 0
Rule 66: 311112641311121151, Class:  0, CF:0.316686, Len: 18, Fitness_tra: 0
Rule 67: 3ef1123c511d341151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5c87141e7474111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: c8524b218181dc4177, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 81cb4b2972b44c3111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 9332bb646133181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000005000000400, Class:  1, CF:0.0920409, Len:  2, Fitness_tra: 0
Rule 73: 00e000002000000800, Class:  1, CF:0.401224, Len:  3, Fitness_tra: 0
Rule 74: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3119c1e15915111519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1c1222851c21815121, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 116d141299d3e12551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00007000500000c020, Class:  1, CF:0.281379, Len:  4, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00900b002000000008, Class:  1, CF:0.581545, Len:  4, Fitness_tra: 0
Rule 81: 8498c78c2281122151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 536d1252d35391311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 181411194182541511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: d2e817dc1222511115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 85: 902000005000080000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 86: 0000b0005700000000, Class:  1, CF:0.458302, Len:  3, Fitness_tra: 0
Rule 87: 1161121239555c511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 000080000500e00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 336227ab11e11c51c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1832111828cc1b5d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1e0d100205130c5800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 11dd21129941412551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00891001451c111520, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 9e35483c10d3111123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: d02030e15000040509, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0cd222051c20835022, Class:  0, CF:0.838102, Len: 14, Fitness_tra: 0
Rule 97: 1132b4123833121159, Class:  0, CF:0.90599, Len: 18, Fitness_tra: 0
Rule 98: 000000000d00000000, Class:  1, CF:0.20696, Len:  1, Fitness_tra: -14
Rule 99: d000000020000ca020, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule100: 20d10910c000020422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.1272
------Result------
Miss_rate(tra)	:58.1272
Miss_rate(tst)	:50
ARL				:6.11475

------Generation 2------
