------Generation 0------
Rule  1: 815cc12111c2211113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 516117d18112c78159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 6965243c51d1526751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 116241151c18c71199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 188241c9222455cc21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: dc24241e2121cc8211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2518c4212224821133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 80: 128227b3b214141151, Class:  0, CF:0.546702, Len: 18, Fitness_tra: 0
Rule 81: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 6
Rule 82: 0000000000000000c0, Class:  1, CF:0.243152, Len:  1, Fitness_tra: 191
Rule 83: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0b0000000b000000c0, Class:  1, CF:0.117306, Len:  3, Fitness_tra: 0
Rule 85: 0b0000000b0000b000, Class:  0, CF:0.00738259, Len:  3, Fitness_tra: 0
Rule 86: 000000000600002002, Class:  1, CF:0.158109, Len:  3, Fitness_tra: 0
Rule 87: 8cd142554828212511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 3111141159d1143415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000000000c000, Class:  1, CF:0.0752118, Len:  1, Fitness_tra: 0
Rule 90: 000000000000200b00, Class:  0, CF:0.0225336, Len:  2, Fitness_tra: 0
Rule 91: 558124ce1122872219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7000000000000000b0, Class:  0, CF:0.282973, Len:  2, Fitness_tra: 46
Rule 93: 81521b25451c11125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: d1e81cd811d5d11d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000000000000000030, Class:  0, CF:0.264056, Len:  1, Fitness_tra: 3
Rule 96: 511114511151d41159, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 0000000e0000c00000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 98: 000000020400000000, Class:  0, CF:0.221657, Len:  2, Fitness_tra: 8
Rule 99: 25511115215c111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9008700020020b0036, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.9223
------Result------
Miss_rate(tra)	:58.9223
Miss_rate(tst)	:49.4118
ARL				:5.24138

------Generation 0------
Rule  1: 0000000000000000c0, Class:  1, CF:0.243152, Len:  1, Fitness_tra: 135
Rule  2: 000000000000000006, Class:  0, CF:0.490692, Len:  1, Fitness_tra: 74
Rule  3: 7000000000000000b0, Class:  0, CF:0.282973, Len:  2, Fitness_tra: 42
Rule  4: 3000000000000b0000, Class:  0, CF:0.27591, Len:  2, Fitness_tra: 10
Rule  5: 000000020400000000, Class:  0, CF:0.221657, Len:  2, Fitness_tra: 20
Rule  6: 0000000e0000000005, Class:  0, CF:0.88913, Len:  2, Fitness_tra: 8
Rule  7: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 6
Rule  8: 000000000000000030, Class:  0, CF:0.264056, Len:  1, Fitness_tra: 1
Rule  9: 00000c000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 10: 080000000c00000082, Class:  1, CF:0.301902, Len:  4, Fitness_tra: 3
Rule 11: 00000b0d0000000004, Class:  0, CF:0.432909, Len:  3, Fitness_tra: 2
Rule 12: 000000000000000080, Class:  1, CF:0.111226, Len:  1, Fitness_tra: 4
Rule 13: 000c008000000000d0, Class:  1, CF:0.163657, Len:  3, Fitness_tra: 0
Rule 14: 815cc12111c2211113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 9008700020020b0036, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 16: 11351c9491d51c15dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1165219215513411d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 07c0000007b0480000, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 19: d151c112152ccb1296, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 511144c181c2512189, Class:  1, CF:0.889882, Len: 18, Fitness_tra: 0
Rule 21: 8c1c118121418c2815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 581214191512172291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000300c00, Class:  1, CF:0.0871597, Len:  2, Fitness_tra: 0
Rule 24: 2c1217111841c72451, Class:  0, CF:0.485308, Len: 18, Fitness_tra: 0
Rule 25: 91622ceb1655311285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000070000000000000, Class:  1, CF:0.0169131, Len:  1, Fitness_tra: 0
Rule 27: 090b0000595b700000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: c000c00000040c0000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 28d1c7151182141135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000c00000, Class:  0, CF:0.0173513, Len:  1, Fitness_tra: 0
Rule 34: e66dc45219d59ce1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1911821c1115121811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000c0000000000003, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 37: 15a524919511145151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1d1136811112d11111, Class:  0, CF:0.00434568, Len: 18, Fitness_tra: 0
Rule 39: 000000000000070000, Class:  0, CF:0.127041, Len:  1, Fitness_tra: 0
Rule 40: 000dc0000000000c00, Class:  0, CF:0.915177, Len:  3, Fitness_tra: 0
Rule 41: 00004000005000080d, Class:  1, CF:0.277597, Len:  4, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 113d1411d2d5d28111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: c00000000000002000, Class:  0, CF:0.0553483, Len:  2, Fitness_tra: 0
Rule 45: 5152422178122c411c, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 00e00c00000000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: e3111ce49e91312489, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 251741112814511144, Class:  1, CF:0.237881, Len: 18, Fitness_tra: 0
Rule 49: 000000005000000000, Class:  1, CF:0.0765522, Len:  1, Fitness_tra: 0
Rule 50: 9961c712d111514911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 366821519e5151512d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 5532415852525b1651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1154271d81c2121144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3132b2ab19e66c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 8c1221214222225222, Class:  1, CF:0.625007, Len: 18, Fitness_tra: 0
Rule 56: 851113132111512221, Class:  1, CF:0.141097, Len: 18, Fitness_tra: 0
Rule 57: 1111c4881181122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: e161223c1dd55115d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1e6142511115911d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 31a9c8941539942d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 50000070b0000000c0, Class:  1, CF:0.168904, Len:  4, Fitness_tra: 0
Rule 62: 119214181c11214991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000070000000007000, Class:  0, CF:0.0528332, Len:  2, Fitness_tra: 0
Rule 64: 53112138d313112313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000c0000000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1332211139d3343281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 151122211111129111, Class:  1, CF:0.779022, Len: 18, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000cb0d400000c000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 70: e1651112155994d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 516117d18112c78159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6965243c51d1526751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 116241151c18c71199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 188241c9222455cc21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: dc24241e2121cc8211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2518c4212224821133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 128227b3b214141151, Class:  0, CF:0.546702, Len: 18, Fitness_tra: 0
Rule 78: 1318211153d11111c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e31544511e59311223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 113dcc5c1511511d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 3165415211d1322225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1162121c1919941215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00d00bc04800200000, Class:  1, CF:0.435432, Len:  6, Fitness_tra: 0
Rule 86: 0000b000e00e000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 87: 000000004000000000, Class:  1, CF:0.183039, Len:  1, Fitness_tra: 25
Rule 88: 300000040000080090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000000040000000d0, Class:  1, CF:0.0378993, Len:  2, Fitness_tra: 0
Rule 90: 00e00c00404400000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d318211115211b1291, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 02e00c0010d000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 50102100d303712003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: e00102301d050015d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000001701200001c, Class:  1, CF:0.209651, Len:  6, Fitness_tra: 0
Rule 96: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 205000052000100001, Class:  1, CF:0.312706, Len:  6, Fitness_tra: 0
Rule 98: 000000020440000000, Class:  0, CF:0.0384807, Len:  3, Fitness_tra: 0
Rule 99: e31544511e51312229, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00004c20080000411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.1272
------Result------
Miss_rate(tra)	:58.1272
Miss_rate(tst)	:47.0588
ARL				:5.90566

------Generation 1------
Rule  1: 0000000000000000c0, Class:  1, CF:0.243152, Len:  1, Fitness_tra: 135
Rule  2: 000000000000000006, Class:  0, CF:0.490692, Len:  1, Fitness_tra: 74
Rule  3: 7000000000000000b0, Class:  0, CF:0.282973, Len:  2, Fitness_tra: 42
Rule  4: 3000000000000b0000, Class:  0, CF:0.27591, Len:  2, Fitness_tra: 10
Rule  5: 000000020400000000, Class:  0, CF:0.221657, Len:  2, Fitness_tra: 20
Rule  6: 0000000e0000000005, Class:  0, CF:0.88913, Len:  2, Fitness_tra: 8
Rule  7: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 6
Rule  8: 000000000000000030, Class:  0, CF:0.264056, Len:  1, Fitness_tra: 1
Rule  9: 00000c000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 10: 080000000c00000082, Class:  1, CF:0.301902, Len:  4, Fitness_tra: 3
Rule 11: 00000b0d0000000004, Class:  0, CF:0.432909, Len:  3, Fitness_tra: 2
Rule 12: 000000000000000080, Class:  1, CF:0.111226, Len:  1, Fitness_tra: 4
Rule 13: 000c008000000000d0, Class:  1, CF:0.163657, Len:  3, Fitness_tra: 0
Rule 14: 815cc12111c2211113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 9008700020020b0036, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 16: 11351c9491d51c15dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1165219215513411d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 07c0000007b0480000, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 19: d151c112152ccb1296, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 511144c181c2512189, Class:  1, CF:0.889882, Len: 18, Fitness_tra: 0
Rule 21: 8c1c118121418c2815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 581214191512172291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000300c00, Class:  1, CF:0.0871597, Len:  2, Fitness_tra: 0
Rule 24: 2c1217111841c72451, Class:  0, CF:0.485308, Len: 18, Fitness_tra: 0
Rule 25: 91622ceb1655311285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000070000000000000, Class:  1, CF:0.0169131, Len:  1, Fitness_tra: 0
Rule 27: 090b0000595b700000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: c000c00000040c0000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 28d1c7151182141135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000c00000, Class:  0, CF:0.0173513, Len:  1, Fitness_tra: 0
Rule 34: e66dc45219d59ce1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1911821c1115121811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000c0000000000003, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 37: 15a524919511145151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1d1136811112d11111, Class:  0, CF:0.00434568, Len: 18, Fitness_tra: 0
Rule 39: 000000000000070000, Class:  0, CF:0.127041, Len:  1, Fitness_tra: 0
Rule 40: 000dc0000000000c00, Class:  0, CF:0.915177, Len:  3, Fitness_tra: 0
Rule 41: 00004000005000080d, Class:  1, CF:0.277597, Len:  4, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 113d1411d2d5d28111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: c00000000000002000, Class:  0, CF:0.0553483, Len:  2, Fitness_tra: 0
Rule 45: 5152422178122c411c, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 00e00c00000000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: e3111ce49e91312489, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 251741112814511144, Class:  1, CF:0.237881, Len: 18, Fitness_tra: 0
Rule 49: 000000005000000000, Class:  1, CF:0.0765522, Len:  1, Fitness_tra: 0
Rule 50: 9961c712d111514911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 366821519e5151512d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 5532415852525b1651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1154271d81c2121144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3132b2ab19e66c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 8c1221214222225222, Class:  1, CF:0.625007, Len: 18, Fitness_tra: 0
Rule 56: 851113132111512221, Class:  1, CF:0.141097, Len: 18, Fitness_tra: 0
Rule 57: 1111c4881181122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: e161223c1dd55115d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1e6142511115911d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 31a9c8941539942d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 50000070b0000000c0, Class:  1, CF:0.168904, Len:  4, Fitness_tra: 0
Rule 62: 119214181c11214991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000070000000007000, Class:  0, CF:0.0528332, Len:  2, Fitness_tra: 0
Rule 64: 53112138d313112313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000c0000000800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1332211139d3343281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 151122211111129111, Class:  1, CF:0.779022, Len: 18, Fitness_tra: 0
Rule 68: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000cb0d400000c000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 70: e1651112155994d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 516117d18112c78159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 6965243c51d1526751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 116241151c18c71199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 188241c9222455cc21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: dc24241e2121cc8211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2518c4212224821133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 128227b3b214141151, Class:  0, CF:0.546702, Len: 18, Fitness_tra: 0
Rule 78: 1318211153d11111c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e31544511e59311223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 113dcc5c1511511d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 3165415211d1322225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1162121c1919941215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00d00bc04800200000, Class:  1, CF:0.435432, Len:  6, Fitness_tra: 0
Rule 86: 0000b000e00e000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 87: 000000004000000000, Class:  1, CF:0.183039, Len:  1, Fitness_tra: 25
Rule 88: 300000040000080090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000000040000000d0, Class:  1, CF:0.0378993, Len:  2, Fitness_tra: 0
Rule 90: 00e00c00404400000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: d318211115211b1291, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 02e00c0010d000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 50102100d303712003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: e00102301d050015d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000001701200001c, Class:  1, CF:0.209651, Len:  6, Fitness_tra: 0
Rule 96: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 205000052000100001, Class:  1, CF:0.312706, Len:  6, Fitness_tra: 0
Rule 98: 000000020440000000, Class:  0, CF:0.0384807, Len:  3, Fitness_tra: 0
Rule 99: e31544511e51312229, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00004c20080000411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.1272
------Result------
Miss_rate(tra)	:58.1272
Miss_rate(tst)	:47.0588
ARL				:5.90566

------Generation 2------
