------Generation 0------
Rule  1: 218b41c1c281581214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 271121114c41b212e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 00000b00000000c000, Class:  1, CF:0.162064, Len:  2, Fitness_tra: -9
Rule 39: 1e3144971925945113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 81182488c1d11111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: cc21222d41248c12c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: d111422215cc243893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000500000c8c007000, Class:  0, CF:0.0718968, Len:  5, Fitness_tra: 0
Rule 44: 536141e29351112121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: e00000000080e02009, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: c00000000000000000, Class:  0, CF:0.0520986, Len:  1, Fitness_tra: 2
Rule 47: ee3d81379995542113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 111112c5121c121511, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: d0e000002000000002, Class:  1, CF:0.651003, Len:  4, Fitness_tra: 5
Rule 50: 00000000d0dd000000, Class:  0, CF:0.774678, Len:  3, Fitness_tra: 15
Rule 51: 5551428dc51c121288, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00500020cd0c000000, Class:  1, CF:0.496164, Len:  5, Fitness_tra: -1
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 11217b211812282184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1e31829199d5142225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0d0000008088000500, Class:  1, CF:0.391556, Len:  5, Fitness_tra: 0
Rule 57: 541144558254c7c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 0000cb0d400000c000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 59: b000000000000000b0, Class:  0, CF:0.241429, Len:  2, Fitness_tra: 79
Rule 60: 002000000000000000, Class:  1, CF:0.107919, Len:  1, Fitness_tra: -25
Rule 61: 003c700d50000b5006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000005000003000, Class:  0, CF:0.0331131, Len:  2, Fitness_tra: 0
Rule 63: 00f000000000000000, Class:  1, CF:0.156819, Len:  1, Fitness_tra: 0
Rule 64: 185124131271c71413, Class:  0, CF:0.520679, Len: 18, Fitness_tra: 0
Rule 65: 211c12c51122d81411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 911582545395344181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 12888121211122b113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 68: 2151278921c45c11c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 3e312b123151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 528111134124211131, Class:  1, CF:0.186829, Len: 18, Fitness_tra: 0
Rule 71: 511111158112542111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 113511ec1915521e59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000000000000c0002, Class:  0, CF:0.681855, Len:  2, Fitness_tra: 1
Rule 74: 008000000000000000, Class:  1, CF:0.014325, Len:  1, Fitness_tra: 0
Rule 75: 003000500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 5d52478d2121511133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000e03003000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0c0cc0000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 79: 070000000000000d82, Class:  1, CF:0.338486, Len:  4, Fitness_tra: 0
Rule 80: 000000000000005b00, Class:  1, CF:0.130844, Len:  2, Fitness_tra: -1
Rule 81: 000000000000000400, Class:  1, CF:0.0945795, Len:  1, Fitness_tra: -19
Rule 82: 00e0400000d0000000, Class:  0, CF:0.361167, Len:  3, Fitness_tra: 0
Rule 83: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1524171345c1581147, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 85: 1131cc122112d2218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0030000c5000000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e11124e41311311c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 07980b0007c0c00000, Class:  1, CF:0.558094, Len:  7, Fitness_tra: 0
Rule 89: 03000c005340080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000400000000, Class:  0, CF:0.022255, Len:  1, Fitness_tra: 0
Rule 92: e615111219131491de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 255111c189245c2181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 94: 111111e13e119c3113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 156111d8115111c113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 3311c13c11d33c3c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 116212129311921e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 28511b134141181dc1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 000000000000004000, Class:  1, CF:0.055027, Len:  1, Fitness_tra: -2
------Current------
Miss_rate(tra)	:64.4876
------Result------
Miss_rate(tra)	:64.4876
Miss_rate(tst)	:56.4706
ARL				:5.26316

------Generation 0------
Rule  1: 000400000040000000, Class:  1, CF:0.260274, Len:  2, Fitness_tra: 67
Rule  2: b000000000000000b0, Class:  0, CF:0.241429, Len:  2, Fitness_tra: 97
Rule  3: 000000000000000d00, Class:  1, CF:0.356922, Len:  1, Fitness_tra: 37
Rule  4: 00000000d0dd000000, Class:  0, CF:0.774678, Len:  3, Fitness_tra: 14
Rule  5: 000000004000009000, Class:  1, CF:0.631565, Len:  2, Fitness_tra: 9
Rule  6: 0000c0080000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule  7: d0e000002000000002, Class:  1, CF:0.651003, Len:  4, Fitness_tra: 5
Rule  8: c00000000000000000, Class:  0, CF:0.0520986, Len:  1, Fitness_tra: 30
Rule  9: 0000000000000c0002, Class:  0, CF:0.681855, Len:  2, Fitness_tra: 3
Rule 10: 218b41c1c281581214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 30e04c0000000b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00e00c00404400000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 28511b134141181dc1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 9161219cd55d545113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51d11125c5c1521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 05000000000008c000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 17: 131c47626133321114, Class:  0, CF:0.500667, Len: 18, Fitness_tra: 0
Rule 18: 91312b3211133821c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 22171113c222288d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: cd112ccdc112511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2d8222c9182c518122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 521c21452142441412, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 24: 00000000b0d50b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000080000500000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 27: 11a1445c13191c5e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0a0000003030005008, Class:  1, CF:0.0438912, Len:  5, Fitness_tra: -1
Rule 29: 8514725d211c885115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1332149c1ed591d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00007700e000d00000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 33: 000080004000007000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 34: 271121114c41b212e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1e3144971925945113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 81182488c1d11111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: cc21222d41248c12c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 38: d111422215cc243893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000500000c8c007000, Class:  0, CF:0.0718968, Len:  5, Fitness_tra: 0
Rule 40: 536141e29351112121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e00000000080e02009, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 42: ee3d81379995542113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 111112c5121c121511, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 8511421281111211d5, Class:  1, CF:0.284357, Len: 18, Fitness_tra: 0
Rule 46: 5551428dc51c121288, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11217b211812282184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1e31829199d5142225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0d0000008088000500, Class:  1, CF:0.391556, Len:  5, Fitness_tra: 0
Rule 51: 541144558254c7c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000cb0d400000c000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 003c700d50000b5006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000005000003000, Class:  0, CF:0.0331131, Len:  2, Fitness_tra: 0
Rule 56: 00f000000000000000, Class:  1, CF:0.156819, Len:  1, Fitness_tra: -2
Rule 57: 185124131271c71413, Class:  0, CF:0.520679, Len: 18, Fitness_tra: 0
Rule 58: 211c12c51122d81411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 911582545395344181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 12888121211122b113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 61: 2151278921c45c11c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 3e312b123151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 528111134124211131, Class:  1, CF:0.186829, Len: 18, Fitness_tra: 0
Rule 64: 511111158112542111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 113511ec1915521e59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0d0080008088000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 008000000000000000, Class:  1, CF:0.014325, Len:  1, Fitness_tra: 0
Rule 68: 003000500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 5d52478d2121511133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000e03003000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0c0cc0000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 2
Rule 72: 070000000000000d82, Class:  1, CF:0.338486, Len:  4, Fitness_tra: 0
Rule 73: 00e0400000d0000000, Class:  0, CF:0.361167, Len:  3, Fitness_tra: 0
Rule 74: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1524171345c1581147, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 76: 1131cc122112d2218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0030000c5000000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: e11124e41311311c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 07980b0007c0c00000, Class:  1, CF:0.558094, Len:  7, Fitness_tra: 0
Rule 80: 03000c005340080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1598721151122798e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 8
Rule 83: 00e0400000d0000000, Class:  0, CF:0.361167, Len:  0, Fitness_tra: 0
Rule 84: d13d12d81951122191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: d93822551115322151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000000e00e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 9
Rule 87: 5518cb211512142111, Class:  0, CF:0.295161, Len: 18, Fitness_tra: 0
Rule 88: 930800003000000000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 89: 000000002000000002, Class:  1, CF:0.310794, Len:  2, Fitness_tra: -3
Rule 90: 5c5222c32822822211, Class:  1, CF:0.783339, Len: 18, Fitness_tra: 0
Rule 91: e615110219001491de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000070040000000, Class:  1, CF:0.239855, Len:  2, Fitness_tra: 55
Rule 93: 252411134522581141, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 94: 31e012000001921e09, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 226141e2c222188121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 080400101070070410, Class:  1, CF:0.0194925, Len:  8, Fitness_tra: 0
Rule 97: 0004c0085000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0010973d4030324000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 105000000071c01400, Class:  1, CF:0.330587, Len:  7, Fitness_tra: 0
Rule100: 003000500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.6572
------Result------
Miss_rate(tra)	:58.6572
Miss_rate(tst)	:43.5294
ARL				:6.48077

------Generation 1------
Rule  1: b000000000000000b0, Class:  0, CF:0.241429, Len:  2, Fitness_tra: 96
Rule  2: 000400000040000000, Class:  1, CF:0.260274, Len:  2, Fitness_tra: 66
Rule  3: 000000070040000000, Class:  1, CF:0.239855, Len:  2, Fitness_tra: 55
Rule  4: 000000000000000d00, Class:  1, CF:0.356922, Len:  1, Fitness_tra: 37
Rule  5: c00000000000000000, Class:  0, CF:0.0520986, Len:  1, Fitness_tra: 28
Rule  6: 00000000d0dd000000, Class:  0, CF:0.774678, Len:  3, Fitness_tra: 14
Rule  7: 000000004000009000, Class:  1, CF:0.631565, Len:  2, Fitness_tra: 9
Rule  8: 00000000e00e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 9
Rule  9: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 8
Rule 10: d0e000002000000002, Class:  1, CF:0.651003, Len:  4, Fitness_tra: 5
Rule 11: 0000c0080000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule 12: 0000000000000c0002, Class:  0, CF:0.681855, Len:  2, Fitness_tra: 4
Rule 13: 0c0cc0000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 2
Rule 14: 00e00c00404400000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51d11125c5c1521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 05000000000008c000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 17: 131c47626133321114, Class:  0, CF:0.500667, Len: 18, Fitness_tra: 0
Rule 18: 91312b3211133821c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 22171113c222288d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: cd112ccdc112511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2d8222c9182c518122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 521c21452142441412, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 24: 00000000b0d50b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000080000500000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 27: 11a1445c13191c5e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 003000500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 8514725d211c885115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1332149c1ed591d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00007700e000d00000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 33: 000080004000007000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 34: 271121114c41b212e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1e3144971925945113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 81182488c1d11111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: cc21222d41248c12c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 38: d111422215cc243893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000500000c8c007000, Class:  0, CF:0.0718968, Len:  5, Fitness_tra: 0
Rule 40: 536141e29351112121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: e00000000080e02009, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 42: ee3d81379995542113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 111112c5121c121511, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 8511421281111211d5, Class:  1, CF:0.284357, Len: 18, Fitness_tra: 0
Rule 46: 5551428dc51c121288, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11217b211812282184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1e31829199d5142225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0d0000008088000500, Class:  1, CF:0.391556, Len:  5, Fitness_tra: 0
Rule 51: 541144558254c7c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000cb0d400000c000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 003c700d50000b5006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000005000003000, Class:  0, CF:0.0331131, Len:  2, Fitness_tra: 0
Rule 56: 185124131271c71413, Class:  0, CF:0.520679, Len: 18, Fitness_tra: 0
Rule 57: 211c12c51122d81411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 911582545395344181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 12888121211122b113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 2151278921c45c11c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3e312b123151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 528111134124211131, Class:  1, CF:0.186829, Len: 18, Fitness_tra: 0
Rule 63: 511111158112542111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 113511ec1915521e59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0d0080008088000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 008000000000000000, Class:  1, CF:0.014325, Len:  1, Fitness_tra: 0
Rule 67: 003000500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5d52478d2121511133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000e03003000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 28511b134141181dc1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 070000000000000d82, Class:  1, CF:0.338486, Len:  4, Fitness_tra: 0
Rule 72: 00e0400000d0000000, Class:  0, CF:0.361167, Len:  3, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1524171345c1581147, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 75: 1131cc122112d2218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0030000c5000000090, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: e11124e41311311c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 07980b0007c0c00000, Class:  1, CF:0.558094, Len:  7, Fitness_tra: 0
Rule 79: 03000c005340080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1598721151122798e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000400000000, Class:  0, CF:0.022255, Len:  1, Fitness_tra: 5
Rule 82: 11512b51c12c421531, Class:  0, CF:0.0864882, Len: 18, Fitness_tra: 0
Rule 83: 00f000003000000000, Class:  1, CF:0.132516, Len:  2, Fitness_tra: -2
Rule 84: 331211e1e3159c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00d0000009000c0800, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 87: 2151c1c318111418d5, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: e331c1ec31d194712e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2d58221115c1121151, Class:  0, CF:0.171668, Len: 18, Fitness_tra: 0
Rule 90: 090000004000003000, Class:  1, CF:0.146642, Len:  3, Fitness_tra: 0
Rule 91: 105003000000c00000, Class:  1, CF:0.295387, Len:  4, Fitness_tra: 0
Rule 92: 0ceccc00400000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: cc04202d10700c02c2, Class:  0, CF:  1, Len: 12, Fitness_tra: 0
Rule 94: 00200000d0dd000370, Class:  0, CF:0.783729, Len:  6, Fitness_tra: 0
Rule 95: 001c47624000301100, Class:  0, CF:0.622085, Len: 10, Fitness_tra: 0
Rule 96: 5000cb011012042111, Class:  1, CF:0.0493274, Len: 12, Fitness_tra: 0
Rule 97: 0080000e000a000000, Class:  0, CF:0.775969, Len:  3, Fitness_tra: 0
Rule 98: c30800003050000000, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 99: 0000400000d0000000, Class:  0, CF:0.503948, Len:  2, Fitness_tra: 0
Rule100: 00888121101100b010, Class:  0, CF:  1, Len: 11, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.2155
------Result------
Miss_rate(tra)	:58.2155
Miss_rate(tst)	:42.3529
ARL				:6.52542

------Generation 2------
Rule  1: b000000000000000b0, Class:  0, CF:0.241429, Len:  2, Fitness_tra: 97
