------Generation 0------
Rule  1: 131144ab1113651282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 185121814812111155, Class:  1, CF:0.124913, Len: 18, Fitness_tra: 0
Rule 31: 3118223193d3911583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 111124c5cd14181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 33314212518394dc81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: c11224812211111141, Class:  1, CF:0.0172015, Len: 18, Fitness_tra: 0
Rule 36: 511117294524118221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 5111c11d21c1225511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000070000000000000, Class:  1, CF:0.00717344, Len:  1, Fitness_tra: 0
Rule 40: 5118c721221c121419, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: c151221dc84cd25112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000070005000000000, Class:  1, CF:0.214324, Len:  2, Fitness_tra: 0
Rule 43: 00f000000000000000, Class:  0, CF:0.0629939, Len:  1, Fitness_tra: 0
Rule 44: 5d11419c58d1d22181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 800000000000040cc0, Class:  1, CF:0.391647, Len:  4, Fitness_tra: 0
Rule 46: 3318c25c1311975155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 030000000000000000, Class:  0, CF:0.016209, Len:  1, Fitness_tra: 0
Rule 48: 2211c481185c1181d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 9931125c1959112115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e9a1225491d1911119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 115c112dc8c2511112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 1814448941111c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 5511228d191c211125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: cd1136111514511211, Class:  0, CF:0.107658, Len: 18, Fitness_tra: 0
Rule 55: 1e32c21751511418d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 153524925515d11121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000004000000000, Class:  1, CF:0.173106, Len:  1, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 15651411d12d514d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 115c421545cc811115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 211414c1c321541118, Class:  1, CF:0.520424, Len: 18, Fitness_tra: 0
Rule 64: 313d845131951cb111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 211c22111124212131, Class:  0, CF:0.393376, Len: 18, Fitness_tra: 0
Rule 66: 1a154114391f1811cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 3931813c99d1945329, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5d5841122112511555, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 69: 228441c1228c552212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: c814711142121c8818, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1d121c8dc188211185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: d1958458cc2c121d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1e1dc2171e19e21111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: d40000000000b00030, Class:  1, CF:0.217871, Len:  4, Fitness_tra: 0
Rule 75: 121c2119112c512781, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: dd0000000d00500000, Class:  1, CF:0.394757, Len:  4, Fitness_tra: 0
Rule 77: 3315cce21359511123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1d1111c11182212841, Class:  1, CF:0.00863098, Len: 18, Fitness_tra: 0
Rule 79: 9115c1e11139322221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 81d41211c11c112111, Class:  1, CF:0.490869, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000007000000000800, Class:  1, CF:0.297565, Len:  2, Fitness_tra: -3
Rule 83: 2292c2811118c14193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000000400000, Class:  1, CF:0.00449373, Len:  1, Fitness_tra: 0
Rule 85: 2112448318818c1122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 86: 000800000000007d00, Class:  1, CF:0.0497118, Len:  3, Fitness_tra: 0
Rule 87: 55d2c48c11885212e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 933841921351343e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 2c27444e127221e211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 514527d45d5d5cc111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 010000000000000006, Class:  0, CF:0.29261, Len:  2, Fitness_tra: 45
Rule 93: 2032000930051c0011, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: c880120980211048b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0a60c0050407b11100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00107402105c0081d0, Class:  0, CF:0.457327, Len: 10, Fitness_tra: 0
Rule 97: d0d02002118c000501, Class:  1, CF:0.290682, Len: 10, Fitness_tra: 0
Rule 98: 109008041050000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 9e212b9713141452e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000704000000000d00, Class:  1, CF:0.357101, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:69.3463
------Result------
Miss_rate(tra)	:69.3463
Miss_rate(tst)	:52.9412
ARL				:6.7

------Generation 1------
Rule  1: 009000000000000000, Class:  1, CF:0.388826, Len:  1, Fitness_tra: 14
Rule  2: 010000000000000006, Class:  0, CF:0.29261, Len:  2, Fitness_tra: 44
Rule  3: 0d0000000000002000, Class:  1, CF:0.48602, Len:  2, Fitness_tra: 28
Rule  4: 003070000000000000, Class:  0, CF:0.251814, Len:  2, Fitness_tra: 27
Rule  5: 000000000000000500, Class:  1, CF:0.341909, Len:  1, Fitness_tra: 15
Rule  6: 500000000000000000, Class:  1, CF:0.425023, Len:  1, Fitness_tra: -6
Rule  7: 00e000000000000002, Class:  1, CF:0.54602, Len:  2, Fitness_tra: 9
Rule  8: 000cc0000000000000, Class:  0, CF:0.815323, Len:  2, Fitness_tra: 6
Rule  9: 000c00000400000000, Class:  1, CF:0.32564, Len:  2, Fitness_tra: 2
Rule 10: 008080000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule 11: 000200000000000006, Class:  0, CF:0.564945, Len:  2, Fitness_tra: 3
Rule 12: 131144ab1113651282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 196d48341955121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: c5821b1988211c5812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 080000000507000000, Class:  1, CF:0.186236, Len:  3, Fitness_tra: 0
Rule 16: 5131c7d85d1d5c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2c924b8124c1841122, Class:  1, CF:0.644037, Len: 18, Fitness_tra: 0
Rule 18: 182b2bc91814582214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000704000000000d00, Class:  1, CF:0.357101, Len:  3, Fitness_tra: 0
Rule 20: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 115c22194212112728, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: c527b485118c18c12b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: cd12222d12c21c1282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000c002020005003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000040003000000d03, Class:  1, CF:0.546571, Len:  4, Fitness_tra: 0
Rule 26: 5a6121113159311155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000090ec0000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 29: 9e11429713151452d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 185121814812111155, Class:  1, CF:0.124913, Len: 18, Fitness_tra: 0
Rule 31: 3118223193d3911583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 111124c5cd14181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 33314212518394dc81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: c11224812211111141, Class:  1, CF:0.0172015, Len: 18, Fitness_tra: 0
Rule 36: 511117294524118221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 5111c11d21c1225511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000070000000000000, Class:  1, CF:0.00717344, Len:  1, Fitness_tra: 0
Rule 40: 5118c721221c121419, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: c151221dc84cd25112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000070005000000000, Class:  1, CF:0.214324, Len:  2, Fitness_tra: 0
Rule 43: 00f000000000000000, Class:  0, CF:0.0629939, Len:  1, Fitness_tra: 0
Rule 44: 5d11419c58d1d22181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 800000000000040cc0, Class:  1, CF:0.391647, Len:  4, Fitness_tra: 0
Rule 46: 3318c25c1311975155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 030000000000000000, Class:  0, CF:0.016209, Len:  1, Fitness_tra: 0
Rule 48: 2211c481185c1181d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 9931125c1959112115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: e9a1225491d1911119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 115c112dc8c2511112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 1814448941111c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 5511228d191c211125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: cd1136111514511211, Class:  0, CF:0.107658, Len: 18, Fitness_tra: 0
Rule 55: 1e32c21751511418d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 153524925515d11121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000004000000000, Class:  1, CF:0.173106, Len:  1, Fitness_tra: -68
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 15651411d12d514d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 115c421545cc811115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 211414c1c321541118, Class:  1, CF:0.520424, Len: 18, Fitness_tra: 0
Rule 64: 313d845131951cb111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 211c22111124212131, Class:  0, CF:0.393376, Len: 18, Fitness_tra: 0
Rule 66: 1a154114391f1811cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 3931813c99d1945329, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5d5841122112511555, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 69: 228441c1228c552212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: c814711142121c8818, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1d121c8dc188211185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: d1958458cc2c121d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1e1dc2171e19e21111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: d40000000000b00030, Class:  1, CF:0.217871, Len:  4, Fitness_tra: 0
Rule 75: 121c2119112c512781, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: dd0000000d00500000, Class:  1, CF:0.394757, Len:  4, Fitness_tra: 0
Rule 77: 3315cce21359511123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1d1111c11182212841, Class:  1, CF:0.00863098, Len: 18, Fitness_tra: 0
Rule 79: 9115c1e11139322221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 81d41211c11c112111, Class:  1, CF:0.490869, Len: 18, Fitness_tra: 0
Rule 81: d00000000000080000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 82: c004b0007007000080, Class:  1, CF:0.0372601, Len:  6, Fitness_tra: 0
Rule 83: e13dcc3c13d591398e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000c000000000c06a, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 85: d000000000000000c8, Class:  1, CF:0.636021, Len:  3, Fitness_tra: 90
Rule 86: 000000008088000050, Class:  1, CF:0.402196, Len:  4, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00000000008000c002, Class:  1, CF:0.476027, Len:  3, Fitness_tra: 0
Rule 89: 00f000000000000000, Class:  0, CF:0.0629939, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 3311c21c15e1975115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 516c21113125312155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: c5852b198815d16122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: c151221dc84cd25112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 191d423719151452dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 010004000000120d10, Class:  1, CF:0.30511, Len:  6, Fitness_tra: 0
Rule 98: 010000000000000006, Class:  0, CF:0.29261, Len:  0, Fitness_tra: 0
Rule 99: 1d11228d111c211821, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule100: c11d845111c51cb111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.6396
------Result------
Miss_rate(tra)	:68.6396
Miss_rate(tst)	:54.1176
ARL				:6.44898

------Generation 2------
