------Generation 0------
Rule  1: c1314c8d19c11c81c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1d1581582151124151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 551541d8518d142155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: a112219cd5d35b355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 47: 2882712d112c181842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 481141c9c221122112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: 00200b000850000000, Class:  0, CF:0.439504, Len:  4, Fitness_tra: 0
Rule 51: 8111c7c58124111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000007e077b004000, Class:  0, CF:0.396259, Len:  6, Fitness_tra: 0
Rule 54: c41c4b8922c4244111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 211411252221142212, Class:  1, CF:0.149584, Len: 18, Fitness_tra: 0
Rule 56: 5c12772522c2811c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000002000000000, Class:  1, CF:0.148706, Len:  1, Fitness_tra: 0
Rule 58: 3131419c1953971913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 12c227714414221211, Class:  0, CF:0.453517, Len: 18, Fitness_tra: 0
Rule 61: 000000b00cb0000800, Class:  0, CF:0.337578, Len:  4, Fitness_tra: 1
Rule 62: 81512218c1c2212593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 8552cc15c3c211152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2d541bc912125c21c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 88114b71181b241111, Class:  0, CF:0.799602, Len: 18, Fitness_tra: 0
Rule 66: 00f000002000000000, Class:  1, CF:0.0962556, Len:  2, Fitness_tra: 0
Rule 67: 16311c949133911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1e3811e299d1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 913d1c32395d119183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 25522b1dc24c512221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00c0000007b0080804, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 73: 000000000007000000, Class:  1, CF:0.0383701, Len:  1, Fitness_tra: 0
Rule 74: 009000058000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 75: 9e122ce49edd929dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000008, Class:  1, CF:0.200479, Len:  1, Fitness_tra: 11
Rule 77: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 0
Rule 78: 11d521c2482c2111d5, Class:  1, CF:0.11053, Len: 18, Fitness_tra: 0
Rule 79: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 80: 00e00000200000d000, Class:  1, CF:0.817047, Len:  3, Fitness_tra: 40
Rule 81: 000000000000500000, Class:  1, CF:0.18406, Len:  1, Fitness_tra: -3
Rule 82: 21571229411c152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 166dc1115e13521d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 128147251847821117, Class:  0, CF:0.967971, Len: 18, Fitness_tra: 0
Rule 85: 931d4452912114d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: dd0080004000000200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000080000, Class:  0, CF:0.891892, Len:  1, Fitness_tra: 8
Rule 88: 00d00b0000000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: c51412c94181d21141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2111272321215c4714, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 91: 2581744121c158142b, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000000000000c00, Class:  1, CF:0.185765, Len:  1, Fitness_tra: 18
Rule 94: 81122121222414113e, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 009c700d50000b5006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 5531829491d11212d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000cd00d007000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 99: 1135b11263311212c4, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 00000b0000000c0000, Class:  0, CF:0.735608, Len:  2, Fitness_tra: 26
------Current------
Miss_rate(tra)	:71.9577
------Result------
Miss_rate(tra)	:71.9577
Miss_rate(tst)	:61.9048
ARL				:6.05085

------Generation 0------
Rule  1: 00e00000200000d000, Class:  1, CF:0.817047, Len:  3, Fitness_tra: 27
Rule  2: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 31
Rule  3: 00000b0000000c0000, Class:  0, CF:0.735608, Len:  2, Fitness_tra: 26
Rule  4: 000000000000000c00, Class:  1, CF:0.185765, Len:  1, Fitness_tra: 18
Rule  5: d8000000080000c000, Class:  1, CF:0.480605, Len:  4, Fitness_tra: 15
Rule  6: 000000000000000008, Class:  1, CF:0.200479, Len:  1, Fitness_tra: -2
Rule  7: 000000000000080000, Class:  0, CF:0.891892, Len:  1, Fitness_tra: 8
Rule  8: 000000000000c00000, Class:  0, CF:0.0624128, Len:  1, Fitness_tra: 7
Rule  9: 800000000000000000, Class:  1, CF:0.19018, Len:  1, Fitness_tra: -10
Rule 10: 000000004000000000, Class:  1, CF:0.168928, Len:  1, Fitness_tra: -4
Rule 11: d00b00000000000004, Class:  1, CF:0.312466, Len:  3, Fitness_tra: 3
Rule 12: 002050000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 13: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 14: 009070000050000000, Class:  0, CF:0.512877, Len:  3, Fitness_tra: 1
Rule 15: 000000b00cb0000800, Class:  0, CF:0.337578, Len:  4, Fitness_tra: 1
Rule 16: c1314c8d19c11c81c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000500025c00000000, Class:  0, CF:0.0481253, Len:  4, Fitness_tra: 0
Rule 18: 0000000005000c0020, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 19: 0000000f0000000000, Class:  1, CF:0.0157647, Len:  1, Fitness_tra: 0
Rule 20: 00a040000080000003, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 21c2b441818c252241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51e121521121522185, Class:  1, CF:0.939374, Len: 18, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cd14142d8882512128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1914141dc1c11124c5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 000d00d0d000000000, Class:  0, CF:0.0978641, Len:  3, Fitness_tra: 0
Rule 29: 116242921159942151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0e000000e00e0700c0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 00f070000000000000, Class:  0, CF:0.0883789, Len:  2, Fitness_tra: 0
Rule 32: c1147223112255c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: ed38115cd111122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 182747814c111c51c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d124c1d211c1c4125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 51d51b5c8528141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 39611431111534d88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 363dc212931e5721c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1d1581582151124151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 551541d8518d142155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a112219cd5d35b355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 46: 2882712d112c181842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 481141c9c221122112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00200b000850000000, Class:  0, CF:0.439504, Len:  4, Fitness_tra: 0
Rule 50: 8111c7c58124111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000007e077b004000, Class:  0, CF:0.396259, Len:  6, Fitness_tra: 0
Rule 53: c41c4b8922c4244111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 211411252221142212, Class:  1, CF:0.149584, Len: 18, Fitness_tra: 0
Rule 55: 5c12772522c2811c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000002000000000, Class:  1, CF:0.148706, Len:  1, Fitness_tra: -4
Rule 57: 3131419c1953971913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 12c227714414221211, Class:  0, CF:0.453517, Len: 18, Fitness_tra: 0
Rule 60: 21d2c211112c122125, Class:  0, CF:0.45503, Len: 18, Fitness_tra: 0
Rule 61: 81512218c1c2212593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 8552cc15c3c211152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 2d541bc912125c21c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 88114b71181b241111, Class:  0, CF:0.799602, Len: 18, Fitness_tra: 0
Rule 65: 00f000002000000000, Class:  1, CF:0.0962556, Len:  2, Fitness_tra: 0
Rule 66: 16311c949133911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1e3811e299d1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 913d1c32395d119183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 25522b1dc24c512221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00c0000007b0080804, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 72: 000000000007000000, Class:  1, CF:0.0383701, Len:  1, Fitness_tra: 0
Rule 73: 009000058000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 74: 9e122ce49edd929dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 118111134c44121111, Class:  0, CF:0.0929593, Len: 18, Fitness_tra: 0
Rule 76: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 0
Rule 77: 11d521c2482c2111d5, Class:  1, CF:0.11053, Len: 18, Fitness_tra: 0
Rule 78: 15a5c151d12d122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 6000080c000000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 21571229411c152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00e000008d00002000, Class:  1, CF:0.579533, Len:  4, Fitness_tra: 18
Rule 82: 251244851112511111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 83: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 84: 08000000d00d200000, Class:  1, CF:0.114043, Len:  4, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 333122fb1e1332128b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1efd123291d1115329, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00f000003000000900, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 89: 5000000b000000000d, Class:  1, CF:0.634472, Len:  3, Fitness_tra: 17
Rule 90: 336d14e19ed312e5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 00100c0d010c08400e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0d0d00004000000000, Class:  1, CF:0.181749, Len:  3, Fitness_tra: 0
Rule 93: 5ce1715521c1022c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0090000522c0811010, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 95: 2511124961c1d81141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 356412c1461542db81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 00ce00000000080004, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 98: 000000000000000c00, Class:  1, CF:0.185765, Len:  0, Fitness_tra: 0
Rule 99: 00d060111020000000, Class:  1, CF:0.254146, Len:  6, Fitness_tra: 0
Rule100: 000000070000000c50, Class:  1, CF:0.0162444, Len:  3, Fitness_tra: 0
------Current------
Miss_rate(tra)	:71.7813
------Result------
Miss_rate(tra)	:71.7813
Miss_rate(tst)	:60.7143
ARL				:5.37288

------Generation 1------
Rule  1: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 71
Rule  2: 00e00000200000d000, Class:  1, CF:0.817047, Len:  3, Fitness_tra: 34
Rule  3: 00000b0000000c0000, Class:  0, CF:0.735608, Len:  2, Fitness_tra: 27
Rule  4: 000000000000000c00, Class:  1, CF:0.185765, Len:  1, Fitness_tra: 29
Rule  5: 00e000008d00002000, Class:  1, CF:0.579533, Len:  4, Fitness_tra: 15
Rule  6: 5000000b000000000d, Class:  1, CF:0.634472, Len:  3, Fitness_tra: 24
Rule  7: d8000000080000c000, Class:  1, CF:0.480605, Len:  4, Fitness_tra: 24
Rule  8: 000000000000080000, Class:  0, CF:0.891892, Len:  1, Fitness_tra: 8
Rule  9: 000000000000c00000, Class:  0, CF:0.0624128, Len:  1, Fitness_tra: 32
Rule 10: d00b00000000000004, Class:  1, CF:0.312466, Len:  3, Fitness_tra: 5
Rule 11: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule 12: 002050000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 13: 00f000003000000900, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 14: 009070000050000000, Class:  0, CF:0.512877, Len:  3, Fitness_tra: 0
Rule 15: 000000b00cb0000800, Class:  0, CF:0.337578, Len:  4, Fitness_tra: 0
Rule 16: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 17: 000000070000000c50, Class:  1, CF:0.0162444, Len:  3, Fitness_tra: 0
Rule 18: 0000000005000c0020, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 19: 0000000f0000000000, Class:  1, CF:0.0157647, Len:  1, Fitness_tra: 0
Rule 20: 00a040000080000003, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 21c2b441818c252241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51e121521121522185, Class:  1, CF:0.939374, Len: 18, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: cd14142d8882512128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1914141dc1c11124c5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 000d00d0d000000000, Class:  0, CF:0.0978641, Len:  3, Fitness_tra: 0
Rule 29: 116242921159942151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0e000000e00e0700c0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 00f070000000000000, Class:  0, CF:0.0883789, Len:  2, Fitness_tra: 0
Rule 32: c1147223112255c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: ed38115cd111122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 182747814c111c51c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d124c1d211c1c4125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 51d51b5c8528141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 39611431111534d88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 363dc212931e5721c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1d1581582151124151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 551541d8518d142155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a112219cd5d35b355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 46: 2882712d112c181842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 481141c9c221122112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00200b000850000000, Class:  0, CF:0.439504, Len:  4, Fitness_tra: 0
Rule 50: 8111c7c58124111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0000007e077b004000, Class:  0, CF:0.396259, Len:  6, Fitness_tra: 0
Rule 53: c41c4b8922c4244111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 211411252221142212, Class:  1, CF:0.149584, Len: 18, Fitness_tra: 0
Rule 55: 5c12772522c2811c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3131419c1953971913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 12c227714414221211, Class:  0, CF:0.453517, Len: 18, Fitness_tra: 0
Rule 59: 21d2c211112c122125, Class:  0, CF:0.45503, Len: 18, Fitness_tra: 0
Rule 60: 81512218c1c2212593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 8552cc15c3c211152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2d541bc912125c21c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88114b71181b241111, Class:  0, CF:0.799602, Len: 18, Fitness_tra: 0
Rule 64: 00f000002000000000, Class:  1, CF:0.0962556, Len:  2, Fitness_tra: 0
Rule 65: 16311c949133911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1e3811e299d1113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 913d1c32395d119183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 25522b1dc24c512221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000580000000000099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00c0000007b0080804, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 71: 000000000007000000, Class:  1, CF:0.0383701, Len:  1, Fitness_tra: -4
Rule 72: 009000058000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 73: 9e122ce49edd929dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 118111134c44121111, Class:  0, CF:0.0929593, Len: 18, Fitness_tra: 0
Rule 75: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 0
Rule 76: 11d521c2482c2111d5, Class:  1, CF:0.11053, Len: 18, Fitness_tra: 0
Rule 77: 15a5c151d12d122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 6000080c000000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 21571229411c152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00d060111020000000, Class:  1, CF:0.254146, Len:  6, Fitness_tra: 0
Rule 81: 000000002000000002, Class:  1, CF:0.294253, Len:  2, Fitness_tra: 20
Rule 82: 000000000000000d00, Class:  1, CF:0.314055, Len:  1, Fitness_tra: 32
Rule 83: e13d24145315913119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000008000090000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 85: 000000094040000e50, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 86: 800000004000000003, Class:  0, CF:0.832011, Len:  3, Fitness_tra: 35
Rule 87: 36112b126916122112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 19a114141ed3572d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11ec212111cc123215, Class:  1, CF:0.420586, Len: 18, Fitness_tra: 0
Rule 90: 0000000f0000000000, Class:  1, CF:0.0157647, Len:  0, Fitness_tra: 0
Rule 91: 00e50604000000d009, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule 92: 39000031111734d000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0e1200e09e00020700, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 94: 00900000405000e000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 95: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 238711004010c02007, Class:  1, CF:0.307668, Len: 11, Fitness_tra: 0
Rule 97: d00000970000000050, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 98: d5641151d615422b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: d00b00000000000009, Class:  1, CF:0.468223, Len:  3, Fitness_tra: -1
Rule100: 9e1221e2912d529d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:52.9982
------Result------
