------Generation 0------
Rule  1: c484271e2112c11124, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 29: 1e3544dc158d912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 55d88155c181d78813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 251121212d24111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 193d14529519112c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0030000000000000c0, Class:  0, CF:0.349885, Len:  2, Fitness_tra: -2
Rule 34: 0000c0000000000000, Class:  0, CF:0.831048, Len:  1, Fitness_tra: 10
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1335221b6916311124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000500000, Class:  1, CF:0.182682, Len:  1, Fitness_tra: 0
Rule 38: 9ea24c941e535c9d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000007080000000380, Class:  0, CF:0.554521, Len:  4, Fitness_tra: 9
Rule 40: 13111c2dc52cd87112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000002000000000, Class:  1, CF:0.155652, Len:  1, Fitness_tra: 0
Rule 42: 333d11145515d72583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000b0000000000, Class:  1, CF:0.345234, Len:  1, Fitness_tra: 150
Rule 44: 0c0000000507000000, Class:  0, CF:0.386435, Len:  3, Fitness_tra: 1
Rule 45: 841242192212c15121, Class:  1, CF:0.773934, Len: 18, Fitness_tra: 0
Rule 46: 00e800000000e00c00, Class:  0, CF:0.561779, Len:  4, Fitness_tra: 0
Rule 47: 2182c1c115c21c2281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00000070007b000000, Class:  0, CF:0.0830644, Len:  3, Fitness_tra: 1
Rule 49: 000000020000000000, Class:  0, CF:0.128226, Len:  1, Fitness_tra: 27
Rule 50: 82171b21c11412224b, Class:  0, CF:0.727645, Len: 18, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2582b74d4214812221, Class:  1, CF:0.872277, Len: 18, Fitness_tra: 0
Rule 53: 1195471228182115d5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 090000000500000003, Class:  0, CF:0.976572, Len:  3, Fitness_tra: 6
Rule 55: 31352c315111142213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: cc0000000c00000000, Class:  0, CF:0.18037, Len:  3, Fitness_tra: 7
Rule 57: 000c00000000009080, Class:  1, CF:0.963141, Len:  3, Fitness_tra: 16
Rule 58: 996811e25359341251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 819412c5218c2c1585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2121712e27474c2111, Class:  0, CF:0.705807, Len: 18, Fitness_tra: 0
Rule 61: 2d5214c1c3141c2211, Class:  1, CF:0.53261, Len: 18, Fitness_tra: 0
Rule 62: 131221571913d2511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 22411123122118c117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 000000000000900000, Class:  0, CF:0.184779, Len:  1, Fitness_tra: 0
Rule 65: 0000000000000000c0, Class:  1, CF:0.213125, Len:  1, Fitness_tra: -33
Rule 66: d0500b000d000000d0, Class:  1, CF:0.610423, Len:  5, Fitness_tra: 0
Rule 67: 000000088008000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 68: 121247114242211211, Class:  1, CF:0.0484564, Len: 18, Fitness_tra: 0
Rule 69: 090000000500070000, Class:  0, CF:0.205929, Len:  3, Fitness_tra: 0
Rule 70: 1e124491191d123929, Class:  0, CF:0.999481, Len: 18, Fitness_tra: 0
Rule 71: 1e1514eb13d9912c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000007b000000, Class:  0, CF:0.0813438, Len:  2, Fitness_tra: 1
Rule 73: 000000900000009000, Class:  1, CF:0.951859, Len:  2, Fitness_tra: 0
Rule 74: 0000c00cd02d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3e382c1c53d5313515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000070000000000000, Class:  1, CF:0.0115957, Len:  1, Fitness_tra: 0
Rule 77: d215218c1121225151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 183c41152124212893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 882722c12141152821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 12922b52148cc11515, Class:  1, CF:0.439794, Len: 18, Fitness_tra: 0
Rule 81: 13311b3231311c2144, Class:  1, CF:0.174345, Len: 18, Fitness_tra: 0
Rule 82: 222112211511272bd1, Class:  1, CF:0.187999, Len: 18, Fitness_tra: 0
Rule 83: 000000000080400000, Class:  1, CF:0.286139, Len:  2, Fitness_tra: -1
Rule 84: 5000000b000000000d, Class:  1, CF:0.683487, Len:  3, Fitness_tra: 7
Rule 85: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000000000000d000, Class:  1, CF:0.346658, Len:  1, Fitness_tra: 3
Rule 87: 00000000300000c000, Class:  0, CF:0.119194, Len:  2, Fitness_tra: -3
Rule 88: 96312b1b3131111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 239114111121d81125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1915121c39d11488d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 8d11242113c4d811c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 90d00b0050000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000000000000c0, Class:  1, CF:0.213125, Len:  1, Fitness_tra: 0
Rule 94: 12d212111c22241411, Class:  0, CF:0.0482412, Len: 18, Fitness_tra: 0
Rule 95: 1e151c949ed95235d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: d15817c141c1242513, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 123824115811cb2159, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 99: 85d1271d422c141159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:57.5088
------Result------
Miss_rate(tra)	:57.5088
Miss_rate(tst)	:42.3529
ARL				:6.95238

------Generation 0------
Rule  1: 0000000b0000000000, Class:  1, CF:0.345234, Len:  1, Fitness_tra: 77
Rule  2: 000000000000000003, Class:  0, CF:0.384384, Len:  1, Fitness_tra: 88
Rule  3: 000000020000000000, Class:  0, CF:0.128226, Len:  1, Fitness_tra: 58
Rule  4: 000c00000000009080, Class:  1, CF:0.963141, Len:  3, Fitness_tra: 12
Rule  5: 0000c0000000000000, Class:  0, CF:0.831048, Len:  1, Fitness_tra: 13
Rule  6: 000007080000000380, Class:  0, CF:0.554521, Len:  4, Fitness_tra: 14
Rule  7: 5000000b000000000d, Class:  1, CF:0.683487, Len:  3, Fitness_tra: 2
Rule  8: cc0000000c00000000, Class:  0, CF:0.18037, Len:  3, Fitness_tra: 15
Rule  9: 090000000500000003, Class:  0, CF:0.976572, Len:  3, Fitness_tra: 4
Rule 10: 00000000000000d000, Class:  1, CF:0.346658, Len:  1, Fitness_tra: -6
Rule 11: 00000070007b000000, Class:  0, CF:0.0830644, Len:  3, Fitness_tra: 0
Rule 12: 00000000007b000000, Class:  0, CF:0.0813438, Len:  2, Fitness_tra: -3
Rule 13: 0c0000000507000000, Class:  0, CF:0.386435, Len:  3, Fitness_tra: 1
Rule 14: c484271e2112c11124, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 11352212d959171d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 8312241559241c21c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000004000000050, Class:  0, CF:0.00519463, Len:  2, Fitness_tra: 0
Rule 18: 241814cd121217251e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21811bc94284112221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 24dc12124182121111, Class:  1, CF:0.167148, Len: 18, Fitness_tra: 0
Rule 21: 0d00c0000000d00005, Class:  1, CF:0.597061, Len:  4, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2252478348421c4412, Class:  0, CF:0.993631, Len: 18, Fitness_tra: 0
Rule 24: 003c400d50000b5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13312b115111121115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 181cc4551c8c241115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 31381711d585511121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1e3544dc158d912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 55d88155c181d78813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 251121212d24111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 193d14529519112c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000c5000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1335221b6916311124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000500000, Class:  1, CF:0.182682, Len:  1, Fitness_tra: 0
Rule 38: 9ea24c941e535c9d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000008088000050, Class:  1, CF:0.399939, Len:  4, Fitness_tra: 0
Rule 40: 13111c2dc52cd87112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000002000000000, Class:  1, CF:0.155652, Len:  1, Fitness_tra: 0
Rule 42: 333d11145515d72583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1565c15c8515d22d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 841242192212c15121, Class:  1, CF:0.773934, Len: 18, Fitness_tra: 0
Rule 46: 00e800000000e00c00, Class:  0, CF:0.561779, Len:  4, Fitness_tra: 0
Rule 47: 2182c1c115c21c2281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1812212341cb2211c1, Class:  1, CF:0.241091, Len: 18, Fitness_tra: 0
Rule 49: 9112741113366211c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 82171b21c11412224b, Class:  0, CF:0.727645, Len: 18, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2582b74d4214812221, Class:  1, CF:0.872277, Len: 18, Fitness_tra: 0
Rule 53: 1195471228182115d5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 000080004000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 55: 31352c315111142213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000070000000000000, Class:  1, CF:0.0115957, Len:  1, Fitness_tra: 0
Rule 57: 531414cd15c1111285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 996811e25359341251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 819412c5218c2c1585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2121712e27474c2111, Class:  0, CF:0.705807, Len: 18, Fitness_tra: 0
Rule 61: 2d5214c1c3141c2211, Class:  1, CF:0.53261, Len: 18, Fitness_tra: 0
Rule 62: 131221571913d2511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 22411123122118c117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 000000000000900000, Class:  0, CF:0.184779, Len:  1, Fitness_tra: 0
Rule 65: d0500b000d000000d0, Class:  1, CF:0.610423, Len:  5, Fitness_tra: 0
Rule 66: 000000088008000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 67: 121247114242211211, Class:  1, CF:0.0484564, Len: 18, Fitness_tra: 0
Rule 68: 090000000500070000, Class:  0, CF:0.205929, Len:  3, Fitness_tra: 0
Rule 69: 1e124491191d123929, Class:  0, CF:0.999481, Len: 18, Fitness_tra: 0
Rule 70: 1e1514eb13d9912c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00c0000007b0080004, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 000000900000009000, Class:  1, CF:0.951859, Len:  2, Fitness_tra: 0
Rule 73: 0000c00cd02d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3e382c1c53d5313515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000070000000000000, Class:  1, CF:0.0115957, Len:  1, Fitness_tra: 0
Rule 76: d215218c1121225151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 183c41152124212893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 882722c12141152821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 12922b52148cc11515, Class:  1, CF:0.439794, Len: 18, Fitness_tra: 0
Rule 80: 13311b3231311c2144, Class:  1, CF:0.174345, Len: 18, Fitness_tra: 0
Rule 81: 000070000000000000, Class:  1, CF:0.0115957, Len:  0, Fitness_tra: 0
Rule 82: 090000000500070000, Class:  0, CF:0.205929, Len:  0, Fitness_tra: 0
Rule 83: 311dc89219d11115d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 002000000000000000, Class:  1, CF:0.102674, Len:  1, Fitness_tra: -7
Rule 85: e3181154dddd5121d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 009000000000000000, Class:  1, CF:0.417579, Len:  1, Fitness_tra: 113
Rule 87: 0a0000000600000002, Class:  1, CF:0.0269949, Len:  3, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5d1142811181221c55, Class:  1, CF:0.419057, Len: 18, Fitness_tra: 0
Rule 90: 185241c51214222252, Class:  1, CF:0.839981, Len: 18, Fitness_tra: 0
Rule 91: 000c07404214010201, Class:  1, CF:0.403548, Len: 10, Fitness_tra: 0
Rule 92: 208200011500002001, Class:  1, CF:0.183834, Len:  8, Fitness_tra: 0
Rule 93: 000000900040009000, Class:  1, CF:0.95338, Len:  3, Fitness_tra: 0
Rule 94: 0d6124011b00d810c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 13111b3211d9112143, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 9ea24c941e535c9d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 41302c300510040600, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 02002e100010000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 724111231221181117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 000000004000000050, Class:  0, CF:0.00519463, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.9399
------Result------
Miss_rate(tra)	:48.9399
Miss_rate(tst)	:36.4706
ARL				:7.3

------Generation 1------
Rule  1: 009000000000000000, Class:  1, CF:0.417579, Len:  1, Fitness_tra: 119
Rule  2: 000000000000000003, Class:  0, CF:0.384384, Len:  1, Fitness_tra: 88
Rule  3: 0000000b0000000000, Class:  1, CF:0.345234, Len:  1, Fitness_tra: 87
Rule  4: 000000020000000000, Class:  0, CF:0.128226, Len:  1, Fitness_tra: 50
Rule  5: cc0000000c00000000, Class:  0, CF:0.18037, Len:  3, Fitness_tra: 18
Rule  6: 000007080000000380, Class:  0, CF:0.554521, Len:  4, Fitness_tra: 12
Rule  7: 0000c0000000000000, Class:  0, CF:0.831048, Len:  1, Fitness_tra: 12
Rule  8: 000c00000000009080, Class:  1, CF:0.963141, Len:  3, Fitness_tra: 12
Rule  9: 090000000500000003, Class:  0, CF:0.976572, Len:  3, Fitness_tra: 4
Rule 10: 5000000b000000000d, Class:  1, CF:0.683487, Len:  3, Fitness_tra: 2
Rule 11: 0c0000000507000000, Class:  0, CF:0.386435, Len:  3, Fitness_tra: 2
Rule 12: 000080004000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 13: 000000004000000050, Class:  0, CF:0.00519463, Len:  0, Fitness_tra: 0
Rule 14: c484271e2112c11124, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 11352212d959171d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 8312241559241c21c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000004000000050, Class:  0, CF:0.00519463, Len:  2, Fitness_tra: 0
Rule 18: 241814cd121217251e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21811bc94284112221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 24dc12124182121111, Class:  1, CF:0.167148, Len: 18, Fitness_tra: 0
Rule 21: 0d00c0000000d00005, Class:  1, CF:0.597061, Len:  4, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2252478348421c4412, Class:  0, CF:0.993631, Len: 18, Fitness_tra: 0
Rule 24: 003c400d50000b5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13312b115111121115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 181cc4551c8c241115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 31381711d585511121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1e3544dc158d912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 55d88155c181d78813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 251121212d24111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 193d14529519112c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000c5000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1335221b6916311124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000500000, Class:  1, CF:0.182682, Len:  1, Fitness_tra: 0
Rule 38: 9ea24c941e535c9d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000008088000050, Class:  1, CF:0.399939, Len:  4, Fitness_tra: 0
Rule 40: 13111c2dc52cd87112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000002000000000, Class:  1, CF:0.155652, Len:  1, Fitness_tra: 0
Rule 42: 333d11145515d72583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1565c15c8515d22d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 841242192212c15121, Class:  1, CF:0.773934, Len: 18, Fitness_tra: 0
Rule 46: 00e800000000e00c00, Class:  0, CF:0.561779, Len:  4, Fitness_tra: 0
Rule 47: 2182c1c115c21c2281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1812212341cb2211c1, Class:  1, CF:0.241091, Len: 18, Fitness_tra: 0
Rule 49: 9112741113366211c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 82171b21c11412224b, Class:  0, CF:0.727645, Len: 18, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2582b74d4214812221, Class:  1, CF:0.872277, Len: 18, Fitness_tra: 0
Rule 53: 1195471228182115d5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 724111231221181117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 55: 31352c315111142213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000070000000000000, Class:  1, CF:0.0115957, Len:  1, Fitness_tra: 0
Rule 57: 531414cd15c1111285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 996811e25359341251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 819412c5218c2c1585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2121712e27474c2111, Class:  0, CF:0.705807, Len: 18, Fitness_tra: 0
Rule 61: 2d5214c1c3141c2211, Class:  1, CF:0.53261, Len: 18, Fitness_tra: 0
Rule 62: 131221571913d2511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 22411123122118c117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 000000000000900000, Class:  0, CF:0.184779, Len:  1, Fitness_tra: 0
Rule 65: d0500b000d000000d0, Class:  1, CF:0.610423, Len:  5, Fitness_tra: 0
Rule 66: 000000088008000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 67: 121247114242211211, Class:  1, CF:0.0484564, Len: 18, Fitness_tra: 0
Rule 68: 090000000500070000, Class:  0, CF:0.205929, Len:  3, Fitness_tra: 0
Rule 69: 1e124491191d123929, Class:  0, CF:0.999481, Len: 18, Fitness_tra: 0
Rule 70: 1e1514eb13d9912c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00c0000007b0080004, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 000000900000009000, Class:  1, CF:0.951859, Len:  2, Fitness_tra: 0
Rule 73: 0000c00cd02d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3e382c1c53d5313515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000070000000000000, Class:  1, CF:0.0115957, Len:  1, Fitness_tra: 0
Rule 76: d215218c1121225151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 183c41152124212893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 882722c12141152821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 12922b52148cc11515, Class:  1, CF:0.439794, Len: 18, Fitness_tra: 0
Rule 80: 13311b3231311c2144, Class:  1, CF:0.174345, Len: 18, Fitness_tra: 0
Rule 81: 8812248821582421d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00000000500000e000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 83: 90d00b0050000c0005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1515421c118ddc7513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 11fd81e791d3915159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000090, Class:  0, CF:0.376189, Len:  1, Fitness_tra: 34
Rule 87: 5c1521221888128d51, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00f000000000000002, Class:  1, CF:0.179625, Len:  2, Fitness_tra: 0
Rule 90: 82514411885cc2215d, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 91: 01c70200d9b9180d05, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 848427002002c10094, Class:  0, CF:0.547401, Len: 12, Fitness_tra: 0
Rule 93: 3008001c500031353d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2580b9480004000281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 01359500d009071055, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 7ddb8e531221d88113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 13111c27c52cd8a1c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 19351b52151ac11581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0c0000000c00000020, Class:  0, CF:0.135915, Len:  3, Fitness_tra: 0
Rule100: 41302c23451b040100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
