------Generation 0------
Rule  1: c51114254882521281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000000000000b0000, Class:  1, CF:0.0133942, Len:  1, Fitness_tra: -4
Rule 89: 289521228811844913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 11d22115cd4154111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 32d212181212211511, Class:  0, CF:0.0230784, Len: 18, Fitness_tra: 0
Rule 92: 591824511511111111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 93: d8c112c32817251284, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00d0000208500000d0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 95: 000000000000000e00, Class:  0, CF:  1, Len:  1, Fitness_tra: 13
Rule 96: 00c0c0b000b000db00, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 97: 85572812c1c48c2c85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: d1d51411111c51113e, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 99: 1138c785c1cc575253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 2157418122412c2117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
------Current------
Miss_rate(tra)	:49.6569
------Result------
Miss_rate(tra)	:49.6569
Miss_rate(tst)	:23.8095
ARL				:11.4186

------Generation 0------
Rule  1: 000c00000000000000, Class:  0, CF:0.877108, Len:  1, Fitness_tra: 245
Rule  2: 000000000c00000002, Class:  1, CF:0.173618, Len:  2, Fitness_tra: 103
Rule  3: 00000000000000000c, Class:  1, CF:0.0711283, Len:  1, Fitness_tra: 71
Rule  4: 000000060000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 88
Rule  5: 000000000b00000000, Class:  1, CF:0.0755174, Len:  1, Fitness_tra: -33
Rule  6: 000000000c00008000, Class:  1, CF:0.248727, Len:  2, Fitness_tra: 60
Rule  7: 000000000000000e00, Class:  0, CF:  1, Len:  1, Fitness_tra: 13
Rule  8: c51114254882521281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 221c27714272141596, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 581172232184254174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 113121e41359111225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 133121171151541e21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00c0c0b00000000b00, Class:  1, CF:0.2577, Len:  4, Fitness_tra: 0
Rule 14: 3138241111d1111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 525bb14e7872cc8222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 21cb11212147182112, Class:  0, CF:0.509734, Len: 18, Fitness_tra: 0
Rule 17: 222b1b194147281dc7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c12127b922228222e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 5417272eb147411251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 2157418122412c2117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 131822613313382512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0c00008d8c08000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5d621492d21d1c8451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 59edc15c258552249e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 12c4174a1777215211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c817111d811152c22d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 8132118829cc281151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8252212521c1422591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3a65116261e13111c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 13ed1c319151911115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000c0d4004080800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 15511c8d851281218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 136dc21191d1112551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51151781cc18147951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 85d412212512212121, Class:  0, CF:0.999667, Len: 18, Fitness_tra: 0
Rule 36: 121427154c211c15c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5227b1211542414811, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 38: 51d41c285d1c581215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 51218188c182121d61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1d5144251824121822, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: c4111b4944172c91c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 241c148522c4414615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 515117494572113116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 181127192212121128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 16351111ded5914181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: cd5c428921cc518721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 391121115115142113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 821717b14124211211, Class:  1, CF:0.377985, Len: 18, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11e844d22881141811, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 115522c5c211142193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 20d00b00000000d000, Class:  0, CF:0.383674, Len:  4, Fitness_tra: 0
Rule 53: 11511415454c112415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 51524c882d815c2581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: c5842b1dc114d11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c2c121417122151111, Class:  1, CF:0.963184, Len: 18, Fitness_tra: 0
Rule 57: 5111c2519ed1521553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5217472118148111c7, Class:  0, CF:0.996895, Len: 18, Fitness_tra: 0
Rule 59: 159424c11dc85151cd, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 1c111752c881222111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 61: 131118115155312115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: d25817812142842213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 199211221181121299, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 121244b62472425522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 93112c113311911121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 212c4c454517845411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 153112d82821122115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 8191122d812c147581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 500bb00a0000000000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 70: 251c2421c54c241289, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1211c22372128b51e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 228171437117b121e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 311124a461e3612147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 8884212945145c2451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3168726711e11c1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1511112d2541218111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 35f52c3135d11713d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 55242471b824c241d1, Class:  0, CF:0.999947, Len: 18, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1518212d1dc1221c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 121242451c217481ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 112471cd1541581144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: cc211121b17b225211, Class:  1, CF:0.392135, Len: 18, Fitness_tra: 0
Rule 84: 008000090000009000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 85: 1254771512842c1141, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 86: 1c1214851111121811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000440000d00087000, Class:  1, CF:0.222736, Len:  5, Fitness_tra: 0
Rule 88: 000000090000000000, Class:  1, CF:0.673155, Len:  1, Fitness_tra: 153
Rule 89: c512418921c4824112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 113c221281cc5214c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 39112411c1e3612487, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 511617454872521286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 58d42d19581d1882c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2210007a0202a40596, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 000010011000200000, Class:  0, CF:0.206475, Len:  4, Fitness_tra: 8
Rule 96: 819117ad812211c116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 5c018088cc08120000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 8030108c2b00280050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 93112c414317219122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 5152215928142181c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:48.7993
------Result------
Miss_rate(tra)	:48.7993
Miss_rate(tst)	:22.619
ARL				:11.3158

------Generation 1------
Rule  1: 000c00000000000000, Class:  0, CF:0.877108, Len:  1, Fitness_tra: 246
Rule  2: 000000090000000000, Class:  1, CF:0.673155, Len:  1, Fitness_tra: 155
Rule  3: 000000000c00000002, Class:  1, CF:0.173618, Len:  2, Fitness_tra: 71
Rule  4: 000000060000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 88
Rule  5: 00000000000000000c, Class:  1, CF:0.0711283, Len:  1, Fitness_tra: 49
Rule  6: 000000000c00008000, Class:  1, CF:0.248727, Len:  2, Fitness_tra: 51
Rule  7: 000000000000000e00, Class:  0, CF:  1, Len:  1, Fitness_tra: 13
Rule  8: 000010011000200000, Class:  0, CF:0.206475, Len:  4, Fitness_tra: 62
Rule  9: 5152215928142181c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 581172232184254174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 113121e41359111225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 133121171151541e21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00c0c0b00000000b00, Class:  1, CF:0.2577, Len:  4, Fitness_tra: 0
Rule 14: 3138241111d1111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 525bb14e7872cc8222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 21cb11212147182112, Class:  0, CF:0.509734, Len: 18, Fitness_tra: 0
Rule 17: 222b1b194147281dc7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c12127b922228222e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 5417272eb147411251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 2157418122412c2117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 131822613313382512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0c00008d8c08000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5d621492d21d1c8451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 59edc15c258552249e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 12c4174a1777215211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c817111d811152c22d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 8132118829cc281151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8252212521c1422591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3a65116261e13111c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 13ed1c319151911115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000c0d4004080800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 15511c8d851281218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 136dc21191d1112551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 51151781cc18147951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 85d412212512212121, Class:  0, CF:0.999667, Len: 18, Fitness_tra: 0
Rule 36: 121427154c211c15c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5227b1211542414811, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 38: 51d41c285d1c581215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 51218188c182121d61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1d5144251824121822, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: c4111b4944172c91c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 241c148522c4414615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 515117494572113116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 181127192212121128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 16351111ded5914181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: cd5c428921cc518721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 391121115115142113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 821717b14124211211, Class:  1, CF:0.377985, Len: 18, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11e844d22881141811, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 115522c5c211142193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 20d00b00000000d000, Class:  0, CF:0.383674, Len:  4, Fitness_tra: 0
Rule 53: 11511415454c112415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 51524c882d815c2581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: c5842b1dc114d11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: c2c121417122151111, Class:  1, CF:0.963184, Len: 18, Fitness_tra: 0
Rule 57: 5111c2519ed1521553, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 5217472118148111c7, Class:  0, CF:0.996895, Len: 18, Fitness_tra: 0
Rule 59: 159424c11dc85151cd, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 1c111752c881222111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 61: 131118115155312115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: d25817812142842213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 199211221181121299, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: 121244b62472425522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 93112c113311911121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 212c4c454517845411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 153112d82821122115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 8191122d812c147581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 500bb00a0000000000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 70: 251c2421c54c241289, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1211c22372128b51e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 228171437117b121e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 311124a461e3612147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 8884212945145c2451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3168726711e11c1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1511112d2541218111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 35f52c3135d11713d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 55242471b824c241d1, Class:  0, CF:0.999947, Len: 18, Fitness_tra: 0
Rule 79: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1518212d1dc1221c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1951112dc1c8d24728, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 85114c1d218cd88281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 002000000000000008, Class:  0, CF:0.194193, Len:  2, Fitness_tra: -83
Rule 84: 1552b4118822d18144, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 85: 5d144c1d83c2511815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8c1117c528215c2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1212c2211824142433, Class:  1, CF:0.835026, Len: 18, Fitness_tra: 0
Rule 88: 2d32221855281c2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000500008850, Class:  0, CF:0.912282, Len:  4, Fitness_tra: 0
Rule 90: 1158242d2142822111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 91: 825010862b00842253, Class:  0, CF:  1, Len: 14, Fitness_tra: 0
Rule 92: 20da00000c00008000, Class:  1, CF:0.944529, Len:  5, Fitness_tra: 0
Rule 93: 000000090000000000, Class:  1, CF:0.673155, Len:  0, Fitness_tra: 0
Rule 94: 6a05108261e812c0c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 812117a1817222c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: c1511121b572223116, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 531d67319152911216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 12e84242188174111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: c511142541c2821111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 121982654c213c25c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:38.3362
------Result------
Miss_rate(tra)	:38.3362
Miss_rate(tst)	:13.0952
ARL				:11.9048

------Generation 2------
Rule  1: 000c00000000000000, Class:  0, CF:0.877108, Len:  1, Fitness_tra: 246
