------Generation 0------
Rule  1: 13d12c81414c8241c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 9315cc545ed3e22115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: d55cc7851541121213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000003000, Class:  0, CF:0.0488111, Len:  1, Fitness_tra: -19
Rule 18: 11581241c84c22188d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 04200b000000000090, Class:  0, CF:0.0462528, Len:  4, Fitness_tra: 0
Rule 20: 1d1d221c5115142115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 518742c328211c1814, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 551822188881242151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 11d2121111cc828482, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 24: d8522745b822214252, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 2412127121b4123121, Class:  0, CF:0.214625, Len: 18, Fitness_tra: 0
Rule 26: 116141579119121155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 15512c85c92c518215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8d511c15134c1c2221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 51212b2111412812c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 00000000000000000e, Class:  1, CF:0.0427294, Len:  1, Fitness_tra: 0
Rule 31: 0800000000b0080000, Class:  0, CF:0.00707526, Len:  3, Fitness_tra: 0
Rule 32: 11112c2d11481cb888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000080, Class:  0, CF:0.0855359, Len:  1, Fitness_tra: -42
Rule 34: 9131113195d15b519e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 8192212112c4421291, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 36: 0000b0000000000000, Class:  0, CF:0.0801702, Len:  1, Fitness_tra: -76
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 5d5121cdc5825c72c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1568445111551493d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 441171111477482121, Class:  0, CF:0.284708, Len: 18, Fitness_tra: 0
Rule 41: e111441cd31314115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e312211211d1513159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1d91228d2d1421c228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 84417b414221281811, Class:  0, CF:0.678042, Len: 18, Fitness_tra: 0
Rule 45: 0d200b000000d00000, Class:  0, CF:0.993524, Len:  4, Fitness_tra: 68
Rule 46: 521514288818471191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000800008000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 78
Rule 48: 161547341393181121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 333142121333322121, Class:  1, CF:0.494673, Len: 18, Fitness_tra: 0
Rule 50: 112747114842cc5187, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 316521129115111dd9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00e00c00404400003e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 819224812114514855, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 1128212d4821c41131, Class:  1, CF:0.803481, Len: 18, Fitness_tra: 0
Rule 55: 00d000000000000000, Class:  0, CF:0.234172, Len:  1, Fitness_tra: -105
Rule 56: 888771111521551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: c2912cc14114521522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1281112322c2811233, Class:  0, CF:0.999992, Len: 18, Fitness_tra: 0
Rule 59: 15182151518d871119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 31684c52d5511b1113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 812127834881124441, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 4d212419c5cc517241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 11514128ccc8211255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 525122c12821cb1293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: d211c218c1c1411111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11911711518c143219, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 68: 281214237117cc4185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 13d12185c382d214c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 8112c12d21c2111282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 5121b22121b2171211, Class:  0, CF:0.985774, Len: 18, Fitness_tra: 0
Rule 73: c5227bc92822d11141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 00208b000008080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000c000000000004dd, Class:  0, CF:0.911703, Len:  4, Fitness_tra: 27
Rule 76: 558b11cd158c851217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1d91221c1515524213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c921411c581877159, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 79: 11581122118c115253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1d38278121111412d1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 8417271a247b282112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: c281c4112c41211193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1881112d11c1812218, Class:  1, CF:0.951263, Len: 18, Fitness_tra: 0
Rule 84: c8117b461c1b1b8133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 81114c85c5c1841211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 111222211188525d11, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 87: 00000000040000d000, Class:  0, CF:0.0315418, Len:  2, Fitness_tra: -2
Rule 88: 1ddcc88dc321581281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 189c44c12811212116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 90: 11e227121181c22131, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 91: 58d2114342c12c1755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5335125211553c221d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 81921115811c142111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 111247211121211115, Class:  0, CF:0.306183, Len: 18, Fitness_tra: 0
Rule 95: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 515427217c721212e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000c80, Class:  0, CF:0.37114, Len:  2, Fitness_tra: 3
Rule 98: 12212276741b421112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 99: 1111c131d15d1c1251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 111cc2894c228c2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:15.3516
------Result------
Miss_rate(tra)	:15.3516
Miss_rate(tst)	:23.8095
ARL				:11.6591

------Generation 1------
Rule  1: 13d12c81414c8241c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 81d2121948c7421161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: c21171892511812142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000000000500, Class:  0, CF:0.894927, Len:  1, Fitness_tra: 68
Rule  5: 81312285412c112221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 116547fb611a121124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11c14111447b2b11e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 99a1219111135414d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 113144111151942d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1211c11111cc214299, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 0000008d0080000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 21d14285258c512121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 131124979e19142251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12242419821155811b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 9315cc545ed3e22115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: d55cc7851541121213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000003000, Class:  0, CF:0.0488111, Len:  1, Fitness_tra: -19
Rule 18: 11581241c84c22188d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 04200b000000000090, Class:  0, CF:0.0462528, Len:  4, Fitness_tra: 0
Rule 20: 1d1d221c5115142115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 518742c328211c1814, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 551822188881242151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 11d2121111cc828482, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 24: d8522745b822214252, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 2412127121b4123121, Class:  0, CF:0.214625, Len: 18, Fitness_tra: 0
Rule 26: 116141579119121155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 15512c85c92c518215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8d511c15134c1c2221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 51212b2111412812c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 00000000000000000e, Class:  1, CF:0.0427294, Len:  1, Fitness_tra: 0
Rule 31: 0800000000b0080000, Class:  0, CF:0.00707526, Len:  3, Fitness_tra: 0
Rule 32: 11112c2d11481cb888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000080, Class:  0, CF:0.0855359, Len:  1, Fitness_tra: -42
Rule 34: 9131113195d15b519e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 8192212112c4421291, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 36: 0000b0000000000000, Class:  0, CF:0.0801702, Len:  1, Fitness_tra: -76
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 5d5121cdc5825c72c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1568445111551493d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 441171111477482121, Class:  0, CF:0.284708, Len: 18, Fitness_tra: 0
Rule 41: e111441cd31314115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e312211211d1513159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1d91228d2d1421c228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 84417b414221281811, Class:  0, CF:0.678042, Len: 18, Fitness_tra: 0
Rule 45: 0d200b000000d00000, Class:  0, CF:0.993524, Len:  4, Fitness_tra: 68
Rule 46: 521514288818471191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000800008000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 78
Rule 48: 161547341393181121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 333142121333322121, Class:  1, CF:0.494673, Len: 18, Fitness_tra: 0
Rule 50: 112747114842cc5187, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 316521129115111dd9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00e00c00404400003e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 819224812114514855, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 1128212d4821c41131, Class:  1, CF:0.803481, Len: 18, Fitness_tra: 0
Rule 55: 00d000000000000000, Class:  0, CF:0.234172, Len:  1, Fitness_tra: -105
Rule 56: 888771111521551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: c2912cc14114521522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1281112322c2811233, Class:  0, CF:0.999992, Len: 18, Fitness_tra: 0
Rule 59: 15182151518d871119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 31684c52d5511b1113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 812127834881124441, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 4d212419c5cc517241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 11514128ccc8211255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 525122c12821cb1293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: d211c218c1c1411111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11911711518c143219, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 68: 281214237117cc4185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 13d12185c382d214c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 8112c12d21c2111282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 5121b22121b2171211, Class:  0, CF:0.985774, Len: 18, Fitness_tra: 0
Rule 73: c5227bc92822d11141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 00208b000008080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000c000000000004dd, Class:  0, CF:0.911703, Len:  4, Fitness_tra: 27
Rule 76: 558b11cd158c851217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1d91221c1515524213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c921411c581877159, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 79: 11581122118c115253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1d38278121111412d1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 8417271a247b282112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: c281c4112c41211193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1881112d11c1812218, Class:  1, CF:0.951263, Len: 18, Fitness_tra: 0
Rule 84: c8117b461c1b1b8133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 81114c85c5c1841211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 111222211188525d11, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 87: 00000000040000d000, Class:  0, CF:0.0315418, Len:  2, Fitness_tra: -2
Rule 88: 1ddcc88dc321581281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 189c44c12811212116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 90: 11e227121181c22131, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 91: 58d2114342c12c1755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5335125211553c221d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 81921115811c142111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 111247211121211115, Class:  0, CF:0.306183, Len: 18, Fitness_tra: 0
Rule 95: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 515427217c721212e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000c80, Class:  0, CF:0.37114, Len:  2, Fitness_tra: 3
Rule 98: 12212276741b421112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 99: 1111c131d15d1c1251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 111cc2894c228c2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:15.3516
------Result------
Miss_rate(tra)	:15.3516
Miss_rate(tst)	:23.8095
ARL				:11.6591

------Generation 2------
