------Generation 0------
Rule  1: c1117c851dc11cd2c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 55d222cd15c4d21115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 5c2b4b1ab412122421, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 8594118dc1181c28c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 815117211252211191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1191171911c28be111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3161c1571e55341213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000000a0000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 181
Rule 47: 19322285c1cc54c225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 2214241911221c5125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c122bbc9c8cc2c2427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2217221d2582d21114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 51152191531334211d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 159c4c1d8d82114511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000000c0, Class:  0, CF:0.100424, Len:  1, Fitness_tra: -168
Rule 54: 21d44225124221c896, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2511c441b874271211, Class:  1, CF:0.181616, Len: 18, Fitness_tra: 0
Rule 56: 881211197111125451, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 511822151821241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1292111212c2722136, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 59: 1752121611417471e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 111111325525111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 811c118d42825882c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 25531ecd4111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5331115793d9322485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 811422267241111211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 65: 211442c1451251bb1d, Class:  0, CF:0.999967, Len: 18, Fitness_tra: 0
Rule 66: 133114941ed9121181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 811144231c44278255, Class:  0, CF:0.97739, Len: 18, Fitness_tra: 0
Rule 68: 18814bc315c2d11111, Class:  0, CF:0.999973, Len: 18, Fitness_tra: 0
Rule 69: 2d2122c18281151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 151d42181511121211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 0000008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1812c4258118111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1d65c2dc5111512151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 595712158324dcc215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1251818d214c229219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 8dd811511122128181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 8951212183c8d1c812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000008002, Class:  1, CF:0.00377822, Len:  2, Fitness_tra: 0
Rule 79: 51158125c11c122133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111c22855911144282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c112c22dc2c481215c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5315c23251d1314151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 115211c114c4121518, Class:  0, CF:0.999983, Len: 18, Fitness_tra: 0
Rule 84: 11214b4eb2212b1411, Class:  1, CF:0.903007, Len: 18, Fitness_tra: 0
Rule 85: 3661111151555c952d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1c5117151c2c812588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d25c21814224111259, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: 24122223221b211114, Class:  0, CF:0.410637, Len: 18, Fitness_tra: 0
Rule 89: 136142311116111212, Class:  1, CF:0.538639, Len: 18, Fitness_tra: 0
Rule 90: 252121852812111c24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 191227d21d12112113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 511117131824121881, Class:  0, CF:0.999935, Len: 18, Fitness_tra: 0
Rule 93: 185111c122222bc21e, Class:  0, CF:0.999951, Len: 18, Fitness_tra: 0
Rule 94: 11811413c5c25227cc, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 125b242d1181152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 51112782c21c222955, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 111522919e5d122215, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: 219cc12dc11c122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 821442231c8721c2d5, Class:  0, CF:0.99381, Len: 18, Fitness_tra: 0
Rule100: 5135c198515d9c1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.4502
------Result------
Miss_rate(tra)	:34.4502
Miss_rate(tst)	:40.4762
ARL				:14.825

------Generation 0------
Rule  1: c1117c851dc11cd2c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22d121192842125151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2114241971c282c4d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 25121285c124d1b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 81d212434887212451, Class:  0, CF:0.99838, Len: 18, Fitness_tra: 0
Rule  6: 000b000000000cd008, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule  7: 1531175c211212c119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000060000000800, Class:  0, CF:  1, Len:  2, Fitness_tra: 51
Rule  9: 871227b97171b22c31, Class:  1, CF:0.994142, Len: 18, Fitness_tra: 0
Rule 10: 22127229244744181e, Class:  1, CF:0.965156, Len: 18, Fitness_tra: 0
Rule 11: 519c415585241b7113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8114122d5ec8522c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 19e52cdc111d521253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 513142e45153544125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8152b1212221512241, Class:  0, CF:0.999798, Len: 18, Fitness_tra: 0
Rule 16: d5d7212978121c1425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 19d1412159cc148115, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 53151112de8934155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ddd81b118822211155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 581211c94811549111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 136112143355915511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c3144821c81822551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 916112925311921111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 82c777c91814815521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 81124181531451c881, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: e61142929113319485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000b02505000300d, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 29: 5d311458c5c1241119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1918418d21c1d8c251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1211114348c211c893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 8122111e4242b122d8, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 33: 1d542b29c82cd11211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15111325211411125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 119d2752d1511c1c95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000b000000000000, Class:  1, CF:0.00795389, Len:  1, Fitness_tra: 63
Rule 37: 1111c715418c141133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 523871581852121113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 128141232cb1c21115, Class:  0, CF:0.864685, Len: 18, Fitness_tra: 0
Rule 40: 55d222cd15c4d21115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 5c2b4b1ab412122421, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 8594118dc1181c28c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 815117211252211191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1191171911c28be111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3161c1571e55341213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000000a0000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 181
Rule 47: 19322285c1cc54c225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 2214241911221c5125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c122bbc9c8cc2c2427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2217221d2582d21114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 51152191531334211d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 159c4c1d8d82114511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000000c0, Class:  0, CF:0.100424, Len:  1, Fitness_tra: -168
Rule 54: 21d44225124221c896, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2511c441b874271211, Class:  1, CF:0.181616, Len: 18, Fitness_tra: 0
Rule 56: 881211197111125451, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 511822151821241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1292111212c2722136, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 59: 1752121611417471e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 111111325525111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 811c118d42825882c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 25531ecd4111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5331115793d9322485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 811422267241111211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 65: 211442c1451251bb1d, Class:  0, CF:0.999967, Len: 18, Fitness_tra: 0
Rule 66: 133114941ed9121181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 811144231c44278255, Class:  0, CF:0.97739, Len: 18, Fitness_tra: 0
Rule 68: 18814bc315c2d11111, Class:  0, CF:0.999973, Len: 18, Fitness_tra: 0
Rule 69: 2d2122c18281151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 151d42181511121211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 0000008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1812c4258118111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1d65c2dc5111512151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 595712158324dcc215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1251818d214c229219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 8dd811511122128181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 8951212183c8d1c812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000008002, Class:  1, CF:0.00377822, Len:  2, Fitness_tra: 0
Rule 79: 51158125c11c122133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111c22855911144282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c112c22dc2c481215c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5315c23251d1314151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 115211c114c4121518, Class:  0, CF:0.999983, Len: 18, Fitness_tra: 0
Rule 84: 11214b4eb2212b1411, Class:  1, CF:0.903007, Len: 18, Fitness_tra: 0
Rule 85: 3661111151555c952d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1c5117151c2c812588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d25c21814224111259, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: 24122223221b211114, Class:  0, CF:0.410637, Len: 18, Fitness_tra: 0
Rule 89: 136142311116111212, Class:  1, CF:0.538639, Len: 18, Fitness_tra: 0
Rule 90: 252121852812111c24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 191227d21d12112113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 511117131824121881, Class:  0, CF:0.999935, Len: 18, Fitness_tra: 0
Rule 93: 185111c122222bc21e, Class:  0, CF:0.999951, Len: 18, Fitness_tra: 0
Rule 94: 11811413c5c25227cc, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 125b242d1181152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 51112782c21c222955, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 111522919e5d122215, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: 219cc12dc11c122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 821442231c8721c2d5, Class:  0, CF:0.99381, Len: 18, Fitness_tra: 0
Rule100: 5135c198515d9c1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.4502
------Result------
Miss_rate(tra)	:34.4502
Miss_rate(tst)	:40.4762
ARL				:14.825

------Generation 1------
Rule  1: c1117c851dc11cd2c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22d121192842125151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2114241971c282c4d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 25121285c124d1b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 81d212434887212451, Class:  0, CF:0.99838, Len: 18, Fitness_tra: 0
Rule  6: 000b000000000cd008, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule  7: 1531175c211212c119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000060000000800, Class:  0, CF:  1, Len:  2, Fitness_tra: 51
Rule  9: 871227b97171b22c31, Class:  1, CF:0.994142, Len: 18, Fitness_tra: 0
Rule 10: 22127229244744181e, Class:  1, CF:0.965156, Len: 18, Fitness_tra: 0
Rule 11: 519c415585241b7113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8114122d5ec8522c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 19e52cdc111d521253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 513142e45153544125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8152b1212221512241, Class:  0, CF:0.999798, Len: 18, Fitness_tra: 0
Rule 16: d5d7212978121c1425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 19d1412159cc148115, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 53151112de8934155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ddd81b118822211155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 581211c94811549111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 136112143355915511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c3144821c81822551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 916112925311921111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 82c777c91814815521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 81124181531451c881, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: e61142929113319485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000b02505000300d, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 29: 5d311458c5c1241119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1918418d21c1d8c251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1211114348c211c893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 8122111e4242b122d8, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 33: 1d542b29c82cd11211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15111325211411125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 119d2752d1511c1c95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000b000000000000, Class:  1, CF:0.00795389, Len:  1, Fitness_tra: 63
Rule 37: 1111c715418c141133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 523871581852121113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 128141232cb1c21115, Class:  0, CF:0.864685, Len: 18, Fitness_tra: 0
Rule 40: 55d222cd15c4d21115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 5c2b4b1ab412122421, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 8594118dc1181c28c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 815117211252211191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1191171911c28be111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3161c1571e55341213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000000a0000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 181
Rule 47: 19322285c1cc54c225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 2214241911221c5125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c122bbc9c8cc2c2427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2217221d2582d21114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 51152191531334211d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 159c4c1d8d82114511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0000000000000000c0, Class:  0, CF:0.100424, Len:  1, Fitness_tra: -168
Rule 54: 21d44225124221c896, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2511c441b874271211, Class:  1, CF:0.181616, Len: 18, Fitness_tra: 0
Rule 56: 881211197111125451, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 511822151821241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1292111212c2722136, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 59: 1752121611417471e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 111111325525111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 811c118d42825882c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 25531ecd4111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5331115793d9322485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 811422267241111211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 65: 211442c1451251bb1d, Class:  0, CF:0.999967, Len: 18, Fitness_tra: 0
Rule 66: 133114941ed9121181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 811144231c44278255, Class:  0, CF:0.97739, Len: 18, Fitness_tra: 0
Rule 68: 18814bc315c2d11111, Class:  0, CF:0.999973, Len: 18, Fitness_tra: 0
Rule 69: 2d2122c18281151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 151d42181511121211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 0000008d808800000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1812c4258118111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1d65c2dc5111512151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 595712158324dcc215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1251818d214c229219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 8dd811511122128181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 8951212183c8d1c812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000000008002, Class:  1, CF:0.00377822, Len:  2, Fitness_tra: 0
Rule 79: 51158125c11c122133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 111c22855911144282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: c112c22dc2c481215c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5315c23251d1314151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 115211c114c4121518, Class:  0, CF:0.999983, Len: 18, Fitness_tra: 0
Rule 84: 11214b4eb2212b1411, Class:  1, CF:0.903007, Len: 18, Fitness_tra: 0
Rule 85: 3661111151555c952d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1c5117151c2c812588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: d25c21814224111259, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 88: 24122223221b211114, Class:  0, CF:0.410637, Len: 18, Fitness_tra: 0
Rule 89: 136142311116111212, Class:  1, CF:0.538639, Len: 18, Fitness_tra: 0
Rule 90: 252121852812111c24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 191227d21d12112113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 511117131824121881, Class:  0, CF:0.999935, Len: 18, Fitness_tra: 0
Rule 93: 185111c122222bc21e, Class:  0, CF:0.999951, Len: 18, Fitness_tra: 0
Rule 94: 11811413c5c25227cc, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: 125b242d1181152c47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 51112782c21c222955, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 97: 111522919e5d122215, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: 219cc12dc11c122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 821442231c8721c2d5, Class:  0, CF:0.99381, Len: 18, Fitness_tra: 0
Rule100: 5135c198515d9c1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.4502
------Result------
