------Generation 0------
Rule  1: 15515ecd4d14111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 52d211812182244155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 1d54222d1581511c18, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 1311241c1525112219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2511c7194d411711e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5211111218d8122513, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 31: 959c821d218c113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000b000000000000, Class:  1, CF:0.0259701, Len:  1, Fitness_tra: 26
Rule 33: 195112581d82111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 85221289181c111272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000007e7007000b00, Class:  1, CF:0.841579, Len:  5, Fitness_tra: 1
Rule 36: 21d8c2212281441d19, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 37: 000000007507000000, Class:  1, CF:0.268651, Len:  3, Fitness_tra: 59
Rule 38: 15984215c14c521c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1315123791113112c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: c124122672172b5ce3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1118841d82c112c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11c214237122113811, Class:  0, CF:0.99021, Len: 18, Fitness_tra: 0
Rule 43: 15328125c1c884c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 19e82411d18d371153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 855c2b11458c541728, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 8212c4151cc4228293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000000000000000c0, Class:  0, CF:0.0419743, Len:  1, Fitness_tra: -87
Rule 48: 1a6d11949319e1418d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e9311c1291519211d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 115151c11d118d122d, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 1111111181c2811231, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 122224c521c1885217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 39627c521ed1d41151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3e611294351d545159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 588227431c41481224, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: ee65241cd951311211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 5331111153d9941181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 123c218d181c821d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211c1228c5c1d41515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1111121be1331c1284, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3131113c31d1111111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 525c41231812411116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 551c44c325222c1221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: c1122711b811c18211, Class:  1, CF:0.763722, Len: 18, Fitness_tra: 0
Rule 65: ccd42b4311c1118c55, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 66: 116114311351e11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 51124418d351341215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 93111251d512141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1598142515221c1851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 113cc21111cc12e111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 519c14c5412c221155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 181224292542815159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1182777e4174721495, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 211214158824118551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1281177e2c12721251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 76: 185c1c1d1522121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 050000000800500000, Class:  0, CF:0.995342, Len:  3, Fitness_tra: 164
Rule 78: 9e152c119111141811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 82124215814cd51112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2211121344121c1511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 2151c1191cc74b1436, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 59541c1d5114d48225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e13141121311941121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 561222115111e41521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000008d0080000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 333522975351e15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1152141511c2177299, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5511272948711414d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4821412181c41c1111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 90: 151c11254881845151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000800000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 125c1245184b114415, Class:  1, CF:0.9992, Len: 18, Fitness_tra: 0
Rule 93: 11d222811512224211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 94: 558c4b154522112285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 122271261c21c121c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 11381c581118512181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1591c1211d215411e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 14511711bcb4721233, Class:  1, CF:0.969478, Len: 18, Fitness_tra: 0
Rule 99: 111d479111559c1111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 13114c9135d31452d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.8797
------Result------
Miss_rate(tra)	:34.8797
Miss_rate(tst)	:31.7647
ARL				:14.8409

------Generation 0------
Rule  1: 15515ecd4d14111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 113221143111185551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000800050400000000, Class:  1, CF:0.754813, Len:  3, Fitness_tra: 0
Rule  4: 000000000000080004, Class:  1, CF:0.870902, Len:  2, Fitness_tra: 19
Rule  5: 828224c148841c1181, Class:  0, CF:0.83632, Len: 18, Fitness_tra: 0
Rule  6: 8112cb111c88c42111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  7: 511244211d12514c51, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  8: 151517511585842159, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  9: 4d822bc522c1524822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000803, Class:  0, CF:0.569585, Len:  2, Fitness_tra: 24
Rule 11: 521122151141141699, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: 889841212185842353, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 331cb2621131382111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: cd5111811141518211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 000000000c000080d0, Class:  0, CF:0.157409, Len:  3, Fitness_tra: 4
Rule 16: 585417797274122184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 8912115153c8d222c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5254212e2821125151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 111127c5c284c12111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 151d12d28188514119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 11842215c8c15221c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 178142132177222155, Class:  0, CF:0.994979, Len: 18, Fitness_tra: 0
Rule 23: 121774b112bb281127, Class:  1, CF:0.981357, Len: 18, Fitness_tra: 0
Rule 24: 115c212928771bc7e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 28c4c71e2c21c15116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 52d211812182244155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 1d54222d1581511c18, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 1311241c1525112219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2511c7194d411711e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5211111218d8122513, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 31: 959c821d218c113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000b000000000000, Class:  1, CF:0.0259701, Len:  1, Fitness_tra: 26
Rule 33: 195112581d82111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 85221289181c111272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000007e7007000b00, Class:  1, CF:0.841579, Len:  5, Fitness_tra: 1
Rule 36: 21d8c2212281441d19, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 37: 000000007507000000, Class:  1, CF:0.268651, Len:  3, Fitness_tra: 59
Rule 38: 15984215c14c521c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1315123791113112c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: c124122672172b5ce3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1118841d82c112c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11c214237122113811, Class:  0, CF:0.99021, Len: 18, Fitness_tra: 0
Rule 43: 15328125c1c884c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 19e82411d18d371153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 855c2b11458c541728, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 8212c4151cc4228293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000000000000000c0, Class:  0, CF:0.0419743, Len:  1, Fitness_tra: -87
Rule 48: 1a6d11949319e1418d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e9311c1291519211d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 115151c11d118d122d, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 1111111181c2811231, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 122224c521c1885217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 39627c521ed1d41151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3e611294351d545159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 588227431c41481224, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: ee65241cd951311211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 5331111153d9941181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 123c218d181c821d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211c1228c5c1d41515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1111121be1331c1284, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3131113c31d1111111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 525c41231812411116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 551c44c325222c1221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: c1122711b811c18211, Class:  1, CF:0.763722, Len: 18, Fitness_tra: 0
Rule 65: ccd42b4311c1118c55, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 66: 116114311351e11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 51124418d351341215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 93111251d512141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1598142515221c1851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 113cc21111cc12e111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 519c14c5412c221155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 181224292542815159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1182777e4174721495, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 211214158824118551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1281177e2c12721251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 76: 185c1c1d1522121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 050000000800500000, Class:  0, CF:0.995342, Len:  3, Fitness_tra: 164
Rule 78: 9e152c119111141811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 82124215814cd51112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2211121344121c1511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 2151c1191cc74b1436, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 59541c1d5114d48225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e13141121311941121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 561222115111e41521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000008d0080000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 333522975351e15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1152141511c2177299, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5511272948711414d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4821412181c41c1111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 90: 151c11254881845151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000800000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 125c1245184b114415, Class:  1, CF:0.9992, Len: 18, Fitness_tra: 0
Rule 93: 11d222811512224211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 94: 558c4b154522112285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 122271261c21c121c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 11381c581118512181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1591c1211d215411e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 14511711bcb4721233, Class:  1, CF:0.969478, Len: 18, Fitness_tra: 0
Rule 99: 111d479111559c1111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 13114c9135d31452d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.8797
------Result------
Miss_rate(tra)	:34.8797
Miss_rate(tst)	:31.7647
ARL				:14.8409

------Generation 1------
Rule  1: 15515ecd4d14111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 113221143111185551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000800050400000000, Class:  1, CF:0.754813, Len:  3, Fitness_tra: 0
Rule  4: 000000000000080004, Class:  1, CF:0.870902, Len:  2, Fitness_tra: 19
Rule  5: 828224c148841c1181, Class:  0, CF:0.83632, Len: 18, Fitness_tra: 0
Rule  6: 8112cb111c88c42111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  7: 511244211d12514c51, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  8: 151517511585842159, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  9: 4d822bc522c1524822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000803, Class:  0, CF:0.569585, Len:  2, Fitness_tra: 24
Rule 11: 521122151141141699, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: 889841212185842353, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 331cb2621131382111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: cd5111811141518211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 000000000c000080d0, Class:  0, CF:0.157409, Len:  3, Fitness_tra: 4
Rule 16: 585417797274122184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 8912115153c8d222c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5254212e2821125151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 111127c5c284c12111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 151d12d28188514119, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 11842215c8c15221c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 178142132177222155, Class:  0, CF:0.994979, Len: 18, Fitness_tra: 0
Rule 23: 121774b112bb281127, Class:  1, CF:0.981357, Len: 18, Fitness_tra: 0
Rule 24: 115c212928771bc7e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 28c4c71e2c21c15116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 52d211812182244155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 1d54222d1581511c18, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 1311241c1525112219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2511c7194d411711e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5211111218d8122513, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 31: 959c821d218c113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000b000000000000, Class:  1, CF:0.0259701, Len:  1, Fitness_tra: 26
Rule 33: 195112581d82111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 85221289181c111272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000007e7007000b00, Class:  1, CF:0.841579, Len:  5, Fitness_tra: 1
Rule 36: 21d8c2212281441d19, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 37: 000000007507000000, Class:  1, CF:0.268651, Len:  3, Fitness_tra: 59
Rule 38: 15984215c14c521c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1315123791113112c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: c124122672172b5ce3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1118841d82c112c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 11c214237122113811, Class:  0, CF:0.99021, Len: 18, Fitness_tra: 0
Rule 43: 15328125c1c884c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 19e82411d18d371153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 855c2b11458c541728, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 8212c4151cc4228293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000000000000000c0, Class:  0, CF:0.0419743, Len:  1, Fitness_tra: -87
Rule 48: 1a6d11949319e1418d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e9311c1291519211d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 115151c11d118d122d, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 1111111181c2811231, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 122224c521c1885217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 39627c521ed1d41151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3e611294351d545159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 588227431c41481224, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: ee65241cd951311211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 5331111153d9941181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 123c218d181c821d83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 211c1228c5c1d41515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1111121be1331c1284, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3131113c31d1111111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 62: 525c41231812411116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 63: 551c44c325222c1221, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 64: c1122711b811c18211, Class:  1, CF:0.763722, Len: 18, Fitness_tra: 0
Rule 65: ccd42b4311c1118c55, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 66: 116114311351e11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 51124418d351341215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 93111251d512141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1598142515221c1851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 113cc21111cc12e111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 519c14c5412c221155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 181224292542815159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1182777e4174721495, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 211214158824118551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1281177e2c12721251, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 76: 185c1c1d1522121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 050000000800500000, Class:  0, CF:0.995342, Len:  3, Fitness_tra: 164
Rule 78: 9e152c119111141811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 82124215814cd51112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 2211121344121c1511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 2151c1191cc74b1436, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 59541c1d5114d48225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e13141121311941121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 561222115111e41521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 0000008d0080000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 333522975351e15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1152141511c2177299, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5511272948711414d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4821412181c41c1111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 90: 151c11254881845151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000800000000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 125c1245184b114415, Class:  1, CF:0.9992, Len: 18, Fitness_tra: 0
Rule 93: 11d222811512224211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 94: 558c4b154522112285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 122271261c21c121c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 11381c581118512181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1591c1211d215411e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 14511711bcb4721233, Class:  1, CF:0.969478, Len: 18, Fitness_tra: 0
Rule 99: 111d479111559c1111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 13114c9135d31452d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:34.8797
------Result------
Miss_rate(tra)	:34.8797
Miss_rate(tst)	:31.7647
ARL				:14.8409

------Generation 2------
