------Generation 0------
Rule  1: 1511c47e2114c41791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15d1cc152111241182, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 281b22154111d21274, Class:  1, CF:0.614771, Len: 18, Fitness_tra: 0
Rule 44: 52122441cd11172251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 8c11444141c227c236, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 21d12cc8c1cc5228c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c751222312721b7511, Class:  0, CF:0.995808, Len: 18, Fitness_tra: 0
Rule 48: c551c12348425814c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00dc008dc00c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 55122211258c1c7d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00e00c004044000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 223c1c1d1dc41c1c1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c21211b3b842211491, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 55: 52d82152c1221211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111c111942147b1211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 241c1111c222441516, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 58: 51311c21c3141221c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c182c1734114141153, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 000000000000000800, Class:  0, CF:0.594738, Len:  1, Fitness_tra: 86
Rule 61: 11a1bbf719e33c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 913544e41919141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88d2c215c211821215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 12d1c488211c141531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 21581cce25c21214de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: d28142712472275113, Class:  0, CF:0.992103, Len: 18, Fitness_tra: 0
Rule 68: e13514149e11125181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 191541541911141915, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 96152c529ede322185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 111714112222412121, Class:  0, CF:0.374669, Len: 18, Fitness_tra: -1
Rule 73: 1115c1858182112115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31651c921159311551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 936d11e79159941515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 519212512d4c111d19, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 555c14c281c2248281, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 115c21c1182118148c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2c1ccb111c82c72519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: d111114121441c2112, Class:  0, CF:0.984516, Len: 18, Fitness_tra: 0
Rule 81: 85542115c3218181c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5d1422182d48112112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 551114dc1d5d1c2211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 52211171b5221b123e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 24811421147111c113, Class:  1, CF:0.536234, Len: 18, Fitness_tra: 0
Rule 86: 5218c71d28141711d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1c122258821c111419, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d555141dcd11211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000070c08000000b00, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 90: 3131121151d9121411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11121111111d171213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 21d84cc1c121822285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00c0c0b00000000b00, Class:  1, CF:0.160559, Len:  4, Fitness_tra: -4
Rule 94: 181517d15121c71211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: ddd117c115c8515133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 18974cc5294112c182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 12121115c8248b1411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000007e007b000700, Class:  1, CF:0.881667, Len:  5, Fitness_tra: 11
Rule 99: d00000000b00000000, Class:  0, CF:0.598454, Len:  2, Fitness_tra: -5
Rule100: 8914415529c2d214c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.1581
------Result------
Miss_rate(tra)	:44.1581
Miss_rate(tst)	:29.4118
ARL				:14.6596

------Generation 0------
Rule  1: 1511c47e2114c41791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 4111142948c1114211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000800080000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 179
Rule  4: 11c24111128418121b, Class:  1, CF:0.899544, Len: 18, Fitness_tra: -1
Rule  5: 316d425115d19422d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1d91111dc58c111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1132772125cc8c1113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2c1741cd1114211142, Class:  1, CF:0.881844, Len: 18, Fitness_tra: -2
Rule  9: 913111e21193112119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e3122c9c51d1545111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 936527325151542559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d53111d4534d31115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 815c1155292c2c4215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 133c221291d15c1128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 82144413212b2725e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 18512711782b178211, Class:  1, CF:0.803549, Len: 18, Fitness_tra: 0
Rule 17: 1211c1254824111233, Class:  1, CF:0.528938, Len: 18, Fitness_tra: 0
Rule 18: d51117811528242211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 85dc12151882d21281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 215224131111221115, Class:  0, CF:0.934199, Len: 18, Fitness_tra: 1
Rule 21: 0000000005000000d0, Class:  0, CF:0.866077, Len:  2, Fitness_tra: 8
Rule 22: 21d2c2c125821c3221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 81127173b27b41d114, Class:  0, CF:0.618395, Len: 18, Fitness_tra: 0
Rule 24: 333124111151925111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 133517341193311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c11741c189cc141521, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 336114326131612112, Class:  1, CF:0.329358, Len: 18, Fitness_tra: -1
Rule 28: 12217bc5cd24512811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 511842521581541111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 5c912785411c841151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 91151b175111188181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000000c002, Class:  1, CF:0.0271189, Len:  2, Fitness_tra: 57
Rule 33: 00000000000000000c, Class:  1, CF:0.0634219, Len:  1, Fitness_tra: 218
Rule 34: c114b7414127c15121, Class:  0, CF:0.523857, Len: 18, Fitness_tra: 1
Rule 35: 111c112e1527c7c231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 511514345359311119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1c1142112244141451, Class:  0, CF:0.812925, Len: 18, Fitness_tra: -3
Rule 38: 513cc715cd2217159e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 27141723b21b712116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 15d4122545c25211c1, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 1111212921211b2163, Class:  1, CF:0.0815213, Len: 18, Fitness_tra: 0
Rule 42: 15d1cc152111241182, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 281b22154111d21274, Class:  1, CF:0.614771, Len: 18, Fitness_tra: 0
Rule 44: 52122441cd11172251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 8c11444141c227c236, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 21d12cc8c1cc5228c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c751222312721b7511, Class:  0, CF:0.995808, Len: 18, Fitness_tra: 0
Rule 48: c551c12348425814c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00dc008dc00c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 55122211258c1c7d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00e00c004044000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 223c1c1d1dc41c1c1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c21211b3b842211491, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 55: 52d82152c1221211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111c111942147b1211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 241c1111c222441516, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 58: 51311c21c3141221c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c182c1734114141153, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 000000000000000800, Class:  0, CF:0.594738, Len:  1, Fitness_tra: 86
Rule 61: 11a1bbf719e33c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 913544e41919141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88d2c215c211821215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 12d1c488211c141531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 21581cce25c21214de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: d28142712472275113, Class:  0, CF:0.992103, Len: 18, Fitness_tra: 0
Rule 68: e13514149e11125181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 191541541911141915, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 96152c529ede322185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 111714112222412121, Class:  0, CF:0.374669, Len: 18, Fitness_tra: -1
Rule 73: 1115c1858182112115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31651c921159311551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 936d11e79159941515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 519212512d4c111d19, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 555c14c281c2248281, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 115c21c1182118148c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2c1ccb111c82c72519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: d111114121441c2112, Class:  0, CF:0.984516, Len: 18, Fitness_tra: 0
Rule 81: 85542115c3218181c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5d1422182d48112112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 551114dc1d5d1c2211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 52211171b5221b123e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 24811421147111c113, Class:  1, CF:0.536234, Len: 18, Fitness_tra: 0
Rule 86: 5218c71d28141711d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1c122258821c111419, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d555141dcd11211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000070c08000000b00, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 90: 3131121151d9121411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11121111111d171213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 21d84cc1c121822285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00c0c0b00000000b00, Class:  1, CF:0.160559, Len:  4, Fitness_tra: -4
Rule 94: 181517d15121c71211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: ddd117c115c8515133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 18974cc5294112c182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 12121115c8248b1411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000007e007b000700, Class:  1, CF:0.881667, Len:  5, Fitness_tra: 11
Rule 99: d00000000b00000000, Class:  0, CF:0.598454, Len:  2, Fitness_tra: -5
Rule100: 8914415529c2d214c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:44.1581
------Result------
Miss_rate(tra)	:44.1581
Miss_rate(tst)	:29.4118
ARL				:14.6596

------Generation 1------
Rule  1: 1511c47e2114c41791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 4111142948c1114211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000800080000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 179
Rule  4: 11c24111128418121b, Class:  1, CF:0.899544, Len: 18, Fitness_tra: -1
Rule  5: 316d425115d19422d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1d91111dc58c111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1132772125cc8c1113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2c1741cd1114211142, Class:  1, CF:0.881844, Len: 18, Fitness_tra: -2
Rule  9: 913111e21193112119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e3122c9c51d1545111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 936527325151542559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d53111d4534d31115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 815c1155292c2c4215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 133c221291d15c1128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 82144413212b2725e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 18512711782b178211, Class:  1, CF:0.803549, Len: 18, Fitness_tra: 0
Rule 17: 1211c1254824111233, Class:  1, CF:0.528938, Len: 18, Fitness_tra: 0
Rule 18: d51117811528242211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 85dc12151882d21281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 215224131111221115, Class:  0, CF:0.934199, Len: 18, Fitness_tra: 1
Rule 21: 0000000005000000d0, Class:  0, CF:0.866077, Len:  2, Fitness_tra: 8
Rule 22: 21d2c2c125821c3221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 81127173b27b41d114, Class:  0, CF:0.618395, Len: 18, Fitness_tra: 0
Rule 24: 333124111151925111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 133517341193311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c11741c189cc141521, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 336114326131612112, Class:  1, CF:0.329358, Len: 18, Fitness_tra: -1
Rule 28: 12217bc5cd24512811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 511842521581541111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 5c912785411c841151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 91151b175111188181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000000c002, Class:  1, CF:0.0271189, Len:  2, Fitness_tra: 57
Rule 33: 00000000000000000c, Class:  1, CF:0.0634219, Len:  1, Fitness_tra: 218
Rule 34: c114b7414127c15121, Class:  0, CF:0.523857, Len: 18, Fitness_tra: 1
Rule 35: 111c112e1527c7c231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 511514345359311119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1c1142112244141451, Class:  0, CF:0.812925, Len: 18, Fitness_tra: -3
Rule 38: 513cc715cd2217159e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 27141723b21b712116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 15d4122545c25211c1, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 1111212921211b2163, Class:  1, CF:0.0815213, Len: 18, Fitness_tra: 0
Rule 42: 15d1cc152111241182, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: 281b22154111d21274, Class:  1, CF:0.614771, Len: 18, Fitness_tra: 0
Rule 44: 52122441cd11172251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 8c11444141c227c236, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 46: 21d12cc8c1cc5228c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c751222312721b7511, Class:  0, CF:0.995808, Len: 18, Fitness_tra: 0
Rule 48: c551c12348425814c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 00dc008dc00c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 55122211258c1c7d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00e00c004044000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 223c1c1d1dc41c1c1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: c21211b3b842211491, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 55: 52d82152c1221211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111c111942147b1211, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 57: 241c1111c222441516, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 58: 51311c21c3141221c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c182c1734114141153, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 60: 000000000000000800, Class:  0, CF:0.594738, Len:  1, Fitness_tra: 86
Rule 61: 11a1bbf719e33c1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 913544e41919141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 88d2c215c211821215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 12d1c488211c141531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 21581cce25c21214de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: d28142712472275113, Class:  0, CF:0.992103, Len: 18, Fitness_tra: 0
Rule 68: e13514149e11125181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 191541541911141915, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 96152c529ede322185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0000008d008c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 111714112222412121, Class:  0, CF:0.374669, Len: 18, Fitness_tra: -1
Rule 73: 1115c1858182112115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31651c921159311551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 936d11e79159941515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 519212512d4c111d19, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 77: 555c14c281c2248281, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 78: 115c21c1182118148c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2c1ccb111c82c72519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: d111114121441c2112, Class:  0, CF:0.984516, Len: 18, Fitness_tra: 0
Rule 81: 85542115c3218181c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5d1422182d48112112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 551114dc1d5d1c2211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 52211171b5221b123e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 24811421147111c113, Class:  1, CF:0.536234, Len: 18, Fitness_tra: 0
Rule 86: 5218c71d28141711d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1c122258821c111419, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d555141dcd11211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000070c08000000b00, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 90: 3131121151d9121411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11121111111d171213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 21d84cc1c121822285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00c0c0b00000000b00, Class:  1, CF:0.160559, Len:  4, Fitness_tra: -4
Rule 94: 181517d15121c71211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 95: ddd117c115c8515133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 96: 18974cc5294112c182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 12121115c8248b1411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000007e007b000700, Class:  1, CF:0.881667, Len:  5, Fitness_tra: 11
Rule 99: d00000000b00000000, Class:  0, CF:0.598454, Len:  2, Fitness_tra: -5
Rule100: 8914415529c2d214c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
