------Generation 0------
Rule  1: 813211cd13822181c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1c1124c9112121c213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2122c1294221c7211f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 31a1c4329959311d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 00300c000000c02000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 2d2117152228d82221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 812144191824511211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 281c4229c2811242d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000c7000000000002, Class:  0, CF:0.057349, Len:  3, Fitness_tra: 0
Rule 68: 155d8151158d11229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1111c2212244274416, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 188217791217c11115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1552441dc512111122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000b005050000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 11
Rule 73: 511111831511121c13, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 2214121d8514181415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 003080000d00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 224b2173221b111842, Class:  0, CF:0.705557, Len: 18, Fitness_tra: 0
Rule 77: c0000000000000c060, Class:  1, CF:0.772901, Len:  3, Fitness_tra: 23
Rule 78: 311112111159122225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 22571bcdc1c8818111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 859c48c5232c2285c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 8152221d2111d21c81, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 82: 000000000000000002, Class:  1, CF:0.0244045, Len:  1, Fitness_tra: -16
Rule 83: 1115125cd551121651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 113814c511c18111de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 513141921955321555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1222127eb842521431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 22c112b1b24141857b, Class:  0, CF:0.77467, Len: 18, Fitness_tra: 0
Rule 88: 19d227c51112882181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 289527111c51c21115, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 90: 000000000b00000000, Class:  1, CF:0.0787295, Len:  1, Fitness_tra: 0
Rule 91: 85112111111251c88d, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 5552c1111228525111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 93: 1112445d2111141288, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 153d12111111141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 5c3c1215c1821c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 225531c5415c111c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 88112b231212149411, Class:  0, CF:0.987847, Len: 18, Fitness_tra: 0
Rule 98: 21181b2d8421221131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: d25c14812582c41c53, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule100: 13d121815524282121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:69.1581
------Result------
Miss_rate(tra)	:69.1581
Miss_rate(tst)	:54.1176
ARL				:13.1795

------Generation 0------
Rule  1: 0d200b000000d00000, Class:  0, CF:0.994048, Len:  4, Fitness_tra: 186
Rule  2: 0700000004b0000000, Class:  1, CF:0.27195, Len:  3, Fitness_tra: 166
Rule  3: c0000000000000c060, Class:  1, CF:0.772901, Len:  3, Fitness_tra: 26
Rule  4: 000000000b00000000, Class:  1, CF:0.0787295, Len:  1, Fitness_tra: 7
Rule  5: 00000b005050000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 11
Rule  6: 813211cd13822181c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 51158415211c111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 235c12214dc81c4b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: d35c1c1d1312184211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11131115415c112c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 223421214184c11555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11314711c521d25113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 55d8c18521118112e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5151215519215c2dcd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5135c2158d25573131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 316124911315311115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1d3772c5851c521841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 815c215d1d12121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 5552c12d18cc17146a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: d42714434177721c18, Class:  0, CF:0.999081, Len: 18, Fitness_tra: 0
Rule 21: 528c44231871c21133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 3315cc9153d9125115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 855412c5c52822c125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 911822911511118251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c000040200000, Class:  1, CF:0.480075, Len:  4, Fitness_tra: 2
Rule 26: 916111129353141211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: c521c21122248c1c1c, Class:  1, CF:0.987116, Len: 18, Fitness_tra: 1
Rule 28: 885441214522811442, Class:  0, CF:0.999652, Len: 18, Fitness_tra: 0
Rule 29: 11181721c412141193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 111844371199381511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 8881128145c1d1871b, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 32: 519511d85c28111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1938141d1d21515c1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5d5331214111111111, Class:  0, CF:0.999338, Len: 18, Fitness_tra: 0
Rule 36: 8554248d83cc121588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 996522e25315325189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111b4115c12c222c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1c51211228c2122953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 112217437247458114, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 28114271152184c251, Class:  0, CF:0.971424, Len: 18, Fitness_tra: 0
Rule 42: 1212441114424b1131, Class:  1, CF:0.0514642, Len: 18, Fitness_tra: 0
Rule 43: 8191c1c5cd211b2153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 51511111c58c8451e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 13d121815524282121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8c12c141782bcb1266, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0d00008d8080d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 24114b217c112111dd, Class:  0, CF:0.532962, Len: 18, Fitness_tra: 0
Rule 49: 511c11c5c5c2c241e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: cd1c148111425114c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 22211b138811881121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 121c4111222c242111, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 53: 1135119411533c212d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 52e8c11d2d22271c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1665c1145111111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111114149e93682121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 295814218d28541151, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 58: 1334115d4118882228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: dd352c11111151315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1c1124c9112121c213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2122c1294221c7211f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 31a1c4329959311d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 00300c000000c02000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 2d2117152228d82221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 812144191824511211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 281c4229c2811242d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000c7000000000002, Class:  0, CF:0.057349, Len:  3, Fitness_tra: 0
Rule 68: 155d8151158d11229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1111c2212244274416, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 188217791217c11115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1552441dc512111122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 12111755c1ccc14951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 511111831511121c13, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 2214121d8514181415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 003080000d00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 224b2173221b111842, Class:  0, CF:0.705557, Len: 18, Fitness_tra: 0
Rule 77: 116511122555174219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 311112111159122225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 22571bcdc1c8818111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 859c48c5232c2285c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 15912c152d21271135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 19652114138d121133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 182c212e1141141411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000000b0030, Class:  1, CF:0.0477581, Len:  2, Fitness_tra: -4
Rule 85: 15d2c421851214113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8117118d55c1d12182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 52112221bc41541116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5811114e2142821124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 58511181cc8c222193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1d922c821d1811b481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 003080007d00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1118b45d2121121131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 8881182145c11c471d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 181124211e2281c062, Class:  0, CF:  1, Len: 17, Fitness_tra: 0
Rule 95: 005214810b82c40c53, Class:  0, CF:  1, Len: 14, Fitness_tra: 0
Rule 96: c0000000000000c060, Class:  1, CF:0.772901, Len:  0, Fitness_tra: 0
Rule 97: 916121909353148211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 22181b2185212b1131, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 99: 15528151128d17219d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 212c122642c8172b1f, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
------Current------
Miss_rate(tra)	:67.5258
------Result------
Miss_rate(tra)	:67.5258
Miss_rate(tst)	:54.1176
ARL				:13.3529

------Generation 1------
Rule  1: 0d200b000000d00000, Class:  0, CF:0.994048, Len:  4, Fitness_tra: 186
Rule  2: 0700000004b0000000, Class:  1, CF:0.27195, Len:  3, Fitness_tra: 166
Rule  3: c0000000000000c060, Class:  1, CF:0.772901, Len:  3, Fitness_tra: 26
Rule  4: 000000000b00000000, Class:  1, CF:0.0787295, Len:  1, Fitness_tra: 7
Rule  5: 00000b005050000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 11
Rule  6: 813211cd13822181c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 51158415211c111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 235c12214dc81c4b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: d35c1c1d1312184211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11131115415c112c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 223421214184c11555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11314711c521d25113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 55d8c18521118112e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5151215519215c2dcd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5135c2158d25573131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 316124911315311115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1d3772c5851c521841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 815c215d1d12121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 5552c12d18cc17146a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: d42714434177721c18, Class:  0, CF:0.999081, Len: 18, Fitness_tra: 0
Rule 21: 528c44231871c21133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 3315cc9153d9125115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 855412c5c52822c125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 911822911511118251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c000040200000, Class:  1, CF:0.480075, Len:  4, Fitness_tra: 2
Rule 26: 916111129353141211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: c521c21122248c1c1c, Class:  1, CF:0.987116, Len: 18, Fitness_tra: 1
Rule 28: 885441214522811442, Class:  0, CF:0.999652, Len: 18, Fitness_tra: 0
Rule 29: 11181721c412141193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 111844371199381511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 8881128145c1d1871b, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 32: 519511d85c28111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1938141d1d21515c1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5d5331214111111111, Class:  0, CF:0.999338, Len: 18, Fitness_tra: 0
Rule 36: 8554248d83cc121588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 996522e25315325189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111b4115c12c222c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1c51211228c2122953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 112217437247458114, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 28114271152184c251, Class:  0, CF:0.971424, Len: 18, Fitness_tra: 0
Rule 42: 1212441114424b1131, Class:  1, CF:0.0514642, Len: 18, Fitness_tra: 0
Rule 43: 8191c1c5cd211b2153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 51511111c58c8451e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 13d121815524282121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8c12c141782bcb1266, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0d00008d8080d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 24114b217c112111dd, Class:  0, CF:0.532962, Len: 18, Fitness_tra: 0
Rule 49: 511c11c5c5c2c241e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: cd1c148111425114c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 22211b138811881121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 121c4111222c242111, Class:  0, CF:  1, Len: 18, Fitness_tra: 1
Rule 53: 1135119411533c212d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 52e8c11d2d22271c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1665c1145111111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111114149e93682121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 295814218d28541151, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 58: 1334115d4118882228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: dd352c11111151315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1c1124c9112121c213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2122c1294221c7211f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 31a1c4329959311d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 00300c000000c02000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 64: 2d2117152228d82221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 812144191824511211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 281c4229c2811242d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000c7000000000002, Class:  0, CF:0.057349, Len:  3, Fitness_tra: 0
Rule 68: 155d8151158d11229d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1111c2212244274416, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 70: 188217791217c11115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 71: 1552441dc512111122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 12111755c1ccc14951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 511111831511121c13, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 74: 2214121d8514181415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 003080000d00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 224b2173221b111842, Class:  0, CF:0.705557, Len: 18, Fitness_tra: 0
Rule 77: 116511122555174219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 311112111159122225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 22571bcdc1c8818111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 859c48c5232c2285c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 15912c152d21271135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 19652114138d121133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 182c212e1141141411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000000000000b0030, Class:  1, CF:0.0477581, Len:  2, Fitness_tra: -4
Rule 85: 15d2c421851214113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8117118d55c1d12182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 52112221bc41541116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5811114e2142821124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 58511181cc8c222193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1d922c821d1811b481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 003080007d00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1118b45d2121121131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 8881182145c11c471d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 181124211e2281c062, Class:  0, CF:  1, Len: 17, Fitness_tra: 0
Rule 95: 005214810b82c40c53, Class:  0, CF:  1, Len: 14, Fitness_tra: 0
Rule 96: c0000000000000c060, Class:  1, CF:0.772901, Len:  0, Fitness_tra: 0
Rule 97: 916121909353148211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 22181b2185212b1131, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 99: 15528151128d17219d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 212c122642c8172b1f, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
------Current------
Miss_rate(tra)	:67.5258
------Result------
