------Generation 0------
Rule  1: e5cc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 39134111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1551bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1222b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1852b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 33c11251, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 65: d1512b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 28d12418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 555127e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 60000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 324
Rule 69: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e9482492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 31c1711c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 99111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5555b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3142bb3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 15114b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 5e157b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: e31817e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e12c1412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: e52171e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 5d88b452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2551b79c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d1112b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 61212191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 85: 191cb798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 31127be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1111a231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: e3127252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: a32c7be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 31121132, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 91: 192cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 11187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 12187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: e3214b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e3221711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d11d7114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 532c27e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2182b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 19122b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.5089
------Result------
Miss_rate(tra)	:70.5089
Miss_rate(tst)	:42.5676
ARL				:4.93333

------Generation 1------
Rule  1: e5cc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 591c7468, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000004, Class:  1, CF:0.0010845, Len:  1, Fitness_tra: 173
Rule  4: 59482494, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 85211498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 51d1b49c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: e18c4451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 182d4711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1ec42798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 81511b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13217738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 13122b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5d281be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11c12431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 99c17414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1915b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1942149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 39c84714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 8888141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 134c1465, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1118b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 151d2798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 25157412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 81541b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11111411, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 27: ee42225c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 112cb4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 19c27711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 13112718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 9921473d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 28821418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 13112b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 82c21191, Class:  0, CF:0.516525, Len:  8, Fitness_tra: 140
Rule 35: 51c847e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 9212b138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d1241794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 991c2452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: e9121b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1581221c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 11252235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 55884114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 118c74e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 39cc2411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 812cb792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 558444e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 611821e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11cc1be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 512c2298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 39114112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 39184152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: e582113c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2811119c, Class:  1, CF:0.796502, Len:  8, Fitness_tra: 305
Rule 54: 51282b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 31297be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 61431191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 57: 992c121c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 18211291, Class:  0, CF:  1, Len:  8, Fitness_tra: 4
Rule 59: 815121e1, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 60: 39134111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1551bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1222b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1852b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 33c11251, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 65: d1512b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 28d12418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 555127e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 60000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 324
Rule 69: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e9482492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 31c1711c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 99111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 5555b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3142bb3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 15114b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 5e157b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: e31817e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e12c1412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: e52171e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 5d88b452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2551b79c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: d1112b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 61212191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 85: 191cb798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 31127be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1111a231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: e3127252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: a32c7be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 31121132, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 91: 192cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 11187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 12187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: e3214b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e3221711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d11d7114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 532c27e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2182b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 19122b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.5089
------Result------
Miss_rate(tra)	:70.5089
Miss_rate(tst)	:42.5676
ARL				:4.93333

------Generation 2------
Rule  1: e5cc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 591c7468, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000004, Class:  1, CF:0.0010845, Len:  1, Fitness_tra: 173
Rule  4: 59482494, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 85211498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 51d1b49c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: e18c4451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 182d4711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1ec42798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 81511b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13217738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 13122b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5d281be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11c12431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 99c17414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1915b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1942149c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 39c84714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 8888141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 134c1465, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1118b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 151d2798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 25157412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 81541b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11111411, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 27: ee42225c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 112cb4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 19c27711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 13112718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 9921473d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 28821418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 13112b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
