------Generation 0------
Rule  1: e3ccb152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1cd4b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 51247b34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 61881112, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 63: 8155111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 64: 558741e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11812151, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule 66: 8511475c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 5181bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 51512b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 19244714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 552424e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: e6121492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 91c81b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 35184bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1581413d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 112274e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 55221715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 51217194, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 5c1111ec, Class:  1, CF:0.653329, Len:  8, Fitness_tra: 0
Rule 79: e913b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 6111b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 552d17e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5118b7e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 21541b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 00000050, Class:  1, CF:0.052197, Len:  1, Fitness_tra: -939
Rule 85: 3141b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 151cbb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 35212414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: ee212218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 3128b218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 5221113c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 91: e34c4491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 15114452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11114491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 112c219c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 95: d0000000, Class:  1, CF:0.777885, Len:  1, Fitness_tra: 0
Rule 96: 1811bb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 115cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: e94c4295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: d21c1b34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 6911143c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.2639
------Result------
Miss_rate(tra)	:98.2639
Miss_rate(tst)	:97.2973
ARL				:6.38462

------Generation 0------
Rule  1: d0000000, Class:  1, CF:0.777885, Len:  1, Fitness_tra: 888
Rule  2: 61881112, Class:  0, CF:  1, Len:  8, Fitness_tra: 35
Rule  3: 11812151, Class:  0, CF:  1, Len:  8, Fitness_tra: 6
Rule  4: e3ccb152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c18c7bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d111bb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3511129c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11812218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 88544232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e948bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 15521131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2258bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1141b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 158c2112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 1e2c2134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 9512b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11822711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1115b251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21227b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 13521b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e1481b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9117431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 93154138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 31c1b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2cd142e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11122bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 19287211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d881b1e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31c2bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1d114191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 515c4415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18822191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 33: 31c54111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 19154795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 51144b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 181117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 88287191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 654cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 22511795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3628b2e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 118224e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: c5122192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 1c1444ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 88887451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 595cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11c14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c1114452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 612c113c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 49: 22581791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 15541712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d12cb411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 114c7b55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8555721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 8d2117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: e11c273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 392122e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1624241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 8114bb51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c811b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1cd4b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 51247b34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 35181b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 8155111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 64: 558741e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: a9122b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 8511475c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 5181bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 51512b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 19244714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 552424e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: e6121492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 91c81b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 35184bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1581413d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 112274e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 55221715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 51217194, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 5c1111ec, Class:  1, CF:0.653329, Len:  8, Fitness_tra: 0
Rule 79: e913b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 6111b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 19c522e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 16c17198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 122244ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 31cc4735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1d2141ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8511773d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e585749c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d121473c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: e0000000, Class:  1, CF:0.865397, Len:  1, Fitness_tra: 51
Rule 90: 958cbb31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 798121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 92: 65462b4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 9588b4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2218bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 22187431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2cdab2e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d1241b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 89614e81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 31212414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: d000010c, Class:  1, CF:0.819732, Len:  3, Fitness_tra: 4
------Current------
Miss_rate(tra)	:96.875
------Result------
Miss_rate(tra)	:96.875
Miss_rate(tst)	:95.2703
ARL				:6.41667

------Generation 1------
Rule  1: d0000000, Class:  1, CF:0.777885, Len:  1, Fitness_tra: 888
Rule  2: 61881112, Class:  0, CF:  1, Len:  8, Fitness_tra: 35
Rule  3: 11812151, Class:  0, CF:  1, Len:  8, Fitness_tra: 6
Rule  4: e3ccb152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c18c7bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d111bb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3511129c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11812218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 88544232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e948bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 15521131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2258bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1141b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 158c2112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 1e2c2134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 9512b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11822711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1115b251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21227b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 13521b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e1481b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9117431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 93154138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 31c1b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2cd142e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11122bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 19287211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d881b1e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31c2bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1d114191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 515c4415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18822191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 33: 31c54111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 19154795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 51144b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 181117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 88287191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 654cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 22511795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3628b2e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 118224e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: c5122192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 1c1444ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 88887451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 595cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11c14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c1114452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 612c113c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 49: 22581791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 15541712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d12cb411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 114c7b55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8555721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 8d2117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: e11c273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 392122e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1624241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 8114bb51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c811b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1cd4b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 51247b34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 35181b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 8155111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 64: 558741e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: a9122b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 8511475c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 5181bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 51512b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 19244714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 552424e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: e6121492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 91c81b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 35184bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1581413d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 112274e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 55221715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 51217194, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 5c1111ec, Class:  1, CF:0.653329, Len:  8, Fitness_tra: 0
Rule 79: e913b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 6111b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 19c522e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 16c17198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 122244ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 31cc4735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1d2141ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8511773d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e585749c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d121473c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: e0000000, Class:  1, CF:0.865397, Len:  1, Fitness_tra: 51
Rule 90: 958cbb31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 798121e2, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 92: 65462b4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 9588b4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2218bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 22187431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2cdab2e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d1241b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 89614e81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 31212414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: d000010c, Class:  1, CF:0.819732, Len:  3, Fitness_tra: 4
------Current------
Miss_rate(tra)	:96.875
------Result------
Miss_rate(tra)	:96.875
Miss_rate(tst)	:95.2703
ARL				:6.41667

------Generation 2------
Rule  1: d0000000, Class:  1, CF:0.777885, Len:  1, Fitness_tra: 888
Rule  2: e0000000, Class:  1, CF:0.865397, Len:  1, Fitness_tra: 51
Rule  3: 61881112, Class:  0, CF:  1, Len:  8, Fitness_tra: 35
Rule  4: 11812151, Class:  0, CF:  1, Len:  8, Fitness_tra: 6
Rule  5: d000010c, Class:  1, CF:0.819732, Len:  3, Fitness_tra: 4
Rule  6: e3ccb152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3511129c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11812218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 88544232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e948bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 15521131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2258bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1141b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 158c2112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 1e2c2134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 9512b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11822711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1115b251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21227b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 13521b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e1481b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9117431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 93154138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 31c1b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2cd142e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11122bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 19287211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d881b1e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31c2bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1d114191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 515c4415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18822191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
