------Generation 0------
Rule  1: 58d2471c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: d5257212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:88.5031
------Result------
Miss_rate(tra)	:88.5031
Miss_rate(tst)	:79.0541
ARL				:6.09091

------Generation 0------
Rule  1: 58d2471c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5112b215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 25d114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11844b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c8514752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 91c57232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 13252b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 255c1712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3e811132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e9252b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55822718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e918b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15522298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15c22218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8559bbe2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e1811231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 515d7491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e3b87b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 558144e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 31c51b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e3c1719c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d1514162, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e1c21b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f9454491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 115c2698, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 26: e3412718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 3122111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 28: c212443d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 55247451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: ee714132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: e1211432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 58117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 51221718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1ec57718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 55551112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 36: 515c1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: ee827111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 331c4494, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: cd12bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: e11124e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 9188b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e9cc1434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3151215c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 59111bd4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 155c1794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: e91c215c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 47: 81117235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 8811bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e5121be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 69c5bbe8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1e424b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: d5511b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 211c2b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3d88b114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1328b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 99814be4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 9e257258, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 53524252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 512c1414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1ecc141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 58141198, Class:  1, CF:0.966972, Len:  8, Fitness_tra: 4
Rule 62: 63454712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5d242191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 64: e31c1151, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 65: 3928b4e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1c82b431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00040000, Class:  1, CF:0.0754973, Len:  1, Fitness_tra: 256
Rule 68: 51224131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e5cc1238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 191124e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 22221492, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 73: e3151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 8551229c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 18547be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1a2824e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 81221b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 912c723c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e3c27798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 331c12e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e5ccb411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 15c8725c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 192141e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: d1114232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 19b1b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 5511b435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 11114152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 115441dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 12114731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 61212491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 39452735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5115411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 15c87118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1d18473c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1d1227ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1388b16c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 60040000, Class:  0, CF:  1, Len:  2, Fitness_tra: 257
Rule 98: 118c423c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 9585b4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: d5257212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:88.5031
------Result------
Miss_rate(tra)	:88.5031
Miss_rate(tst)	:79.0541
ARL				:6.09091

------Generation 1------
Rule  1: 58d2471c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5112b215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 25d114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11844b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c8514752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 91c57232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 13252b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 255c1712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3e811132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e9252b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55822718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e918b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15522298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15c22218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8559bbe2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e1811231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 515d7491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e3b87b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 558144e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 31c51b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e3c1719c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d1514162, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e1c21b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f9454491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 115c2698, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 26: e3412718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 3122111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 28: c212443d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 55247451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: ee714132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: e1211432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 58117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 51221718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1ec57718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 55551112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 36: 515c1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: ee827111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 331c4494, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: cd12bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: e11124e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 9188b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e9cc1434, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3151215c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 59111bd4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 155c1794, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: e91c215c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 47: 81117235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 8811bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: e5121be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 69c5bbe8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1e424b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: d5511b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 211c2b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 3d88b114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1328b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 99814be4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 9e257258, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 53524252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 512c1414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1ecc141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 58141198, Class:  1, CF:0.966972, Len:  8, Fitness_tra: 4
Rule 62: 63454712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 5d242191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 64: e31c1151, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 65: 3928b4e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1c82b431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00040000, Class:  1, CF:0.0754973, Len:  1, Fitness_tra: 256
Rule 68: 51224131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e5cc1238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 191124e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 22221492, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 73: e3151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 8551229c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 18547be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1a2824e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 81221b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 912c723c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e3c27798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 331c12e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e5ccb411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 15c8725c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 192141e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: d1114232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 19b1b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 5511b435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 11114152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 115441dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 12114731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 61212491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 39452735, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 5115411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 15c87118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1d18473c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1d1227ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1388b16c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 60040000, Class:  0, CF:  1, Len:  2, Fitness_tra: 257
Rule 98: 118c423c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 9585b4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: d5257212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:88.5031
------Result------
Miss_rate(tra)	:88.5031
Miss_rate(tst)	:79.0541
ARL				:6.09091

------Generation 2------
Rule  1: 58d2471c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5112b215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 25d114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11844b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c8514752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 91c57232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 13252b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 255c1712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 3e811132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e9252b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55822718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e918b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15522298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15c22218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8559bbe2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e1811231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 515d7491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e3b87b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 558144e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 31c51b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e3c1719c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d1514162, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: e1c21b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f9454491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 115c2698, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 26: e3412718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 3122111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 28: c212443d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 55247451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: ee714132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: e1211432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 58117151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 51221718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
