------Generation 0------
Rule  1: ee417795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 13117b5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: e9cc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 61114b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11517291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: ee8cb414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1988b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: a984425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: d1d24291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 39c11795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 612c2112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 138274e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 15152791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21144791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 90000000, Class:  1, CF:0.873871, Len:  1, Fitness_tra: 1115
Rule 76: e58c4718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 8d227492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 918c2411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 111c7711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 93211412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 512211ec, Class:  1, CF:0.591452, Len:  8, Fitness_tra: 0
Rule 82: 21d84151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e1212155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 28524292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 1118b4e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 8511b158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00040000, Class:  1, CF:0.0682417, Len:  1, Fitness_tra: -1010
Rule 89: 1158b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 125cb231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: eecc21e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 221cbb3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1184b431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 312c4292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 11277152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 15124b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 19c4219c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 98: d5c227e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 3ec11711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 18244b58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:94.4788
------Result------
Miss_rate(tra)	:94.4788
Miss_rate(tst)	:85.2349
ARL				:4.53846

------Generation 0------
Rule  1: 90000000, Class:  1, CF:0.873871, Len:  1, Fitness_tra: 1164
Rule  2: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 93
Rule  3: 13211191, Class:  0, CF:  1, Len:  8, Fitness_tra: 417
Rule  4: 31221111, Class:  0, CF:  1, Len:  8, Fitness_tra: 525
Rule  5: ee417795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 39811b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e14124e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: ddc12235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c5d14451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 115c4119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1183219c, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 13: 5551b755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13c17b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11cc425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 5c144192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 61111235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12114b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ee8c1492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11c2b214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 181cbbec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 185c273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c181b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 66222711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 39782791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31c51b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 552444e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11211412, Class:  0, CF:  1, Len:  8, Fitness_tra: 4
Rule 30: 18c24b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1581411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: e344b1ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1d187119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 85227b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 15117b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1251723c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d22bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3e521792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1881b252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 51812291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 51851211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e982bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 91c8411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 35421498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 51d21be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 12187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1d2211e2, Class:  1, CF:0.616624, Len:  8, Fitness_tra: 1
Rule 48: 1811b71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c21277e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 51184b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 9e7277e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 8811279c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6344bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 121c729c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: ee281711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e3427112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 19814b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 93112b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 95cc1294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 5c512111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 13117b5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: e9cc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 61114b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11517291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: ee8cb414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1988b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: a984425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: d1d24291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 39c11795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 612c2112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 138274e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 15152791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21144791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9158b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: e58c4718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 8d227492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 918c2411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 111c7711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 93211412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1d11b29c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 637114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 28127211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 15d12211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e9c82714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 31c1b291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5dd17491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 11122411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1d5cb71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 18dc1c98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3000b208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 55514252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 19512391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e12c2711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1d2e11e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 51012752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: e1412112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule100: 15e18b58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.3012
------Result------
Miss_rate(tra)	:58.3012
Miss_rate(tst)	:16.1074
ARL				:5

------Generation 1------
Rule  1: 90000000, Class:  1, CF:0.873871, Len:  1, Fitness_tra: 1164
Rule  2: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 93
Rule  3: 13211191, Class:  0, CF:  1, Len:  8, Fitness_tra: 417
Rule  4: 31221111, Class:  0, CF:  1, Len:  8, Fitness_tra: 525
Rule  5: ee417795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 39811b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e14124e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: ddc12235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c5d14451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 115c4119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1183219c, Class:  0, CF:  1, Len:  8, Fitness_tra: 3
Rule 13: 5551b755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13c17b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11cc425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 5c144192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 61111235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12114b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ee8c1492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11c2b214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 181cbbec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 185c273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c181b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 66222711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 39782791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31c51b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 552444e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11211412, Class:  0, CF:  1, Len:  8, Fitness_tra: 4
Rule 30: 18c24b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1581411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: e344b1ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1d187119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 85227b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 15117b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1251723c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2d22bb11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3e521792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1881b252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 51812291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 51851211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e982bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 91c8411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 35421498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 51d21be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 12187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1d2211e2, Class:  1, CF:0.616624, Len:  8, Fitness_tra: 1
Rule 48: 1811b71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: c21277e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 51184b94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 9e7277e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 8811279c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6344bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 121c729c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: ee281711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e3427112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 19814b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 93112b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 95cc1294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 5c512111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 13117b5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: e9cc71e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 61114b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 11517291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: ee8cb414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1988b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: a984425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: d1d24291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 39c11795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 612c2112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 138274e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 15152791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 21144791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 9158b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: e58c4718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 8d227492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 918c2411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 111c7711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 93211412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1d11b29c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 637114e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 28127211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 15d12211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: e9c82714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 31c1b291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5dd17491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 11122411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1d5cb71c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 18dc1c98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 3000b208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 55514252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 19512391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: e12c2711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1d2e11e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 51012752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: e1412112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule100: 15e18b58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.3012
------Result------
Miss_rate(tra)	:58.3012
Miss_rate(tst)	:16.1074
ARL				:5

------Generation 2------
Rule  1: 90000000, Class:  1, CF:0.873871, Len:  1, Fitness_tra: 1164
Rule  2: 31221111, Class:  0, CF:  1, Len:  8, Fitness_tra: 525
Rule  3: 13211191, Class:  0, CF:  1, Len:  8, Fitness_tra: 417
Rule  4: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 93
Rule  5: 11211412, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  6: 1183219c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  7: 1d2211e2, Class:  1, CF:0.616624, Len:  8, Fitness_tra: 1
Rule  8: ee417795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: ddc12235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: c5d14451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 115c4119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 39811b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 5551b755, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13c17b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11cc425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 5c144192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 61111235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 12114b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ee8c1492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11c2b214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 181cbbec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 185c273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c181b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 66222711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 39782791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31c51b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 552444e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 18c24b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1581411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: e344b1ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1d187119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
