------Generation 0------
Rule  1: 19f19dd915821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f125881139351, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 3149954111198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b2b3855192595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6321858152118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 48a92153813cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 27235255855d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 256c113372811, Class:  0, CF:0.871803, Len: 13, Fitness_tra: 0
Rule 32: 28319311899c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: b1a1511121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: faa892281dd83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 11a2911188881, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 7c111351d5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f6381e11c8c81, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 12a18131d118c, Class:  1, CF:0.81487, Len: 13, Fitness_tra: 0
Rule 39: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 45f2161121153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: aea1139e1c116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: a32d511c153e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 131d11d51d121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: f57121819d591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b4b3d311151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b47d519191e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f579198118535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 256d825281951, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 1df1991521821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 6631115581813, Class:  0, CF:0.998838, Len: 13, Fitness_tra: 0
Rule 51: b4b381511132d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: a17c51d553d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 4b71d13c129d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 12319515d118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00080c6900000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 411d815218352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1811152d25121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 317115d515595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: bc151812191d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2b351118261e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 6db51151111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: f9bcd8d59d311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: f97531c53591c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 11115d1d91585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 277381d211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 42f113111552c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 18f1299931183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4873818cd1995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1722311851253, Class:  1, CF:0.595489, Len: 13, Fitness_tra: 0
Rule 70: f17551555d315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a111e2155e1d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 7361521155816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 714d12d1129d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: ad1885155d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a11211d193958, Class:  0, CF:0.782157, Len: 13, Fitness_tra: 0
Rule 76: 121d591511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f1b2dd518d552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2961a1235157d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2721d955d9895, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: f571e15111915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 69259322d9592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b51c111821ed1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: a9211d819d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 31183d2925171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: a121512811552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: 2cb35118e1e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b44cc11e11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 41f3d1838557e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 61111d1215315, Class:  1, CF:0.33077, Len: 13, Fitness_tra: 0
Rule 90: 11411815593d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0002000000000, Class:  1, CF:0.00738757, Len:  1, Fitness_tra: -75
Rule 92: 2c62311355512, Class:  0, CF:0.943589, Len: 13, Fitness_tra: 0
Rule 93: 633192515351e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: a31e81c115591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 4832531911915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 77b5552853853, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0000080000000, Class:  1, CF:0.0614493, Len:  1, Fitness_tra: 166
Rule 98: 71f551828e511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b1159258231d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: a523191593111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:89.3827
------Result------
Miss_rate(tra)	:89.3827
Miss_rate(tst)	:78.7879
ARL				:11

------Generation 0------
Rule  1: 0000080000000, Class:  1, CF:0.0614493, Len:  1, Fitness_tra: 180
Rule  2: 0000000089000, Class:  0, CF:0.999474, Len:  2, Fitness_tra: 94
Rule  3: 19f19dd915821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1332328551121, Class:  0, CF:0.998374, Len: 13, Fitness_tra: 0
Rule  5: a162916112815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: a9b21552d1518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11a21d132d11e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 142d295851d99, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b1a55515539d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b4b551325c922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4441191228153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2da115818521e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 61f1e54531d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 17b1111235111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 156411852591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 71a1218d855cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b4bdd2dc15195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: f16b863121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 12414815e1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: feb15d9919558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a375551951228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 17bdd95115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6e71118291321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b5132d3153e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f125881139351, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 3149954111198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b2b3855192595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6321858152118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 48a92153813cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 27235255855d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 256c113372811, Class:  0, CF:0.871803, Len: 13, Fitness_tra: 8
Rule 32: 28319311899c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: b1a1511121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: faa892281dd83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 11a2911188881, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 7c111351d5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f6381e11c8c81, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 12a18131d118c, Class:  1, CF:0.81487, Len: 13, Fitness_tra: 0
Rule 39: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 45f2161121153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: aea1139e1c116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: a32d511c153e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 131d11d51d121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: f57121819d591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b4b3d311151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b47d519191e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f579198118535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 256d825281951, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 1df1991521821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 6631115581813, Class:  0, CF:0.998838, Len: 13, Fitness_tra: 5
Rule 51: b4b381511132d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: a17c51d553d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 4b71d13c129d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 12319515d118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00080c6900000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 411d815218352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1811152d25121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 317115d515595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: bc151812191d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2b351118261e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 6db51151111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: f9bcd8d59d311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: f97531c53591c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 11115d1d91585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 277381d211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 42f113111552c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 18f1299931183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4873818cd1995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1722311851253, Class:  1, CF:0.595489, Len: 13, Fitness_tra: 0
Rule 70: f17551555d315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a111e2155e1d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 7361521155816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 714d12d1129d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: ad1885155d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a11211d193958, Class:  0, CF:0.782157, Len: 13, Fitness_tra: -3
Rule 76: 121d591511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f1b2dd518d552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2961a1235157d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2721d955d9895, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: f571e15111915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7534611121513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 11151158519d1, Class:  0, CF:0.984051, Len: 13, Fitness_tra: 0
Rule 83: 1d11833d18181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1123c11535118, Class:  0, CF:0.602111, Len: 13, Fitness_tra: 1
Rule 85: 42151c1195215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: f94351185132d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b1b9112828113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 427d11c8191d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: af12181925843, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 411525155d3d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4001090289150, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0020510011002, Class:  0, CF:0.197098, Len:  6, Fitness_tra: 44
Rule 93: 6d451151101e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 62a185815118c, Class:  0, CF:0.723201, Len: 13, Fitness_tra: 0
Rule 95: b8a1599921515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: f921ae23c1c71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2373811211368, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 252d825281921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 07055020b9003, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule100: ad1d25555ddc5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.5556
------Result------
Miss_rate(tra)	:85.5556
Miss_rate(tst)	:67.6768
ARL				:11.1852

------Generation 1------
Rule  1: 0000080000000, Class:  1, CF:0.0614493, Len:  1, Fitness_tra: 180
Rule  2: 0000000089000, Class:  0, CF:0.999474, Len:  2, Fitness_tra: 94
Rule  3: 19f19dd915821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1332328551121, Class:  0, CF:0.998374, Len: 13, Fitness_tra: 0
Rule  5: a162916112815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: a9b21552d1518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11a21d132d11e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 142d295851d99, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b1a55515539d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b4b551325c922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4441191228153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2da115818521e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 61f1e54531d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 17b1111235111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 156411852591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 71a1218d855cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b4bdd2dc15195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: f16b863121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 12414815e1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: feb15d9919558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a375551951228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 17bdd95115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6e71118291321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b5132d3153e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f125881139351, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 3149954111198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b2b3855192595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6321858152118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 48a92153813cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 27235255855d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 256c113372811, Class:  0, CF:0.871803, Len: 13, Fitness_tra: 8
Rule 32: 28319311899c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: b1a1511121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: faa892281dd83, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 11a2911188881, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 7c111351d5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f6381e11c8c81, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 12a18131d118c, Class:  1, CF:0.81487, Len: 13, Fitness_tra: 0
Rule 39: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 45f2161121153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: aea1139e1c116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: a32d511c153e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 131d11d51d121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: f57121819d591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b4b3d311151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b47d519191e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: f579198118535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 256d825281951, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 1df1991521821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 6631115581813, Class:  0, CF:0.998838, Len: 13, Fitness_tra: 5
Rule 51: b4b381511132d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: a17c51d553d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 4b71d13c129d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 12319515d118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00080c6900000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 411d815218352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1811152d25121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 317115d515595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: bc151812191d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2b351118261e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 6db51151111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: f9bcd8d59d311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: f97531c53591c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 11115d1d91585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 277381d211511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 42f113111552c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 18f1299931183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4873818cd1995, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1722311851253, Class:  1, CF:0.595489, Len: 13, Fitness_tra: 0
Rule 70: f17551555d315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a111e2155e1d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 7361521155816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 714d12d1129d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: ad1885155d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a11211d193958, Class:  0, CF:0.782157, Len: 13, Fitness_tra: -3
Rule 76: 121d591511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f1b2dd518d552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2961a1235157d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2721d955d9895, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: f571e15111915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7534611121513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 11151158519d1, Class:  0, CF:0.984051, Len: 13, Fitness_tra: 0
Rule 83: 1d11833d18181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1123c11535118, Class:  0, CF:0.602111, Len: 13, Fitness_tra: 1
Rule 85: 42151c1195215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: f94351185132d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b1b9112828113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 427d11c8191d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: af12181925843, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 411525155d3d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4001090289150, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0020510011002, Class:  0, CF:0.197098, Len:  6, Fitness_tra: 44
Rule 93: 6d451151101e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 62a185815118c, Class:  0, CF:0.723201, Len: 13, Fitness_tra: 0
Rule 95: b8a1599921515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: f921ae23c1c71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 2373811211368, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 252d825281921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 07055020b9003, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule100: ad1d25555ddc5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:85.5556
------Result------
Miss_rate(tra)	:85.5556
Miss_rate(tst)	:67.6768
ARL				:11.1852

------Generation 2------
Rule  1: 0000080000000, Class:  1, CF:0.0614493, Len:  1, Fitness_tra: 237
Rule  2: 0000000089000, Class:  0, CF:0.999474, Len:  2, Fitness_tra: 92
Rule  3: 0020510011002, Class:  0, CF:0.197098, Len:  6, Fitness_tra: 44
Rule  4: 256c113372811, Class:  0, CF:0.871803, Len: 13, Fitness_tra: 8
Rule  5: 6631115581813, Class:  0, CF:0.998838, Len: 13, Fitness_tra: 3
Rule  6: 1123c11535118, Class:  0, CF:0.602111, Len: 13, Fitness_tra: 1
Rule  7: 19f19dd915821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 142d295851d99, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b1a55515539d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b4b551325c922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4441191228153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2da115818521e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 61f1e54531d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 17b1111235111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 156411852591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
