------Generation 0------
Rule  1: b2b9518255199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 411135152131c, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 33: 4221138251111, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 34: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 54
Rule 35: 6145151911588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 0
Rule 37: 3f3d31191852e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111d192111515, Class:  0, CF:0.646428, Len: 13, Fitness_tra: 0
Rule 39: 1113191191351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 311581ed11122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a61511253911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 42f21121d1512, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule 43: f3b3881131512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 4135d18853811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 7241d1911d951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 113118d55d113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 31a2e82816112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b111815555d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1918d1d15d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 6a65181c15cd9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b562351159579, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1213515d13121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 412a17d56d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: aafd18555d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b2138192e13d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0c000000c0403, Class:  1, CF:0.115689, Len:  4, Fitness_tra: 10
Rule 57: 112111219359c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1911195112131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 75115d5315d45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2431531e11e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 126311c183111, Class:  0, CF:0.0796948, Len: 13, Fitness_tra: -2
Rule 62: 00090008090d0, Class:  0, CF:  1, Len:  4, Fitness_tra: 8
Rule 63: 6e18131d21585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 74b81111855ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 77b318e112311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0500000000000, Class:  1, CF:0.00825008, Len:  1, Fitness_tra: 36
Rule 67: 72f511898522e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 233512511511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 518111111d559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 4519d51153241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 43a2151113915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b125c1d115de5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 75f3152d23513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 741553515d395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 111d518111181, Class:  0, CF:0.955662, Len: 13, Fitness_tra: 15
Rule 77: 4475521295558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2835d51811111, Class:  0, CF:0.963252, Len: 13, Fitness_tra: -1
Rule 79: 3d711338125e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 48f51155ce11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1115155111151, Class:  0, CF:0.672753, Len: 13, Fitness_tra: -3
Rule 82: 4725118511831, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 83: 15a2131c211d5, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 212199e151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: fe78595181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 426313295592d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3631912191512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 161515d5122c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4441511818ed1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2179215212539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f5121d829dd52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 25f218d519121, Class:  0, CF:0.999528, Len: 13, Fitness_tra: 0
Rule 93: 242a2b38f1348, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 787145129193d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: b561813332821, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: f36d182152529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 6e71518111352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7cf15ed351521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: fa63912851155, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule100: 4279d518e2ed8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:83.642
------Result------
Miss_rate(tra)	:83.642
Miss_rate(tst)	:81.8182
ARL				:10.1

------Generation 0------
Rule  1: b2b9518255199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 657859592395d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: feb1dd5551185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b271215835359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a173192513118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 736111218318e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 471dd811e2152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 19ac152151515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d15d1551155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 777581389d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e135c1225111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a32d115153521, Class:  1, CF:0.937792, Len: 13, Fitness_tra: 1
Rule 15: 6a359111d1181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 6111111121153, Class:  1, CF:0.197021, Len: 13, Fitness_tra: 44
Rule 17: a6335c115dc2e, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: 117835e111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 39188551293c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0008000060e0d, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule 21: 41712111d11d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 75118151d539c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 3d212e125c136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1a65551e1121e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: a121811355112, Class:  0, CF:0.787231, Len: 13, Fitness_tra: 2
Rule 26: 3f32955125286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f5112115951d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 27b8221161388, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 29: aa35588259521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1921d111c8198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3911911551311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 411135152131c, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 33: 4221138251111, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 34: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 54
Rule 35: 6145151911588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 0
Rule 37: 3f3d31191852e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111d192111515, Class:  0, CF:0.646428, Len: 13, Fitness_tra: 0
Rule 39: 1113191191351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 311581ed11122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a61511253911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 42f21121d1512, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule 43: f3b3881131512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 4135d18853811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 7241d1911d951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 113118d55d113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 31a2e82816112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b111815555d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1918d1d15d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 6a65181c15cd9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b562351159579, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1213515d13121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 412a17d56d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: aafd18555d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b2138192e13d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0c000000c0403, Class:  1, CF:0.115689, Len:  4, Fitness_tra: 10
Rule 57: 112111219359c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1911195112131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 75115d5315d45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2431531e11e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 126311c183111, Class:  0, CF:0.0796948, Len: 13, Fitness_tra: -2
Rule 62: 00090008090d0, Class:  0, CF:  1, Len:  4, Fitness_tra: 8
Rule 63: 6e18131d21585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 74b81111855ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 77b318e112311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0500000000000, Class:  1, CF:0.00825008, Len:  1, Fitness_tra: 36
Rule 67: 72f511898522e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 233512511511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 518111111d559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 4519d51153241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 43a2151113915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b125c1d115de5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 75f3152d23513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 741553515d395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 111d518111181, Class:  0, CF:0.955662, Len: 13, Fitness_tra: 15
Rule 77: 4475521295558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2835d51811111, Class:  0, CF:0.963252, Len: 13, Fitness_tra: -1
Rule 79: 3d711338125e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 48f51155ce11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1115155111151, Class:  0, CF:0.672753, Len: 13, Fitness_tra: -3
Rule 82: 4725118511831, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 83: 15a2131c211d5, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 212199e151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: fe78595181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 426313295592d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3631912191512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 161515d5122c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4441511818ed1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2179215212539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f5121d829dd52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 25f218d519121, Class:  0, CF:0.999528, Len: 13, Fitness_tra: 0
Rule 93: 242a2b38f1348, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 787145129193d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: b561813332821, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: f36d182152529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 6e71518111352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7cf15ed351521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: fa63912851155, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule100: 4279d518e2ed8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:83.642
------Result------
Miss_rate(tra)	:83.642
Miss_rate(tst)	:81.8182
ARL				:10.1

------Generation 1------
Rule  1: b2b9518255199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 657859592395d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: feb1dd5551185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b271215835359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a173192513118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 736111218318e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 471dd811e2152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 19ac152151515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d15d1551155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 777581389d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e135c1225111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a32d115153521, Class:  1, CF:0.937792, Len: 13, Fitness_tra: 1
Rule 15: 6a359111d1181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 6111111121153, Class:  1, CF:0.197021, Len: 13, Fitness_tra: 44
Rule 17: a6335c115dc2e, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: 117835e111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 39188551293c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0008000060e0d, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule 21: 41712111d11d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 75118151d539c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 3d212e125c136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1a65551e1121e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: a121811355112, Class:  0, CF:0.787231, Len: 13, Fitness_tra: 2
Rule 26: 3f32955125286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f5112115951d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 27b8221161388, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 29: aa35588259521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1921d111c8198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3911911551311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 411135152131c, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 33: 4221138251111, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 34: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 54
Rule 35: 6145151911588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 0
Rule 37: 3f3d31191852e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111d192111515, Class:  0, CF:0.646428, Len: 13, Fitness_tra: 0
Rule 39: 1113191191351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 311581ed11122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a61511253911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 42f21121d1512, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule 43: f3b3881131512, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 4135d18853811, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 7241d1911d951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 113118d55d113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 31a2e82816112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b111815555d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1918d1d15d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 6a65181c15cd9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b562351159579, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1213515d13121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 412a17d56d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: aafd18555d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b2138192e13d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0c000000c0403, Class:  1, CF:0.115689, Len:  4, Fitness_tra: 10
Rule 57: 112111219359c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1911195112131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 75115d5315d45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b2431531e11e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 126311c183111, Class:  0, CF:0.0796948, Len: 13, Fitness_tra: -2
Rule 62: 00090008090d0, Class:  0, CF:  1, Len:  4, Fitness_tra: 8
Rule 63: 6e18131d21585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 74b81111855ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 77b318e112311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0500000000000, Class:  1, CF:0.00825008, Len:  1, Fitness_tra: 36
Rule 67: 72f511898522e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 233512511511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 518111111d559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 4519d51153241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 43a2151113915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: b125c1d115de5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 75f3152d23513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 741553515d395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 111d518111181, Class:  0, CF:0.955662, Len: 13, Fitness_tra: 15
Rule 77: 4475521295558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2835d51811111, Class:  0, CF:0.963252, Len: 13, Fitness_tra: -1
Rule 79: 3d711338125e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 48f51155ce11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1115155111151, Class:  0, CF:0.672753, Len: 13, Fitness_tra: -3
Rule 82: 4725118511831, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 83: 15a2131c211d5, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 84: 212199e151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: fe78595181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 426313295592d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3631912191512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 161515d5122c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 4441511818ed1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 2179215212539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f5121d829dd52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 25f218d519121, Class:  0, CF:0.999528, Len: 13, Fitness_tra: 0
Rule 93: 242a2b38f1348, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 787145129193d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: b561813332821, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: f36d182152529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 6e71518111352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7cf15ed351521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: fa63912851155, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule100: 4279d518e2ed8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:83.642
------Result------
Miss_rate(tra)	:83.642
Miss_rate(tst)	:81.8182
ARL				:10.1

------Generation 2------
Rule  1: 0000090008000, Class:  0, CF:0.769069, Len:  2, Fitness_tra: 52
Rule  2: 6111111121153, Class:  1, CF:0.197021, Len: 13, Fitness_tra: 46
Rule  3: 0500000000000, Class:  1, CF:0.00825008, Len:  1, Fitness_tra: 61
Rule  4: 111d518111181, Class:  0, CF:0.955662, Len: 13, Fitness_tra: 13
Rule  5: 42f21121d1512, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule  6: 0c000000c0403, Class:  1, CF:0.115689, Len:  4, Fitness_tra: 34
Rule  7: 00090008090d0, Class:  0, CF:  1, Len:  4, Fitness_tra: 8
Rule  8: 0008000060e0d, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule  9: 4725118511831, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 10: 4221138251111, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 11: fa63912851155, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: a121811355112, Class:  0, CF:0.787231, Len: 13, Fitness_tra: 1
Rule 13: 27b8221161388, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: a6335c115dc2e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: a32d115153521, Class:  1, CF:0.937792, Len: 13, Fitness_tra: 1
Rule 16: 411135152131c, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
