------Generation 0------
Rule  1: b14121cd13932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: bc61c32d25111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 13f5321d15118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: a3185125259d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6a1d985551515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 736c119911116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2b23d81115215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 6122895581188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b849155881335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 166d1d1981c43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7211858d19125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f343519181518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2161561e29528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 221d111113111, Class:  0, CF:0.921213, Len: 13, Fitness_tra: 0
Rule 47: 78ac3d5c23de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 35b5925855185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a318555389111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: b2112815d355d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b539815125179, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4161d5511d219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: aaf895d58314e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f611213961118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: a36d325181d1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 174d821195132, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 72432111959ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: ff6c199911c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1cb17cd319911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b1ad15115821e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b219113ce811c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 31b3d58583858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 7771c13511155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 6125dd59513c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2771198115255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4cf1211559382, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1332119115811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 68: 7249511c52e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12a2a11351811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 18f5d11551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2171211131535, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: aeb5d993238d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f3721dd2d5511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 711358115c311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a973258d85518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0503000e000cd, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: 1518159121135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b811515145152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 632c158515185, Class:  0, CF:0.991422, Len: 13, Fitness_tra: 0
Rule 80: 00000000c0000, Class:  1, CF:0.123276, Len:  1, Fitness_tra: 153
Rule 81: 63b21d2d51355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 78311d1d19525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2168153139d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 41335121d9121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 75a9111125819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7265918113558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 78132d8d81911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 44b115e8e1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b2a1559c195e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 717951d251138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f121111331121, Class:  0, CF:0.856044, Len: 13, Fitness_tra: 0
Rule 92: faa1311113111, Class:  1, CF:0.436543, Len: 13, Fitness_tra: 0
Rule 93: 2511111511111, Class:  1, CF:0.358014, Len: 13, Fitness_tra: 0
Rule 94: 152e123215151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7741518191215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0000000000800, Class:  1, CF:0.106252, Len:  1, Fitness_tra: 43
Rule 97: 3aad31d3151c1, Class:  1, CF:0.275799, Len: 13, Fitness_tra: 0
Rule 98: 12bd51d551315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000200000, Class:  1, CF:0.0249309, Len:  1, Fitness_tra: -40
Rule100: 2113592585395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:64.5062
------Result------
Miss_rate(tra)	:64.5062
Miss_rate(tst)	:63.6364
ARL				:9.54545

------Generation 0------
Rule  1: b14121cd13932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 192822d1153c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3a6198855311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4211315511d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 17b3216111e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: f1f9e12851121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 277915521c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1113259152158, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: b416cc15e3591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: f1f1311159111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1135211e11481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 35bd121595111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4479d11898112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b11b3239372, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4245dde195312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1e118d5515181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 453931542de85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 16ad515dd2889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: b162525158c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3375155151d2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b2f5851d55154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000200d0000, Class:  1, CF:0.00427368, Len:  2, Fitness_tra: 0
Rule 23: 36b3158181512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 48335553812b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fff18135cd236, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 25a25185851c1, Class:  0, CF:0.667033, Len: 13, Fitness_tra: 0
Rule 27: aa3d958231dc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0b08000330000, Class:  0, CF:0.843768, Len:  4, Fitness_tra: 19
Rule 29: 444315d451558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000d000, Class:  0, CF:0.271294, Len:  1, Fitness_tra: 137
Rule 31: 33b122d55911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6e729118115e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4845811811315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: bc61c32d25111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 13f5321d15118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: a3185125259d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6a1d985551515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 736c119911116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2b23d81115215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 6122895581188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b849155881335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 166d1d1981c43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7211858d19125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f343519181518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2161561e29528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 221d111113111, Class:  0, CF:0.921213, Len: 13, Fitness_tra: 0
Rule 47: 78ac3d5c23de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 35b5925855185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a318555389111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: b2112815d355d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b539815125179, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4161d5511d219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: aaf895d58314e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f611213961118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: a36d325181d1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 174d821195132, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 72432111959ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: ff6c199911c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1cb17cd319911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b1ad15115821e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b219113ce811c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 31b3d58583858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 7771c13511155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 6125dd59513c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2771198115255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4cf1211559382, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1332119115811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 68: 7249511c52e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12a2a11351811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 18f5d11551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2171211131535, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: aeb5d993238d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f3721dd2d5511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 711358115c311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a973258d85518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0503000e000cd, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: 1518159121135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b811515145152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 632c158515185, Class:  0, CF:0.991422, Len: 13, Fitness_tra: 0
Rule 80: 00000000c0000, Class:  1, CF:0.123276, Len:  1, Fitness_tra: 153
Rule 81: 63b21d2d51355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 78311d1d19525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2168153139d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 41335121d9121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 75a9111125819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7265918113558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 78132d8d81911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 44b115e8e1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b2a1559c195e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 717951d251138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f121111331121, Class:  0, CF:0.856044, Len: 13, Fitness_tra: 0
Rule 92: faa1311113111, Class:  1, CF:0.436543, Len: 13, Fitness_tra: 0
Rule 93: 2511111511111, Class:  1, CF:0.358014, Len: 13, Fitness_tra: 0
Rule 94: 152e123215151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7741518191215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0000000000800, Class:  1, CF:0.106252, Len:  1, Fitness_tra: 43
Rule 97: 3aad31d3151c1, Class:  1, CF:0.275799, Len: 13, Fitness_tra: 0
Rule 98: 12bd51d551315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000200000, Class:  1, CF:0.0249309, Len:  1, Fitness_tra: -40
Rule100: 2113592585395, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:64.5062
------Result------
Miss_rate(tra)	:64.5062
Miss_rate(tst)	:63.6364
ARL				:9.54545

------Generation 1------
Rule  1: 00000000c0000, Class:  1, CF:0.123276, Len:  1, Fitness_tra: 145
Rule  2: 000000000d000, Class:  0, CF:0.271294, Len:  1, Fitness_tra: 137
Rule  3: 0000000000800, Class:  1, CF:0.106252, Len:  1, Fitness_tra: 37
Rule  4: 0b08000330000, Class:  0, CF:0.843768, Len:  4, Fitness_tra: 20
Rule  5: b14121cd13932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: f1f9e12851121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 277915521c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1113259152158, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: b416cc15e3591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: f1f1311159111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1135211e11481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 35bd121595111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4479d11898112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b11b3239372, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4245dde195312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1e118d5515181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 453931542de85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 16ad515dd2889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: b162525158c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3375155151d2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b2f5851d55154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000200d0000, Class:  1, CF:0.00427368, Len:  2, Fitness_tra: -3
Rule 23: 36b3158181512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 48335553812b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fff18135cd236, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 25a25185851c1, Class:  0, CF:0.667033, Len: 13, Fitness_tra: 0
Rule 27: aa3d958231dc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 192822d1153c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 444315d451558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3a6198855311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 33b122d55911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6e729118115e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4845811811315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: bc61c32d25111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 13f5321d15118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: a3185125259d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 6a1d985551515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 736c119911116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2b23d81115215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 6122895581188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b849155881335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 166d1d1981c43, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7211858d19125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f343519181518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2161561e29528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 221d111113111, Class:  0, CF:0.921213, Len: 13, Fitness_tra: 0
Rule 47: 78ac3d5c23de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 35b5925855185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: a318555389111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: b2112815d355d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b539815125179, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4161d5511d219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: aaf895d58314e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: f611213961118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: a36d325181d1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 174d821195132, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 72432111959ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: ff6c199911c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 1cb17cd319911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: b1ad15115821e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: b219113ce811c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 31b3d58583858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 7771c13511155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 6125dd59513c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2771198115255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4cf1211559382, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1332119115811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 68: 7249511c52e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12a2a11351811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: 18f5d11551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2171211131535, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: aeb5d993238d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f3721dd2d5511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 711358115c311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a973258d85518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0503000e000cd, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: 1518159121135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b811515145152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 632c158515185, Class:  0, CF:0.991422, Len: 13, Fitness_tra: 0
Rule 80: 4211315511d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 63ad15dd12d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: af68d1d181826, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 83: 2111551892155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3128851111582, Class:  0, CF:0.985199, Len: 13, Fitness_tra: 0
Rule 85: 19251155855e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 11a1dd898181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: b1b985d821919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 21b8e11211ee5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1a3d915913541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000ec480000cd, Class:  0, CF:  1, Len:  6, Fitness_tra: 2
Rule 91: a9135b5d89111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 44a95d18985e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 15291232151c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 35b5925855181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7b41518195215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1779e51d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 8ebcdd5323de1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 72f1858559185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 35b5851851115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 73f5d21d15e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:64.3827
------Result------
Miss_rate(tra)	:64.3827
Miss_rate(tst)	:63.6364
ARL				:9.45

------Generation 2------
Rule  1: 00000000c0000, Class:  1, CF:0.123276, Len:  1, Fitness_tra: 145
Rule  2: 000000000d000, Class:  0, CF:0.271294, Len:  1, Fitness_tra: 137
Rule  3: 0000000000800, Class:  1, CF:0.106252, Len:  1, Fitness_tra: 37
Rule  4: 0b08000330000, Class:  0, CF:0.843768, Len:  4, Fitness_tra: 20
Rule  5: b14121cd13932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: f1f9e12851121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 277915521c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1113259152158, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: b416cc15e3591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: f1f1311159111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1135211e11481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 35bd121595111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4479d11898112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b11b3239372, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4245dde195312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
