------Generation 0------
Rule  1: b5fd815121922, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 61: 7111519115181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000000d0, Class:  0, CF:0.156864, Len:  1, Fitness_tra: 60
Rule 63: b531c91971513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a343555c8518d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1311151111555, Class:  0, CF:0.813767, Len: 13, Fitness_tra: 0
Rule 66: 631581e928223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: bcf1215913b25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7cb9219595391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 16383191511ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b173555515212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 4332111151186, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 72: 713c931811355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f179dc115195c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31f2993581c46, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 721d1112dd515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0008000002900, Class:  0, CF:0.106429, Len:  3, Fitness_tra: 0
Rule 77: b713d5911c1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b24119511293d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b135965125381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 121d818d53513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: b77d211531152, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: f3259c8251511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 631d855189d14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 222d1255e5921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: b2351d1929841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 31ae998525113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3948555511112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 3af111d131c15, Class:  0, CF:0.999999, Len: 13, Fitness_tra: 0
Rule 89: 151111131552d, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 90: 2172d15253d15, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 91: f17d152515131, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 92: 7441855815355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000080ed0c000, Class:  0, CF:  1, Len:  4, Fitness_tra: 31
Rule 94: b1b2155b59de5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 422919911551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: b8a31d5125351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: b53e351529111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1115555151181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: ff68111111223, Class:  1, CF:0.559416, Len: 13, Fitness_tra: -9
------Current------
Miss_rate(tra)	:59.1358
------Result------
Miss_rate(tra)	:59.1358
Miss_rate(tst)	:50.5051
ARL				:11.3077

------Generation 0------
Rule  1: 00000000000d0, Class:  0, CF:0.156864, Len:  1, Fitness_tra: 59
Rule  2: 000080ed0c000, Class:  0, CF:  1, Len:  4, Fitness_tra: 31
Rule  3: 42111155c1115, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule  4: a12d11dd51111, Class:  0, CF:0.962096, Len: 13, Fitness_tra: 4
Rule  5: afa13d1525111, Class:  0, CF:0.999958, Len: 13, Fitness_tra: 4
Rule  6: 2172d15253d15, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule  7: 7d11511121229, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule  8: 151111131552d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: 11f1151911111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: 4332111151186, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: f17d152515131, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: b5fd815121922, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1e78d1951d28c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118521921521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4861c1e91c285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3e7d811389d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 16611d19cd519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3161515155551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: a14d11151d151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 74795811e5e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 18111581c9145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c1525dcd1935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4215892858d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111c555918513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 21a21d19558d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: ad7555121199d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1211d15151911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 156255138115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 427e1851159d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 747642c599511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: bcf5218d1e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 394e5531138d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4241215812998, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a1b912d51138d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7ca91515c5d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4176111161351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11f5d8851d513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b111515811351, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: f51318d815151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 3e71155525158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4253251551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7271c91c51351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 75fc91151112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000020de005d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4745823191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1161dd8911119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: bd1119e142211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b1f1155515523, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 11a55d8315819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13ac119112153, Class:  1, CF:0.158302, Len: 13, Fitness_tra: 0
Rule 53: 2bb4135211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 48f5121153158, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 8115515111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 25f45d1152153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 78a5152d899cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f315d91811d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b111cde131125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 42a5831d1e349, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 7111519115181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11112131d125a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b531c91971513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a343555c8518d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1311151111555, Class:  0, CF:0.813767, Len: 13, Fitness_tra: 0
Rule 66: 631581e928223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: bcf1215913b25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7cb9219595391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 16383191511ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b173555515212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 53f111151d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 713c931811355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f179dc115195c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31f2993581c46, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 721d1112dd515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0008000002900, Class:  0, CF:0.106429, Len:  3, Fitness_tra: -6
Rule 77: b713d5911c1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b24119511293d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b135965125381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 121d818d53513, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 81: 75f1d18955c23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 3e78511985d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2742c13218512, Class:  1, CF:  1, Len: 13, Fitness_tra: 9
Rule 84: 22a193c111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule 85: 3131511185d15, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 86: 4475d32831151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 5131151151d19, Class:  0, CF:0.864733, Len: 13, Fitness_tra: 0
Rule 88: f135181156511, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 89: 1111215158119, Class:  1, CF:0.165713, Len: 13, Fitness_tra: 4
Rule 90: 197911532d35c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4e5321158961c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 25145d5112751, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: b111cde631125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000020de005d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1c1119ec4191c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 403c551918d16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 421d898d5351d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: e6383991511ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b2431d511295d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 31f5218d1e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.0864
------Result------
Miss_rate(tra)	:58.0864
Miss_rate(tst)	:51.5152
ARL				:11.5333

------Generation 1------
Rule  1: 00000000000d0, Class:  0, CF:0.156864, Len:  1, Fitness_tra: 59
Rule  2: 000080ed0c000, Class:  0, CF:  1, Len:  4, Fitness_tra: 31
Rule  3: 42111155c1115, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule  4: a12d11dd51111, Class:  0, CF:0.962096, Len: 13, Fitness_tra: 4
Rule  5: afa13d1525111, Class:  0, CF:0.999958, Len: 13, Fitness_tra: 4
Rule  6: 2172d15253d15, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule  7: 7d11511121229, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule  8: 151111131552d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: 11f1151911111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 10: 4332111151186, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 11: f17d152515131, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 12: b5fd815121922, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1e78d1951d28c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118521921521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4861c1e91c285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3e7d811389d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 16611d19cd519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3161515155551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: a14d11151d151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 74795811e5e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 18111581c9145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c1525dcd1935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4215892858d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111c555918513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 21a21d19558d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: ad7555121199d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1211d15151911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 156255138115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 427e1851159d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 747642c599511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: bcf5218d1e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 394e5531138d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4241215812998, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a1b912d51138d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7ca91515c5d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4176111161351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11f5d8851d513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b111515811351, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: f51318d815151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 3e71155525158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4253251551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7271c91c51351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 75fc91151112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000020de005d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4745823191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1161dd8911119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: bd1119e142211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b1f1155515523, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 11a55d8315819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 13ac119112153, Class:  1, CF:0.158302, Len: 13, Fitness_tra: 0
Rule 53: 2bb4135211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 48f5121153158, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 8115515111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 25f45d1152153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 78a5152d899cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f315d91811d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b111cde131125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 42a5831d1e349, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 7111519115181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 11112131d125a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b531c91971513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a343555c8518d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1311151111555, Class:  0, CF:0.813767, Len: 13, Fitness_tra: 0
Rule 66: 631581e928223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: bcf1215913b25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7cb9219595391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 16383191511ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b173555515212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 53f111151d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 713c931811355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: f179dc115195c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 31f2993581c46, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 721d1112dd515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0008000002900, Class:  0, CF:0.106429, Len:  3, Fitness_tra: -6
Rule 77: b713d5911c1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b24119511293d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: b135965125381, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 121d818d53513, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 81: 75f1d18955c23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 3e78511985d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2742c13218512, Class:  1, CF:  1, Len: 13, Fitness_tra: 9
Rule 84: 22a193c111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule 85: 3131511185d15, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 86: 4475d32831151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 5131151151d19, Class:  0, CF:0.864733, Len: 13, Fitness_tra: 0
Rule 88: f135181156511, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 89: 1111215158119, Class:  1, CF:0.165713, Len: 13, Fitness_tra: 4
Rule 90: 197911532d35c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 4e5321158961c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 25145d5112751, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: b111cde631125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0000020de005d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1c1119ec4191c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 403c551918d16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 421d898d5351d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: e6383991511ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b2431d511295d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 31f5218d1e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:58.0864
------Result------
Miss_rate(tra)	:58.0864
Miss_rate(tst)	:51.5152
ARL				:11.5333

------Generation 2------
Rule  1: 00000000000d0, Class:  0, CF:0.156864, Len:  1, Fitness_tra: 25
Rule  2: 000080ed0c000, Class:  0, CF:  1, Len:  4, Fitness_tra: 24
Rule  3: 22a193c111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule  4: 2742c13218512, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule  5: 42111155c1115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 1111215158119, Class:  1, CF:0.165713, Len: 13, Fitness_tra: 1
Rule  7: a12d11dd51111, Class:  0, CF:0.962096, Len: 13, Fitness_tra: 3
Rule  8: afa13d1525111, Class:  0, CF:0.999958, Len: 13, Fitness_tra: 4
Rule  9: 2172d15253d15, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: f135181156511, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 11: 7d11511121229, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 4332111151186, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 11f1151911111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 14: 121d818d53513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f17d152515131, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
