------Generation 0------
Rule  1: 61ad8191c1816, Class:  1, CF:0.818853, Len: 13, Fitness_tra: 0
Rule 38: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f6f912858558e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b232121213551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 713121111d111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 6928583925d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1831158853151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 316198111e111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 6a1893d515281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f9b5191825318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3615115515513, Class:  0, CF:0.928836, Len: 13, Fitness_tra: 0
Rule 48: 4cbe1132181d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 33411d1111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 25388339428d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 6fa2193124181, Class:  1, CF:0.0712149, Len: 13, Fitness_tra: -3
Rule 52: 4b1d81c19311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 22b21112d5131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 1411281592385, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6af121195c211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 1311155d81421, Class:  0, CF:0.994709, Len: 13, Fitness_tra: 0
Rule 57: 43fc5521825d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 2c738512d1133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 611111192cc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 134518551155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1111111585113, Class:  0, CF:0.958958, Len: 13, Fitness_tra: 0
Rule 62: a9213111111c8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 63: 1315511528515, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 3172833858816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1212135611211, Class:  1, CF:0.778404, Len: 13, Fitness_tra: 0
Rule 66: 697ce11253115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7131155515911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7221218d15111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: a11225dd113c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: ae1148e13354c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a131121193115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 1e4c32551131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4141113191318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 71b8261112513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: b265c55511111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 11b13d1155111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 2275111892151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 41b1555511e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a11d23d5d5511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 80: 4211119311c21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 11411d5d33582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b74118913195d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 24112d1551198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1df1d15115581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 78a125c155525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1cb91e88d83ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 00000090d0000, Class:  0, CF:0.58607, Len:  2, Fitness_tra: 24
Rule 88: 1145832d11155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b5f5d11d515c3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: f311115985c83, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 73acd121828d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7118815191953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0903dc5951040, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b12c132125595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 3172811858116, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 96: 0db01c0991015, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1411e818931c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: a9010c18011d8, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 0d003009d0000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule100: 0d0c00dd00000, Class:  0, CF:0.439037, Len:  4, Fitness_tra: 0
------Current------
Miss_rate(tra)	:68.8889
------Result------
Miss_rate(tra)	:68.8889
Miss_rate(tst)	:44.4444
ARL				:9.6875

------Generation 1------
Rule  1: 000c000000000, Class:  1, CF:0.289174, Len:  1, Fitness_tra: 438
Rule  2: 000d000000000, Class:  0, CF:0.303108, Len:  1, Fitness_tra: 118
Rule  3: 0000000009000, Class:  0, CF:0.960538, Len:  1, Fitness_tra: 71
Rule  4: 00003000d0000, Class:  0, CF:0.532095, Len:  2, Fitness_tra: 49
Rule  5: 00000090d0000, Class:  0, CF:0.58607, Len:  2, Fitness_tra: 24
Rule  6: 00000000d0000, Class:  0, CF:0.127079, Len:  1, Fitness_tra: 6
Rule  7: 0000ec000200c, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule  8: 0002de0c00d00, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 0d00c00900000, Class:  0, CF:0.970324, Len:  3, Fitness_tra: 3
Rule 10: 00000030d0000, Class:  0, CF:0.314844, Len:  2, Fitness_tra: 2
Rule 11: 090ce00800000, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 12: 61ad8191c1816, Class:  1, CF:0.818853, Len: 13, Fitness_tra: 0
Rule 13: b271212155d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b145121251c95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3118555151525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11b1251515552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 1229555291551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b1211e2125595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 121cdd115dc8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1165119112881, Class:  1, CF:0.196866, Len: 13, Fitness_tra: 0
Rule 21: 42b31c3d91915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b8a1e51823155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b219132881315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 75a2d15988851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 121d1585c151d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 3e21551511511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: b4731cd339915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 118121185d111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 1135931421e8c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 421c3121d5121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 7c69123813958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: bcb1c11151d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: f63535d9258ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 45f1c51135111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 7cb352e591313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 19231d1d18531, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 11a21119818c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f6f912858558e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b232121213551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 713121111d111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 6928583925d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1831158853151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 316198111e111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 6a1893d515281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f9b5191825318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3615115515513, Class:  0, CF:0.928836, Len: 13, Fitness_tra: 0
Rule 48: 4cbe1132181d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 33411d1111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 25388339428d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0d0c00dd00000, Class:  0, CF:0.439037, Len:  4, Fitness_tra: 0
Rule 52: 4b1d81c19311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 22b21112d5131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 1411281592385, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6af121195c211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 1311155d81421, Class:  0, CF:0.994709, Len: 13, Fitness_tra: 0
Rule 57: 43fc5521825d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 2c738512d1133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 611111192cc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 134518551155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1111111585113, Class:  0, CF:0.958958, Len: 13, Fitness_tra: 0
Rule 62: a9213111111c8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 63: 1315511528515, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 3172833858816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1212135611211, Class:  1, CF:0.778404, Len: 13, Fitness_tra: 0
Rule 66: 697ce11253115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7131155515911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7221218d15111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: a11225dd113c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: ae1148e13354c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a131121193115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 1e4c32551131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4141113191318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 71b8261112513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: b265c55511111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 11b13d1155111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 2275111892151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 41b1555511e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a11d23d5d5511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 80: 4211119311c21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 7811831181111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 11355111511c1, Class:  0, CF:0.999942, Len: 13, Fitness_tra: 0
Rule 83: b8392511c3915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 35115d283155d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: 1129121131118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: 0000d20000000, Class:  0, CF:0.578327, Len:  2, Fitness_tra: 146
Rule 87: 1121218512158, Class:  1, CF:0.154435, Len: 13, Fitness_tra: 0
Rule 88: 19a1d115825d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 417959515199d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: ad4151153d931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 141d788512315, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 92: 001ce81000005, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 93: b5f5e51d51ec5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 114d858dc1115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 95: 0e0d120813900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 11b2321115551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: a3451111115c8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 04730c0339015, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 12bdc41551d3d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule100: 0264050500001, Class:  1, CF:0.429518, Len:  6, Fitness_tra: 1
------Current------
Miss_rate(tra)	:61.9753
------Result------
Miss_rate(tra)	:61.9753
Miss_rate(tst)	:33.3333
ARL				:10.0182

------Generation 2------
Rule  1: 000c000000000, Class:  1, CF:0.289174, Len:  1, Fitness_tra: 439
Rule  2: 0000d20000000, Class:  0, CF:0.578327, Len:  2, Fitness_tra: 146
Rule  3: 000d000000000, Class:  0, CF:0.303108, Len:  1, Fitness_tra: 118
Rule  4: 0000000009000, Class:  0, CF:0.960538, Len:  1, Fitness_tra: 71
Rule  5: 00003000d0000, Class:  0, CF:0.532095, Len:  2, Fitness_tra: 48
Rule  6: 00000090d0000, Class:  0, CF:0.58607, Len:  2, Fitness_tra: 24
Rule  7: 0000ec000200c, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule  8: 00000000d0000, Class:  0, CF:0.127079, Len:  1, Fitness_tra: 6
Rule  9: 0d00c00900000, Class:  0, CF:0.970324, Len:  3, Fitness_tra: 3
Rule 10: 00000030d0000, Class:  0, CF:0.314844, Len:  2, Fitness_tra: 2
Rule 11: 090ce00800000, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 12: 0264050500001, Class:  1, CF:0.429518, Len:  6, Fitness_tra: 0
Rule 13: 61ad8191c1816, Class:  1, CF:0.818853, Len: 13, Fitness_tra: 0
