------Generation 0------
Rule  1: bb71787447, Class:  1, CF:0.991391, Len: 10, Fitness_tra: 1
Rule 70: 4d443a14b2, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 6
Rule 71: 411111b771, Class:  1, CF:0.796531, Len: 10, Fitness_tra: 489
Rule 72: 2744114127, Class:  1, CF:0.951553, Len: 10, Fitness_tra: 0
Rule 73: 232119b214, Class:  1, CF:0.997164, Len: 10, Fitness_tra: 0
Rule 74: 7414161222, Class:  1, CF:0.990936, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1442c97424, Class:  1, CF:0.917657, Len: 10, Fitness_tra: 0
Rule 77: 21215e4b47, Class:  1, CF:0.94073, Len: 10, Fitness_tra: 0
Rule 78: 411b197111, Class:  1, CF:0.777454, Len: 10, Fitness_tra: -2322
Rule 79: 44b711124b, Class:  1, CF:0.918812, Len: 10, Fitness_tra: 53
Rule 80: b22177bb21, Class:  1, CF:0.847329, Len: 10, Fitness_tra: 2
Rule 81: b1422fbb4b, Class:  1, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 82: 1178f64121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4b4286114b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: 714229144b, Class:  1, CF:0.986655, Len: 10, Fitness_tra: 0
Rule 85: 2117c6217b, Class:  1, CF:0.996763, Len: 10, Fitness_tra: 0
Rule 86: b5b215b127, Class:  1, CF:0.741309, Len: 10, Fitness_tra: 0
Rule 87: b11d112b4b, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 88: 4b4bd1b721, Class:  1, CF:0.993951, Len: 10, Fitness_tra: 0
Rule 89: b21b2abb4b, Class:  1, CF:0.999844, Len: 10, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 214c13b227, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 21115e1221, Class:  1, CF:0.918542, Len: 10, Fitness_tra: 396
Rule 93: 177b837242, Class:  1, CF:0.616562, Len: 10, Fitness_tra: 0
Rule 94: 1b1b2617bb, Class:  1, CF:0.993995, Len: 10, Fitness_tra: 2
Rule 95: 174b131222, Class:  1, CF:0.962558, Len: 10, Fitness_tra: 0
Rule 96: 4111214b42, Class:  1, CF:0.917107, Len: 10, Fitness_tra: 0
Rule 97: 74472a1712, Class:  1, CF:0.998875, Len: 10, Fitness_tra: 0
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1b12c9b144, Class:  1, CF:0.895863, Len: 10, Fitness_tra: 125
Rule100: 212133414b, Class:  1, CF:0.995578, Len: 10, Fitness_tra: 1
------Current------
Miss_rate(tra)	:94.81
------Result------
Miss_rate(tra)	:94.81
Miss_rate(tst)	:90.8592
ARL				:8.4382

------Generation 0------
Rule  1: bb71787447, Class:  1, CF:0.991391, Len: 10, Fitness_tra: 1
Rule  2: b727811772, Class:  1, CF:0.927597, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 4118364414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 747166b112, Class:  1, CF:0.99828, Len: 10, Fitness_tra: 15
Rule  7: 24711f7222, Class:  1, CF:0.999998, Len: 10, Fitness_tra: 0
Rule  8: b17b16b141, Class:  1, CF:0.99295, Len: 10, Fitness_tra: 0
Rule  9: 24b28fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2db4434471, Class:  1, CF:0.982844, Len: 10, Fitness_tra: 0
Rule 12: 117b511721, Class:  1, CF:0.964182, Len: 10, Fitness_tra: 0
Rule 13: b421ce4742, Class:  1, CF:0.99517, Len: 10, Fitness_tra: 0
Rule 14: b44213b17b, Class:  1, CF:0.990372, Len: 10, Fitness_tra: 0
Rule 15: 24217d424b, Class:  1, CF:0.957806, Len: 10, Fitness_tra: 0
Rule 16: 4b1b217271, Class:  1, CF:0.977389, Len: 10, Fitness_tra: 0
Rule 17: 2212151411, Class:  1, CF:0.218911, Len: 10, Fitness_tra: -745
Rule 18: 4bbbdf7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7211e3b214, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 271bc97717, Class:  1, CF:0.861691, Len: 10, Fitness_tra: 0
Rule 21: 7b273f2b27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 1b116a4427, Class:  1, CF:0.999945, Len: 10, Fitness_tra: 0
Rule 23: 1142261111, Class:  1, CF:0.966025, Len: 10, Fitness_tra: 326
Rule 24: 21b21f4774, Class:  1, CF:0.999949, Len: 10, Fitness_tra: 0
Rule 25: 2744b1b442, Class:  1, CF:0.9454, Len: 10, Fitness_tra: 0
Rule 26: 14171ab24b, Class:  1, CF:0.998027, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7212211172, Class:  1, CF:0.374507, Len: 10, Fitness_tra: -141
Rule 29: b244c1bb2b, Class:  1, CF:0.94646, Len: 10, Fitness_tra: 0
Rule 30: 1471197744, Class:  1, CF:0.919535, Len: 10, Fitness_tra: 10
Rule 31: 7c4b16217b, Class:  1, CF:0.999219, Len: 10, Fitness_tra: 0
Rule 32: 1b1443724b, Class:  1, CF:0.9116, Len: 10, Fitness_tra: 0
Rule 33: 47b4cf224b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 4418a317b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b24563b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4172741221, Class:  1, CF:0.941479, Len: 10, Fitness_tra: 26
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b872ff1471, Class:  1, CF:0.998526, Len: 10, Fitness_tra: 1
Rule 39: 7a411d472b, Class:  1, CF:0.940254, Len: 10, Fitness_tra: 0
Rule 40: 41bb112177, Class:  1, CF:0.942797, Len: 10, Fitness_tra: 0
Rule 41: 1141d3211b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 21b23e717b, Class:  1, CF:0.298478, Len: 10, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4177af4412, Class:  1, CF:0.999475, Len: 10, Fitness_tra: 0
Rule 46: 72b756bb27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 771781227b, Class:  1, CF:0.979964, Len: 10, Fitness_tra: 0
Rule 48: b5496fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 41b42abbb4, Class:  1, CF:0.999941, Len: 10, Fitness_tra: 0
Rule 50: 71711e2747, Class:  1, CF:0.993235, Len: 10, Fitness_tra: 0
Rule 51: 1121932551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b82113b724, Class:  1, CF:0.99923, Len: 10, Fitness_tra: 13
Rule 53: 7bb12574b7, Class:  1, CF:0.993666, Len: 10, Fitness_tra: 0
Rule 54: 2211134217, Class:  1, CF:0.9891, Len: 10, Fitness_tra: 3
Rule 55: b4bb8fb71b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 441116b241, Class:  1, CF:0.998389, Len: 10, Fitness_tra: 0
Rule 57: 15172717b4, Class:  1, CF:0.0865355, Len: 10, Fitness_tra: -25
Rule 58: bb4151b77b, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 0
Rule 59: 76189d7424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 7c1b262714, Class:  1, CF:0.997915, Len: 10, Fitness_tra: 0
Rule 61: bc11c97b14, Class:  1, CF:0.431773, Len: 10, Fitness_tra: -13
Rule 62: b211214727, Class:  1, CF:0.93798, Len: 10, Fitness_tra: 1
Rule 63: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 4c21917128, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 131283441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000d00000, Class:  1, CF:0.723511, Len:  1, Fitness_tra: 1497
Rule 69: 47b4817bb2, Class:  1, CF:0.938632, Len: 10, Fitness_tra: 0
Rule 70: 4d443a14b2, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 6
Rule 71: 411111b771, Class:  1, CF:0.796531, Len: 10, Fitness_tra: 489
Rule 72: 2744114127, Class:  1, CF:0.951553, Len: 10, Fitness_tra: 0
Rule 73: 232119b214, Class:  1, CF:0.997164, Len: 10, Fitness_tra: 0
Rule 74: 7414161222, Class:  1, CF:0.990936, Len: 10, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1442c97424, Class:  1, CF:0.917657, Len: 10, Fitness_tra: 0
Rule 77: 21215e4b47, Class:  1, CF:0.94073, Len: 10, Fitness_tra: 0
Rule 78: 411b197111, Class:  1, CF:0.777454, Len: 10, Fitness_tra: -2322
Rule 79: 44b711124b, Class:  1, CF:0.918812, Len: 10, Fitness_tra: 53
Rule 80: b22177bb21, Class:  1, CF:0.847329, Len: 10, Fitness_tra: 2
Rule 81: b1422fbb4b, Class:  1, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 82: 1178f64121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 4b4286114b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 84: 714229144b, Class:  1, CF:0.986655, Len: 10, Fitness_tra: 0
Rule 85: 2117c6217b, Class:  1, CF:0.996763, Len: 10, Fitness_tra: 0
Rule 86: b5b215b127, Class:  1, CF:0.741309, Len: 10, Fitness_tra: 0
Rule 87: b11d112b4b, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 88: 4b4bd1b721, Class:  1, CF:0.993951, Len: 10, Fitness_tra: 0
Rule 89: b21b2abb4b, Class:  1, CF:0.999844, Len: 10, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 214c13b227, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 21115e1221, Class:  1, CF:0.918542, Len: 10, Fitness_tra: 396
Rule 93: 177b837242, Class:  1, CF:0.616562, Len: 10, Fitness_tra: 0
Rule 94: 1b1b2617bb, Class:  1, CF:0.993995, Len: 10, Fitness_tra: 2
Rule 95: 174b131222, Class:  1, CF:0.962558, Len: 10, Fitness_tra: 0
Rule 96: 4111214b42, Class:  1, CF:0.917107, Len: 10, Fitness_tra: 0
Rule 97: 74472a1712, Class:  1, CF:0.998875, Len: 10, Fitness_tra: 0
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1b12c9b144, Class:  1, CF:0.895863, Len: 10, Fitness_tra: 125
Rule100: 212133414b, Class:  1, CF:0.995578, Len: 10, Fitness_tra: 1
------Current------
Miss_rate(tra)	:94.81
------Result------
Miss_rate(tra)	:94.81
Miss_rate(tst)	:90.8592
ARL				:8.4382

------Generation 1------
Rule  1: 0000d00000, Class:  1, CF:0.723511, Len:  1, Fitness_tra: 1489
Rule  2: 411111b771, Class:  1, CF:0.796531, Len: 10, Fitness_tra: 0
Rule  3: 21115e1221, Class:  1, CF:0.918542, Len: 10, Fitness_tra: 0
Rule  4: 1142261111, Class:  1, CF:0.966025, Len: 10, Fitness_tra: 0
Rule  5: 1b12c9b144, Class:  1, CF:0.895863, Len: 10, Fitness_tra: 0
Rule  6: 44b711124b, Class:  1, CF:0.918812, Len: 10, Fitness_tra: 0
Rule  7: 4172741221, Class:  1, CF:0.941479, Len: 10, Fitness_tra: 0
Rule  8: 747166b112, Class:  1, CF:0.99828, Len: 10, Fitness_tra: 0
Rule  9: b82113b724, Class:  1, CF:0.99923, Len: 10, Fitness_tra: 0
Rule 10: 1471197744, Class:  1, CF:0.919535, Len: 10, Fitness_tra: 0
Rule 11: 4d443a14b2, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 0
Rule 12: 2211134217, Class:  1, CF:0.9891, Len: 10, Fitness_tra: 0
Rule 13: b22177bb21, Class:  1, CF:0.847329, Len: 10, Fitness_tra: 0
Rule 14: 1b1b2617bb, Class:  1, CF:0.993995, Len: 10, Fitness_tra: 0
Rule 15: bb71787447, Class:  1, CF:0.991391, Len: 10, Fitness_tra: 0
Rule 16: 212133414b, Class:  1, CF:0.995578, Len: 10, Fitness_tra: 1
Rule 17: b872ff1471, Class:  1, CF:0.998526, Len: 10, Fitness_tra: 0
Rule 18: b211214727, Class:  1, CF:0.93798, Len: 10, Fitness_tra: 0
Rule 19: 4b1b217271, Class:  1, CF:0.977389, Len: 10, Fitness_tra: 0
Rule 20: 271bc97717, Class:  1, CF:0.861691, Len: 10, Fitness_tra: 0
Rule 21: 7b273f2b27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 1b116a4427, Class:  1, CF:0.999945, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 21b21f4774, Class:  1, CF:0.999949, Len: 10, Fitness_tra: 0
Rule 25: 2744b1b442, Class:  1, CF:0.9454, Len: 10, Fitness_tra: 0
Rule 26: 14171ab24b, Class:  1, CF:0.998027, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7211e3b214, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 29: b244c1bb2b, Class:  1, CF:0.94646, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 7c4b16217b, Class:  1, CF:0.999219, Len: 10, Fitness_tra: 0
Rule 32: 1b1443724b, Class:  1, CF:0.9116, Len: 10, Fitness_tra: 0
Rule 33: 47b4cf224b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 4418a317b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b24563b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4118364414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7a411d472b, Class:  1, CF:0.940254, Len: 10, Fitness_tra: 0
Rule 39: 41bb112177, Class:  1, CF:0.942797, Len: 10, Fitness_tra: 0
Rule 40: 1141d3211b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 21b23e717b, Class:  1, CF:0.298478, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 4177af4412, Class:  1, CF:0.999475, Len: 10, Fitness_tra: 0
Rule 45: 72b756bb27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 771781227b, Class:  1, CF:0.979964, Len: 10, Fitness_tra: 0
Rule 47: b5496fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 41b42abbb4, Class:  1, CF:0.999941, Len: 10, Fitness_tra: 0
Rule 49: 71711e2747, Class:  1, CF:0.993235, Len: 10, Fitness_tra: 0
Rule 50: 1121932551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b727811772, Class:  1, CF:0.927597, Len: 10, Fitness_tra: 0
Rule 52: 7bb12574b7, Class:  1, CF:0.993666, Len: 10, Fitness_tra: 0
Rule 53: 24711f7222, Class:  1, CF:0.999998, Len: 10, Fitness_tra: 0
Rule 54: b4bb8fb71b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 441116b241, Class:  1, CF:0.998389, Len: 10, Fitness_tra: 0
Rule 56: 24217d424b, Class:  1, CF:0.957806, Len: 10, Fitness_tra: 0
Rule 57: bb4151b77b, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 0
Rule 58: 76189d7424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7c1b262714, Class:  1, CF:0.997915, Len: 10, Fitness_tra: 0
Rule 60: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4bbbdf7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4c21917128, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: 131283441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: b17b16b141, Class:  1, CF:0.99295, Len: 10, Fitness_tra: 0
Rule 68: 47b4817bb2, Class:  1, CF:0.938632, Len: 10, Fitness_tra: 0
Rule 69: 24b28fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2744114127, Class:  1, CF:0.951553, Len: 10, Fitness_tra: 0
Rule 72: 232119b214, Class:  1, CF:0.997164, Len: 10, Fitness_tra: 0
Rule 73: 7414161222, Class:  1, CF:0.990936, Len: 10, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1442c97424, Class:  1, CF:0.917657, Len: 10, Fitness_tra: 0
Rule 76: 21215e4b47, Class:  1, CF:0.94073, Len: 10, Fitness_tra: 0
Rule 77: 2db4434471, Class:  1, CF:0.982844, Len: 10, Fitness_tra: 0
Rule 78: 117b511721, Class:  1, CF:0.964182, Len: 10, Fitness_tra: 0
Rule 79: b1422fbb4b, Class:  1, CF:0.999991, Len: 10, Fitness_tra: 0
Rule 80: 1178f64121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 172be111bb, Class:  1, CF:0.938777, Len: 10, Fitness_tra: 0
Rule 82: 1bb219b117, Class:  1, CF:0.84968, Len: 10, Fitness_tra: 0
Rule 83: b41bbd222b, Class:  1, CF:0.941139, Len: 10, Fitness_tra: 0
Rule 84: 4822112441, Class:  1, CF:0.972868, Len: 10, Fitness_tra: 0
Rule 85: b51121122b, Class:  1, CF:0.976844, Len: 10, Fitness_tra: 2
Rule 86: 25cb184224, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 2877212b7b, Class:  1, CF:0.952489, Len: 10, Fitness_tra: 0
Rule 88: 162441b7b2, Class:  1, CF:0.996199, Len: 10, Fitness_tra: 0
Rule 89: bc721a71b1, Class:  1, CF:0.999493, Len: 10, Fitness_tra: 0
Rule 90: b241897427, Class:  1, CF:0.990316, Len: 10, Fitness_tra: 0
Rule 91: 14170ab44b, Class:  1, CF:0.998128, Len:  9, Fitness_tra: 0
Rule 92: 2db4434471, Class:  1, CF:0.982844, Len:  0, Fitness_tra: 0
Rule 93: 41bb1111b7, Class:  1, CF:0.726798, Len: 10, Fitness_tra: 0
Rule 94: 21b2152177, Class:  1, CF:0.947928, Len: 10, Fitness_tra: 0
Rule 95: 4bb2267b1b, Class:  1, CF:0.996877, Len: 10, Fitness_tra: 0
Rule 96: 41d111b771, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 1001000040, Class:  1, CF:0.0936053, Len:  3, Fitness_tra: -1539
Rule 98: b44213517b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: b21b2abb47, Class:  1, CF:0.999891, Len: 10, Fitness_tra: 0
Rule100: 1c45137b42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:94.403
------Result------
Miss_rate(tra)	:94.403
Miss_rate(tst)	:89.9452
ARL				:8.40698

------Generation 2------
Rule  1: 0000d00000, Class:  1, CF:0.723511, Len:  1, Fitness_tra: 1494
Rule  2: b51121122b, Class:  1, CF:0.976844, Len: 10, Fitness_tra: 21
Rule  3: 212133414b, Class:  1, CF:0.995578, Len: 10, Fitness_tra: 0
Rule  4: 411111b771, Class:  1, CF:0.796531, Len: 10, Fitness_tra: 25
Rule  5: 1b12c9b144, Class:  1, CF:0.895863, Len: 10, Fitness_tra: 0
Rule  6: 44b711124b, Class:  1, CF:0.918812, Len: 10, Fitness_tra: 0
Rule  7: 4172741221, Class:  1, CF:0.941479, Len: 10, Fitness_tra: 7
Rule  8: 747166b112, Class:  1, CF:0.99828, Len: 10, Fitness_tra: 1
Rule  9: b82113b724, Class:  1, CF:0.99923, Len: 10, Fitness_tra: 0
Rule 10: 1471197744, Class:  1, CF:0.919535, Len: 10, Fitness_tra: 0
Rule 11: 4d443a14b2, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 0
Rule 12: 2211134217, Class:  1, CF:0.9891, Len: 10, Fitness_tra: 0
Rule 13: b22177bb21, Class:  1, CF:0.847329, Len: 10, Fitness_tra: 0
Rule 14: 1b1b2617bb, Class:  1, CF:0.993995, Len: 10, Fitness_tra: 1
