------Generation 0------
Rule  1: 21471112cc, Class:  1, CF:0.998473, Len: 10, Fitness_tra: 0
------Generation 0------
Rule  1: 0000030000, Class:  1, CF:0.780837, Len:  1, Fitness_tra: 787
Rule  2: 2377251421, Class:  1, CF:0.98902, Len: 10, Fitness_tra: 0
Rule  3: b1b1781174, Class:  1, CF:0.896854, Len: 10, Fitness_tra: 49
Rule  4: 21471112cc, Class:  1, CF:0.998473, Len: 10, Fitness_tra: 0
Rule  5: bdb1111241, Class:  1, CF:0.959085, Len: 10, Fitness_tra: 11
Rule  6: 2477332272, Class:  1, CF:0.988791, Len: 10, Fitness_tra: 0
Rule  7: b2bbc94b22, Class:  1, CF:0.771992, Len: 10, Fitness_tra: 0
Rule  8: 4112114114, Class:  1, CF:0.76867, Len: 10, Fitness_tra: 0
Rule  9: bb471f7441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 272b56b114, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 221b2a7241, Class:  1, CF:0.998463, Len: 10, Fitness_tra: 0
Rule 12: 28243e4471, Class:  1, CF:0.464311, Len: 10, Fitness_tra: 0
Rule 13: 2b17c5b7b7, Class:  1, CF:0.860034, Len: 10, Fitness_tra: 0
Rule 14: 21221312bb, Class:  1, CF:0.984894, Len: 10, Fitness_tra: 0
Rule 15: 4b423141b7, Class:  1, CF:0.982359, Len: 10, Fitness_tra: 0
Rule 16: 2411152714, Class:  1, CF:0.885883, Len: 10, Fitness_tra: -1
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 17173f7271, Class:  1, CF:0.998482, Len: 10, Fitness_tra: 0
Rule 19: 2411a31721, Class:  1, CF:0.990021, Len: 10, Fitness_tra: 0
Rule 20: 11743a7127, Class:  1, CF:0.994465, Len: 10, Fitness_tra: 0
Rule 21: 44144e7b24, Class:  1, CF:0.827788, Len: 10, Fitness_tra: 0
Rule 22: 12b28a7712, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 722bc327b4, Class:  1, CF:0.795922, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: be1481bb22, Class:  1, CF:0.973031, Len: 10, Fitness_tra: 0
Rule 27: 1b121171b2, Class:  1, CF:0.632522, Len: 10, Fitness_tra: 0
Rule 28: 41b4af7772, Class:  1, CF:0.999897, Len: 10, Fitness_tra: 0
Rule 29: 7721c37721, Class:  1, CF:0.826434, Len: 10, Fitness_tra: 0
Rule 30: 7511162412, Class:  1, CF:0.999368, Len: 10, Fitness_tra: 0
Rule 31: 41111a2411, Class:  1, CF:0.997186, Len: 10, Fitness_tra: 0
Rule 32: 7247814221, Class:  1, CF:0.969578, Len: 10, Fitness_tra: 0
Rule 33: 7171c97142, Class:  1, CF:0.988947, Len: 10, Fitness_tra: 0
Rule 34: 144b9f21b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 44711622b4, Class:  1, CF:0.99951, Len: 10, Fitness_tra: 0
Rule 36: 21773617b7, Class:  1, CF:0.985339, Len: 10, Fitness_tra: 0
Rule 37: bab5512244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 48b2ff4147, Class:  1, CF:0.998395, Len: 10, Fitness_tra: 0
Rule 39: 2c72164771, Class:  1, CF:0.999542, Len: 10, Fitness_tra: 0
Rule 40: 28bb137417, Class:  1, CF:0.985155, Len: 10, Fitness_tra: 0
Rule 41: 12bb6f71b7, Class:  1, CF:0.983887, Len: 10, Fitness_tra: 0
Rule 42: 212458722b, Class:  1, CF:0.994001, Len: 10, Fitness_tra: 0
Rule 43: 21b2c64414, Class:  1, CF:0.987631, Len: 10, Fitness_tra: 0
Rule 44: ba45194b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: b22b1f2b41, Class:  1, CF:0.999341, Len: 10, Fitness_tra: 0
Rule 46: 4b41517174, Class:  1, CF:0.994558, Len: 10, Fitness_tra: 0
Rule 47: b1174db421, Class:  1, CF:0.921165, Len: 10, Fitness_tra: 0
Rule 48: 162c12441b, Class:  1, CF:0.999971, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 424751124b, Class:  1, CF:0.991774, Len: 10, Fitness_tra: 0
Rule 51: 234d512441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2722d6bbb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: 1212157217, Class:  1, CF:0.73387, Len: 10, Fitness_tra: 46
Rule 54: b2141abb21, Class:  1, CF:0.992073, Len: 10, Fitness_tra: 0
Rule 55: 1422184412, Class:  1, CF:0.835706, Len: 10, Fitness_tra: 0
Rule 56: 21b11a271b, Class:  1, CF:0.999669, Len: 10, Fitness_tra: 0
Rule 57: 21113a477b, Class:  1, CF:0.999823, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7111537442, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: 7e478d7224, Class:  1, CF:0.99737, Len: 10, Fitness_tra: 0
Rule 61: 412b417b1b, Class:  1, CF:0.840165, Len: 10, Fitness_tra: 0
Rule 62: 1c771e2717, Class:  1, CF:0.747236, Len: 10, Fitness_tra: 0
Rule 63: 77422641b2, Class:  1, CF:0.998883, Len: 10, Fitness_tra: 0
Rule 64: 791411b774, Class:  1, CF:0.943508, Len: 10, Fitness_tra: 0
Rule 65: 2744132bb2, Class:  1, CF:0.972575, Len: 10, Fitness_tra: 0
Rule 66: 17b781b744, Class:  1, CF:0.821012, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1171234144, Class:  1, CF:0.91553, Len: 10, Fitness_tra: 0
Rule 70: 11b151b747, Class:  1, CF:0.980615, Len: 10, Fitness_tra: 0
Rule 71: 2915f172b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4142c17117, Class:  1, CF:0.849258, Len: 10, Fitness_tra: 0
Rule 74: 25cb1e4521, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 444463b724, Class:  1, CF:0.99733, Len: 10, Fitness_tra: 0
Rule 76: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 127116b724, Class:  1, CF:0.999061, Len: 10, Fitness_tra: 0
Rule 80: 417b214112, Class:  1, CF:0.902524, Len: 10, Fitness_tra: 0
Rule 81: 2242631124, Class:  1, CF:0.981765, Len: 10, Fitness_tra: 0
Rule 82: 1712a3bb77, Class:  1, CF:0.986298, Len: 10, Fitness_tra: 0
Rule 83: 22b46f1777, Class:  1, CF:0.99986, Len: 10, Fitness_tra: 0
Rule 84: 71171642b7, Class:  1, CF:0.997748, Len: 10, Fitness_tra: 0
Rule 85: bb7b1a1127, Class:  1, CF:0.999611, Len: 10, Fitness_tra: 0
Rule 86: 2417c3b2b4, Class:  1, CF:0.879199, Len: 10, Fitness_tra: 0
Rule 87: 7144c92747, Class:  1, CF:0.936599, Len: 10, Fitness_tra: 0
Rule 88: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 72156117b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: bd4b191c18, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 91: bab5512714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0000510a76, Class:  1, CF:0.789921, Len:  5, Fitness_tra: 32
Rule 93: 090b040300, Class:  1, CF:0.340311, Len:  4, Fitness_tra: -42
Rule 94: 492a41b44b, Class:  1, CF:0.997877, Len: 10, Fitness_tra: 0
Rule 95: 2141781974, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 96: 0300000000, Class:  0, CF:0.0264413, Len:  1, Fitness_tra: 919
Rule 97: 4242c37114, Class:  1, CF:0.972897, Len: 10, Fitness_tra: 0
Rule 98: 45e4a67412, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 0012010100, Class:  1, CF:0.604499, Len:  4, Fitness_tra: 27
Rule100: 1271517174, Class:  1, CF:0.961697, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:27.9009
------Result------
Miss_rate(tra)	:27.9009
Miss_rate(tst)	:22.0803
ARL				:8.44086

------Generation 1------
Rule  1: 0000030000, Class:  1, CF:0.780837, Len:  1, Fitness_tra: 787
Rule  2: 2377251421, Class:  1, CF:0.98902, Len: 10, Fitness_tra: 0
Rule  3: b1b1781174, Class:  1, CF:0.896854, Len: 10, Fitness_tra: 49
Rule  4: 21471112cc, Class:  1, CF:0.998473, Len: 10, Fitness_tra: 0
Rule  5: bdb1111241, Class:  1, CF:0.959085, Len: 10, Fitness_tra: 11
Rule  6: 2477332272, Class:  1, CF:0.988791, Len: 10, Fitness_tra: 0
Rule  7: b2bbc94b22, Class:  1, CF:0.771992, Len: 10, Fitness_tra: 0
Rule  8: 4112114114, Class:  1, CF:0.76867, Len: 10, Fitness_tra: 0
Rule  9: bb471f7441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 272b56b114, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 221b2a7241, Class:  1, CF:0.998463, Len: 10, Fitness_tra: 0
Rule 12: 28243e4471, Class:  1, CF:0.464311, Len: 10, Fitness_tra: 0
Rule 13: 2b17c5b7b7, Class:  1, CF:0.860034, Len: 10, Fitness_tra: 0
Rule 14: 21221312bb, Class:  1, CF:0.984894, Len: 10, Fitness_tra: 0
Rule 15: 4b423141b7, Class:  1, CF:0.982359, Len: 10, Fitness_tra: 0
Rule 16: 2411152714, Class:  1, CF:0.885883, Len: 10, Fitness_tra: -1
Rule 17: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 17173f7271, Class:  1, CF:0.998482, Len: 10, Fitness_tra: 0
Rule 19: 2411a31721, Class:  1, CF:0.990021, Len: 10, Fitness_tra: 0
Rule 20: 11743a7127, Class:  1, CF:0.994465, Len: 10, Fitness_tra: 0
Rule 21: 44144e7b24, Class:  1, CF:0.827788, Len: 10, Fitness_tra: 0
Rule 22: 12b28a7712, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 722bc327b4, Class:  1, CF:0.795922, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: be1481bb22, Class:  1, CF:0.973031, Len: 10, Fitness_tra: 0
Rule 27: 1b121171b2, Class:  1, CF:0.632522, Len: 10, Fitness_tra: 0
Rule 28: 41b4af7772, Class:  1, CF:0.999897, Len: 10, Fitness_tra: 0
Rule 29: 7721c37721, Class:  1, CF:0.826434, Len: 10, Fitness_tra: 0
Rule 30: 7511162412, Class:  1, CF:0.999368, Len: 10, Fitness_tra: 0
Rule 31: 41111a2411, Class:  1, CF:0.997186, Len: 10, Fitness_tra: 0
Rule 32: 7247814221, Class:  1, CF:0.969578, Len: 10, Fitness_tra: 0
Rule 33: 7171c97142, Class:  1, CF:0.988947, Len: 10, Fitness_tra: 0
Rule 34: 144b9f21b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 44711622b4, Class:  1, CF:0.99951, Len: 10, Fitness_tra: 0
Rule 36: 21773617b7, Class:  1, CF:0.985339, Len: 10, Fitness_tra: 0
Rule 37: bab5512244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 48b2ff4147, Class:  1, CF:0.998395, Len: 10, Fitness_tra: 0
Rule 39: 2c72164771, Class:  1, CF:0.999542, Len: 10, Fitness_tra: 0
Rule 40: 28bb137417, Class:  1, CF:0.985155, Len: 10, Fitness_tra: 0
Rule 41: 12bb6f71b7, Class:  1, CF:0.983887, Len: 10, Fitness_tra: 0
Rule 42: 212458722b, Class:  1, CF:0.994001, Len: 10, Fitness_tra: 0
Rule 43: 21b2c64414, Class:  1, CF:0.987631, Len: 10, Fitness_tra: 0
Rule 44: ba45194b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: b22b1f2b41, Class:  1, CF:0.999341, Len: 10, Fitness_tra: 0
Rule 46: 4b41517174, Class:  1, CF:0.994558, Len: 10, Fitness_tra: 0
Rule 47: b1174db421, Class:  1, CF:0.921165, Len: 10, Fitness_tra: 0
Rule 48: 162c12441b, Class:  1, CF:0.999971, Len: 10, Fitness_tra: 0
Rule 49: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 424751124b, Class:  1, CF:0.991774, Len: 10, Fitness_tra: 0
Rule 51: 234d512441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 2722d6bbb4, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: 1212157217, Class:  1, CF:0.73387, Len: 10, Fitness_tra: 46
Rule 54: b2141abb21, Class:  1, CF:0.992073, Len: 10, Fitness_tra: 0
Rule 55: 1422184412, Class:  1, CF:0.835706, Len: 10, Fitness_tra: 0
Rule 56: 21b11a271b, Class:  1, CF:0.999669, Len: 10, Fitness_tra: 0
Rule 57: 21113a477b, Class:  1, CF:0.999823, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7111537442, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: 7e478d7224, Class:  1, CF:0.99737, Len: 10, Fitness_tra: 0
Rule 61: 412b417b1b, Class:  1, CF:0.840165, Len: 10, Fitness_tra: 0
Rule 62: 1c771e2717, Class:  1, CF:0.747236, Len: 10, Fitness_tra: 0
Rule 63: 77422641b2, Class:  1, CF:0.998883, Len: 10, Fitness_tra: 0
Rule 64: 791411b774, Class:  1, CF:0.943508, Len: 10, Fitness_tra: 0
Rule 65: 2744132bb2, Class:  1, CF:0.972575, Len: 10, Fitness_tra: 0
Rule 66: 17b781b744, Class:  1, CF:0.821012, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1171234144, Class:  1, CF:0.91553, Len: 10, Fitness_tra: 0
Rule 70: 11b151b747, Class:  1, CF:0.980615, Len: 10, Fitness_tra: 0
Rule 71: 2915f172b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4142c17117, Class:  1, CF:0.849258, Len: 10, Fitness_tra: 0
Rule 74: 25cb1e4521, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 444463b724, Class:  1, CF:0.99733, Len: 10, Fitness_tra: 0
Rule 76: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 127116b724, Class:  1, CF:0.999061, Len: 10, Fitness_tra: 0
Rule 80: 417b214112, Class:  1, CF:0.902524, Len: 10, Fitness_tra: 0
Rule 81: 2242631124, Class:  1, CF:0.981765, Len: 10, Fitness_tra: 0
Rule 82: 1712a3bb77, Class:  1, CF:0.986298, Len: 10, Fitness_tra: 0
Rule 83: 22b46f1777, Class:  1, CF:0.99986, Len: 10, Fitness_tra: 0
Rule 84: 71171642b7, Class:  1, CF:0.997748, Len: 10, Fitness_tra: 0
Rule 85: bb7b1a1127, Class:  1, CF:0.999611, Len: 10, Fitness_tra: 0
Rule 86: 2417c3b2b4, Class:  1, CF:0.879199, Len: 10, Fitness_tra: 0
Rule 87: 7144c92747, Class:  1, CF:0.936599, Len: 10, Fitness_tra: 0
Rule 88: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 72156117b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: bd4b191c18, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 91: bab5512714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0000510a76, Class:  1, CF:0.789921, Len:  5, Fitness_tra: 32
Rule 93: 090b040300, Class:  1, CF:0.340311, Len:  4, Fitness_tra: -42
Rule 94: 492a41b44b, Class:  1, CF:0.997877, Len: 10, Fitness_tra: 0
Rule 95: 2141781974, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 96: 0300000000, Class:  0, CF:0.0264413, Len:  1, Fitness_tra: 919
Rule 97: 4242c37114, Class:  1, CF:0.972897, Len: 10, Fitness_tra: 0
Rule 98: 45e4a67412, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 0012010100, Class:  1, CF:0.604499, Len:  4, Fitness_tra: 27
Rule100: 1271517174, Class:  1, CF:0.961697, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:27.9009
------Result------
Miss_rate(tra)	:27.9009
Miss_rate(tst)	:22.0803
ARL				:8.44086

------Generation 2------
Rule  1: 0300000000, Class:  0, CF:0.0264413, Len:  1, Fitness_tra: 925
Rule  2: 0000030000, Class:  1, CF:0.780837, Len:  1, Fitness_tra: 780
Rule  3: b1b1781174, Class:  1, CF:0.896854, Len: 10, Fitness_tra: 48
Rule  4: 1212157217, Class:  1, CF:0.73387, Len: 10, Fitness_tra: 4
Rule  5: 0000510a76, Class:  1, CF:0.789921, Len:  5, Fitness_tra: 29
Rule  6: 0012010100, Class:  1, CF:0.604499, Len:  4, Fitness_tra: -18
Rule  7: bdb1111241, Class:  1, CF:0.959085, Len: 10, Fitness_tra: 7
Rule  8: bd4b191c18, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 2141781974, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 10: 21471112cc, Class:  1, CF:0.998473, Len: 10, Fitness_tra: 0
Rule 11: 221b2a7241, Class:  1, CF:0.998463, Len: 10, Fitness_tra: 0
Rule 12: 28243e4471, Class:  1, CF:0.464311, Len: 10, Fitness_tra: 0
Rule 13: 2b17c5b7b7, Class:  1, CF:0.860034, Len: 10, Fitness_tra: 0
Rule 14: 21221312bb, Class:  1, CF:0.984894, Len: 10, Fitness_tra: 0
Rule 15: 4b423141b7, Class:  1, CF:0.982359, Len: 10, Fitness_tra: 0
