------Generation 0------
Rule  1: 1741af7bb7, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule  9: 1741af7bb7, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 10: 214bd121b7, Class:  1, CF:0.906286, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 7b74212711, Class:  1, CF:0.613978, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b211b124, Class:  1, CF:0.95016, Len: 10, Fitness_tra: 0
Rule 15: 1cb4137142, Class:  1, CF:0.980576, Len: 10, Fitness_tra: 0
Rule 16: b821867b74, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 17bbca44bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 422b182777, Class:  1, CF:0.954461, Len: 10, Fitness_tra: 0
Rule 19: 75bd612742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 71171371bb, Class:  1, CF:0.981189, Len: 10, Fitness_tra: 0
Rule 21: bc7b891422, Class:  1, CF:0.902885, Len: 10, Fitness_tra: 0
Rule 22: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 4572234b21, Class:  1, CF:0.994027, Len: 10, Fitness_tra: 0
Rule 24: bb27212417, Class:  1, CF:0.904702, Len: 10, Fitness_tra: 0
Rule 25: 7b223ab411, Class:  1, CF:0.98275, Len: 10, Fitness_tra: 0
Rule 26: 7874c1141b, Class:  1, CF:0.851198, Len: 10, Fitness_tra: 0
Rule 27: 41471a7477, Class:  1, CF:0.999928, Len: 10, Fitness_tra: 0
Rule 28: 27b785b724, Class:  1, CF:0.949655, Len: 10, Fitness_tra: 0
Rule 29: 214bc91411, Class:  1, CF:0.277724, Len: 10, Fitness_tra: 0
Rule 30: 412478b212, Class:  1, CF:0.963728, Len: 10, Fitness_tra: 0
Rule 31: bb726f712b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 32: 444116b271, Class:  1, CF:0.999766, Len: 10, Fitness_tra: 0
Rule 33: 11125ab7b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 74b1c11114, Class:  1, CF:0.733354, Len: 10, Fitness_tra: 0
Rule 35: 2b12d3b4bb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 71b43f217b, Class:  1, CF:0.999383, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2741214b11, Class:  1, CF:0.573646, Len: 10, Fitness_tra: 0
Rule 41: 414bcd1422, Class:  1, CF:0.916733, Len: 10, Fitness_tra: 0
Rule 42: 1b71ea2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 422b864424, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4bb4812771, Class:  1, CF:0.594725, Len: 10, Fitness_tra: 0
Rule 46: 24b21672bb, Class:  1, CF:0.999684, Len: 10, Fitness_tra: 0
Rule 47: 72bbaf24bb, Class:  1, CF:0.999727, Len: 10, Fitness_tra: 0
Rule 48: 7b71f3b41b, Class:  1, CF:0.999, Len: 10, Fitness_tra: 0
Rule 49: 17118f7741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 27141644bb, Class:  1, CF:0.998517, Len: 10, Fitness_tra: 0
Rule 51: 1772d64222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7341164212, Class:  1, CF:0.995265, Len: 10, Fitness_tra: 0
Rule 53: b2411371b1, Class:  1, CF:0.993373, Len: 10, Fitness_tra: 19
Rule 54: 7272127172, Class:  1, CF:0.906878, Len: 10, Fitness_tra: 0
Rule 55: 112bc17b74, Class:  1, CF:0.746208, Len: 10, Fitness_tra: 0
Rule 56: 112151bbb1, Class:  1, CF:0.45332, Len: 10, Fitness_tra: 3
Rule 57: 4db12577b7, Class:  1, CF:0.509636, Len: 10, Fitness_tra: 0
Rule 58: 21721ab114, Class:  1, CF:0.998401, Len: 10, Fitness_tra: 0
Rule 59: 21141eb114, Class:  0, CF:0.0778061, Len: 10, Fitness_tra: 0
Rule 60: b71ba3111b, Class:  1, CF:0.771981, Len: 10, Fitness_tra: 0
Rule 61: 1375231477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1b1b312bb2, Class:  1, CF:0.906119, Len: 10, Fitness_tra: 0
Rule 63: 71b2c12442, Class:  1, CF:0.942945, Len: 10, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 44b7817b74, Class:  1, CF:0.763593, Len: 10, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4414c14b72, Class:  1, CF:0.805779, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2d21152412, Class:  1, CF:0.944996, Len: 10, Fitness_tra: 0
Rule 72: 447211414b, Class:  1, CF:0.94474, Len: 10, Fitness_tra: 0
Rule 73: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 72172e4bb4, Class:  1, CF:0.402508, Len: 10, Fitness_tra: 0
Rule 77: 1111551191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: b114c14111, Class:  1, CF:0.933532, Len: 10, Fitness_tra: 0
Rule 79: b217457122, Class:  1, CF:0.607994, Len: 10, Fitness_tra: 0
Rule 80: 2147112724, Class:  1, CF:0.979359, Len: 10, Fitness_tra: 0
Rule 81: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: b14d55271b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b1772514b2, Class:  1, CF:0.778995, Len: 10, Fitness_tra: -1
Rule 85: 4114317124, Class:  1, CF:0.930456, Len: 10, Fitness_tra: 0
Rule 86: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 7672294722, Class:  1, CF:0.993656, Len: 10, Fitness_tra: 0
Rule 88: 24b11a4bbb, Class:  1, CF:0.999952, Len: 10, Fitness_tra: 0
Rule 89: b2145a41bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 7222417147, Class:  1, CF:0.970803, Len: 10, Fitness_tra: 0
Rule 91: 4200082707, Class:  1, CF:0.885388, Len:  6, Fitness_tra: -5
Rule 92: 42bc334731, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 93: 4977216b71, Class:  1, CF:0.853967, Len: 10, Fitness_tra: -69
Rule 94: 1b186120b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 454ba31b21, Class:  1, CF:0.997062, Len: 10, Fitness_tra: -16
Rule 96: b1b2c12422, Class:  1, CF:0.962216, Len: 10, Fitness_tra: 0
Rule 97: 71b6c12442, Class:  1, CF:0.939832, Len: 10, Fitness_tra: 0
Rule 98: 4414c14b75, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 71bd152712, Class:  1, CF:0.999996, Len: 10, Fitness_tra: 0
Rule100: 274785bc27, Class:  1, CF:0.996682, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:13.843
------Result------
Miss_rate(tra)	:13.843
Miss_rate(tst)	:10.9489
ARL				:7.95455

------Generation 2------
Rule  1: 0000c00000, Class:  0, CF:0.0263234, Len:  1, Fitness_tra: 366
Rule  2: 0700000000, Class:  0, CF:0.105688, Len:  1, Fitness_tra: 266
Rule  3: 0008c00000, Class:  1, CF:0.995581, Len:  2, Fitness_tra: 239
Rule  4: b2411371b1, Class:  1, CF:0.993373, Len: 10, Fitness_tra: -11
Rule  5: 22246a1b71, Class:  1, CF:0.999754, Len: 10, Fitness_tra: 9
Rule  6: b1741521b1, Class:  1, CF:0.806361, Len: 10, Fitness_tra: 1
Rule  7: b1b1291427, Class:  1, CF:0.993319, Len: 10, Fitness_tra: 6
Rule  8: 7241de4b11, Class:  1, CF:0.850592, Len: 10, Fitness_tra: 0
Rule  9: 112151bbb1, Class:  1, CF:0.45332, Len: 10, Fitness_tra: 0
Rule 10: 212233b222, Class:  1, CF:0.999484, Len: 10, Fitness_tra: 1
Rule 11: 1741af7bb7, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 12: 7b74212711, Class:  1, CF:0.613978, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b211b124, Class:  1, CF:0.95016, Len: 10, Fitness_tra: 0
