------Generation 0------
Rule  1: 1412f6bb42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 2442c141b2, Class:  1, CF:0.930593, Len: 10, Fitness_tra: 0
Rule 46: bb171322bb, Class:  1, CF:0.740699, Len: 10, Fitness_tra: 0
Rule 47: b4bb264147, Class:  0, CF:0.957146, Len: 10, Fitness_tra: 0
Rule 48: 11b4194742, Class:  1, CF:0.977506, Len: 10, Fitness_tra: 0
Rule 49: 27b28a1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7c71567441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 27471174b1, Class:  1, CF:0.849187, Len: 10, Fitness_tra: 0
Rule 52: 272b197222, Class:  1, CF:0.999436, Len: 10, Fitness_tra: 0
Rule 53: 44b196712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 217b8a2444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 7b1b191211, Class:  1, CF:0.860093, Len: 10, Fitness_tra: -3070
Rule 56: b114b144bb, Class:  1, CF:0.543833, Len: 10, Fitness_tra: 0
Rule 57: 7c47152141, Class:  1, CF:0.819551, Len: 10, Fitness_tra: 0
Rule 58: 7277567411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 21b1d11741, Class:  1, CF:0.999402, Len: 10, Fitness_tra: -13
Rule 60: 22477171b4, Class:  1, CF:0.449833, Len: 10, Fitness_tra: 0
Rule 61: 14248eb14b, Class:  1, CF:0.805532, Len: 10, Fitness_tra: 0
Rule 62: b221c37bb4, Class:  1, CF:0.818541, Len: 10, Fitness_tra: 0
Rule 63: 7171834b41, Class:  1, CF:0.837236, Len: 10, Fitness_tra: 0
Rule 64: b71411b27b, Class:  1, CF:0.965389, Len: 10, Fitness_tra: 0
Rule 65: 7142664b27, Class:  0, CF:0.998503, Len: 10, Fitness_tra: 0
Rule 66: 424b112412, Class:  1, CF:0.96702, Len: 10, Fitness_tra: 0
Rule 67: 14741a12b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 2a42882bb1, Class:  1, CF:0.926531, Len: 10, Fitness_tra: 0
Rule 69: 2212134217, Class:  1, CF:0.838506, Len: 10, Fitness_tra: 0
Rule 70: 24b2c32244, Class:  1, CF:0.639211, Len: 10, Fitness_tra: 0
Rule 71: 112b514b74, Class:  1, CF:0.904897, Len: 10, Fitness_tra: 0
Rule 72: 4142561bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1174291771, Class:  1, CF:0.592373, Len: 10, Fitness_tra: -262
Rule 74: 14741e1b27, Class:  1, CF:0.388099, Len: 10, Fitness_tra: 0
Rule 75: bc42831712, Class:  1, CF:0.0508292, Len: 10, Fitness_tra: 0
Rule 76: bb7b1db442, Class:  1, CF:0.999682, Len: 10, Fitness_tra: 0
Rule 77: 7bbbd61224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 414711bb72, Class:  1, CF:0.757742, Len: 10, Fitness_tra: 0
Rule 79: 2747191227, Class:  1, CF:0.997776, Len: 10, Fitness_tra: 0
Rule 80: b144417724, Class:  1, CF:0.984362, Len: 10, Fitness_tra: 0
Rule 81: 122b5d7177, Class:  1, CF:0.561584, Len: 10, Fitness_tra: 0
Rule 82: 212489b1b7, Class:  1, CF:0.894421, Len: 10, Fitness_tra: 0
Rule 83: 744b8e4b22, Class:  1, CF:0.966357, Len: 10, Fitness_tra: 0
Rule 84: 2b2b191bb4, Class:  1, CF:0.976706, Len: 10, Fitness_tra: 0
Rule 85: 251413b212, Class:  1, CF:0.975418, Len: 10, Fitness_tra: 0
Rule 86: 11b4a67221, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 87: 4b712fbb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 88: 43b2222222, Class:  1, CF:0.999832, Len: 10, Fitness_tra: 0
Rule 89: b2121e2127, Class:  1, CF:0.726944, Len: 10, Fitness_tra: 0
Rule 90: 4427af1411, Class:  0, CF:  1, Len: 10, Fitness_tra: 24
Rule 91: 4c2b1112b4, Class:  0, CF:0.228043, Len: 10, Fitness_tra: 0
Rule 92: 24b41a1b41, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 93: 212b31b414, Class:  1, CF:0.907329, Len: 10, Fitness_tra: 0
Rule 94: 1422d6b272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: b1b4511724, Class:  1, CF:0.996078, Len: 10, Fitness_tra: 0
Rule 96: 1244221b1b, Class:  0, CF:0.784799, Len: 10, Fitness_tra: 1224
Rule 97: bd714947b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 98: b22713777b, Class:  0, CF:0.867735, Len: 10, Fitness_tra: 0
Rule 99: 7271e1b247, Class:  1, CF:0.999501, Len: 10, Fitness_tra: 0
Rule100: 4b775f217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:74.0861
------Result------
Miss_rate(tra)	:74.0861
Miss_rate(tst)	:73.1752
ARL				:10

------Generation 0------
Rule  1: 1244221b1b, Class:  0, CF:0.784799, Len: 10, Fitness_tra: 4520
Rule  2: 4427af1411, Class:  0, CF:  1, Len: 10, Fitness_tra: 13
Rule  3: b844112224, Class:  1, CF:0.999123, Len: 10, Fitness_tra: 2
Rule  4: 24b11a7217, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  5: b4b129741b, Class:  1, CF:0.998268, Len: 10, Fitness_tra: -3
Rule  6: 4b712fbb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  7: 182225bb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule  8: 1412f6bb42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 1bb4ce1747, Class:  1, CF:0.993199, Len: 10, Fitness_tra: -3
Rule 10: 1114597bb2, Class:  0, CF:0.460154, Len: 10, Fitness_tra: 0
Rule 11: 24bbce1124, Class:  1, CF:0.984269, Len: 10, Fitness_tra: 1
Rule 12: 4b2b937b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4b775f217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7221c61172, Class:  1, CF:0.799103, Len: 10, Fitness_tra: 0
Rule 15: 12b41fbb24, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 497b81b174, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 7221c5b247, Class:  1, CF:0.99718, Len: 10, Fitness_tra: 1
Rule 18: 427131bbb7, Class:  0, CF:0.473035, Len: 10, Fitness_tra: 6
Rule 19: 772b5a412b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7bb4ce7227, Class:  1, CF:0.999626, Len: 10, Fitness_tra: 0
Rule 21: b14b134424, Class:  1, CF:0.962911, Len: 10, Fitness_tra: 0
Rule 22: 2c2b862717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7b4416b2b1, Class:  0, CF:0.211616, Len: 10, Fitness_tra: 0
Rule 24: 4b212d7227, Class:  1, CF:0.999944, Len: 10, Fitness_tra: 2
Rule 25: 7414214b47, Class:  1, CF:0.812956, Len: 10, Fitness_tra: 0
Rule 26: 4cbb16422b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 12742e1777, Class:  0, CF:0.169938, Len: 10, Fitness_tra: 0
Rule 28: 4144232412, Class:  1, CF:0.887706, Len: 10, Fitness_tra: 0
Rule 29: 74112e7224, Class:  1, CF:0.999629, Len: 10, Fitness_tra: 1
Rule 30: 4b4b8e2172, Class:  1, CF:0.99821, Len: 10, Fitness_tra: 0
Rule 31: bb24161774, Class:  0, CF:0.995752, Len: 10, Fitness_tra: 0
Rule 32: b214812272, Class:  1, CF:0.98077, Len: 10, Fitness_tra: 0
Rule 33: 41175141b4, Class:  1, CF:0.961521, Len: 10, Fitness_tra: -3
Rule 34: 4422532471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7271e1b247, Class:  1, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 36: 1244817721, Class:  1, CF:0.821017, Len: 10, Fitness_tra: -5
Rule 37: 2747594412, Class:  1, CF:0.99581, Len: 10, Fitness_tra: 0
Rule 38: 7441532171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2d41c177b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 141721bb74, Class:  1, CF:0.451184, Len: 10, Fitness_tra: -1
Rule 41: 2442c141b2, Class:  1, CF:0.930593, Len: 10, Fitness_tra: 0
Rule 42: bb171322bb, Class:  1, CF:0.740699, Len: 10, Fitness_tra: 0
Rule 43: b4bb264147, Class:  0, CF:0.957146, Len: 10, Fitness_tra: 0
Rule 44: 11b4194742, Class:  1, CF:0.977506, Len: 10, Fitness_tra: 0
Rule 45: 27b28a1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 7c71567441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 27471174b1, Class:  1, CF:0.849187, Len: 10, Fitness_tra: 1
Rule 48: 272b197222, Class:  1, CF:0.999436, Len: 10, Fitness_tra: 0
Rule 49: 44b196712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 217b8a2444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b114b144bb, Class:  1, CF:0.543833, Len: 10, Fitness_tra: 0
Rule 52: 7c47152141, Class:  1, CF:0.819551, Len: 10, Fitness_tra: 0
Rule 53: 7277567411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 22477171b4, Class:  1, CF:0.449833, Len: 10, Fitness_tra: 0
Rule 55: 14248eb14b, Class:  1, CF:0.805532, Len: 10, Fitness_tra: 0
Rule 56: b221c37bb4, Class:  1, CF:0.818541, Len: 10, Fitness_tra: 0
Rule 57: 7171834b41, Class:  1, CF:0.837236, Len: 10, Fitness_tra: -8
Rule 58: b71411b27b, Class:  1, CF:0.965389, Len: 10, Fitness_tra: 0
Rule 59: 7142664b27, Class:  0, CF:0.998503, Len: 10, Fitness_tra: 0
Rule 60: 424b112412, Class:  1, CF:0.96702, Len: 10, Fitness_tra: 0
Rule 61: 14741a12b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 62: 2a42882bb1, Class:  1, CF:0.926531, Len: 10, Fitness_tra: 0
Rule 63: 2212134217, Class:  1, CF:0.838506, Len: 10, Fitness_tra: 0
Rule 64: 24b2c32244, Class:  1, CF:0.639211, Len: 10, Fitness_tra: 0
Rule 65: 112b514b74, Class:  1, CF:0.904897, Len: 10, Fitness_tra: 0
Rule 66: 4142561bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 14741e1b27, Class:  1, CF:0.388099, Len: 10, Fitness_tra: 0
Rule 68: bc42831712, Class:  1, CF:0.0508292, Len: 10, Fitness_tra: 0
Rule 69: bb7b1db442, Class:  1, CF:0.999682, Len: 10, Fitness_tra: 0
Rule 70: 7bbbd61224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 414711bb72, Class:  1, CF:0.757742, Len: 10, Fitness_tra: 0
Rule 72: 2747191227, Class:  1, CF:0.997776, Len: 10, Fitness_tra: 0
Rule 73: b144417724, Class:  1, CF:0.984362, Len: 10, Fitness_tra: 0
Rule 74: 122b5d7177, Class:  1, CF:0.561584, Len: 10, Fitness_tra: 0
Rule 75: 212489b1b7, Class:  1, CF:0.894421, Len: 10, Fitness_tra: 0
Rule 76: 744b8e4b22, Class:  1, CF:0.966357, Len: 10, Fitness_tra: 0
Rule 77: 2b2b191bb4, Class:  1, CF:0.976706, Len: 10, Fitness_tra: -1
Rule 78: 251413b212, Class:  1, CF:0.975418, Len: 10, Fitness_tra: 0
Rule 79: 11b4a67221, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 80: 14271d42bb, Class:  1, CF:0.794579, Len: 10, Fitness_tra: 0
Rule 81: 272716b1b4, Class:  0, CF:0.963144, Len: 10, Fitness_tra: 0
Rule 82: 47422f1b17, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 42215a1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 22b21514bb, Class:  1, CF:0.351074, Len: 10, Fitness_tra: 0
Rule 85: 1124c3b172, Class:  1, CF:0.907707, Len: 10, Fitness_tra: 0
Rule 86: b127c62b72, Class:  1, CF:0.904488, Len: 10, Fitness_tra: 0
Rule 87: 1bb253141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: bb2113b2b2, Class:  1, CF:0.0501984, Len: 10, Fitness_tra: 0
Rule 89: 2b2b81771b, Class:  1, CF:0.997017, Len: 10, Fitness_tra: 0
Rule 90: 2217ce147b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 91: 144b8eb12b, Class:  1, CF:0.820815, Len: 10, Fitness_tra: 0
Rule 92: 7bb4ce7227, Class:  1, CF:0.999626, Len:  0, Fitness_tra: 0
Rule 93: 4b2b1112b4, Class:  1, CF:0.981438, Len: 10, Fitness_tra: -1
Rule 94: 4bb7ce1747, Class:  1, CF:0.999217, Len: 10, Fitness_tra: 0
Rule 95: 24b1ca7247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2b281aa941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 24cd217b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7279e1b241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1412f65242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 12442f1b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 18
------Current------
Miss_rate(tra)	:6.74249
------Result------
Miss_rate(tra)	:6.74249
Miss_rate(tst)	:7.11679
ARL				:10

------Generation 1------
Rule  1: 1244221b1b, Class:  0, CF:0.784799, Len: 10, Fitness_tra: 4520
Rule  2: 4427af1411, Class:  0, CF:  1, Len: 10, Fitness_tra: 13
Rule  3: b844112224, Class:  1, CF:0.999123, Len: 10, Fitness_tra: 2
Rule  4: 24b11a7217, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  5: b4b129741b, Class:  1, CF:0.998268, Len: 10, Fitness_tra: -3
Rule  6: 4b712fbb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  7: 182225bb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule  8: 1412f6bb42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 1bb4ce1747, Class:  1, CF:0.993199, Len: 10, Fitness_tra: -3
Rule 10: 1114597bb2, Class:  0, CF:0.460154, Len: 10, Fitness_tra: 0
Rule 11: 24bbce1124, Class:  1, CF:0.984269, Len: 10, Fitness_tra: 1
Rule 12: 4b2b937b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4b775f217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7221c61172, Class:  1, CF:0.799103, Len: 10, Fitness_tra: 0
Rule 15: 12b41fbb24, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 497b81b174, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 7221c5b247, Class:  1, CF:0.99718, Len: 10, Fitness_tra: 1
Rule 18: 427131bbb7, Class:  0, CF:0.473035, Len: 10, Fitness_tra: 6
Rule 19: 772b5a412b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7bb4ce7227, Class:  1, CF:0.999626, Len: 10, Fitness_tra: 0
Rule 21: b14b134424, Class:  1, CF:0.962911, Len: 10, Fitness_tra: 0
Rule 22: 2c2b862717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7b4416b2b1, Class:  0, CF:0.211616, Len: 10, Fitness_tra: 0
Rule 24: 4b212d7227, Class:  1, CF:0.999944, Len: 10, Fitness_tra: 2
Rule 25: 7414214b47, Class:  1, CF:0.812956, Len: 10, Fitness_tra: 0
Rule 26: 4cbb16422b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 12742e1777, Class:  0, CF:0.169938, Len: 10, Fitness_tra: 0
Rule 28: 4144232412, Class:  1, CF:0.887706, Len: 10, Fitness_tra: 0
Rule 29: 74112e7224, Class:  1, CF:0.999629, Len: 10, Fitness_tra: 1
Rule 30: 4b4b8e2172, Class:  1, CF:0.99821, Len: 10, Fitness_tra: 0
Rule 31: bb24161774, Class:  0, CF:0.995752, Len: 10, Fitness_tra: 0
Rule 32: b214812272, Class:  1, CF:0.98077, Len: 10, Fitness_tra: 0
Rule 33: 41175141b4, Class:  1, CF:0.961521, Len: 10, Fitness_tra: -3
Rule 34: 4422532471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7271e1b247, Class:  1, CF:0.999501, Len: 10, Fitness_tra: 0
Rule 36: 1244817721, Class:  1, CF:0.821017, Len: 10, Fitness_tra: -5
Rule 37: 2747594412, Class:  1, CF:0.99581, Len: 10, Fitness_tra: 0
Rule 38: 7441532171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2d41c177b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 141721bb74, Class:  1, CF:0.451184, Len: 10, Fitness_tra: -1
Rule 41: 2442c141b2, Class:  1, CF:0.930593, Len: 10, Fitness_tra: 0
Rule 42: bb171322bb, Class:  1, CF:0.740699, Len: 10, Fitness_tra: 0
Rule 43: b4bb264147, Class:  0, CF:0.957146, Len: 10, Fitness_tra: 0
Rule 44: 11b4194742, Class:  1, CF:0.977506, Len: 10, Fitness_tra: 0
Rule 45: 27b28a1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 7c71567441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 27471174b1, Class:  1, CF:0.849187, Len: 10, Fitness_tra: 1
Rule 48: 272b197222, Class:  1, CF:0.999436, Len: 10, Fitness_tra: 0
Rule 49: 44b196712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 217b8a2444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b114b144bb, Class:  1, CF:0.543833, Len: 10, Fitness_tra: 0
Rule 52: 7c47152141, Class:  1, CF:0.819551, Len: 10, Fitness_tra: 0
Rule 53: 7277567411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 22477171b4, Class:  1, CF:0.449833, Len: 10, Fitness_tra: 0
Rule 55: 14248eb14b, Class:  1, CF:0.805532, Len: 10, Fitness_tra: 0
Rule 56: b221c37bb4, Class:  1, CF:0.818541, Len: 10, Fitness_tra: 0
Rule 57: 7171834b41, Class:  1, CF:0.837236, Len: 10, Fitness_tra: -8
Rule 58: b71411b27b, Class:  1, CF:0.965389, Len: 10, Fitness_tra: 0
Rule 59: 7142664b27, Class:  0, CF:0.998503, Len: 10, Fitness_tra: 0
Rule 60: 424b112412, Class:  1, CF:0.96702, Len: 10, Fitness_tra: 0
Rule 61: 14741a12b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 62: 2a42882bb1, Class:  1, CF:0.926531, Len: 10, Fitness_tra: 0
Rule 63: 2212134217, Class:  1, CF:0.838506, Len: 10, Fitness_tra: 0
Rule 64: 24b2c32244, Class:  1, CF:0.639211, Len: 10, Fitness_tra: 0
Rule 65: 112b514b74, Class:  1, CF:0.904897, Len: 10, Fitness_tra: 0
Rule 66: 4142561bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 14741e1b27, Class:  1, CF:0.388099, Len: 10, Fitness_tra: 0
Rule 68: bc42831712, Class:  1, CF:0.0508292, Len: 10, Fitness_tra: 0
Rule 69: bb7b1db442, Class:  1, CF:0.999682, Len: 10, Fitness_tra: 0
Rule 70: 7bbbd61224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 414711bb72, Class:  1, CF:0.757742, Len: 10, Fitness_tra: 0
Rule 72: 2747191227, Class:  1, CF:0.997776, Len: 10, Fitness_tra: 0
Rule 73: b144417724, Class:  1, CF:0.984362, Len: 10, Fitness_tra: 0
Rule 74: 122b5d7177, Class:  1, CF:0.561584, Len: 10, Fitness_tra: 0
Rule 75: 212489b1b7, Class:  1, CF:0.894421, Len: 10, Fitness_tra: 0
Rule 76: 744b8e4b22, Class:  1, CF:0.966357, Len: 10, Fitness_tra: 0
Rule 77: 2b2b191bb4, Class:  1, CF:0.976706, Len: 10, Fitness_tra: -1
Rule 78: 251413b212, Class:  1, CF:0.975418, Len: 10, Fitness_tra: 0
Rule 79: 11b4a67221, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 80: 14271d42bb, Class:  1, CF:0.794579, Len: 10, Fitness_tra: 0
Rule 81: 272716b1b4, Class:  0, CF:0.963144, Len: 10, Fitness_tra: 0
Rule 82: 47422f1b17, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 42215a1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 22b21514bb, Class:  1, CF:0.351074, Len: 10, Fitness_tra: 0
Rule 85: 1124c3b172, Class:  1, CF:0.907707, Len: 10, Fitness_tra: 0
Rule 86: b127c62b72, Class:  1, CF:0.904488, Len: 10, Fitness_tra: 0
Rule 87: 1bb253141b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: bb2113b2b2, Class:  1, CF:0.0501984, Len: 10, Fitness_tra: 0
Rule 89: 2b2b81771b, Class:  1, CF:0.997017, Len: 10, Fitness_tra: 0
Rule 90: 2217ce147b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 91: 144b8eb12b, Class:  1, CF:0.820815, Len: 10, Fitness_tra: 0
Rule 92: 7bb4ce7227, Class:  1, CF:0.999626, Len:  0, Fitness_tra: 0
Rule 93: 4b2b1112b4, Class:  1, CF:0.981438, Len: 10, Fitness_tra: -1
Rule 94: 4bb7ce1747, Class:  1, CF:0.999217, Len: 10, Fitness_tra: 0
Rule 95: 24b1ca7247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 2b281aa941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 24cd217b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 7279e1b241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1412f65242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 12442f1b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 18
------Current------
Miss_rate(tra)	:6.74249
------Result------
Miss_rate(tra)	:6.74249
Miss_rate(tst)	:7.11679
ARL				:10

------Generation 2------
Rule  1: 1244221b1b, Class:  0, CF:0.784799, Len: 10, Fitness_tra: 4520
Rule  2: 4427af1411, Class:  0, CF:  1, Len: 10, Fitness_tra: 13
Rule  3: b844112224, Class:  1, CF:0.999123, Len: 10, Fitness_tra: 2
Rule  4: 24b11a7217, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  5: b4b129741b, Class:  1, CF:0.998268, Len: 10, Fitness_tra: -3
Rule  6: 4b712fbb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  7: 182225bb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule  8: 1412f6bb42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 1bb4ce1747, Class:  1, CF:0.993199, Len: 10, Fitness_tra: -3
Rule 10: 1114597bb2, Class:  0, CF:0.460154, Len: 10, Fitness_tra: 0
Rule 11: 24bbce1124, Class:  1, CF:0.984269, Len: 10, Fitness_tra: 1
