------Generation 0------
Rule  1: b221cd471b, Class:  1, CF:0.990904, Len: 10, Fitness_tra: 0
Rule 27: b171214bbb, Class:  1, CF:0.953903, Len: 10, Fitness_tra: -2
Rule 28: 2472194727, Class:  1, CF:0.969431, Len: 10, Fitness_tra: 0
Rule 29: 2124ce7744, Class:  1, CF:0.997737, Len: 10, Fitness_tra: 0
Rule 30: 154b7db71b, Class:  0, CF:0.529717, Len: 10, Fitness_tra: 2
Rule 31: 117b234122, Class:  1, CF:0.87577, Len: 10, Fitness_tra: 0
Rule 32: 4a4d1322b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 78214eb111, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 147213172b, Class:  0, CF:0.608745, Len: 10, Fitness_tra: 1
Rule 35: 47718f122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 72b7c31b72, Class:  1, CF:0.810813, Len: 10, Fitness_tra: 0
Rule 37: b4bb23b271, Class:  0, CF:0.0760444, Len: 10, Fitness_tra: 0
Rule 38: 14b4851274, Class:  1, CF:0.949664, Len: 10, Fitness_tra: -81
Rule 39: 112283bb77, Class:  1, CF:0.649165, Len: 10, Fitness_tra: 0
Rule 40: b41b167277, Class:  0, CF:0.981673, Len: 10, Fitness_tra: 0
Rule 41: 214115b171, Class:  1, CF:0.994383, Len: 10, Fitness_tra: -2165
Rule 42: 441421b772, Class:  1, CF:0.942841, Len: 10, Fitness_tra: 0
Rule 43: bb148374b1, Class:  1, CF:0.942187, Len: 10, Fitness_tra: -15
Rule 44: 2242ceb772, Class:  1, CF:0.932453, Len: 10, Fitness_tra: 0
Rule 45: 47475f2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 48b4c14b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 2b171a7277, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 21b286b241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 12211542bb, Class:  1, CF:0.91709, Len: 10, Fitness_tra: 0
Rule 50: b212cab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 2212167474, Class:  0, CF:0.992036, Len: 10, Fitness_tra: 0
Rule 52: b142de1b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: 7b47ce4bb1, Class:  1, CF:0.653729, Len: 10, Fitness_tra: 0
Rule 54: 1241152147, Class:  1, CF:0.941642, Len: 10, Fitness_tra: -59
Rule 55: 2241154224, Class:  1, CF:0.998998, Len: 10, Fitness_tra: 1
Rule 56: 7c14794744, Class:  1, CF:0.931283, Len: 10, Fitness_tra: 0
Rule 57: b2711e1bb7, Class:  1, CF:0.611983, Len: 10, Fitness_tra: -480
Rule 58: 22141db174, Class:  1, CF:0.675562, Len: 10, Fitness_tra: 0
Rule 59: 28b1814274, Class:  1, CF:0.98641, Len: 10, Fitness_tra: 0
Rule 60: 447b167174, Class:  0, CF:0.989904, Len: 10, Fitness_tra: 0
Rule 61: 4141114247, Class:  1, CF:0.988032, Len: 10, Fitness_tra: 2
Rule 62: 181421bb1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 182
Rule 63: 4212aa2b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 64: 4bb15e4b41, Class:  1, CF:0.732523, Len: 10, Fitness_tra: -5
Rule 65: 2174c3b4b1, Class:  1, CF:0.842044, Len: 10, Fitness_tra: 0
Rule 66: bb715144b4, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 0
Rule 67: 1b778117bb, Class:  1, CF:0.993209, Len: 10, Fitness_tra: -160
Rule 68: 2172c3b72c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2e128521b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 70: 77223f1127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 11b2c12b27, Class:  1, CF:0.899721, Len: 10, Fitness_tra: 0
Rule 72: b721362b27, Class:  0, CF:0.993026, Len: 10, Fitness_tra: 0
Rule 73: 15b1c34274, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 74: b12b1a4244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 75: 77b1df44b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 2422132417, Class:  1, CF:0.392262, Len: 10, Fitness_tra: 0
Rule 77: 114419b274, Class:  1, CF:0.973008, Len: 10, Fitness_tra: 0
Rule 78: b222c9b7bb, Class:  0, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 79: bb4bce4742, Class:  1, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 80: 1c441f2472, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 81: b2111a411b, Class:  0, CF:  1, Len: 10, Fitness_tra: 38
Rule 82: 72718f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 411b167b7b, Class:  0, CF:0.86717, Len: 10, Fitness_tra: 0
Rule 84: 247743117b, Class:  0, CF:0.0623662, Len: 10, Fitness_tra: 1
Rule 85: 11441a7724, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 7147561bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 74411f741b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 7842812117, Class:  1, CF:0.859917, Len: 10, Fitness_tra: 0
Rule 89: b171137712, Class:  0, CF:0.0511298, Len: 10, Fitness_tra: 0
Rule 90: 214bc61712, Class:  1, CF:0.876374, Len: 10, Fitness_tra: 0
Rule 91: 7741817212, Class:  1, CF:0.9988, Len: 10, Fitness_tra: 0
Rule 92: b242134722, Class:  0, CF:0.900406, Len: 10, Fitness_tra: 0
Rule 93: 21415e4b2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 94: 24b1864241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 71471f4b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 2122132444, Class:  1, CF:0.871886, Len: 10, Fitness_tra: 0
Rule 97: 714213b747, Class:  0, CF:0.502268, Len: 10, Fitness_tra: 0
Rule 98: 11b11ab427, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 2b772d2444, Class:  1, CF:0.999782, Len: 10, Fitness_tra: 0
Rule100: 7cbbc62212, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:65.1574
------Result------
Miss_rate(tra)	:65.1574
Miss_rate(tst)	:66.9104
ARL				:10

------Generation 0------
Rule  1: 1271612117, Class:  0, CF:0.756664, Len: 10, Fitness_tra: 2072
Rule  2: 181421bb1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 218
Rule  3: b2111a411b, Class:  0, CF:  1, Len: 10, Fitness_tra: 38
Rule  4: b4b181b24b, Class:  1, CF:0.998591, Len: 10, Fitness_tra: 3
Rule  5: 747b314b41, Class:  0, CF:0.326886, Len: 10, Fitness_tra: 1
Rule  6: 154b7db71b, Class:  0, CF:0.529717, Len: 10, Fitness_tra: 2
Rule  7: 4141114247, Class:  1, CF:0.988032, Len: 10, Fitness_tra: 2
Rule  8: 247743117b, Class:  0, CF:0.0623662, Len: 10, Fitness_tra: 1
Rule  9: 2241154224, Class:  1, CF:0.998998, Len: 10, Fitness_tra: 2
Rule 10: 147213172b, Class:  0, CF:0.608745, Len: 10, Fitness_tra: 1
Rule 11: b221cd471b, Class:  1, CF:0.990904, Len: 10, Fitness_tra: -12
Rule 12: 47148f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b127967742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 224211b247, Class:  1, CF:0.997104, Len: 10, Fitness_tra: 0
Rule 15: 244756272b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 717b514474, Class:  1, CF:0.998435, Len: 10, Fitness_tra: 0
Rule 17: 241b8617b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 27123a4bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 422b2e1bb4, Class:  1, CF:0.0199009, Len: 10, Fitness_tra: 0
Rule 20: 4bb7132774, Class:  1, CF:0.324124, Len: 10, Fitness_tra: 0
Rule 21: 24745341b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b741837b44, Class:  1, CF:0.801408, Len: 10, Fitness_tra: 0
Rule 23: 277243b242, Class:  0, CF:0.0122358, Len: 10, Fitness_tra: 0
Rule 24: 7cbbc62212, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: b4bb512777, Class:  1, CF:0.989845, Len: 10, Fitness_tra: 0
Rule 26: 2217162427, Class:  0, CF:0.990871, Len: 10, Fitness_tra: 0
Rule 27: 2472194727, Class:  1, CF:0.969431, Len: 10, Fitness_tra: 0
Rule 28: 2124ce7744, Class:  1, CF:0.997737, Len: 10, Fitness_tra: 0
Rule 29: 4d1bc1b272, Class:  1, CF:0.973868, Len: 10, Fitness_tra: 0
Rule 30: 117b234122, Class:  1, CF:0.87577, Len: 10, Fitness_tra: 0
Rule 31: 4a4d1322b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 78214eb111, Class:  0, CF:  1, Len: 10, Fitness_tra: 18
Rule 33: bcb4292414, Class:  1, CF:0.833563, Len: 10, Fitness_tra: 0
Rule 34: 47718f122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 72b7c31b72, Class:  1, CF:0.810813, Len: 10, Fitness_tra: 0
Rule 36: b4bb23b271, Class:  0, CF:0.0760444, Len: 10, Fitness_tra: 0
Rule 37: 112283bb77, Class:  1, CF:0.649165, Len: 10, Fitness_tra: 0
Rule 38: b41b167277, Class:  0, CF:0.981673, Len: 10, Fitness_tra: 0
Rule 39: 441421b772, Class:  1, CF:0.942841, Len: 10, Fitness_tra: 0
Rule 40: 2242ceb772, Class:  1, CF:0.932453, Len: 10, Fitness_tra: 0
Rule 41: 47475f2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 48b4c14b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 2b171a7277, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 21b286b241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 12211542bb, Class:  1, CF:0.91709, Len: 10, Fitness_tra: -21
Rule 46: b212cab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2212167474, Class:  0, CF:0.992036, Len: 10, Fitness_tra: 0
Rule 48: b142de1b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 38
Rule 49: 7b47ce4bb1, Class:  1, CF:0.653729, Len: 10, Fitness_tra: 0
Rule 50: 74b229b1b2, Class:  1, CF:0.601813, Len: 10, Fitness_tra: 0
Rule 51: 7c14794744, Class:  1, CF:0.931283, Len: 10, Fitness_tra: 0
Rule 52: 22141db174, Class:  1, CF:0.675562, Len: 10, Fitness_tra: 0
Rule 53: 28b1814274, Class:  1, CF:0.98641, Len: 10, Fitness_tra: 0
Rule 54: 447b167174, Class:  0, CF:0.989904, Len: 10, Fitness_tra: 0
Rule 55: 11b1c614b4, Class:  1, CF:0.831932, Len: 10, Fitness_tra: 0
Rule 56: 4212aa2b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 2174c3b4b1, Class:  1, CF:0.842044, Len: 10, Fitness_tra: -3
Rule 58: bb715144b4, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 1
Rule 59: 2172c3b72c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2e128521b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 77223f1127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 11b2c12b27, Class:  1, CF:0.899721, Len: 10, Fitness_tra: 0
Rule 63: b721362b27, Class:  0, CF:0.993026, Len: 10, Fitness_tra: 0
Rule 64: 15b1c34274, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: b12b1a4244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 77b1df44b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2422132417, Class:  1, CF:0.392262, Len: 10, Fitness_tra: 0
Rule 68: 114419b274, Class:  1, CF:0.973008, Len: 10, Fitness_tra: -36
Rule 69: b222c9b7bb, Class:  0, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 70: bb4bce4742, Class:  1, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 71: 1c441f2472, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: b4741f421b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 72718f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 411b167b7b, Class:  0, CF:0.86717, Len: 10, Fitness_tra: 0
Rule 75: 4d221324b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 11441a7724, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 7147561bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 74411f741b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 7842812117, Class:  1, CF:0.859917, Len: 10, Fitness_tra: 0
Rule 80: b171137712, Class:  0, CF:0.0511298, Len: 10, Fitness_tra: 0
Rule 81: b541137bb4, Class:  0, CF:  1, Len: 10, Fitness_tra: 3
Rule 82: 7b445fb772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 14422a7741, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 84: 1127114117, Class:  1, CF:0.554677, Len: 10, Fitness_tra: -1668
Rule 85: 72b2562242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: bb1b192217, Class:  1, CF:0.990587, Len: 10, Fitness_tra: -282
Rule 87: 7b27de2242, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 88: b1b1117427, Class:  1, CF:0.986985, Len: 10, Fitness_tra: -3
Rule 89: 2b749e777b, Class:  1, CF:0.994141, Len: 10, Fitness_tra: 0
Rule 90: 13b1ffb224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: b142de7b14, Class:  1, CF:0.710399, Len: 10, Fitness_tra: 0
Rule 92: 47148f114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 61811e4b7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 11b1c14247, Class:  1, CF:0.996567, Len: 10, Fitness_tra: -3
Rule 95: 412115424b, Class:  1, CF:0.999113, Len: 10, Fitness_tra: 1
Rule 96: 24271324b1, Class:  0, CF:0.614917, Len: 10, Fitness_tra: 0
Rule 97: 16b7832b77, Class:  1, CF:0.999995, Len: 10, Fitness_tra: 0
Rule 98: 1d7d1324e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2277617117, Class:  0, CF:0.732412, Len: 10, Fitness_tra: 0
Rule100: 21d2834bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.9036
------Result------
Miss_rate(tra)	:50.9036
Miss_rate(tst)	:52.6508
ARL				:10

------Generation 1------
Rule  1: 1271612117, Class:  0, CF:0.756664, Len: 10, Fitness_tra: 2072
Rule  2: 181421bb1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 218
Rule  3: b2111a411b, Class:  0, CF:  1, Len: 10, Fitness_tra: 38
Rule  4: b4b181b24b, Class:  1, CF:0.998591, Len: 10, Fitness_tra: 3
Rule  5: 747b314b41, Class:  0, CF:0.326886, Len: 10, Fitness_tra: 1
Rule  6: 154b7db71b, Class:  0, CF:0.529717, Len: 10, Fitness_tra: 2
Rule  7: 4141114247, Class:  1, CF:0.988032, Len: 10, Fitness_tra: 2
Rule  8: 247743117b, Class:  0, CF:0.0623662, Len: 10, Fitness_tra: 1
Rule  9: 2241154224, Class:  1, CF:0.998998, Len: 10, Fitness_tra: 2
Rule 10: 147213172b, Class:  0, CF:0.608745, Len: 10, Fitness_tra: 1
Rule 11: b221cd471b, Class:  1, CF:0.990904, Len: 10, Fitness_tra: -12
Rule 12: 47148f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b127967742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 224211b247, Class:  1, CF:0.997104, Len: 10, Fitness_tra: 0
Rule 15: 244756272b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 717b514474, Class:  1, CF:0.998435, Len: 10, Fitness_tra: 0
Rule 17: 241b8617b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 27123a4bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 422b2e1bb4, Class:  1, CF:0.0199009, Len: 10, Fitness_tra: 0
Rule 20: 4bb7132774, Class:  1, CF:0.324124, Len: 10, Fitness_tra: 0
Rule 21: 24745341b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b741837b44, Class:  1, CF:0.801408, Len: 10, Fitness_tra: 0
Rule 23: 277243b242, Class:  0, CF:0.0122358, Len: 10, Fitness_tra: 0
Rule 24: 7cbbc62212, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: b4bb512777, Class:  1, CF:0.989845, Len: 10, Fitness_tra: 0
Rule 26: 2217162427, Class:  0, CF:0.990871, Len: 10, Fitness_tra: 0
Rule 27: 2472194727, Class:  1, CF:0.969431, Len: 10, Fitness_tra: 0
Rule 28: 2124ce7744, Class:  1, CF:0.997737, Len: 10, Fitness_tra: 0
Rule 29: 4d1bc1b272, Class:  1, CF:0.973868, Len: 10, Fitness_tra: 0
Rule 30: 117b234122, Class:  1, CF:0.87577, Len: 10, Fitness_tra: 0
Rule 31: 4a4d1322b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 78214eb111, Class:  0, CF:  1, Len: 10, Fitness_tra: 18
Rule 33: bcb4292414, Class:  1, CF:0.833563, Len: 10, Fitness_tra: 0
Rule 34: 47718f122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 72b7c31b72, Class:  1, CF:0.810813, Len: 10, Fitness_tra: 0
Rule 36: b4bb23b271, Class:  0, CF:0.0760444, Len: 10, Fitness_tra: 0
Rule 37: 112283bb77, Class:  1, CF:0.649165, Len: 10, Fitness_tra: 0
Rule 38: b41b167277, Class:  0, CF:0.981673, Len: 10, Fitness_tra: 0
Rule 39: 441421b772, Class:  1, CF:0.942841, Len: 10, Fitness_tra: 0
Rule 40: 2242ceb772, Class:  1, CF:0.932453, Len: 10, Fitness_tra: 0
Rule 41: 47475f2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 48b4c14b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: 2b171a7277, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 21b286b241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 12211542bb, Class:  1, CF:0.91709, Len: 10, Fitness_tra: -21
Rule 46: b212cab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2212167474, Class:  0, CF:0.992036, Len: 10, Fitness_tra: 0
Rule 48: b142de1b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 38
Rule 49: 7b47ce4bb1, Class:  1, CF:0.653729, Len: 10, Fitness_tra: 0
Rule 50: 74b229b1b2, Class:  1, CF:0.601813, Len: 10, Fitness_tra: 0
Rule 51: 7c14794744, Class:  1, CF:0.931283, Len: 10, Fitness_tra: 0
Rule 52: 22141db174, Class:  1, CF:0.675562, Len: 10, Fitness_tra: 0
Rule 53: 28b1814274, Class:  1, CF:0.98641, Len: 10, Fitness_tra: 0
Rule 54: 447b167174, Class:  0, CF:0.989904, Len: 10, Fitness_tra: 0
Rule 55: 11b1c614b4, Class:  1, CF:0.831932, Len: 10, Fitness_tra: 0
Rule 56: 4212aa2b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 2174c3b4b1, Class:  1, CF:0.842044, Len: 10, Fitness_tra: -3
Rule 58: bb715144b4, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 1
Rule 59: 2172c3b72c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2e128521b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 77223f1127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 11b2c12b27, Class:  1, CF:0.899721, Len: 10, Fitness_tra: 0
Rule 63: b721362b27, Class:  0, CF:0.993026, Len: 10, Fitness_tra: 0
Rule 64: 15b1c34274, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: b12b1a4244, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 77b1df44b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2422132417, Class:  1, CF:0.392262, Len: 10, Fitness_tra: 0
Rule 68: 114419b274, Class:  1, CF:0.973008, Len: 10, Fitness_tra: -36
Rule 69: b222c9b7bb, Class:  0, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 70: bb4bce4742, Class:  1, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 71: 1c441f2472, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: b4741f421b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 73: 72718f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 411b167b7b, Class:  0, CF:0.86717, Len: 10, Fitness_tra: 0
Rule 75: 4d221324b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 76: 11441a7724, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 77: 7147561bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 74411f741b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 7842812117, Class:  1, CF:0.859917, Len: 10, Fitness_tra: 0
Rule 80: b171137712, Class:  0, CF:0.0511298, Len: 10, Fitness_tra: 0
Rule 81: b541137bb4, Class:  0, CF:  1, Len: 10, Fitness_tra: 3
Rule 82: 7b445fb772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 14422a7741, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 84: 1127114117, Class:  1, CF:0.554677, Len: 10, Fitness_tra: -1668
Rule 85: 72b2562242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: bb1b192217, Class:  1, CF:0.990587, Len: 10, Fitness_tra: -282
Rule 87: 7b27de2242, Class:  1, CF:0.999954, Len: 10, Fitness_tra: 0
Rule 88: b1b1117427, Class:  1, CF:0.986985, Len: 10, Fitness_tra: -3
Rule 89: 2b749e777b, Class:  1, CF:0.994141, Len: 10, Fitness_tra: 0
Rule 90: 13b1ffb224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 91: b142de7b14, Class:  1, CF:0.710399, Len: 10, Fitness_tra: 0
Rule 92: 47148f114d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 61811e4b7b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 11b1c14247, Class:  1, CF:0.996567, Len: 10, Fitness_tra: -3
Rule 95: 412115424b, Class:  1, CF:0.999113, Len: 10, Fitness_tra: 1
Rule 96: 24271324b1, Class:  0, CF:0.614917, Len: 10, Fitness_tra: 0
Rule 97: 16b7832b77, Class:  1, CF:0.999995, Len: 10, Fitness_tra: 0
Rule 98: 1d7d1324e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2277617117, Class:  0, CF:0.732412, Len: 10, Fitness_tra: 0
Rule100: 21d2834bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:50.9036
------Result------
Miss_rate(tra)	:50.9036
Miss_rate(tst)	:52.6508
ARL				:10

------Generation 2------
Rule  1: 1271612117, Class:  0, CF:0.756664, Len: 10, Fitness_tra: 2072
Rule  2: 181421bb1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 218
Rule  3: b2111a411b, Class:  0, CF:  1, Len: 10, Fitness_tra: 38
Rule  4: b4b181b24b, Class:  1, CF:0.998591, Len: 10, Fitness_tra: 3
Rule  5: 747b314b41, Class:  0, CF:0.326886, Len: 10, Fitness_tra: 1
Rule  6: 154b7db71b, Class:  0, CF:0.529717, Len: 10, Fitness_tra: 2
Rule  7: 4141114247, Class:  1, CF:0.988032, Len: 10, Fitness_tra: 2
Rule  8: 247743117b, Class:  0, CF:0.0623662, Len: 10, Fitness_tra: 1
Rule  9: 2241154224, Class:  1, CF:0.998998, Len: 10, Fitness_tra: 2
Rule 10: 147213172b, Class:  0, CF:0.608745, Len: 10, Fitness_tra: 1
Rule 11: b221cd471b, Class:  1, CF:0.990904, Len: 10, Fitness_tra: -12
Rule 12: 47148f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b127967742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 224211b247, Class:  1, CF:0.997104, Len: 10, Fitness_tra: 0
